variable,x,y
wc2.0_bio_2.5m_5,-12.323999834060668,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-12.198623835754393,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-12.07324783744812,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-11.947871839141845,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-11.822495840835572,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-11.697119842529297,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-11.571743844223022,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-11.446367845916749,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-11.320991847610474,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-11.195615849304199,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-11.070239850997925,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-10.94486385269165,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-10.819487854385375,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-10.694111856079102,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-10.568735857772827,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-10.443359859466554,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-10.317983861160279,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-10.192607862854004,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-10.067231864547729,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-9.941855866241456,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-9.81647986793518,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-9.691103869628908,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-9.565727871322633,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-9.440351873016358,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-9.314975874710084,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-9.18959987640381,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-9.064223878097536,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-8.938847879791261,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-8.813471881484986,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-8.688095883178711,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-8.562719884872438,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-8.437343886566163,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-8.31196788825989,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-8.186591889953615,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-8.06121589164734,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-7.9358398933410665,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-7.8104638950347915,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-7.685087896728517,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-7.559711898422243,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-7.434335900115969,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-7.308959901809694,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-7.183583903503421,3.3817148050729884E-6
wc2.0_bio_2.5m_5,-7.058207905197146,3.434215614106506E-6
wc2.0_bio_2.5m_5,-6.932831906890872,3.5966597806691425E-6
wc2.0_bio_2.5m_5,-6.807455908584597,3.766787131098681E-6
wc2.0_bio_2.5m_5,-6.682079910278323,3.944962827517884E-6
wc2.0_bio_2.5m_5,-6.556703911972049,4.131565219722688E-6
wc2.0_bio_2.5m_5,-6.431327913665774,4.326995167502901E-6
wc2.0_bio_2.5m_5,-6.3059519153595005,4.531668764684582E-6
wc2.0_bio_2.5m_5,-6.1805759170532255,4.746024387713987E-6
wc2.0_bio_2.5m_5,-6.055199918746951,4.9705181481840555E-6
wc2.0_bio_2.5m_5,-5.929823920440676,5.205632078286726E-6
wc2.0_bio_2.5m_5,-5.804447922134403,5.451865945360623E-6
wc2.0_bio_2.5m_5,-5.679071923828128,5.709748165827477E-6
wc2.0_bio_2.5m_5,-5.553695925521854,5.979827619739808E-6
wc2.0_bio_2.5m_5,-5.428319927215579,6.262683200475294E-6
wc2.0_bio_2.5m_5,-5.302943928909305,6.558918357768562E-6
wc2.0_bio_2.5m_5,-5.177567930603031,6.869164735689992E-6
wc2.0_bio_2.5m_5,-5.052191932296756,7.194087629613932E-6
wc2.0_bio_2.5m_5,-4.926815933990483,7.534377800766379E-6
wc2.0_bio_2.5m_5,-4.801439935684208,7.890766028140206E-6
wc2.0_bio_2.5m_5,-4.676063937377934,8.264010830316693E-6
