variable,x,y
wc2.0_bio_2.5m_6,-46.23150901794437,4.130373326916015E-6
wc2.0_bio_2.5m_6,-46.07945679931644,4.130373326916015E-6
wc2.0_bio_2.5m_6,-45.92740458068851,4.130373326916015E-6
wc2.0_bio_2.5m_6,-45.77535236206058,4.130373326916015E-6
wc2.0_bio_2.5m_6,-45.62330014343265,4.130373326916015E-6
wc2.0_bio_2.5m_6,-45.47124792480472,4.130373326916015E-6
wc2.0_bio_2.5m_6,-45.31919570617679,4.130373326916015E-6
wc2.0_bio_2.5m_6,-45.16714348754886,4.130373326916015E-6
wc2.0_bio_2.5m_6,-45.01509126892093,4.130373326916015E-6
wc2.0_bio_2.5m_6,-44.863039050293004,4.130373326916015E-6
wc2.0_bio_2.5m_6,-44.710986831665075,4.130373326916015E-6
wc2.0_bio_2.5m_6,-44.558934613037145,4.130373326916015E-6
wc2.0_bio_2.5m_6,-44.406882394409216,4.130373326916015E-6
wc2.0_bio_2.5m_6,-44.25483017578128,4.130373326916015E-6
wc2.0_bio_2.5m_6,-44.10277795715335,4.130373326916015E-6
wc2.0_bio_2.5m_6,-43.95072573852542,4.130373326916015E-6
wc2.0_bio_2.5m_6,-43.79867351989749,4.130373326916015E-6
wc2.0_bio_2.5m_6,-43.64662130126956,4.130373326916015E-6
wc2.0_bio_2.5m_6,-43.49456908264163,4.130373326916015E-6
wc2.0_bio_2.5m_6,-43.3425168640137,4.130373326916015E-6
wc2.0_bio_2.5m_6,-43.190464645385774,4.130373326916015E-6
wc2.0_bio_2.5m_6,-43.038412426757844,4.130373326916015E-6
wc2.0_bio_2.5m_6,-42.886360208129915,4.130373326916015E-6
wc2.0_bio_2.5m_6,-42.734307989501986,4.130373326916015E-6
wc2.0_bio_2.5m_6,-42.582255770874056,4.130373326916015E-6
wc2.0_bio_2.5m_6,-42.43020355224613,4.130373326916015E-6
wc2.0_bio_2.5m_6,-42.2781513336182,4.130373326916015E-6
wc2.0_bio_2.5m_6,-42.12609911499027,4.130373326916015E-6
wc2.0_bio_2.5m_6,-41.97404689636234,4.130373326916015E-6
wc2.0_bio_2.5m_6,-41.82199467773441,4.130373326916015E-6
wc2.0_bio_2.5m_6,-41.66994245910648,4.130373326916015E-6
wc2.0_bio_2.5m_6,-41.51789024047855,4.130373326916015E-6
wc2.0_bio_2.5m_6,-41.36583802185062,4.130373326916015E-6
wc2.0_bio_2.5m_6,-41.21378580322269,4.130373326916015E-6
wc2.0_bio_2.5m_6,-41.06173358459476,4.130373326916015E-6
wc2.0_bio_2.5m_6,-40.90968136596683,4.130373326916015E-6
wc2.0_bio_2.5m_6,-40.7576291473389,4.130373326916015E-6
wc2.0_bio_2.5m_6,-40.605576928710974,4.130373326916015E-6
wc2.0_bio_2.5m_6,-40.453524710083045,4.130373326916015E-6
wc2.0_bio_2.5m_6,-40.301472491455115,4.130373326916015E-6
wc2.0_bio_2.5m_6,-40.14942027282718,4.130373326916015E-6
wc2.0_bio_2.5m_6,-39.99736805419925,4.130373326916015E-6
wc2.0_bio_2.5m_6,-39.84531583557132,4.269783858035225E-6
wc2.0_bio_2.5m_6,-39.69326361694339,4.715659997600596E-6
wc2.0_bio_2.5m_6,-39.54121139831546,5.206112746236613E-6
wc2.0_bio_2.5m_6,-39.38915917968753,5.745355792896589E-6
wc2.0_bio_2.5m_6,-39.2371069610596,6.338037110253936E-6
wc2.0_bio_2.5m_6,-39.08505474243167,6.989159828663105E-6
wc2.0_bio_2.5m_6,-38.933002523803744,7.704236850258894E-6
wc2.0_bio_2.5m_6,-38.780950305175814,8.4892171798856E-6
wc2.0_bio_2.5m_6,-38.628898086547885,9.350567779620178E-6
wc2.0_bio_2.5m_6,-38.476845867919955,1.029538907459937E-5
wc2.0_bio_2.5m_6,-38.324793649292026,1.1331304449413437E-5
wc2.0_bio_2.5m_6,-38.1727414306641,1.2466698535718024E-5
wc2.0_bio_2.5m_6,-38.02068921203617,1.3710565326618962E-5
wc2.0_bio_2.5m_6,-37.86863699340824,1.5072791029524524E-5
wc2.0_bio_2.5m_6,-37.71658477478031,1.656400490901433E-5
wc2.0_bio_2.5m_6,-37.56453255615238,1.8195727534475736E-5
wc2.0_bio_2.5m_6,-37.41248033752445,1.9980569049948826E-5
wc2.0_bio_2.5m_6,-37.26042811889652,2.19320208998397E-5
wc2.0_bio_2.5m_6,-37.108375900268584,2.406488601991441E-5
wc2.0_bio_2.5m_6,-36.956323681640654,2.639497870404739E-5
wc2.0_bio_2.5m_6,-36.804271463012725,2.893964665418025E-5
wc2.0_bio_2.5m_6,-36.652219244384796,3.17174635711126E-5
wc2.0_bio_2.5m_6,-36.500167025756866,3.474850018392317E-5
wc2.0_bio_2.5m_6,-36.34811480712894,3.805466985795647E-5
wc2.0_bio_2.5m_6,-36.19606258850101,4.165932841715403E-5
wc2.0_bio_2.5m_6,-36.04401036987308,4.558803266263567E-5
wc2.0_bio_2.5m_6,-35.89195815124515,4.9868096539285034E-5
wc2.0_bio_2.5m_6,-35.73990593261722,5.4528940381715074E-5
wc2.0_bio_2.5m_6,-35.58785371398929,5.960265843896195E-5
wc2.0_bio_2.5m_6,-35.43580149536136,6.512332038255408E-5
wc2.0_bio_2.5m_6,-35.28374927673343,7.11281827534549E-5
wc2.0_bio_2.5m_6,-35.1316970581055,7.76567540015094E-5
wc2.0_bio_2.5m_6,-34.97964483947757,8.475219510728493E-5
wc2.0_bio_2.5m_6,-34.82759262084964,9.246043919119984E-5
wc2.0_bio_2.5m_6,-34.67554040222171,1.0083081724587828E-4
wc2.0_bio_2.5m_6,-34.523488183593784,1.0991698218276724E-4
wc2.0_bio_2.5m_6,-34.371435964965855,1.1977567919529974E-4
wc2.0_bio_2.5m_6,-34.219383746337925,1.304687757510692E-4
wc2.0_bio_2.5m_6,-34.067331527709996,1.42061646329239E-4
wc2.0_bio_2.5m_6,-33.91527930908207,1.5462555165868253E-4
wc2.0_bio_2.5m_6,-33.76322709045414,1.682359434198588E-4
wc2.0_bio_2.5m_6,-33.61117487182621,1.8297367205377668E-4
wc2.0_bio_2.5m_6,-33.45912265319828,1.9892641284968704E-4
wc2.0_bio_2.5m_6,-33.30707043457035,2.1618646860588342E-4
wc2.0_bio_2.5m_6,-33.15501821594242,2.3485433484893292E-4
wc2.0_bio_2.5m_6,-33.00296599731449,2.550356148276478E-4
wc2.0_bio_2.5m_6,-32.85091377868656,2.7684521046467125E-4
wc2.0_bio_2.5m_6,-32.69886156005863,3.0040438286960125E-4
wc2.0_bio_2.5m_6,-32.5468093414307,3.2584238215349615E-4
wc2.0_bio_2.5m_6,-32.394757122802766,3.532992850523442E-4
wc2.0_bio_2.5m_6,-32.242704904174836,3.8292171666398644E-4
wc2.0_bio_2.5m_6,-32.09065268554691,4.148690204601735E-4
wc2.0_bio_2.5m_6,-31.938600466918977,4.493083106353879E-4
wc2.0_bio_2.5m_6,-31.786548248291048,4.864191869273782E-4
wc2.0_bio_2.5m_6,-31.63449602966312,5.2639254136011E-4
wc2.0_bio_2.5m_6,-31.48244381103519,5.694315768778324E-4
wc2.0_bio_2.5m_6,-31.33039159240726,6.157528841868043E-4
wc2.0_bio_2.5m_6,-31.17833937377933,6.655850447714329E-4
wc2.0_bio_2.5m_6,-31.0262871551514,7.191728218458593E-4
wc2.0_bio_2.5m_6,-30.87423493652347,7.767754723317921E-4
wc2.0_bio_2.5m_6,-30.722182717895542,8.386683184653521E-4
wc2.0_bio_2.5m_6,-30.570130499267613,9.051433298736811E-4
wc2.0_bio_2.5m_6,-30.418078280639683,9.765112190507352E-4
wc2.0_bio_2.5m_6,-30.266026062011754,0.0010530984727665782
wc2.0_bio_2.5m_6,-30.11397384338382,0.0011352536967024207
wc2.0_bio_2.5m_6,-29.96192162475589,0.0012233450543135405
wc2.0_bio_2.5m_6,-29.809869406127962,0.0013177621876820922
wc2.0_bio_2.5m_6,-29.657817187500033,0.0014189172070473433
wc2.0_bio_2.5m_6,-29.505764968872104,0.0015272456221282482
wc2.0_bio_2.5m_6,-29.353712750244178,0.0016432093689218163
wc2.0_bio_2.5m_6,-29.201660531616245,0.0017672913381829858
wc2.0_bio_2.5m_6,-29.049608312988315,0.001900005736388266
wc2.0_bio_2.5m_6,-28.897556094360386,0.002041893545538187
wc2.0_bio_2.5m_6,-28.745503875732453,0.0021935247350484133
wc2.0_bio_2.5m_6,-28.593451657104527,0.0023555001243948936
wc2.0_bio_2.5m_6,-28.441399438476598,0.0025284544099122286
wc2.0_bio_2.5m_6,-28.28934721984867,0.002713048830628395
wc2.0_bio_2.5m_6,-28.137295001220735,0.0029099853709340096
wc2.0_bio_2.5m_6,-27.985242782592806,0.0031199997756630182
wc2.0_bio_2.5m_6,-27.83319056396488,0.0033438648097217083
wc2.0_bio_2.5m_6,-27.681138345336947,0.003582391422241926
wc2.0_bio_2.5m_6,-27.529086126709018,0.0038364308420568705
wc2.0_bio_2.5m_6,-27.37703390808109,0.004106879234313965
wc2.0_bio_2.5m_6,-27.22498168945316,0.00439466442912817
wc2.0_bio_2.5m_6,-27.07292947082523,0.004700768738985062
wc2.0_bio_2.5m_6,-26.9208772521973,0.005026217084378004
wc2.0_bio_2.5m_6,-26.76882503356937,0.005372080486267805
wc2.0_bio_2.5m_6,-26.616772814941438,0.005739479325711727
wc2.0_bio_2.5m_6,-26.46472059631351,0.006129587534815073
wc2.0_bio_2.5m_6,-26.312668377685583,0.006543615832924843
wc2.0_bio_2.5m_6,-26.160616159057653,0.006982841994613409
wc2.0_bio_2.5m_6,-26.00856394042972,0.007448592223227024
wc2.0_bio_2.5m_6,-25.85651172180179,0.00794224813580513
wc2.0_bio_2.5m_6,-25.70445950317386,0.008465247228741646
wc2.0_bio_2.5m_6,-25.552407284545936,0.009019085206091404
wc2.0_bio_2.5m_6,-25.400355065918003,0.00960532110184431
wc2.0_bio_2.5m_6,-25.248302847290073,0.010225553996860981
wc2.0_bio_2.5m_6,-25.096250628662144,0.010881463997066021
wc2.0_bio_2.5m_6,-24.94419841003421,0.011574785225093365
wc2.0_bio_2.5m_6,-24.792146191406285,0.012307313270866871
wc2.0_bio_2.5m_6,-24.640093972778356,0.013080907054245472
wc2.0_bio_2.5m_6,-24.488041754150426,0.013897499069571495
wc2.0_bio_2.5m_6,-24.335989535522494,0.014759054407477379
wc2.0_bio_2.5m_6,-24.183937316894564,0.01566763035953045
wc2.0_bio_2.5m_6,-24.03188509826664,0.016625339165329933
wc2.0_bio_2.5m_6,-23.879832879638705,0.017634358257055283
wc2.0_bio_2.5m_6,-23.727780661010776,0.018696924671530724
wc2.0_bio_2.5m_6,-23.575728442382847,0.019815342500805855
wc2.0_bio_2.5m_6,-23.423676223754917,0.020991990342736244
wc2.0_bio_2.5m_6,-23.271624005126988,0.022229263558983803
wc2.0_bio_2.5m_6,-23.11957178649906,0.02352965995669365
wc2.0_bio_2.5m_6,-22.96751956787113,0.024895722046494484
wc2.0_bio_2.5m_6,-22.815467349243196,0.02633005380630493
wc2.0_bio_2.5m_6,-22.663415130615267,0.027835305780172348
wc2.0_bio_2.5m_6,-22.51136291198734,0.029414204880595207
wc2.0_bio_2.5m_6,-22.35931069335941,0.031069470569491386
wc2.0_bio_2.5m_6,-22.20725847473148,0.03280392289161682
wc2.0_bio_2.5m_6,-22.05520625610355,0.03462040796875954
wc2.0_bio_2.5m_6,-21.90315403747562,0.03652181476354599
wc2.0_bio_2.5m_6,-21.75110181884769,0.038511063903570175
wc2.0_bio_2.5m_6,-21.59904960021976,0.04059110954403877
wc2.0_bio_2.5m_6,-21.44699738159183,0.04276495799422264
wc2.0_bio_2.5m_6,-21.294945162963902,0.045035555958747864
wc2.0_bio_2.5m_6,-21.142892944335973,0.047405946999788284
wc2.0_bio_2.5m_6,-20.990840725708043,0.04987915977835655
wc2.0_bio_2.5m_6,-20.838788507080114,0.052458226680755615
wc2.0_bio_2.5m_6,-20.68673628845218,0.055146172642707825
wc2.0_bio_2.5m_6,-20.53468406982425,0.05794604867696762
wc2.0_bio_2.5m_6,-20.382631851196326,0.060860782861709595
wc2.0_bio_2.5m_6,-20.230579632568396,0.0638933852314949
wc2.0_bio_2.5m_6,-20.078527413940463,0.06704679131507874
wc2.0_bio_2.5m_6,-19.926475195312534,0.0703238993883133
wc2.0_bio_2.5m_6,-19.774422976684605,0.073727548122406
wc2.0_bio_2.5m_6,-19.622370758056675,0.07726051658391953
wc2.0_bio_2.5m_6,-19.470318539428746,0.08092556148767471
wc2.0_bio_2.5m_6,-19.318266320800817,0.08472521603107452
wc2.0_bio_2.5m_6,-19.166214102172887,0.0886620506644249
wc2.0_bio_2.5m_6,-19.014161883544954,0.09273851662874222
wc2.0_bio_2.5m_6,-18.86210966491703,0.09695690870285034
wc2.0_bio_2.5m_6,-18.7100574462891,0.10131941735744476
wc2.0_bio_2.5m_6,-18.558005227661166,0.1058281660079956
wc2.0_bio_2.5m_6,-18.405953009033237,0.11048494279384613
wc2.0_bio_2.5m_6,-18.253900790405307,0.1152915433049202
wc2.0_bio_2.5m_6,-18.10184857177738,0.12024953961372375
wc2.0_bio_2.5m_6,-17.94979635314945,0.12536032497882843
wc2.0_bio_2.5m_6,-17.79774413452152,0.13062511384487152
wc2.0_bio_2.5m_6,-17.64569191589359,0.13604485988616943
wc2.0_bio_2.5m_6,-17.493639697265657,0.1416204422712326
wc2.0_bio_2.5m_6,-17.34158747863773,0.14735224843025208
wc2.0_bio_2.5m_6,-17.1895352600098,0.15324066579341888
wc2.0_bio_2.5m_6,-17.037483041381872,0.159285768866539
wc2.0_bio_2.5m_6,-16.88543082275394,0.16548733413219452
wc2.0_bio_2.5m_6,-16.73337860412601,0.17184492945671082
wc2.0_bio_2.5m_6,-16.581326385498084,0.17835789918899536
wc2.0_bio_2.5m_6,-16.429274166870155,0.18502503633499146
wc2.0_bio_2.5m_6,-16.27722194824222,0.1918451488018036
wc2.0_bio_2.5m_6,-16.125169729614292,0.19881662726402283
wc2.0_bio_2.5m_6,-15.973117510986363,0.20593757927417755
wc2.0_bio_2.5m_6,-15.821065292358433,0.21320582926273346
wc2.0_bio_2.5m_6,-15.669013073730504,0.22061878442764282
wc2.0_bio_2.5m_6,-15.516960855102575,0.22817367315292358
wc2.0_bio_2.5m_6,-15.364908636474645,0.2358674257993698
wc2.0_bio_2.5m_6,-15.212856417846712,0.24369648098945618
wc2.0_bio_2.5m_6,-15.060804199218786,0.2516571581363678
wc2.0_bio_2.5m_6,-14.908751980590857,0.25974541902542114
wc2.0_bio_2.5m_6,-14.756699761962924,0.26795694231987
wc2.0_bio_2.5m_6,-14.604647543334995,0.2762869596481323
wc2.0_bio_2.5m_6,-14.452595324707065,0.28473061323165894
wc2.0_bio_2.5m_6,-14.30054310607914,0.29328271746635437
wc2.0_bio_2.5m_6,-14.14849088745121,0.30193769931793213
wc2.0_bio_2.5m_6,-13.996438668823274,0.3106898069381714
