Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.93138E-12,0.000000002,0.000000026,0.999910913,0,0
1.00443E-11,0.000000003,0.000000026,0.999821826,0,0
1.46483E-11,0.000000011,0.000000038,0.999287305,0,0
2.547E-11,0.000000027,0.000000066,0.99857461,0,0
3.59055E-11,0.000000104,0.000000094,0.996347439,0,0
4.69244E-11,0.000000252,0.000000122,0.993140312,0,0
9.87942E-11,0.00000101,0.000000257,0.983162584,0,0
1.97189E-10,0.000002509,0.000000514,0.974164811,0,0
5.43364E-10,0.000010024,0.000001416,0.954922049,0,0
1.06859E-9,0.000025068,0.000002785,0.937550111,0,0
1.8116E-9,0.000050073,0.000004721,0.921603563,0,0
3.1731E-9,0.000100125,0.00000827,0.90325167,0,0
6.68293E-9,0.000250109,0.000017417,0.874922049,0,0
1.21524E-8,0.000501158,0.00003167,0.850601336,0,0
1.98904E-8,0.001001792,0.000051836,0.822628062,0,0
3.67308E-8,0.00250318,0.000095722,0.77532294,0,0
5.88593E-8,0.005001149,0.000153385,0.728195991,0,0
1.05279E-7,0.010003797,0.000274337,0.672071269,0,0
2.16956E-7,0.025020728,0.000565263,0.588329621,0,0
3.68932E-7,0.050025545,0.000961034,0.510022272,0,0
7.52487E-7,0.100038639,0.001959181,0.425389755,0,0
1.92567E-6,0.200144349,0.005006032,0.350200445,0,0
3.73312E-6,0.300360828,0.009681939,0.317416481,0,0
5.61705E-6,0.400505314,0.014532305,0.298084633,0,0
7.41918E-6,0.500314059,0.019149856,0.28454343,0,0
9.31675E-6,0.600548444,0.023988531,0.273942094,0,0
1.13385E-5,0.700183574,0.029117603,0.265300668,0.000644745,0
1.23807E-5,0.750005358,0.03175099,0.26155902,0.000644745,0
1.37186E-5,0.801225964,0.035121201,0.258084633,0.000644745,0
1.71993E-5,0.90014393,0.043834391,0.252383073,0.001289491,0.005780347
2.13407E-5,1.001528188,0.054098986,0.247750557,0.001934236,0.005780347
2.45781E-5,1.101490815,0.062046087,0.243830735,0.003223727,0.005780347
2.89701E-5,1.200784229,0.072720914,0.240534521,0.003223727,0.011560694
