variable,x,y
wc2.0_bio_2.5m_16,-212.0,8.163274287653621E-6
wc2.0_bio_2.5m_16,-206.912,8.163274287653621E-6
wc2.0_bio_2.5m_16,-201.824,8.163274287653621E-6
wc2.0_bio_2.5m_16,-196.736,8.163274287653621E-6
wc2.0_bio_2.5m_16,-191.648,8.163274287653621E-6
wc2.0_bio_2.5m_16,-186.56,8.163274287653621E-6
wc2.0_bio_2.5m_16,-181.472,8.163274287653621E-6
wc2.0_bio_2.5m_16,-176.38400000000001,8.163274287653621E-6
wc2.0_bio_2.5m_16,-171.296,8.163274287653621E-6
wc2.0_bio_2.5m_16,-166.208,8.163274287653621E-6
wc2.0_bio_2.5m_16,-161.12,8.163274287653621E-6
wc2.0_bio_2.5m_16,-156.03199999999998,8.163274287653621E-6
wc2.0_bio_2.5m_16,-150.94400000000002,8.163274287653621E-6
wc2.0_bio_2.5m_16,-145.856,8.163274287653621E-6
wc2.0_bio_2.5m_16,-140.768,8.163274287653621E-6
wc2.0_bio_2.5m_16,-135.68,8.163274287653621E-6
wc2.0_bio_2.5m_16,-130.59199999999998,8.163274287653621E-6
wc2.0_bio_2.5m_16,-125.504,8.163274287653621E-6
wc2.0_bio_2.5m_16,-120.416,8.163274287653621E-6
wc2.0_bio_2.5m_16,-115.328,8.163274287653621E-6
wc2.0_bio_2.5m_16,-110.24,8.163274287653621E-6
wc2.0_bio_2.5m_16,-105.152,8.163274287653621E-6
wc2.0_bio_2.5m_16,-100.064,8.163274287653621E-6
wc2.0_bio_2.5m_16,-94.976,8.163274287653621E-6
wc2.0_bio_2.5m_16,-89.888,8.163274287653621E-6
wc2.0_bio_2.5m_16,-84.8,8.163274287653621E-6
wc2.0_bio_2.5m_16,-79.71199999999999,8.163274287653621E-6
wc2.0_bio_2.5m_16,-74.624,8.163274287653621E-6
wc2.0_bio_2.5m_16,-69.536,8.163274287653621E-6
wc2.0_bio_2.5m_16,-64.44800000000001,8.163274287653621E-6
wc2.0_bio_2.5m_16,-59.360000000000014,8.163274287653621E-6
wc2.0_bio_2.5m_16,-54.27199999999999,8.163274287653621E-6
wc2.0_bio_2.5m_16,-49.184,8.163274287653621E-6
wc2.0_bio_2.5m_16,-44.096000000000004,8.163274287653621E-6
wc2.0_bio_2.5m_16,-39.00800000000001,8.163274287653621E-6
wc2.0_bio_2.5m_16,-33.91999999999999,8.163274287653621E-6
wc2.0_bio_2.5m_16,-28.831999999999994,8.163274287653621E-6
wc2.0_bio_2.5m_16,-23.744,8.163274287653621E-6
wc2.0_bio_2.5m_16,-18.656000000000006,8.163274287653621E-6
wc2.0_bio_2.5m_16,-13.568000000000012,8.163274287653621E-6
wc2.0_bio_2.5m_16,-8.47999999999999,8.163274287653621E-6
wc2.0_bio_2.5m_16,-3.391999999999996,8.163274287653621E-6
wc2.0_bio_2.5m_16,1.695999999999998,8.771513421379495E-6
wc2.0_bio_2.5m_16,6.783999999999992,1.0879354704229627E-5
wc2.0_bio_2.5m_16,11.872000000000014,1.3488976037479006E-5
wc2.0_bio_2.5m_16,16.960000000000008,1.671868267294485E-5
wc2.0_bio_2.5m_16,22.048000000000002,2.0714400307042524E-5
wc2.0_bio_2.5m_16,27.135999999999996,2.5656050638644956E-5
wc2.0_bio_2.5m_16,32.22399999999999,3.176540121785365E-5
wc2.0_bio_2.5m_16,37.31200000000001,3.9315695175901055E-5
wc2.0_bio_2.5m_16,42.400000000000006,4.864347283728421E-5
wc2.0_bio_2.5m_16,47.488,6.0163070884300396E-5
wc2.0_bio_2.5m_16,52.57600000000002,7.438446482410654E-5
wc2.0_bio_2.5m_16,57.66399999999999,9.193505684379488E-5
wc2.0_bio_2.5m_16,62.75200000000001,1.1358643678249791E-4
wc2.0_bio_2.5m_16,67.83999999999997,1.4028720033820719E-4
wc2.0_bio_2.5m_16,72.928,1.7320313781965524E-4
wc2.0_bio_2.5m_16,78.01600000000002,2.1376620861701667E-4
wc2.0_bio_2.5m_16,83.10399999999998,2.637349534779787E-4
wc2.0_bio_2.5m_16,88.19200000000001,3.252679598517716E-4
wc2.0_bio_2.5m_16,93.27999999999997,4.0101350168697536E-4
wc2.0_bio_2.5m_16,98.368,4.942200030200183E-4
wc2.0_bio_2.5m_16,103.45600000000002,6.088698282837868E-4
wc2.0_bio_2.5m_16,108.54399999999998,7.49842613004148E-4
wc2.0_bio_2.5m_16,113.632,9.231159347109497E-4
wc2.0_bio_2.5m_16,118.72000000000003,0.001136006903834641
wc2.0_bio_2.5m_16,123.80799999999999,0.001397470012307167
wc2.0_bio_2.5m_16,128.89600000000002,0.001718456158414483
wc2.0_bio_2.5m_16,133.98399999999998,0.002112349960952997
wc2.0_bio_2.5m_16,139.072,0.0025955026503652334
wc2.0_bio_2.5m_16,144.16000000000003,0.003187868045642972
wc2.0_bio_2.5m_16,149.248,0.003913789056241512
wc2.0_bio_2.5m_16,154.336,0.004802929237484932
wc2.0_bio_2.5m_16,159.42399999999998,0.005891402717679739
wc2.0_bio_2.5m_16,164.512,0.007223126012831926
wc2.0_bio_2.5m_16,169.60000000000002,0.008851444348692894
