variable,x,y
wc2.0_bio_2.5m_5,-12.46079978942871,3.042342432308942E-4
wc2.0_bio_2.5m_5,-12.334252587890624,3.042342432308942E-4
wc2.0_bio_2.5m_5,-12.207705386352538,3.042342432308942E-4
wc2.0_bio_2.5m_5,-12.081158184814454,3.042342432308942E-4
wc2.0_bio_2.5m_5,-11.954610983276368,3.042342432308942E-4
wc2.0_bio_2.5m_5,-11.828063781738281,3.042342432308942E-4
wc2.0_bio_2.5m_5,-11.701516580200195,3.042342432308942E-4
wc2.0_bio_2.5m_5,-11.574969378662109,3.042342432308942E-4
wc2.0_bio_2.5m_5,-11.448422177124023,3.042342432308942E-4
wc2.0_bio_2.5m_5,-11.321874975585938,3.042342432308942E-4
wc2.0_bio_2.5m_5,-11.195327774047852,3.042342432308942E-4
wc2.0_bio_2.5m_5,-11.068780572509766,3.042342432308942E-4
wc2.0_bio_2.5m_5,-10.94223337097168,3.042342432308942E-4
wc2.0_bio_2.5m_5,-10.815686169433594,3.042342432308942E-4
wc2.0_bio_2.5m_5,-10.68913896789551,3.042342432308942E-4
wc2.0_bio_2.5m_5,-10.562591766357423,3.042342432308942E-4
wc2.0_bio_2.5m_5,-10.436044564819337,3.042342432308942E-4
wc2.0_bio_2.5m_5,-10.30949736328125,3.042342432308942E-4
wc2.0_bio_2.5m_5,-10.182950161743165,3.042342432308942E-4
wc2.0_bio_2.5m_5,-10.05640296020508,3.042342432308942E-4
wc2.0_bio_2.5m_5,-9.929855758666994,3.042342432308942E-4
wc2.0_bio_2.5m_5,-9.803308557128908,3.042342432308942E-4
wc2.0_bio_2.5m_5,-9.676761355590822,3.042342432308942E-4
wc2.0_bio_2.5m_5,-9.550214154052735,3.042342432308942E-4
wc2.0_bio_2.5m_5,-9.423666952514651,3.042342432308942E-4
wc2.0_bio_2.5m_5,-9.297119750976565,3.042342432308942E-4
wc2.0_bio_2.5m_5,-9.170572549438479,3.042342432308942E-4
wc2.0_bio_2.5m_5,-9.044025347900392,3.042342432308942E-4
wc2.0_bio_2.5m_5,-8.917478146362306,3.042342432308942E-4
wc2.0_bio_2.5m_5,-8.790930944824222,3.042342432308942E-4
wc2.0_bio_2.5m_5,-8.664383743286136,3.042342432308942E-4
wc2.0_bio_2.5m_5,-8.53783654174805,3.042342432308942E-4
wc2.0_bio_2.5m_5,-8.411289340209963,3.042342432308942E-4
wc2.0_bio_2.5m_5,-8.284742138671877,3.042342432308942E-4
wc2.0_bio_2.5m_5,-8.158194937133793,3.042342432308942E-4
wc2.0_bio_2.5m_5,-8.031647735595707,3.042342432308942E-4
wc2.0_bio_2.5m_5,-7.90510053405762,3.042342432308942E-4
