variable,x,y
wc2.0_bio_2.5m_1,-29.45305137634275,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-29.325654171752905,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-29.19825696716306,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-29.070859762573217,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-28.943462557983374,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-28.816065353393533,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-28.68866814880369,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-28.561270944213845,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-28.433873739624,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-28.306476535034157,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-28.179079330444313,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-28.05168212585447,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-27.924284921264626,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-27.79688771667478,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-27.669490512084938,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-27.542093307495094,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-27.414696102905253,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-27.28729889831541,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-27.159901693725566,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-27.03250448913572,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-26.905107284545878,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-26.777710079956034,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-26.65031287536619,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-26.522915670776346,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-26.395518466186502,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-26.268121261596658,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-26.140724057006814,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-26.013326852416974,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-25.88592964782713,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-25.758532443237286,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-25.631135238647442,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-25.503738034057598,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-25.376340829467754,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-25.24894362487791,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-25.121546420288066,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-24.994149215698222,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-24.86675201110838,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-24.739354806518534,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-24.611957601928694,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-24.48456039733885,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-24.357163192749006,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-24.229765988159162,2.0984634466003627E-4
wc2.0_bio_2.5m_1,-24.102368783569318,2.1215541346464306E-4
wc2.0_bio_2.5m_1,-23.974971578979474,2.1923625899944454E-4
wc2.0_bio_2.5m_1,-23.84757437438963,2.2655339853372425E-4
wc2.0_bio_2.5m_1,-23.72017716979979,2.3411473375745118E-4
wc2.0_bio_2.5m_1,-23.592779965209942,2.4192839919123799E-4
wc2.0_bio_2.5m_1,-23.465382760620102,2.5000268942676485E-4
wc2.0_bio_2.5m_1,-23.337985556030254,2.583465538918972E-4
wc2.0_bio_2.5m_1,-23.210588351440414,2.669688838068396E-4
wc2.0_bio_2.5m_1,-23.08319114685057,2.758789050858468E-4
wc2.0_bio_2.5m_1,-22.955793942260726,2.850862802006304E-4
wc2.0_bio_2.5m_1,-22.828396737670882,2.9460087534971535E-4
wc2.0_bio_2.5m_1,-22.70099953308104,3.0443284776993096E-4
wc2.0_bio_2.5m_1,-22.573602328491194,3.1459302408620715E-4
wc2.0_bio_2.5m_1,-22.44620512390135,3.250922600273043E-4
wc2.0_bio_2.5m_1,-22.318807919311507,3.3594181877560914E-4
wc2.0_bio_2.5m_1,-22.191410714721663,3.471534000709653E-4
wc2.0_bio_2.5m_1,-22.064013510131822,3.5873893648386E-4
wc2.0_bio_2.5m_1,-21.936616305541975,3.707112045958638E-4
wc2.0_bio_2.5m_1,-21.809219100952134,3.8308295188471675E-4
wc2.0_bio_2.5m_1,-21.68182189636229,3.95867507904768E-4
wc2.0_bio_2.5m_1,-21.554424691772446,4.090786387678236E-4
wc2.0_bio_2.5m_1,-21.427027487182603,4.227305471431464E-4
wc2.0_bio_2.5m_1,-21.29963028259276,4.3683775584213436E-4
wc2.0_bio_2.5m_1,-21.172233078002915,4.5141586451791227E-4
wc2.0_bio_2.5m_1,-21.04483587341307,4.6648032730445266E-4
wc2.0_bio_2.5m_1,-20.917438668823227,4.8204741324298084E-4
wc2.0_bio_2.5m_1,-20.790041464233383,4.981338861398399E-4
wc2.0_bio_2.5m_1,-20.662644259643542,5.147570045664907E-4
