variable,x,y
wc2.0_bio_2.5m_6,-46.54359855651851,5.446366685646353E-6
wc2.0_bio_2.5m_6,-46.39077615966792,5.446366685646353E-6
wc2.0_bio_2.5m_6,-46.23795376281734,5.446366685646353E-6
wc2.0_bio_2.5m_6,-46.08513136596675,5.446366685646353E-6
wc2.0_bio_2.5m_6,-45.932308969116164,5.446366685646353E-6
wc2.0_bio_2.5m_6,-45.77948657226558,5.446366685646353E-6
wc2.0_bio_2.5m_6,-45.626664175414994,5.446366685646353E-6
wc2.0_bio_2.5m_6,-45.47384177856441,5.446366685646353E-6
wc2.0_bio_2.5m_6,-45.321019381713825,5.446366685646353E-6
wc2.0_bio_2.5m_6,-45.168196984863236,5.446366685646353E-6
wc2.0_bio_2.5m_6,-45.015374588012655,5.446366685646353E-6
wc2.0_bio_2.5m_6,-44.86255219116207,5.446366685646353E-6
wc2.0_bio_2.5m_6,-44.70972979431148,5.446366685646353E-6
wc2.0_bio_2.5m_6,-44.5569073974609,5.446366685646353E-6
wc2.0_bio_2.5m_6,-44.40408500061031,5.446366685646353E-6
wc2.0_bio_2.5m_6,-44.25126260375972,5.446366685646353E-6
wc2.0_bio_2.5m_6,-44.09844020690914,5.446366685646353E-6
wc2.0_bio_2.5m_6,-43.94561781005855,5.446366685646353E-6
wc2.0_bio_2.5m_6,-43.79279541320797,5.446366685646353E-6
wc2.0_bio_2.5m_6,-43.63997301635738,5.446366685646353E-6
wc2.0_bio_2.5m_6,-43.48715061950679,5.446366685646353E-6
wc2.0_bio_2.5m_6,-43.33432822265621,5.446366685646353E-6
wc2.0_bio_2.5m_6,-43.18150582580562,5.446366685646353E-6
wc2.0_bio_2.5m_6,-43.028683428955034,5.446366685646353E-6
wc2.0_bio_2.5m_6,-42.87586103210445,5.446366685646353E-6
wc2.0_bio_2.5m_6,-42.723038635253864,5.446366685646353E-6
wc2.0_bio_2.5m_6,-42.570216238403276,5.446366685646353E-6
wc2.0_bio_2.5m_6,-42.417393841552695,5.446366685646353E-6
wc2.0_bio_2.5m_6,-42.264571444702106,5.446366685646353E-6
wc2.0_bio_2.5m_6,-42.11174904785152,5.446366685646353E-6
wc2.0_bio_2.5m_6,-41.95892665100094,5.446366685646353E-6
wc2.0_bio_2.5m_6,-41.80610425415035,5.446366685646353E-6
wc2.0_bio_2.5m_6,-41.65328185729976,5.446366685646353E-6
wc2.0_bio_2.5m_6,-41.50045946044918,5.446366685646353E-6
wc2.0_bio_2.5m_6,-41.34763706359859,5.446366685646353E-6
wc2.0_bio_2.5m_6,-41.19481466674801,5.446366685646353E-6
wc2.0_bio_2.5m_6,-41.04199226989742,5.446366685646353E-6
wc2.0_bio_2.5m_6,-40.88916987304683,5.446366685646353E-6
wc2.0_bio_2.5m_6,-40.73634747619625,5.446366685646353E-6
wc2.0_bio_2.5m_6,-40.58352507934566,5.446366685646353E-6
wc2.0_bio_2.5m_6,-40.430702682495074,5.446366685646353E-6
wc2.0_bio_2.5m_6,-40.27788028564449,5.446366685646353E-6
