variable,x,y
wc2.0_bio_2.5m_1,-29.69740009307857,4.049263952765614E-4
wc2.0_bio_2.5m_1,-29.56946249389644,4.049263952765614E-4
wc2.0_bio_2.5m_1,-29.441524894714313,4.049263952765614E-4
wc2.0_bio_2.5m_1,-29.313587295532184,4.049263952765614E-4
wc2.0_bio_2.5m_1,-29.185649696350055,4.049263952765614E-4
wc2.0_bio_2.5m_1,-29.057712097167926,4.049263952765614E-4
wc2.0_bio_2.5m_1,-28.929774497985797,4.049263952765614E-4
wc2.0_bio_2.5m_1,-28.801836898803668,4.049263952765614E-4
wc2.0_bio_2.5m_1,-28.67389929962154,4.049263952765614E-4
wc2.0_bio_2.5m_1,-28.54596170043941,4.049263952765614E-4
wc2.0_bio_2.5m_1,-28.41802410125728,4.049263952765614E-4
wc2.0_bio_2.5m_1,-28.29008650207515,4.049263952765614E-4
wc2.0_bio_2.5m_1,-28.162148902893023,4.049263952765614E-4
wc2.0_bio_2.5m_1,-28.034211303710894,4.049263952765614E-4
wc2.0_bio_2.5m_1,-27.906273704528765,4.049263952765614E-4
wc2.0_bio_2.5m_1,-27.77833610534664,4.049263952765614E-4
wc2.0_bio_2.5m_1,-27.650398506164507,4.049263952765614E-4
wc2.0_bio_2.5m_1,-27.52246090698238,4.049263952765614E-4
wc2.0_bio_2.5m_1,-27.39452330780025,4.049263952765614E-4
wc2.0_bio_2.5m_1,-27.266585708618123,4.049263952765614E-4
wc2.0_bio_2.5m_1,-27.138648109435994,4.049263952765614E-4
wc2.0_bio_2.5m_1,-27.010710510253865,4.049263952765614E-4
wc2.0_bio_2.5m_1,-26.882772911071736,4.049263952765614E-4
wc2.0_bio_2.5m_1,-26.754835311889607,4.049263952765614E-4
wc2.0_bio_2.5m_1,-26.62689771270748,4.049263952765614E-4
wc2.0_bio_2.5m_1,-26.49896011352535,4.049263952765614E-4
wc2.0_bio_2.5m_1,-26.37102251434322,4.049263952765614E-4
wc2.0_bio_2.5m_1,-26.24308491516109,4.049263952765614E-4
wc2.0_bio_2.5m_1,-26.115147315978962,4.049263952765614E-4
wc2.0_bio_2.5m_1,-25.987209716796833,4.049263952765614E-4
wc2.0_bio_2.5m_1,-25.859272117614704,4.049263952765614E-4
wc2.0_bio_2.5m_1,-25.731334518432575,4.049263952765614E-4
