x,y,species_3 cloglog values
1.0,1.0,0.27120364
2.0,2.0,0.20862855
3.0,3.0,0.002347719
4.0,4.0,0.18591851
5.0,5.0,0.16506818
6.0,6.0,0.19365048
7.0,7.0,0.3665176
8.0,8.0,0.38185734
9.0,9.0,0.29586267
10.0,10.0,6.1865273E-4
11.0,11.0,0.15460147
12.0,12.0,0.34672108
13.0,13.0,0.17511527
14.0,14.0,0.3044705
15.0,15.0,2.8062923E-4
16.0,16.0,0.3148192
17.0,17.0,0.16050586
18.0,18.0,0.31219935
19.0,19.0,0.51403195
20.0,20.0,0.3501742
21.0,21.0,0.012061182
22.0,22.0,0.0029755495
23.0,23.0,1.3912917E-4
24.0,24.0,0.001488052
25.0,25.0,9.456626E-6
26.0,26.0,0.38722855
27.0,27.0,0.040404387
28.0,28.0,0.8222584
29.0,29.0,0.006860635
30.0,30.0,0.16122901
31.0,31.0,0.29373872
32.0,32.0,0.0037268517
33.0,33.0,0.28516018
34.0,34.0,0.06003282
35.0,35.0,0.052266635
36.0,36.0,0.0031351629
37.0,37.0,4.676898E-4
38.0,38.0,0.24801646
39.0,39.0,0.25568527
40.0,40.0,0.38717446
41.0,41.0,0.0024182138
42.0,42.0,0.2504461
43.0,43.0,2.2300486E-5
44.0,44.0,0.18993601
45.0,45.0,0.4902633
46.0,46.0,1.1774208E-4
47.0,47.0,0.96870637
48.0,48.0,1.8178386E-4
49.0,49.0,0.14204788
50.0,50.0,0.3350103
51.0,51.0,0.17937785
52.0,52.0,0.00434582
53.0,53.0,0.014262453
54.0,54.0,0.22098719
55.0,55.0,1.8901408E-6
56.0,56.0,0.27661312
57.0,57.0,0.016347181
58.0,58.0,0.21954744
59.0,59.0,0.011013811
60.0,60.0,0.00453966
61.0,61.0,0.22760816
62.0,62.0,0.36360407
63.0,63.0,0.0062613687
64.0,64.0,0.48409435
65.0,65.0,0.14855818
66.0,66.0,0.013331287
67.0,67.0,1.7351453E-5
68.0,68.0,3.8217255E-5
69.0,69.0,0.24377164
70.0,70.0,0.51205933
71.0,71.0,0.5936484
72.0,72.0,0.0028991543
73.0,73.0,0.30222362
74.0,74.0,0.15598041
75.0,75.0,0.10147966
76.0,76.0,1.2575855E-4
77.0,77.0,0.5460902
