X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.1002538952538108E-4,22.78978351329203,0.39991760054630443
2.0,2.0,train,1.766865894180595E-5,2.0006400533595414,0.07873721392774813
3.0,3.0,train,7.471509188806206E-4,93.27303072505293,0.9688187409245176
5.0,5.0,train,1.7242225334065521E-4,33.24519009722411,0.5508087062296019
6.0,6.0,train,1.7493913582300664E-4,33.63761644643268,0.5560257318173705
7.0,7.0,train,1.4665557500182828E-4,29.2195293945826,0.4937421339790844
8.0,8.0,train,2.152393653270906E-4,39.17002009414022,0.6317687664797206
9.0,9.0,train,6.867514593778887E-4,91.14768375987292,0.9587288243688143
10.0,10.0,train,8.507944096141994E-4,95.25212266433194,0.9807261193991391
11.0,11.0,train,5.535170383390153E-4,85.4264745506987,0.9234014228895784
13.0,13.0,train,5.487201304126348E-4,85.09058886201903,0.9216768210245159
15.0,15.0,train,1.8101456293231986E-4,34.51103899281904,0.5683706602742535
16.0,16.0,train,1.1320413648857422E-4,23.365744278608524,0.4087064074432615
17.0,17.0,train,1.8325600598070754E-4,34.84739236508323,0.5728379535992885
19.0,19.0,train,1.7461768082467443E-4,33.586169808827215,0.5553628058793507
20.0,20.0,train,1.6485842722065746E-4,32.143488150933614,0.5347584584066177
22.0,22.0,train,5.35280314603971E-4,84.04447462971201,0.9166352833228922
23.0,23.0,train,3.4049124107312425E-4,63.00274145574916,0.7941087120139463
24.0,24.0,train,5.11399848561036E-4,82.3582766868912,0.9068633727198434
26.0,26.0,train,7.573151044327337E-4,93.55412481275135,0.970255635886536
27.0,27.0,train,5.448714808795219E-4,84.70366595034339,0.9202651077693315
28.0,28.0,train,7.549213718946442E-4,93.48835760619022,0.9699233145833944
29.0,29.0,train,3.876656849466177E-4,69.8707876016864,0.8345968576294337
30.0,30.0,train,4.239841829117111E-4,74.74026139483807,0.8602560706173363
31.0,31.0,train,2.2554356848471333E-5,3.430967019252495,0.09939378087621031
32.0,32.0,train,1.4676444555352652E-4,29.238901572651123,0.4939978956590533
34.0,34.0,train,2.784413576633926E-4,51.67513309943813,0.7253889008981103
35.0,35.0,train,3.9946073656226184E-4,71.23723030955874,0.8434088193747322
36.0,36.0,train,4.21311254280806E-4,74.28001234887411,0.8585115338095957
38.0,38.0,train,4.919399932548091E-4,80.62376842571445,0.8980592860140236
39.0,39.0,train,4.361675076175248E-4,75.9643315777432,0.8679392338508817
40.0,40.0,train,9.102788578452896E-4,95.94227559555038,0.9853761928594534
42.0,42.0,train,3.279952598529104E-4,61.00325763794047,0.7818137583241784
43.0,43.0,train,5.558304456286006E-4,85.52764285142788,0.9242195225266463
44.0,44.0,train,6.187531824701653E-4,88.18205912088678,0.9434128626851048
45.0,45.0,train,6.041333281038515E-4,87.53577595085335,0.9394396443144986
46.0,46.0,train,8.676259220320257E-4,95.49039639235171,0.982174561912245
