x,y,species stddev
1.0,1.0,0.0010204746
2.0,2.0,9.64124E-7
3.0,3.0,8.104201E-5
4.0,4.0,0.020015547
5.0,5.0,0.022778813
6.0,6.0,0.06486222
7.0,7.0,1.2360065E-5
8.0,8.0,0.003980734
9.0,9.0,0.05474872
10.0,10.0,0.07408128
11.0,11.0,0.016373305
12.0,12.0,1.164305E-5
13.0,13.0,3.8433678E-5
14.0,14.0,0.024169093
15.0,15.0,0.021304032
16.0,16.0,0.02680425
17.0,17.0,0.041483242
18.0,18.0,3.2386397E-5
19.0,19.0,0.038515404
20.0,20.0,0.010283631
21.0,21.0,0.025071278
22.0,22.0,0.036765255
23.0,23.0,0.014245497
24.0,24.0,0.061201613
25.0,25.0,0.002333677
26.0,26.0,0.0025207314
27.0,27.0,1.0906441E-5
28.0,28.0,0.1143995
29.0,29.0,0.045367457
30.0,30.0,0.05964113
31.0,31.0,0.019421378
32.0,32.0,0.027128046
33.0,33.0,0.015959658
34.0,34.0,2.819171E-4
35.0,35.0,0.046932053
36.0,36.0,5.7120726E-4
37.0,37.0,0.021365896
38.0,38.0,9.966822E-4
39.0,39.0,0.024327714
40.0,40.0,4.9551803E-5
41.0,41.0,0.0011181793
42.0,42.0,0.014441481
43.0,43.0,0.013003749
44.0,44.0,0.110947356
45.0,45.0,4.76861E-5
46.0,46.0,0.06454753
47.0,47.0,0.0030464402
48.0,48.0,0.017379025
49.0,49.0,0.14084636
50.0,50.0,0.0016223439
51.0,51.0,2.7155029E-5
52.0,52.0,0.022966765
53.0,53.0,0.028340248
54.0,54.0,0.018768266
55.0,55.0,0.1379496
56.0,56.0,0.0072223004
57.0,57.0,7.708668E-4
58.0,58.0,0.030765569
59.0,59.0,1.603732E-5
60.0,60.0,0.08179732
61.0,61.0,0.009304519
62.0,62.0,4.983486E-4
63.0,63.0,0.024046348
64.0,64.0,0.0568407
65.0,65.0,9.725755E-6
66.0,66.0,0.014515008
67.0,67.0,0.0011115636
68.0,68.0,0.009126557
69.0,69.0,0.06416568
70.0,70.0,0.0026727424
71.0,71.0,0.0068800114
72.0,72.0,0.05652822
73.0,73.0,0.017704261
74.0,74.0,0.021386141
75.0,75.0,2.8875571E-5
76.0,76.0,0.057609566
77.0,77.0,0.07738098
78.0,78.0,0.0316931
79.0,79.0,0.024944907
80.0,80.0,0.013872468
81.0,81.0,0.0029792255
82.0,82.0,0.03448364
83.0,83.0,0.06631953
84.0,84.0,0.0251455
85.0,85.0,1.259569E-4
86.0,86.0,4.6357063E-6
87.0,87.0,9.262521E-5
88.0,88.0,0.0637186
89.0,89.0,1.07793836E-4
90.0,90.0,0.02592336
91.0,91.0,0.043961626
92.0,92.0,5.586605E-6
93.0,93.0,0.03311407
94.0,94.0,0.012207745
95.0,95.0,0.15141149
96.0,96.0,1.3361093E-4
97.0,97.0,1.3163562E-4
98.0,98.0,1.0619889E-4
99.0,99.0,8.607436E-5
100.0,100.0,7.515507E-4
101.0,101.0,1.2281648E-5
102.0,102.0,0.027985636
103.0,103.0,0.044583455
104.0,104.0,0.0101859365
105.0,105.0,0.0151598565
106.0,106.0,5.0716426E-6
107.0,107.0,0.02073929
108.0,108.0,0.0013841651
109.0,109.0,0.053771723
110.0,110.0,1.1683238E-5
111.0,111.0,0.12619409
112.0,112.0,0.025120687
113.0,113.0,0.0010727005
114.0,114.0,0.0522028
115.0,115.0,0.06467355
116.0,116.0,0.084075905
117.0,117.0,0.022570193
118.0,118.0,0.024217242
119.0,119.0,5.4321004E-6
120.0,120.0,0.024815846
121.0,121.0,0.06546727
122.0,122.0,0.10545895
123.0,123.0,3.4852462E-6
124.0,124.0,0.005885751
125.0,125.0,0.042811736
126.0,126.0,0.0014227136
127.0,127.0,0.013106872
128.0,128.0,9.044975E-4
129.0,129.0,0.006178278
130.0,130.0,0.07239691
131.0,131.0,0.03658411
132.0,132.0,1.9737425E-4
133.0,133.0,7.430375E-4
134.0,134.0,0.02065433
135.0,135.0,2.4391606E-4
136.0,136.0,0.036760706
137.0,137.0,7.640901E-5
138.0,138.0,0.053401213
139.0,139.0,0.008136504
140.0,140.0,0.019677337
141.0,141.0,0.059782874
142.0,142.0,0.014573681
143.0,143.0,0.06948273
144.0,144.0,8.9852966E-7
145.0,145.0,1.1758582E-5
146.0,146.0,4.7235994E-4
147.0,147.0,3.2786513E-5
148.0,148.0,0.09221077
149.0,149.0,0.10226603
150.0,150.0,0.009649742
151.0,151.0,0.025141824
152.0,152.0,0.08138615
153.0,153.0,0.05830115
154.0,154.0,0.04336341
155.0,155.0,0.05820094
156.0,156.0,1.255342E-5
157.0,157.0,3.166764E-5
158.0,158.0,0.020923235
159.0,159.0,7.334325E-4
160.0,160.0,0.042629033
161.0,161.0,0.22096941
162.0,162.0,0.07405996
163.0,163.0,0.061309583
164.0,164.0,8.0587057E-7
165.0,165.0,5.081114E-4
166.0,166.0,1.7028062E-5
167.0,167.0,0.001650194
168.0,168.0,0.030071508
169.0,169.0,0.030178575
170.0,170.0,1.4858051E-5
171.0,171.0,7.9394566E-5
172.0,172.0,0.030902073
173.0,173.0,0.03104791
174.0,174.0,0.06935884
175.0,175.0,0.04066991
176.0,176.0,0.010391882
177.0,177.0,1.0496852E-5
178.0,178.0,0.057332344
179.0,179.0,0.023960272
180.0,180.0,0.0050538774
181.0,181.0,0.00722819
182.0,182.0,4.1353752E-4
183.0,183.0,0.029015874
184.0,184.0,7.110615E-5
