variable,x,y
wc2.0_bio_2.5m_5,-12.236799812316898,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-12.116204614257816,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.995609416198734,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.875014218139652,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.754419020080569,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.633823822021487,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.513228623962405,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.392633425903323,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.272038227844241,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.15144302978516,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-11.030847831726078,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-10.910252633666996,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-10.789657435607912,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-10.66906223754883,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-10.548467039489749,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-10.427871841430667,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-10.307276643371585,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-10.186681445312503,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-10.06608624725342,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-9.94549104919434,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-9.824895851135256,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-9.704300653076174,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-9.583705455017093,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-9.46311025695801,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-9.342515058898929,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-9.221919860839847,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-9.101324662780765,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.980729464721684,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.8601342666626,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.739539068603518,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.618943870544436,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.498348672485355,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.377753474426273,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.257158276367191,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.136563078308107,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-8.015967880249026,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-7.895372682189944,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-7.774777484130863,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-7.654182286071781,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-7.533587088012698,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-7.4129918899536165,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-7.292396691894534,2.5345731410197914E-4
wc2.0_bio_2.5m_5,-7.171801493835452,2.56610888754949E-4
wc2.0_bio_2.5m_5,-7.05120629577637,2.6631104992702603E-4
wc2.0_bio_2.5m_5,-6.930611097717288,2.7638100436888635E-4
wc2.0_bio_2.5m_5,-6.8100158996582065,2.868350420612842E-4
wc2.0_bio_2.5m_5,-6.689420701599124,2.976878604386002E-4
wc2.0_bio_2.5m_5,-6.568825503540042,3.0895479721948504E-4
wc2.0_bio_2.5m_5,-6.448230305480959,3.2065185951069E-4
wc2.0_bio_2.5m_5,-6.3276351074218775,3.327955200802535E-4
wc2.0_bio_2.5m_5,-6.207039909362797,3.4540306660346687E-4
wc2.0_bio_2.5m_5,-6.086444711303714,3.584922233130783E-4
wc2.0_bio_2.5m_5,-5.965849513244632,3.7208167486824095E-4
wc2.0_bio_2.5m_5,-5.845254315185549,3.861905715893954E-4
wc2.0_bio_2.5m_5,-5.724659117126468,4.008390533272177E-4
wc2.0_bio_2.5m_5,-5.604063919067386,4.1604781290516257E-4
wc2.0_bio_2.5m_5,-5.483468721008303,4.3183856178075075E-4
wc2.0_bio_2.5m_5,-5.362873522949222,4.48233651695773E-4
wc2.0_bio_2.5m_5,-5.2422783248901395,4.6525648212991655E-4
wc2.0_bio_2.5m_5,-5.121683126831058,4.8293115105479956E-4
wc2.0_bio_2.5m_5,-5.001087928771976,5.012829205952585E-4
wc2.0_bio_2.5m_5,-4.880492730712893,5.203379550948739E-4
wc2.0_bio_2.5m_5,-4.759897532653811,5.401233211159706E-4
wc2.0_bio_2.5m_5,-4.639302334594729,5.606673657894135E-4
wc2.0_bio_2.5m_5,-4.518707136535648,5.819992511533201E-4
wc2.0_bio_2.5m_5,-4.398111938476566,6.041496526449919E-4
wc2.0_bio_2.5m_5,-4.277516740417483,6.271498859860003E-4
wc2.0_bio_2.5m_5,-4.156921542358402,6.51033129543066E-4
wc2.0_bio_2.5m_5,-4.036326344299319,6.758333765901625E-4
wc2.0_bio_2.5m_5,-3.915731146240237,7.01586133800447E-4
wc2.0_bio_2.5m_5,-3.795135948181155,7.283282466232777E-4
wc2.0_bio_2.5m_5,-3.6745407501220733,7.560981321148574E-4
wc2.0_bio_2.5m_5,-3.5539455520629897,7.849354296922684E-4
wc2.0_bio_2.5m_5,-3.433350354003908,8.148816414177418E-4
wc2.0_bio_2.5m_5,-3.312755155944828,8.45979549922049E-4
wc2.0_bio_2.5m_5,-3.192159957885746,8.782739168964326E-4
wc2.0_bio_2.5m_5,-3.071564759826664,9.118111338466406E-4
wc2.0_bio_2.5m_5,-2.9509695617675806,9.466392803005874E-4
wc2.0_bio_2.5m_5,-2.830374363708499,9.828084148466587E-4
wc2.0_bio_2.5m_5,-2.709779165649417,0.001020370633341372
wc2.0_bio_2.5m_5,-2.589183967590335,0.001059380010701716
wc2.0_bio_2.5m_5,-2.4685887695312534,0.0010998925426974893
wc2.0_bio_2.5m_5,-2.34799357147217,0.001141966786235571
wc2.0_bio_2.5m_5,-2.227398373413088,0.0011856632772833109
wc2.0_bio_2.5m_5,-2.106803175354006,0.0012310448801144958
wc2.0_bio_2.5m_5,-1.9862079772949244,0.0012781772529706359
wc2.0_bio_2.5m_5,-1.8656127792358426,0.0013271282659843564
wc2.0_bio_2.5m_5,-1.7450175811767608,0.001377968699671328
wc2.0_bio_2.5m_5,-1.624422383117679,0.0014307718956843019
wc2.0_bio_2.5m_5,-1.5038271850585971,0.0014856141060590744
wc2.0_bio_2.5m_5,-1.3832319869995153,0.0015425747260451317
wc2.0_bio_2.5m_5,-1.2626367889404335,0.0016017361776903272
wc2.0_bio_2.5m_5,-1.14204159088135,0.00166318379342556
wc2.0_bio_2.5m_5,-1.0214463928222681,0.0017270068638026714
wc2.0_bio_2.5m_5,-0.9008511947631863,0.0017932974733412266
wc2.0_bio_2.5m_5,-0.7802559967041045,0.0018621518975123763
wc2.0_bio_2.5m_5,-0.6596607986450209,0.0019336696714162827
wc2.0_bio_2.5m_5,-0.5390656005859391,0.002007954753935337
wc2.0_bio_2.5m_5,-0.4184704025268573,0.0020851148292422295
wc2.0_bio_2.5m_5,-0.2978752044677755,0.0021652616560459137
wc2.0_bio_2.5m_5,-0.17728000640869546,0.0022485116496682167
wc2.0_bio_2.5m_5,-0.05668480834961187,0.0023349858820438385
wc2.0_bio_2.5m_5,0.06391038970946994,0.002424809616059065
wc2.0_bio_2.5m_5,0.18450558776855175,0.0025181134697049856
wc2.0_bio_2.5m_5,0.30510078582763356,0.002615033183246851
wc2.0_bio_2.5m_5,0.42569598388671537,0.0027157096192240715
wc2.0_bio_2.5m_5,0.546291181945799,0.002820288995280862
wc2.0_bio_2.5m_5,0.6668863800048808,0.0029289235826581717
wc2.0_bio_2.5m_5,0.7874815780639626,0.0030417717061936855
wc2.0_bio_2.5m_5,0.9080767761230444,0.003158997045829892
wc2.0_bio_2.5m_5,1.0286719741821262,0.003280770732089877
wc2.0_bio_2.5m_5,1.1492671722412098,0.003407269949093461
wc2.0_bio_2.5m_5,1.2698623703002916,0.0035386790987104177
wc2.0_bio_2.5m_5,1.3904575683593734,0.0036751891020685434
wc2.0_bio_2.5m_5,1.5110527664184534,0.0038169994950294495
wc2.0_bio_2.5m_5,1.6316479644775352,0.003964316565543413
wc2.0_bio_2.5m_5,1.7522431625366188,0.004117355216294527
wc2.0_bio_2.5m_5,1.8728383605957006,0.0042763384990394115
wc2.0_bio_2.5m_5,1.9934335586547824,0.004441498313099146
wc2.0_bio_2.5m_5,2.1140287567138643,0.004613074939697981
wc2.0_bio_2.5m_5,2.234623954772946,0.004791319370269775
wc2.0_bio_2.5m_5,2.3552191528320296,0.004976491443812847
wc2.0_bio_2.5m_5,2.4758143508911115,0.005168860778212547
wc2.0_bio_2.5m_5,2.5964095489501933,0.00536870863288641
wc2.0_bio_2.5m_5,2.717004747009275,0.0055763255804777145
wc2.0_bio_2.5m_5,2.837599945068357,0.005792015232145786
wc2.0_bio_2.5m_5,2.9581951431274405,0.00601609144359827
wc2.0_bio_2.5m_5,3.0787903411865205,0.006248881574720144
wc2.0_bio_2.5m_5,3.1993855392456023,0.006490725092589855
wc2.0_bio_2.5m_5,3.319980737304684,0.006741974037140608
wc2.0_bio_2.5m_5,3.440575935363766,0.007002995349466801
