x,y,species stddev
1.0,1.0,2.608772E-7
2.0,2.0,2.696598E-6
3.0,3.0,0.0033456448
4.0,4.0,0.008586517
5.0,5.0,0.045128435
6.0,6.0,1.5991898E-6
7.0,7.0,0.040395703
8.0,8.0,0.051833235
9.0,9.0,1.5618548E-7
10.0,10.0,0.004610588
11.0,11.0,3.8740918E-8
12.0,12.0,0.025260074
13.0,13.0,0.0040629776
14.0,14.0,0.014568254
15.0,15.0,2.4138178E-6
16.0,16.0,0.002162796
17.0,17.0,0.043318868
18.0,18.0,0.048744656
19.0,19.0,1.1109318E-5
20.0,20.0,1.1609062E-6
21.0,21.0,0.02417171
22.0,22.0,5.2346397E-5
23.0,23.0,5.039021E-4
24.0,24.0,2.575281E-7
25.0,25.0,0.0013035156
26.0,26.0,2.235157E-4
27.0,27.0,0.0115872715
28.0,28.0,0.0046487115
29.0,29.0,0.0063742753
30.0,30.0,2.7543108E-5
31.0,31.0,8.38875E-8
32.0,32.0,0.0273268
33.0,33.0,0.034717686
34.0,34.0,0.12038419
35.0,35.0,0.011976998
36.0,36.0,6.3578715E-5
37.0,37.0,0.0040786252
38.0,38.0,1.7330644E-4
39.0,39.0,0.00550979
40.0,40.0,1.3439941E-6
41.0,41.0,0.0017217025
42.0,42.0,0.018372834
43.0,43.0,6.93546E-5
44.0,44.0,0.07910842
45.0,45.0,8.936232E-8
46.0,46.0,0.0060862647
47.0,47.0,0.01664079
48.0,48.0,1.0528486E-5
49.0,49.0,0.007531454
50.0,50.0,0.021371488
51.0,51.0,2.151205E-5
52.0,52.0,3.964625E-7
53.0,53.0,0.009721994
54.0,54.0,0.045660436
55.0,55.0,0.11376567
56.0,56.0,5.118707E-8
57.0,57.0,9.244792E-4
58.0,58.0,2.847816E-8
59.0,59.0,9.284984E-4
60.0,60.0,0.0029764157
61.0,61.0,0.001864884
62.0,62.0,0.029846102
63.0,63.0,0.031375103
64.0,64.0,0.0058218087
65.0,65.0,0.055929266
66.0,66.0,0.0060915817
67.0,67.0,0.020676859
68.0,68.0,3.3403252E-5
69.0,69.0,1.1742418E-6
70.0,70.0,0.041042067
71.0,71.0,0.022844382
72.0,72.0,0.015848089
73.0,73.0,0.014355205
74.0,74.0,2.0851486E-7
75.0,75.0,1.1214222E-7
76.0,76.0,0.04803443
77.0,77.0,5.8234725E-8
78.0,78.0,3.5334132E-8
79.0,79.0,8.841807E-5
80.0,80.0,1.4587058E-6
81.0,81.0,0.03360635
82.0,82.0,6.87655E-8
83.0,83.0,1.2805576E-4
84.0,84.0,0.006720113
85.0,85.0,0.00862284
86.0,86.0,1.769426E-6
87.0,87.0,9.67839E-7
88.0,88.0,1.724996E-7
89.0,89.0,1.1217908E-5
90.0,90.0,0.0022823918
91.0,91.0,1.527882E-6
92.0,92.0,2.033232E-4
93.0,93.0,0.015802821
94.0,94.0,2.1475586E-4
95.0,95.0,5.2374135E-6
96.0,96.0,1.4009442E-4
97.0,97.0,0.003646031
98.0,98.0,0.010368582
99.0,99.0,0.0123366285
100.0,100.0,1.9034518E-7
101.0,101.0,0.002952328
102.0,102.0,1.2133033E-4
103.0,103.0,1.4693708E-7
104.0,104.0,1.4832267E-7
105.0,105.0,0.049117625
106.0,106.0,0.0010988445
107.0,107.0,0.0057393424
108.0,108.0,0.0027137063
109.0,109.0,0.02063531
110.0,110.0,3.849566E-4
111.0,111.0,1.9928406E-4
112.0,112.0,0.07725242
113.0,113.0,4.1119915E-7
114.0,114.0,8.823685E-6
115.0,115.0,5.3769245E-4
116.0,116.0,2.0301119E-5
117.0,117.0,4.7989704E-7
118.0,118.0,0.003846367
119.0,119.0,0.015135637
120.0,120.0,0.040939152
121.0,121.0,0.019562386
122.0,122.0,0.014022561
123.0,123.0,0.050997317
124.0,124.0,1.0016105E-8
125.0,125.0,4.448845E-6
126.0,126.0,4.0585292E-7
127.0,127.0,5.0414616E-5
128.0,128.0,0.0058763064
129.0,129.0,0.0096988045
130.0,130.0,0.0054997504
131.0,131.0,0.036899723
132.0,132.0,1.3272295E-4
133.0,133.0,4.188422E-7
134.0,134.0,6.040009E-4
135.0,135.0,0.0065058023
136.0,136.0,1.1988669E-7
137.0,137.0,0.0029261112
138.0,138.0,1.6144735E-5
139.0,139.0,0.0033609923
140.0,140.0,0.024282921
141.0,141.0,0.030737124
142.0,142.0,1.4121316E-6
