x,y,species avg
1.0,1.0,0.1669234
2.0,2.0,0.011983866
3.0,3.0,4.00937E-4
4.0,4.0,0.17476477
5.0,5.0,9.233457E-5
6.0,6.0,1.9940357E-4
7.0,7.0,0.37317514
8.0,8.0,0.25202763
9.0,9.0,4.9470534E-4
10.0,10.0,0.17079814
11.0,11.0,3.0553913E-8
12.0,12.0,0.0024370307
13.0,13.0,0.4491718
14.0,14.0,0.056397103
15.0,15.0,3.6614823E-5
16.0,16.0,0.019837469
17.0,17.0,0.009997687
18.0,18.0,0.01330012
19.0,19.0,0.0048677907
20.0,20.0,3.039968E-5
21.0,21.0,0.23831166
22.0,22.0,0.36148307
23.0,23.0,0.13346982
24.0,24.0,0.0039921096
25.0,25.0,0.00825826
26.0,26.0,0.56252295
27.0,27.0,0.2028801
28.0,28.0,0.345378
29.0,29.0,7.925084E-6
30.0,30.0,2.5417874E-9
31.0,31.0,0.93806565
32.0,32.0,0.4250924
33.0,33.0,1.7581469E-8
34.0,34.0,0.09970179
35.0,35.0,0.015795253
36.0,36.0,3.8368027E-5
37.0,37.0,0.106416695
38.0,38.0,0.0013883486
39.0,39.0,0.18815857
40.0,40.0,0.10296935
41.0,41.0,6.9433544E-4
42.0,42.0,0.037671197
43.0,43.0,0.0013070437
44.0,44.0,1.4985137E-7
45.0,45.0,0.121068045
46.0,46.0,0.068898246
47.0,47.0,0.0096549615
48.0,48.0,0.020723265
49.0,49.0,0.10689266
50.0,50.0,0.4689961
51.0,51.0,5.866287E-5
52.0,52.0,0.1517814
53.0,53.0,1.3885251E-4
54.0,54.0,0.0016872779
55.0,55.0,0.070333436
56.0,56.0,3.7486456E-7
57.0,57.0,0.014638373
58.0,58.0,1.0009425E-5
59.0,59.0,4.1343705E-4
60.0,60.0,0.55310136
61.0,61.0,0.0016698595
62.0,62.0,0.028166816
63.0,63.0,0.031115761
64.0,64.0,0.03176841
65.0,65.0,3.389185E-9
66.0,66.0,1.4644025E-6
67.0,67.0,3.1275533E-9
68.0,68.0,0.102436736
69.0,69.0,0.08593858
70.0,70.0,0.25007495
71.0,71.0,0.04499339
72.0,72.0,0.07805634
73.0,73.0,0.12152926
74.0,74.0,0.10432834
75.0,75.0,1.7016486E-4
76.0,76.0,0.15394688
77.0,77.0,0.10788136
78.0,78.0,0.022911169
79.0,79.0,0.08965501
80.0,80.0,0.0039592106
81.0,81.0,0.16028938
82.0,82.0,7.130676E-5
83.0,83.0,4.1727177E-5
84.0,84.0,6.248565E-6
85.0,85.0,0.009411102
86.0,86.0,1.0706163E-6
87.0,87.0,0.05389324
88.0,88.0,0.19635016
89.0,89.0,0.087751396
90.0,90.0,0.009826923
91.0,91.0,0.19174679
92.0,92.0,0.0059670974
93.0,93.0,0.06511309
94.0,94.0,1.7532035E-6
95.0,95.0,2.3265989E-4
96.0,96.0,0.0019884233
97.0,97.0,0.8029113
98.0,98.0,0.009679128
99.0,99.0,0.085876815
100.0,100.0,0.008192336
101.0,101.0,0.18372025
102.0,102.0,0.04816626
103.0,103.0,0.008929627
104.0,104.0,0.10364691
105.0,105.0,0.09666565
106.0,106.0,0.008208114
107.0,107.0,0.1295282
108.0,108.0,5.700383E-6
109.0,109.0,0.0077248104
110.0,110.0,0.13266216
111.0,111.0,4.8800834E-9
112.0,112.0,9.131412E-7
113.0,113.0,2.224597E-8
114.0,114.0,0.107886724
115.0,115.0,4.5002627E-5
116.0,116.0,0.2866265
117.0,117.0,5.0704184E-6
118.0,118.0,0.30292526
119.0,119.0,3.0957404E-4
120.0,120.0,0.29082885
121.0,121.0,0.14571904
122.0,122.0,0.07507744
123.0,123.0,0.067171365
124.0,124.0,0.008163611
125.0,125.0,0.057153717
126.0,126.0,0.017935278
127.0,127.0,0.05883414
128.0,128.0,0.0066315345
129.0,129.0,2.1551919E-6
130.0,130.0,5.897059E-4
131.0,131.0,0.001014288
132.0,132.0,0.1992187
133.0,133.0,1.4729835E-7
134.0,134.0,9.361146E-6
135.0,135.0,0.0020244694
136.0,136.0,9.970363E-6
137.0,137.0,0.0037641677
138.0,138.0,3.1192412E-4
139.0,139.0,0.03392981
140.0,140.0,0.2830049
141.0,141.0,0.02186795
142.0,142.0,0.09065139
143.0,143.0,1.2242731E-4
144.0,144.0,0.1864618
145.0,145.0,0.17613603
146.0,146.0,0.105684265
147.0,147.0,2.605177E-7
148.0,148.0,0.84810007
149.0,149.0,0.06629628
150.0,150.0,0.103725076
151.0,151.0,0.24800266
152.0,152.0,0.008940944
153.0,153.0,0.0018547729
154.0,154.0,0.0045249998
155.0,155.0,0.10174523
156.0,156.0,3.956752E-4
157.0,157.0,0.34199214
158.0,158.0,0.115410745
159.0,159.0,0.3019058
160.0,160.0,0.15541148
161.0,161.0,0.08337323
162.0,162.0,0.04775453
163.0,163.0,0.1226637
164.0,164.0,0.0011842346
165.0,165.0,0.31836075
166.0,166.0,0.0026754653
167.0,167.0,0.017190758
168.0,168.0,0.023123045
169.0,169.0,0.10635519
170.0,170.0,0.19290651
171.0,171.0,0.008963564
172.0,172.0,0.051447548
173.0,173.0,5.316131E-6
174.0,174.0,6.664967E-7
175.0,175.0,0.039380167
176.0,176.0,0.9069903
177.0,177.0,4.7174522E-5
178.0,178.0,6.910838E-6
179.0,179.0,0.0028341678
180.0,180.0,0.07723571
181.0,181.0,6.8881687E-9
182.0,182.0,3.0944028E-4
183.0,183.0,0.27796194
184.0,184.0,0.024608051
185.0,185.0,8.468549E-6
186.0,186.0,0.3169221
187.0,187.0,0.30973282
188.0,188.0,0.75631243
189.0,189.0,0.21811672
190.0,190.0,0.18925747
191.0,191.0,4.834291E-8
192.0,192.0,0.004510953
193.0,193.0,0.014136033
194.0,194.0,0.0532447
195.0,195.0,5.2874064E-5
196.0,196.0,0.02862797
197.0,197.0,0.0016841615
198.0,198.0,0.10923806
199.0,199.0,0.079713866
200.0,200.0,2.4951678E-5
201.0,201.0,0.054599274
202.0,202.0,0.14072555
203.0,203.0,0.41800252
204.0,204.0,0.0022515757
205.0,205.0,2.585475E-6
206.0,206.0,4.6015249E-4
207.0,207.0,0.38988572
208.0,208.0,0.40844005
209.0,209.0,7.183795E-4
210.0,210.0,0.02276361
211.0,211.0,0.021348026
212.0,212.0,0.4002592
213.0,213.0,0.078543186
214.0,214.0,0.017383559
215.0,215.0,0.22691132
216.0,216.0,0.15361775
217.0,217.0,3.4804395E-7
218.0,218.0,0.16115648
219.0,219.0,0.05187742
220.0,220.0,4.496397E-6
221.0,221.0,0.30490834
222.0,222.0,0.39427352
223.0,223.0,0.118216924
224.0,224.0,0.10510792
225.0,225.0,0.1182946
226.0,226.0,0.041177176
227.0,227.0,0.022385746
228.0,228.0,0.008903351
229.0,229.0,0.0030095647
230.0,230.0,0.30307102
231.0,231.0,1.5880292E-5
232.0,232.0,2.2390843E-5
233.0,233.0,0.17067513
234.0,234.0,0.37605608
235.0,235.0,1.6603057E-8
236.0,236.0,0.011697378
237.0,237.0,0.070023976
238.0,238.0,0.2947671
239.0,239.0,2.0011616E-6
240.0,240.0,0.1341689
241.0,241.0,0.22486976
242.0,242.0,0.096292466
243.0,243.0,0.106918074
244.0,244.0,4.5420737E-5
245.0,245.0,8.991844E-7
246.0,246.0,2.7923228E-4
247.0,247.0,0.231071
248.0,248.0,0.35946602
249.0,249.0,0.1948056
250.0,250.0,1.5730424E-5
251.0,251.0,4.457867E-5
252.0,252.0,2.566791E-4
253.0,253.0,5.3660795E-8
254.0,254.0,0.40253568
255.0,255.0,0.2876519
256.0,256.0,0.057638057
257.0,257.0,3.5317626E-4
258.0,258.0,2.458367E-6
259.0,259.0,0.10384377
260.0,260.0,1.3538117E-6
261.0,261.0,0.021364316
262.0,262.0,2.2444865E-5
263.0,263.0,0.9962461
264.0,264.0,0.16966099
265.0,265.0,2.9551124E-4
266.0,266.0,1.0623332E-5
267.0,267.0,1.3599511E-5
268.0,268.0,8.275505E-6
269.0,269.0,0.09738168
270.0,270.0,0.23472944
271.0,271.0,0.11455047
272.0,272.0,0.38402435
273.0,273.0,0.002707409
274.0,274.0,2.8459291E-7
275.0,275.0,0.015281999
276.0,276.0,0.017972216
277.0,277.0,0.40591583
278.0,278.0,0.5613596
279.0,279.0,0.525668
280.0,280.0,0.22696756
281.0,281.0,0.23005745
282.0,282.0,0.023746006
283.0,283.0,0.002815044
284.0,284.0,0.11596687
285.0,285.0,0.03006463
286.0,286.0,0.7812345
287.0,287.0,0.11689218
288.0,288.0,0.91400176
289.0,289.0,0.1003542
290.0,290.0,3.385815E-4
291.0,291.0,0.18080993
292.0,292.0,1.2077008E-5
293.0,293.0,0.1633577
294.0,294.0,0.019505091
295.0,295.0,6.381032E-7
296.0,296.0,0.33156073
297.0,297.0,0.07014679
298.0,298.0,0.024244254
299.0,299.0,4.331864E-4
300.0,300.0,2.3944597E-6
301.0,301.0,6.1071245E-5
302.0,302.0,0.011308931
303.0,303.0,5.0464936E-5
304.0,304.0,0.007338327
305.0,305.0,1.8407296E-5
306.0,306.0,0.3821518
307.0,307.0,0.012082584
308.0,308.0,0.14925218
309.0,309.0,4.812602E-4
310.0,310.0,0.17180097
311.0,311.0,0.0044143368
312.0,312.0,0.0046246164
313.0,313.0,0.08765429
314.0,314.0,0.7931152
315.0,315.0,0.0038271241
316.0,316.0,0.93963337
317.0,317.0,4.2722904E-4
318.0,318.0,5.859888E-8
319.0,319.0,1.5108037E-7
320.0,320.0,0.18226928
321.0,321.0,3.124547E-8
322.0,322.0,2.3234707E-6
323.0,323.0,0.17325859
324.0,324.0,9.6019985E-6
325.0,325.0,0.08088084
326.0,326.0,6.4868014E-5
327.0,327.0,3.195849E-6
328.0,328.0,0.06322991
329.0,329.0,0.0051857606
330.0,330.0,0.044504065
331.0,331.0,0.013165815
332.0,332.0,0.26813877
333.0,333.0,0.4960822
334.0,334.0,5.4599237E-5
335.0,335.0,1.961468E-6
336.0,336.0,0.19932044
337.0,337.0,0.023316253
338.0,338.0,0.010905888
339.0,339.0,3.9148995E-6
340.0,340.0,0.04130058
341.0,341.0,2.9652481E-8
342.0,342.0,0.008653654
343.0,343.0,0.07632883
344.0,344.0,0.14840987
345.0,345.0,0.11564313
346.0,346.0,2.9404137E-7
347.0,347.0,0.05512169
348.0,348.0,0.9802854
349.0,349.0,0.0015721066
350.0,350.0,5.1785054E-8
351.0,351.0,9.056575E-6
352.0,352.0,1.5835249E-4
353.0,353.0,0.09930727
354.0,354.0,2.069425E-5
355.0,355.0,0.15452918
356.0,356.0,0.23109162
357.0,357.0,1.6223552E-5
358.0,358.0,0.22209035
359.0,359.0,1.2088054E-4
360.0,360.0,0.057960145
361.0,361.0,0.0017949636
362.0,362.0,0.22837998
363.0,363.0,1.0202193E-5
364.0,364.0,0.1560941
365.0,365.0,0.5679558
366.0,366.0,0.0011557487
367.0,367.0,1.5205334E-4
368.0,368.0,0.14988565
369.0,369.0,8.7176515E-5
370.0,370.0,4.6822578E-8
371.0,371.0,0.85047585
372.0,372.0,0.0022765622
373.0,373.0,4.34204E-9
374.0,374.0,0.29234326
375.0,375.0,6.0153598E-5
376.0,376.0,5.319571E-8
377.0,377.0,0.02950556
378.0,378.0,2.6411719E-8
379.0,379.0,2.6357564E-5
380.0,380.0,0.11395957
381.0,381.0,0.22397864
382.0,382.0,0.26496127
383.0,383.0,0.14774093
