variable,x,y
wc2.0_bio_2.5m_6,-46.50340118408206,8.075139845686863E-8
wc2.0_bio_2.5m_6,-46.350775579834014,8.075139845686863E-8
wc2.0_bio_2.5m_6,-46.19814997558596,8.075139845686863E-8
wc2.0_bio_2.5m_6,-46.04552437133792,8.075139845686863E-8
wc2.0_bio_2.5m_6,-45.89289876708987,8.075139845686863E-8
wc2.0_bio_2.5m_6,-45.740273162841824,8.075139845686863E-8
wc2.0_bio_2.5m_6,-45.58764755859377,8.075139845686863E-8
wc2.0_bio_2.5m_6,-45.43502195434573,8.075139845686863E-8
wc2.0_bio_2.5m_6,-45.282396350097684,8.075139845686863E-8
wc2.0_bio_2.5m_6,-45.12977074584963,8.075139845686863E-8
wc2.0_bio_2.5m_6,-44.97714514160159,8.075139845686863E-8
wc2.0_bio_2.5m_6,-44.82451953735354,8.075139845686863E-8
wc2.0_bio_2.5m_6,-44.671893933105494,8.075139845686863E-8
wc2.0_bio_2.5m_6,-44.51926832885745,8.075139845686863E-8
wc2.0_bio_2.5m_6,-44.3666427246094,8.075139845686863E-8
wc2.0_bio_2.5m_6,-44.214017120361355,8.075139845686863E-8
wc2.0_bio_2.5m_6,-44.061391516113304,8.075139845686863E-8
wc2.0_bio_2.5m_6,-43.90876591186526,8.075139845686863E-8
wc2.0_bio_2.5m_6,-43.75614030761721,8.075139845686863E-8
wc2.0_bio_2.5m_6,-43.603514703369164,8.075139845686863E-8
wc2.0_bio_2.5m_6,-43.45088909912112,8.075139845686863E-8
wc2.0_bio_2.5m_6,-43.29826349487307,8.075139845686863E-8
wc2.0_bio_2.5m_6,-43.145637890625025,8.075139845686863E-8
wc2.0_bio_2.5m_6,-42.993012286376974,8.075139845686863E-8
wc2.0_bio_2.5m_6,-42.84038668212893,8.075139845686863E-8
wc2.0_bio_2.5m_6,-42.68776107788088,8.075139845686863E-8
wc2.0_bio_2.5m_6,-42.535135473632835,8.075139845686863E-8
wc2.0_bio_2.5m_6,-42.38250986938479,8.075139845686863E-8
wc2.0_bio_2.5m_6,-42.22988426513674,8.075139845686863E-8
wc2.0_bio_2.5m_6,-42.077258660888695,8.075139845686863E-8
wc2.0_bio_2.5m_6,-41.924633056640644,8.075139845686863E-8
wc2.0_bio_2.5m_6,-41.7720074523926,8.075139845686863E-8
wc2.0_bio_2.5m_6,-41.619381848144556,8.075139845686863E-8
wc2.0_bio_2.5m_6,-41.466756243896505,8.075139845686863E-8
wc2.0_bio_2.5m_6,-41.31413063964846,8.075139845686863E-8
wc2.0_bio_2.5m_6,-41.16150503540041,8.075139845686863E-8
wc2.0_bio_2.5m_6,-41.008879431152366,8.075139845686863E-8
wc2.0_bio_2.5m_6,-40.85625382690432,8.075139845686863E-8
wc2.0_bio_2.5m_6,-40.70362822265627,8.075139845686863E-8
wc2.0_bio_2.5m_6,-40.551002618408226,8.075139845686863E-8
wc2.0_bio_2.5m_6,-40.398377014160175,8.075139845686863E-8
wc2.0_bio_2.5m_6,-40.24575140991213,8.075139845686863E-8
wc2.0_bio_2.5m_6,-40.09312580566408,8.274163576516003E-8
wc2.0_bio_2.5m_6,-39.940500201416036,8.901135828409679E-8
wc2.0_bio_2.5m_6,-39.78787459716799,9.575599335676088E-8
wc2.0_bio_2.5m_6,-39.63524899291994,1.0301187813865909E-7
wc2.0_bio_2.5m_6,-39.4826233886719,1.108175737840611E-7
wc2.0_bio_2.5m_6,-39.329997784423846,1.192147465189919E-7
wc2.0_bio_2.5m_6,-39.1773721801758,1.282482031683685E-7
wc2.0_bio_2.5m_6,-39.02474657592775,1.3796618247852166E-7
wc2.0_bio_2.5m_6,-38.872120971679706,1.4842052564745245E-7
wc2.0_bio_2.5m_6,-38.71949536743166,1.5966705291248218E-7
wc2.0_bio_2.5m_6,-38.56686976318361,1.717654640742694E-7
wc2.0_bio_2.5m_6,-38.41424415893557,1.8478094432339276E-7
wc2.0_bio_2.5m_6,-38.261618554687516,1.9878265788975114E-7
wc2.0_bio_2.5m_6,-38.10899295043947,2.138453538691465E-7
wc2.0_bio_2.5m_6,-37.95636734619143,2.3004942306670273E-7
wc2.0_bio_2.5m_6,-37.80374174194338,2.4748135274421657E-7
wc2.0_bio_2.5m_6,-37.651116137695325,2.6623419557836314E-7
wc2.0_bio_2.5m_6,-37.49849053344728,2.864080101971922E-7
wc2.0_bio_2.5m_6,-37.34586492919924,3.0811048645773553E-7
wc2.0_bio_2.5m_6,-37.19323932495119,3.3145687439173344E-7
wc2.0_bio_2.5m_6,-37.04061372070314,3.56572911641706E-7
wc2.0_bio_2.5m_6,-36.88798811645509,3.835921233985573E-7
wc2.0_bio_2.5m_6,-36.73536251220705,4.1265869299422775E-7
wc2.0_bio_2.5m_6,-36.582736907959,4.439277745404979E-7
wc2.0_bio_2.5m_6,-36.43011130371095,4.775662887368526E-7
wc2.0_bio_2.5m_6,-36.27748569946291,5.137537186783447E-7
wc2.0_bio_2.5m_6,-36.124860095214856,5.526832751456823E-7
wc2.0_bio_2.5m_6,-35.97223449096681,5.945626639913826E-7
wc2.0_bio_2.5m_6,-35.81960888671877,6.39614313513448E-7
wc2.0_bio_2.5m_6,-35.66698328247072,6.880808882669953E-7
wc2.0_bio_2.5m_6,-35.51435767822267,7.402200026263017E-7
wc2.0_bio_2.5m_6,-35.36173207397462,7.963099051266909E-7
wc2.0_bio_2.5m_6,-35.20910646972658,8.566500468987215E-7
wc2.0_bio_2.5m_6,-35.056480865478534,9.215624459102401E-7
wc2.0_bio_2.5m_6,-34.90385526123048,9.913935627992032E-7
wc2.0_bio_2.5m_6,-34.75122965698243,1.0665160061762435E-6
wc2.0_bio_2.5m_6,-34.59860405273439,1.1473309768916806E-6
wc2.0_bio_2.5m_6,-34.44597844848634,1.2342673016974004E-6
wc2.0_bio_2.5m_6,-34.2933528442383,1.3277935977384914E-6
wc2.0_bio_2.5m_6,-34.14072723999025,1.428406676495797E-6
wc2.0_bio_2.5m_6,-33.9881016357422,1.536643708277552E-6
wc2.0_bio_2.5m_6,-33.83547603149415,1.6530823359062197E-6
wc2.0_bio_2.5m_6,-33.68285042724611,1.7783440853236243E-6
wc2.0_bio_2.5m_6,-33.53022482299806,1.9130975488224067E-6
wc2.0_bio_2.5m_6,-33.377599218750014,2.0580616819643183E-6
wc2.0_bio_2.5m_6,-33.22497361450196,2.2140106921142433E-6
wc2.0_bio_2.5m_6,-33.07234801025392,2.3817719920771196E-6
wc2.0_bio_2.5m_6,-32.919722406005874,2.562249846960185E-6
wc2.0_bio_2.5m_6,-32.76709680175782,2.7564035463001346E-6
wc2.0_bio_2.5m_6,-32.61447119750978,2.965268777188612E-6
wc2.0_bio_2.5m_6,-32.46184559326173,3.1899608075036667E-6
wc2.0_bio_2.5m_6,-32.309219989013684,3.431678806009586E-6
wc2.0_bio_2.5m_6,-32.15659438476564,3.6917128909408348E-6
wc2.0_bio_2.5m_6,-32.00396878051759,3.971450951212319E-6
wc2.0_bio_2.5m_6,-31.85134317626954,4.27238182965084E-6
wc2.0_bio_2.5m_6,-31.698717572021494,4.59611965197837E-6
wc2.0_bio_2.5m_6,-31.54609196777345,4.944388365402119E-6
wc2.0_bio_2.5m_6,-31.393466363525402,5.319042429619003E-6
wc2.0_bio_2.5m_6,-31.240840759277354,5.722090008930536E-6
wc2.0_bio_2.5m_6,-31.088215155029307,6.155678420327604E-6
wc2.0_bio_2.5m_6,-30.93558955078126,6.622121873078868E-6
wc2.0_bio_2.5m_6,-30.782963946533215,7.123902832972817E-6
wc2.0_bio_2.5m_6,-30.630338342285164,7.663712494831998E-6
wc2.0_bio_2.5m_6,-30.47771273803712,8.244425771408714E-6
wc2.0_bio_2.5m_6,-30.325087133789072,8.869142220646609E-6
wc2.0_bio_2.5m_6,-30.172461529541025,9.541186955175363E-6
wc2.0_bio_2.5m_6,-30.019835925292977,1.02641633930034E-5
wc2.0_bio_2.5m_6,-29.86721032104493,1.104192324419273E-5
wc2.0_bio_2.5m_6,-29.714584716796885,1.1878617442562245E-5
wc2.0_bio_2.5m_6,-29.561959112548838,1.2778710697602946E-5
wc2.0_bio_2.5m_6,-29.40933350830079,1.3746994227403775E-5
wc2.0_bio_2.5m_6,-29.256707904052742,1.4788661246711854E-5
wc2.0_bio_2.5m_6,-29.104082299804695,1.5909259673207998E-5
wc2.0_bio_2.5m_6,-28.95145669555665,1.711476761556696E-5
wc2.0_bio_2.5m_6,-28.7988310913086,1.8411607015877962E-5
wc2.0_bio_2.5m_6,-28.646205487060556,1.9806726413662545E-5
wc2.0_bio_2.5m_6,-28.493579882812504,2.1307560018613003E-5
wc2.0_bio_2.5m_6,-28.34095427856446,2.2922116841073148E-5
wc2.0_bio_2.5m_6,-28.188328674316416,2.4659011614858173E-5
wc2.0_bio_2.5m_6,-28.035703070068365,2.6527492082095705E-5
wc2.0_bio_2.5m_6,-27.88307746582032,2.8537577236420475E-5
wc2.0_bio_2.5m_6,-27.73045186157227,3.069997183047235E-5
wc2.0_bio_2.5m_6,-27.577826257324226,3.302621189504862E-5
wc2.0_bio_2.5m_6,-27.42520065307618,3.552869020495564E-5
wc2.0_bio_2.5m_6,-27.27257504882813,3.822081271209754E-5
wc2.0_bio_2.5m_6,-27.119949444580083,4.111692396691069E-5
wc2.0_bio_2.5m_6,-26.967323840332035,4.423247810336761E-5
