Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.66736E-12,0.000000001,0.000000008,0.99970003,0,0
4.11723E-12,0.000000003,0.000000009,0.99940006,0,0
5.64016E-12,0.00000001,0.000000012,0.99790021,0,0
7.2484E-12,0.000000025,0.000000016,0.99550045,0,0
1.44604E-11,0.000000101,0.000000032,0.98830117,0,0
2.29454E-11,0.000000251,0.00000005,0.98030197,0,0
5.83559E-11,0.000001002,0.000000127,0.96120388,0,0
1.4268E-10,0.000002513,0.000000312,0.945005499,0,0
4.9281E-10,0.000010049,0.000001076,0.918508149,0,0
8.66857E-10,0.000025012,0.000001893,0.896710329,0,0
1.29893E-9,0.000050012,0.000002836,0.873412659,0,0
2.05103E-9,0.000100002,0.000004478,0.842915708,0,0
4.79342E-9,0.000250282,0.000010466,0.795520448,0,0
1.02897E-8,0.000500838,0.000022467,0.761323868,0,0
2.22104E-8,0.001001009,0.000048494,0.728627137,0,0
6.13915E-8,0.002504079,0.000134035,0.689331067,0,0
1.37979E-7,0.005012561,0.000301222,0.662033797,0,0
3.4878E-7,0.010001991,0.000761249,0.639436056,0,0
8.839E-7,0.02503027,0.001928077,0.614038596,0,0
1.53363E-6,0.05008231,0.003342969,0.592940706,0,0
2.75962E-6,0.100180067,0.00600733,0.568943106,0.002242152,0
4.94099E-6,0.200251459,0.010730331,0.542645735,0.002242152,0
7.03785E-6,0.300523135,0.01524921,0.525847415,0.002242152,0
8.73368E-6,0.400362897,0.018888743,0.513148685,0.004484305,0
1.02357E-5,0.500338101,0.022101009,0.502649735,0.006726457,0
1.16399E-5,0.600364267,0.025094789,0.493550645,0.006726457,0
1.29863E-5,0.700975491,0.027956515,0.485351465,0.006726457,0
1.38199E-5,0.750625867,0.029724116,0.481651835,0.006726457,0
1.45279E-5,0.80032194,0.031222966,0.478152185,0.006726457,0
1.59809E-5,0.900989982,0.034291425,0.471552845,0.006726457,0
1.72178E-5,1.000518783,0.036896064,0.465553445,0.006726457,0
1.83448E-5,1.100537688,0.039263063,0.459954005,0.00896861,0
1.95157E-5,1.200542133,0.041716229,0.454654535,0.00896861,0
2.0496E-5,1.300238329,0.043765057,0.449655034,0.00896861,0
2.15663E-5,1.401318377,0.045997103,0.444855514,0.00896861,0
2.2442E-5,1.50026175,0.047819371,0.440355964,0.00896861,0
2.48692E-5,1.75043546,0.052852419,0.429757024,0.00896861,0
2.73684E-5,2.000216493,0.058006613,0.420157984,0.00896861,0.020408163
2.91955E-5,2.251948306,0.061757208,0.411258874,0.00896861,0.020408163
3.12487E-5,2.502672781,0.065953898,0.402959704,0.00896861,0.020408163
3.34678E-5,2.752484781,0.070468699,0.395260474,0.011210762,0.020408163
3.52366E-5,3.003245624,0.074051551,0.387961204,0.011210762,0.020408163
3.66283E-5,3.251124478,0.076861028,0.381061894,0.011210762,0.020408163
3.82337E-5,3.502231874,0.080091193,0.374362564,0.011210762,0.06122449
3.97113E-5,3.751555368,0.083054184,0.367963204,0.011210762,0.06122449
4.14004E-5,4.002689638,0.08642979,0.361763824,0.011210762,0.06122449
4.26139E-5,4.250795064,0.088847073,0.355864414,0.013452915,0.06122449
4.36858E-5,4.500959644,0.090977197,0.350064994,0.015695067,0.06122449
4.49189E-5,4.753565394,0.093421242,0.344365563,0.01793722,0.06122449
4.60476E-5,5.003605007,0.095652691,0.338866113,0.020179372,0.06122449
4.74393E-5,5.251713435,0.098396664,0.333566643,0.022421525,0.06122449
4.87522E-5,5.501929048,0.100977428,0.328367163,0.024663677,0.06122449
5.03353E-5,5.754973764,0.104079717,0.323267673,0.02690583,0.06122449
5.18301E-5,6.000740808,0.106999045,0.318468153,0.02690583,0.081632653
5.31942E-5,6.253157546,0.109654808,0.313668633,0.033632287,0.081632653
5.44884E-5,6.500923904,0.112167126,0.309069093,0.035874439,0.081632653
5.60988E-5,6.755263645,0.11528356,0.304469553,0.035874439,0.081632653
5.78564E-5,7.000683482,0.118672212,0.300169983,0.038116592,0.081632653
5.93411E-5,7.252116293,0.121524629,0.295870413,0.038116592,0.081632653
6.0958E-5,7.504906513,0.124620524,0.291670833,0.038116592,0.102040816
6.24558E-5,7.751669912,0.127478669,0.287671233,0.040358744,0.102040816
