x,y,species stddev
1.0,1.0,0.0020090456
2.0,2.0,3.8583798E-7
3.0,3.0,1.247081E-5
4.0,4.0,0.007702111
5.0,5.0,0.0180787
6.0,6.0,0.011674331
7.0,7.0,0.006346044
8.0,8.0,1.1379118E-5
9.0,9.0,6.135149E-5
10.0,10.0,0.0057493397
11.0,11.0,0.0072802817
12.0,12.0,0.012428674
13.0,13.0,0.01292782
14.0,14.0,0.0024516666
15.0,15.0,0.0021861787
16.0,16.0,0.0012407437
17.0,17.0,0.009499983
18.0,18.0,0.0097721005
19.0,19.0,0.009444064
20.0,20.0,3.706724E-6
21.0,21.0,1.2792702E-5
22.0,22.0,0.015799118
23.0,23.0,0.0064414437
24.0,24.0,0.0021902118
25.0,25.0,0.008506383
26.0,26.0,4.329401E-6
27.0,27.0,1.01074164E-7
28.0,28.0,0.0067444765
29.0,29.0,0.0012658137
30.0,30.0,2.6155533E-6
31.0,31.0,0.019980775
32.0,32.0,1.711815E-5
33.0,33.0,4.441863E-6
34.0,34.0,4.2407503E-4
35.0,35.0,2.7179015E-6
36.0,36.0,0.0025761721
37.0,37.0,0.0020650313
38.0,38.0,0.014583599
39.0,39.0,0.005512283
40.0,40.0,2.8137538E-7
41.0,41.0,0.01317355
42.0,42.0,2.112071E-5
43.0,43.0,0.0023625796
44.0,44.0,0.016789796
45.0,45.0,0.018876275
46.0,46.0,2.4309708E-7
47.0,47.0,0.014300512
48.0,48.0,3.8158373E-6
49.0,49.0,9.079659E-4
50.0,50.0,0.0087131485
51.0,51.0,1.0067399E-4
52.0,52.0,0.02526594
53.0,53.0,1.7186733E-4
54.0,54.0,1.8045877E-6
55.0,55.0,5.5385462E-6
56.0,56.0,0.0021727653
57.0,57.0,0.0048125917
58.0,58.0,0.010511195
59.0,59.0,0.0073347143
60.0,60.0,4.677539E-6
61.0,61.0,0.028946623
62.0,62.0,7.4140503E-6
63.0,63.0,0.011187935
64.0,64.0,4.182566E-5
65.0,65.0,1.3249185E-5
66.0,66.0,0.009403189
67.0,67.0,2.057031E-5
68.0,68.0,0.0044749686
69.0,69.0,0.0055628354
70.0,70.0,0.008153216
71.0,71.0,6.026415E-4
72.0,72.0,0.024129758
73.0,73.0,0.012849716
74.0,74.0,2.5733746E-7
75.0,75.0,0.012721772
76.0,76.0,0.0023806987
77.0,77.0,1.1669447E-5
78.0,78.0,0.008991521
79.0,79.0,0.02037396
80.0,80.0,4.451682E-5
81.0,81.0,3.7157486E-4
82.0,82.0,0.011852517
83.0,83.0,0.0059409845
84.0,84.0,5.7557995E-6
85.0,85.0,3.9827493E-5
86.0,86.0,0.030388959
87.0,87.0,0.012940116
88.0,88.0,3.7418033E-6
89.0,89.0,3.598558E-6
90.0,90.0,1.8595105E-5
91.0,91.0,3.4134547E-7
92.0,92.0,0.005895964
93.0,93.0,0.012911878
94.0,94.0,0.06088694
95.0,95.0,0.024943262
96.0,96.0,0.01978047
97.0,97.0,3.0243832E-6
98.0,98.0,6.8438458E-6
99.0,99.0,0.0020565623
100.0,100.0,0.025518317
101.0,101.0,7.6192146E-4
102.0,102.0,8.209314E-4
103.0,103.0,0.003171638
104.0,104.0,0.004279215
105.0,105.0,0.0075293877
106.0,106.0,4.263619E-6
107.0,107.0,0.01088792
108.0,108.0,0.020264633
109.0,109.0,4.216587E-4
110.0,110.0,0.009673092
111.0,111.0,0.020801209
112.0,112.0,0.0027215271
113.0,113.0,1.8192463E-7
114.0,114.0,0.004350564
115.0,115.0,7.3025636E-5
116.0,116.0,0.012914357
117.0,117.0,0.0010333001
118.0,118.0,2.2244161E-5
119.0,119.0,0.0073464564
120.0,120.0,3.4621105E-6
121.0,121.0,2.1829972E-5
122.0,122.0,2.9280544E-8
123.0,123.0,2.504852E-7
124.0,124.0,3.021859E-6
125.0,125.0,5.249551E-7
126.0,126.0,0.012945278
127.0,127.0,0.01659865
128.0,128.0,8.328105E-6
129.0,129.0,0.01254087
130.0,130.0,1.2004203E-6
131.0,131.0,0.018476611
132.0,132.0,4.5725305E-6
133.0,133.0,0.013001293
134.0,134.0,3.4884085E-6
135.0,135.0,0.0049967966
136.0,136.0,0.0038154537
137.0,137.0,2.7040228E-6
138.0,138.0,0.028738689
139.0,139.0,0.0036405937
140.0,140.0,1.4319547E-5
141.0,141.0,0.014077513
142.0,142.0,0.0061086207
143.0,143.0,0.0042428765
144.0,144.0,0.023688253
145.0,145.0,0.009589849
146.0,146.0,0.0019092667
147.0,147.0,0.00571528
148.0,148.0,0.0064380085
149.0,149.0,2.5544756E-5
150.0,150.0,2.6086662E-5
151.0,151.0,1.9327865E-5
152.0,152.0,0.010138245
153.0,153.0,6.4417436E-6
154.0,154.0,2.9315158E-6
155.0,155.0,0.034780726
156.0,156.0,3.5166117E-6
157.0,157.0,0.019345608
158.0,158.0,8.390769E-7
159.0,159.0,8.160441E-4
