x,y,species_4 cloglog values
1.0,1.0,0.121033125
2.0,2.0,0.58726436
3.0,3.0,0.06686367
4.0,4.0,0.26983228
5.0,5.0,0.22877872
6.0,6.0,0.3940874
7.0,7.0,0.08062005
8.0,8.0,0.0019521965
9.0,9.0,0.7490125
10.0,10.0,0.75989455
11.0,11.0,0.70082736
12.0,12.0,0.0821745
13.0,13.0,0.028882762
14.0,14.0,0.011722824
15.0,15.0,0.16794927
16.0,16.0,0.19644172
17.0,17.0,0.007884014
18.0,18.0,0.7534985
19.0,19.0,0.4265322
20.0,20.0,0.16421685
21.0,21.0,0.08875804
22.0,22.0,0.17878048
23.0,23.0,0.44200537
24.0,24.0,0.6061495
25.0,25.0,0.42933086
26.0,26.0,0.5499523
27.0,27.0,0.08599957
28.0,28.0,0.044028997
29.0,29.0,0.1459989
30.0,30.0,0.0059675924
31.0,31.0,6.9352624E-4
32.0,32.0,0.8896325
33.0,33.0,0.22180098
34.0,34.0,0.10380199
35.0,35.0,0.09189358
36.0,36.0,0.0013886043
37.0,37.0,0.50695187
38.0,38.0,0.045147415
39.0,39.0,0.4285569
40.0,40.0,0.7587656
41.0,41.0,0.06124531
42.0,42.0,0.029548211
43.0,43.0,0.08199713
44.0,44.0,0.15727156
45.0,45.0,0.6202594
46.0,46.0,0.05531175
47.0,47.0,1.8038422E-4
48.0,48.0,0.024430368
49.0,49.0,9.939406E-5
50.0,50.0,0.04735825
51.0,51.0,0.03176785
52.0,52.0,0.0035207318
53.0,53.0,0.8299174
54.0,54.0,0.07663702
55.0,55.0,0.08473922
56.0,56.0,0.5116619
57.0,57.0,0.005803906
58.0,58.0,0.12433966
59.0,59.0,0.38161084
60.0,60.0,0.12325085
61.0,61.0,0.040642306
62.0,62.0,0.065217756
63.0,63.0,0.3907155
64.0,64.0,0.07155715
65.0,65.0,0.19727288
66.0,66.0,0.74642396
67.0,67.0,0.1280388
68.0,68.0,0.27989715
69.0,69.0,0.12269946
70.0,70.0,0.0041039675
71.0,71.0,0.119945906
72.0,72.0,0.7687429
