Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.27964E-11,0.000000002,0.000000067,1,0,0
2.72309E-11,0.000000005,0.00000008,0.999908358,0,0
3.26858E-11,0.000000011,0.000000096,0.999725073,0,0
3.93854E-11,0.000000026,0.000000116,0.999358504,0,0
5.73295E-11,0.000000105,0.000000169,0.997983871,0,0
7.72393E-11,0.000000251,0.000000227,0.995967742,0,0
1.38933E-10,0.000001005,0.000000409,0.989644428,0,0
2.36203E-10,0.000002503,0.000000695,0.98231305,0,0
4.88023E-10,0.000010005,0.000001437,0.962793255,0,0
1.07922E-9,0.000025081,0.000003177,0.943914956,0,0
1.86185E-9,0.000050103,0.000005482,0.928244135,0,0
2.71196E-9,0.000100073,0.000007985,0.908082845,0,0
4.46585E-9,0.000250038,0.000013148,0.870234604,0,0
8.15378E-9,0.000500134,0.000024006,0.831103372,0,0
1.68089E-8,0.001001514,0.000049487,0.792980205,0,0
3.76107E-8,0.002501341,0.000110727,0.740652493,0,0
8.97984E-8,0.005001964,0.000264349,0.700971408,0,0
2.41308E-7,0.010001437,0.000710204,0.670912757,0,0
8.37013E-7,0.025006911,0.002461296,0.643420088,0,0
1.69168E-6,0.05001528,0.004968241,0.624266862,0,0
2.92681E-6,0.100163487,0.008580076,0.604288856,0,0
5.31551E-6,0.200044058,0.015528059,0.58101173,0,0
7.22741E-6,0.300469953,0.02105409,0.566257331,0,0
8.73831E-6,0.400683494,0.025399148,0.554710411,0.000802568,0
1.01627E-5,0.50069209,0.029477838,0.544996334,0.000802568,0.007194245
1.13149E-5,0.600707122,0.03276437,0.536473607,0.001605136,0.007194245
1.23325E-5,0.700841278,0.035657997,0.528684018,0.001605136,0.007194245
1.27775E-5,0.751031541,0.03692062,0.525018328,0.001605136,0.007194245
1.31578E-5,0.800335228,0.037998296,0.521535924,0.002407705,0.007194245
1.41374E-5,0.900266028,0.040768925,0.514846041,0.004012841,0.007194245
1.4915E-5,1.000283415,0.042962583,0.508522727,0.005617978,0.007194245
1.57233E-5,1.101231283,0.045237244,0.50247434,0.006420546,0.007194245
1.64555E-5,1.201332648,0.047293269,0.496792522,0.006420546,0.007194245
1.71435E-5,1.3003883,0.049221081,0.49138563,0.006420546,0.007194245
1.78954E-5,1.400344068,0.05132371,0.486162023,0.006420546,0.007194245
1.85748E-5,1.500603386,0.053219207,0.481121701,0.007223114,0.007194245
1.98131E-5,1.75172162,0.056664853,0.469116569,0.007223114,0.007194245
2.12077E-5,2.002055415,0.060530211,0.457936217,0.008025682,0.007194245
2.25547E-5,2.250329427,0.064248547,0.447580645,0.008025682,0.007194245
2.3791E-5,2.500284645,0.067648501,0.437683284,0.008025682,0.007194245
2.50803E-5,2.751545363,0.071181017,0.428244135,0.008025682,0.007194245
2.62964E-5,3.000740418,0.074500479,0.419354839,0.00882825,0.007194245
2.74803E-5,3.250742349,0.077720843,0.410832111,0.009630819,0.007194245
2.87495E-5,3.501176938,0.081160681,0.402675953,0.009630819,0.007194245
2.99569E-5,3.750153631,0.084421366,0.394886364,0.010433387,0.007194245
3.10053E-5,4.000043823,0.087242918,0.387371701,0.010433387,0.007194245
3.22343E-5,4.252934523,0.090539667,0.380040323,0.010433387,0.007194245
