x,y,species stddev
1.0,1.0,0.0067101563
2.0,2.0,0.008134732
3.0,3.0,0.0041744136
4.0,4.0,0.004526932
5.0,5.0,0.0052439775
6.0,6.0,9.754659E-7
7.0,7.0,1.609243E-6
8.0,8.0,0.0014917935
9.0,9.0,5.3816666E-7
10.0,10.0,0.0027057875
11.0,11.0,0.00838961
12.0,12.0,2.728317E-6
13.0,13.0,0.013534601
14.0,14.0,7.3161283E-7
15.0,15.0,0.005299465
16.0,16.0,1.4995695E-4
17.0,17.0,0.046347655
18.0,18.0,0.0015928084
19.0,19.0,9.99289E-4
20.0,20.0,1.1783103E-6
21.0,21.0,0.003229471
22.0,22.0,0.0017007686
23.0,23.0,2.5371787E-6
24.0,24.0,0.0033073488
25.0,25.0,2.2507072E-6
26.0,26.0,0.10062037
27.0,27.0,0.019122513
28.0,28.0,1.9087694E-5
29.0,29.0,0.004065776
30.0,30.0,7.7268464E-4
31.0,31.0,0.0021703264
32.0,32.0,4.6342764E-5
33.0,33.0,0.0176554
34.0,34.0,0.017833645
35.0,35.0,4.6796227E-5
36.0,36.0,2.613885E-5
37.0,37.0,0.007628586
38.0,38.0,6.9366894E-7
39.0,39.0,1.920099E-4
40.0,40.0,1.06425205E-5
41.0,41.0,4.5616893E-5
42.0,42.0,0.013115825
43.0,43.0,7.2926167E-7
44.0,44.0,0.013931825
45.0,45.0,1.9061298E-8
46.0,46.0,0.0053706164
47.0,47.0,1.4646037E-4
48.0,48.0,0.004719332
49.0,49.0,0.0041483673
50.0,50.0,0.0045601088
51.0,51.0,0.0077982834
52.0,52.0,0.0010643448
53.0,53.0,0.0012008563
54.0,54.0,8.4611775E-6
55.0,55.0,0.021417547
56.0,56.0,2.5517814E-8
57.0,57.0,4.797141E-7
58.0,58.0,7.395856E-8
59.0,59.0,0.0062040905
60.0,60.0,1.6827405E-6
61.0,61.0,2.5937584E-6
62.0,62.0,0.0024589598
63.0,63.0,1.2212039E-4
64.0,64.0,0.0048953453
65.0,65.0,0.006681058
66.0,66.0,1.6485695E-6
67.0,67.0,1.3618929E-5
68.0,68.0,2.3187667E-7
69.0,69.0,1.5701771E-6
70.0,70.0,0.0011311445
71.0,71.0,2.3367788E-6
72.0,72.0,0.0058628744
73.0,73.0,6.179196E-8
74.0,74.0,0.0015390618
75.0,75.0,0.004407174
76.0,76.0,0.0062570088
77.0,77.0,3.5446863E-6
78.0,78.0,2.5745865E-6
79.0,79.0,0.006326867
80.0,80.0,0.0018488424
81.0,81.0,2.6229463E-6
82.0,82.0,0.0059216153
83.0,83.0,2.6400783E-4
84.0,84.0,6.503617E-4
85.0,85.0,6.662774E-7
86.0,86.0,6.376167E-5
87.0,87.0,9.20142E-6
88.0,88.0,0.002940068
89.0,89.0,0.0035018455
90.0,90.0,1.3470381E-5
91.0,91.0,1.060761E-6
92.0,92.0,0.020349553
93.0,93.0,0.009587598
94.0,94.0,2.5800483E-7
95.0,95.0,0.024582714
96.0,96.0,0.0085933795
97.0,97.0,6.5132735E-7
98.0,98.0,1.9099666E-7
99.0,99.0,6.744009E-8
100.0,100.0,0.004000399
101.0,101.0,6.6625773E-7
102.0,102.0,2.3636174E-7
103.0,103.0,0.002003554
104.0,104.0,1.4211831E-7
105.0,105.0,1.0914118E-6
106.0,106.0,0.0053387107
107.0,107.0,0.0044449023
108.0,108.0,0.003451377
109.0,109.0,0.0032905217
110.0,110.0,2.972212E-6
111.0,111.0,0.007979073
112.0,112.0,0.005365588
113.0,113.0,5.004096E-8
114.0,114.0,0.00478014
115.0,115.0,0.04675437
116.0,116.0,0.015995797
117.0,117.0,0.0065893345
118.0,118.0,1.8700286E-4
119.0,119.0,6.312148E-7
120.0,120.0,1.456684E-5
121.0,121.0,3.7779457E-6
122.0,122.0,0.006359063
123.0,123.0,0.0026011167
124.0,124.0,3.564247E-4
125.0,125.0,0.0031862701
126.0,126.0,0.0014097748
127.0,127.0,2.7473368E-7
128.0,128.0,1.5031435E-6
129.0,129.0,8.26222E-6
130.0,130.0,2.3876099E-5
131.0,131.0,0.0064491904
132.0,132.0,0.00488091
133.0,133.0,0.0036427532
134.0,134.0,0.0022095686
135.0,135.0,0.00413534
136.0,136.0,0.0053142346
137.0,137.0,0.0014433218
138.0,138.0,2.2370657E-6
139.0,139.0,0.001278268
140.0,140.0,0.003065818
141.0,141.0,0.004769765
142.0,142.0,0.030117895
143.0,143.0,0.007733141
144.0,144.0,8.6106996E-7
145.0,145.0,3.6131132E-6
146.0,146.0,4.3716163E-6
147.0,147.0,9.415157E-7
148.0,148.0,0.015473094
149.0,149.0,0.004593281
150.0,150.0,1.18099244E-7
151.0,151.0,2.064224E-5
152.0,152.0,4.7235557E-7
153.0,153.0,4.974299E-4
154.0,154.0,3.157289E-7
155.0,155.0,0.012090522
156.0,156.0,3.1034237E-5
157.0,157.0,4.2268715E-4
158.0,158.0,0.0031755678
159.0,159.0,0.0034609607
160.0,160.0,2.9988037E-4
161.0,161.0,6.2786974E-5
162.0,162.0,0.004679016
163.0,163.0,0.0074941474
164.0,164.0,0.00425782
165.0,165.0,3.5819998E-8
166.0,166.0,2.0198513E-6
167.0,167.0,1.3997046E-8
168.0,168.0,1.5462123E-4
169.0,169.0,4.9792447E-8
170.0,170.0,2.6295984E-5
171.0,171.0,0.008670943
172.0,172.0,0.0047721523
173.0,173.0,3.636159E-8
174.0,174.0,3.7510826E-8
175.0,175.0,2.5506878E-8
176.0,176.0,0.0036634204
177.0,177.0,0.030395268
178.0,178.0,3.0434603E-7
179.0,179.0,4.846116E-6
180.0,180.0,0.0036316507
181.0,181.0,0.02820088
182.0,182.0,0.0034003905
183.0,183.0,0.008142287
184.0,184.0,4.164091E-8
185.0,185.0,0.0022371896
186.0,186.0,1.0413299E-6
187.0,187.0,1.2081217E-6
188.0,188.0,0.0043295594
189.0,189.0,0.0016610393
190.0,190.0,2.1782657E-4
191.0,191.0,6.3265915E-8
192.0,192.0,5.385571E-4
193.0,193.0,5.3297026E-7
194.0,194.0,7.273176E-6
195.0,195.0,0.0069984323
196.0,196.0,1.2297959E-4
197.0,197.0,0.0017724774
198.0,198.0,0.003600984
199.0,199.0,0.008231954
200.0,200.0,0.0057934797
201.0,201.0,1.3461016E-4
202.0,202.0,1.8116411E-6
203.0,203.0,0.008949609
204.0,204.0,0.0035742745
205.0,205.0,1.214258E-6
206.0,206.0,7.878963E-7
207.0,207.0,0.008184288
208.0,208.0,1.3572221E-6
209.0,209.0,0.007067529
210.0,210.0,6.2839104E-6
211.0,211.0,7.2201783E-7
212.0,212.0,1.1406651E-5
213.0,213.0,0.013814489
214.0,214.0,7.7865695E-7
215.0,215.0,6.893323E-7
216.0,216.0,0.0016841963
217.0,217.0,0.012636769
218.0,218.0,3.794444E-7
219.0,219.0,2.1193987E-6
220.0,220.0,0.023263497
221.0,221.0,0.010286408
222.0,222.0,0.004354473
223.0,223.0,4.5110255E-7
224.0,224.0,0.019529542
225.0,225.0,0.0041170553
226.0,226.0,5.1206956E-7
227.0,227.0,1.0908404E-6
228.0,228.0,6.138424E-8
229.0,229.0,2.6444593E-5
230.0,230.0,7.8282716E-7
231.0,231.0,0.0019562447
232.0,232.0,0.0018630542
233.0,233.0,0.0017115934
234.0,234.0,1.3754428E-6
235.0,235.0,1.5065262E-5
236.0,236.0,0.0042855246
237.0,237.0,0.0027968003
238.0,238.0,8.1391505E-7
239.0,239.0,0.0073565226
240.0,240.0,5.1990597E-8
241.0,241.0,2.2265073E-4
242.0,242.0,1.4362319E-6
243.0,243.0,0.021630945
244.0,244.0,9.836836E-4
245.0,245.0,0.005970785
246.0,246.0,6.818152E-5
247.0,247.0,0.004378654
248.0,248.0,7.297063E-7
249.0,249.0,0.0045736777
250.0,250.0,2.552255E-4
251.0,251.0,4.0851046E-6
252.0,252.0,2.6604292E-5
253.0,253.0,0.0030795794
254.0,254.0,8.0111175E-7
255.0,255.0,0.004777888
256.0,256.0,0.004770147
257.0,257.0,0.005621075
258.0,258.0,0.0037168676
259.0,259.0,2.284096E-4
260.0,260.0,0.008043363
261.0,261.0,4.718755E-6
262.0,262.0,0.032766942
263.0,263.0,3.0898968E-6
264.0,264.0,3.4449587E-7
265.0,265.0,0.003797629
266.0,266.0,0.0023152798
267.0,267.0,6.855928E-4
268.0,268.0,7.729662E-4
269.0,269.0,5.675994E-4
270.0,270.0,0.031662136
271.0,271.0,0.00792612
272.0,272.0,0.0011552223
273.0,273.0,1.2933157E-4
274.0,274.0,6.783103E-7
275.0,275.0,0.009452745
276.0,276.0,0.001353761
277.0,277.0,0.0019295875
278.0,278.0,0.003011751
279.0,279.0,2.8307197E-4
280.0,280.0,7.4894895E-5
281.0,281.0,0.011004906
282.0,282.0,5.62551E-4
283.0,283.0,1.2139549E-6
284.0,284.0,0.0031719026
285.0,285.0,0.00148139
286.0,286.0,1.9382105E-6
287.0,287.0,0.007130489
288.0,288.0,2.0741263E-6
289.0,289.0,0.0029161712
290.0,290.0,0.013133798
291.0,291.0,0.00894441
292.0,292.0,1.0614233E-4
293.0,293.0,0.0033838078
294.0,294.0,7.485387E-5
295.0,295.0,5.1121315E-5
296.0,296.0,0.0042486503
297.0,297.0,9.4392624E-7
298.0,298.0,7.4700824E-7
299.0,299.0,6.86029E-7
300.0,300.0,0.007723485
301.0,301.0,0.0047255955
302.0,302.0,9.265828E-4
303.0,303.0,0.012555345
304.0,304.0,0.0014915109
305.0,305.0,3.7087197E-4
306.0,306.0,0.004884814
307.0,307.0,0.013366358
308.0,308.0,1.78742E-7
309.0,309.0,0.0049284156
310.0,310.0,0.06017485
311.0,311.0,0.0026012505
312.0,312.0,0.005619814
313.0,313.0,2.0915507E-4
314.0,314.0,2.8794867E-7
315.0,315.0,0.016259417
316.0,316.0,0.011406423
317.0,317.0,0.005472334
318.0,318.0,0.04412048
319.0,319.0,5.3999827E-7
320.0,320.0,4.36963E-6
321.0,321.0,0.0021101215
322.0,322.0,1.1197188E-5
323.0,323.0,0.0013640645
324.0,324.0,0.009776266
325.0,325.0,0.008891545
326.0,326.0,0.021871682
327.0,327.0,0.009239067
328.0,328.0,0.0062929713
329.0,329.0,0.027316697
330.0,330.0,0.0046355594
331.0,331.0,0.005152667
332.0,332.0,0.023864552
333.0,333.0,7.254186E-5
334.0,334.0,0.0061853533
335.0,335.0,3.007338E-6
336.0,336.0,8.627067E-6
337.0,337.0,0.005562695
338.0,338.0,1.071747E-6
339.0,339.0,0.008193758
340.0,340.0,0.012988547
341.0,341.0,4.3320998E-7
342.0,342.0,4.4228565E-7
343.0,343.0,0.018816756
344.0,344.0,0.010615697
345.0,345.0,0.008312189
346.0,346.0,0.010917091
347.0,347.0,1.2929025E-6
348.0,348.0,0.0069241407
349.0,349.0,0.006066473
350.0,350.0,0.0061982204
351.0,351.0,0.004055263
352.0,352.0,0.0015998343
353.0,353.0,2.8268178E-5
354.0,354.0,0.009045361
355.0,355.0,0.0055002016
356.0,356.0,0.005040051
357.0,357.0,3.094726E-5
358.0,358.0,0.025805889
359.0,359.0,6.9931625E-6
360.0,360.0,0.0044609276
361.0,361.0,2.9015473E-5
362.0,362.0,0.0030671165
363.0,363.0,0.0046878518
364.0,364.0,4.914242E-7
365.0,365.0,0.0013435088
366.0,366.0,0.004257539
367.0,367.0,2.6652829E-6
368.0,368.0,2.582376E-6
369.0,369.0,0.00810039
370.0,370.0,1.277905E-6
371.0,371.0,0.002987652
372.0,372.0,0.0066981516
373.0,373.0,0.014857032
374.0,374.0,0.0053414744
375.0,375.0,0.012052371
376.0,376.0,9.026834E-5
377.0,377.0,8.728153E-4
378.0,378.0,0.0037171394
379.0,379.0,1.2194745E-6
380.0,380.0,7.6477494E-7
381.0,381.0,8.5357254E-7
382.0,382.0,0.0019006701
383.0,383.0,0.011644158
384.0,384.0,2.2278942E-7
385.0,385.0,8.72697E-5
386.0,386.0,0.019850042
387.0,387.0,6.34273E-7
388.0,388.0,0.0030218344
389.0,389.0,7.5362166E-8
390.0,390.0,1.0370288E-6
391.0,391.0,0.0032092414
392.0,392.0,6.0307326E-7
393.0,393.0,0.011021316
394.0,394.0,0.0051891026
395.0,395.0,1.1604642E-5
396.0,396.0,2.7747785E-7
397.0,397.0,0.01026931
398.0,398.0,1.03751276E-7
399.0,399.0,3.8534845E-6
400.0,400.0,0.0012124534
401.0,401.0,0.0053584697
402.0,402.0,0.003466605
403.0,403.0,1.3919923E-6
404.0,404.0,0.0026464232
405.0,405.0,0.0033409065
406.0,406.0,4.556878E-4
407.0,407.0,0.0044071823
408.0,408.0,7.728214E-7
409.0,409.0,1.39013E-6
410.0,410.0,3.6509213E-4
411.0,411.0,8.736665E-5
412.0,412.0,0.0045153624
413.0,413.0,8.376581E-6
414.0,414.0,0.0035581612
415.0,415.0,6.2569916E-7
416.0,416.0,7.380319E-8
417.0,417.0,0.014287705
418.0,418.0,0.0022948964
419.0,419.0,0.016456174
420.0,420.0,0.003906851
421.0,421.0,1.5514965E-7
422.0,422.0,0.005416264
423.0,423.0,0.0034148854
424.0,424.0,7.926952E-6
425.0,425.0,0.009485374
426.0,426.0,1.5571338E-7
427.0,427.0,0.0036788532
428.0,428.0,3.7558175E-7
429.0,429.0,3.7960333E-6
430.0,430.0,0.014613883
431.0,431.0,1.6478642E-8
432.0,432.0,0.0045748707
433.0,433.0,2.3888988E-6
434.0,434.0,1.5089679E-5
435.0,435.0,2.1482057E-5
436.0,436.0,2.8775126E-4
437.0,437.0,4.2289824E-4
438.0,438.0,8.181812E-4
439.0,439.0,0.010595173
440.0,440.0,0.00811598
441.0,441.0,2.1363014E-5
442.0,442.0,9.6727436E-4
