Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.02443E-11,0.000000002,0.000000016,0.999898529,0,0
3.03123E-11,0.000000005,0.000000048,0.999797057,0,0
3.68012E-11,0.000000012,0.000000058,0.999594115,0,0
4.67471E-11,0.000000026,0.000000074,0.999289701,0,0
6.31359E-11,0.000000101,0.000000099,0.997970573,0,0
7.43249E-11,0.000000252,0.000000117,0.995738204,0,0
1.30202E-10,0.000001004,0.000000205,0.988127854,0,0
2.22971E-10,0.000002506,0.000000351,0.979604262,0,0
4.4987E-10,0.000010044,0.000000709,0.955758498,0,0
1.12589E-9,0.000025018,0.000001773,0.934348047,0,0
2.00719E-9,0.000050103,0.000003161,0.918112633,0,0
2.9752E-9,0.000100058,0.000004686,0.897818366,0,0
5.45195E-9,0.000250086,0.000008586,0.860781329,0,0
9.08764E-9,0.000500565,0.000014312,0.825164891,0,0
1.90734E-8,0.001001378,0.000030039,0.786199899,0,0
5.20048E-8,0.002502371,0.000081901,0.739726027,0,0
1.04633E-7,0.005007161,0.000164777,0.706341958,0,0
2.29056E-7,0.01000652,0.000360684,0.673566717,0,0
7.6329E-7,0.025067245,0.001201414,0.638356164,0,0
1.61074E-6,0.050112888,0.0025336,0.616641299,0,0
3.12404E-6,0.100190723,0.00490809,0.594723491,0,0
5.39342E-6,0.200521437,0.008458347,0.57037037,0,0
7.48741E-6,0.300603159,0.011722966,0.5543379,0,0
8.94316E-6,0.400164578,0.013986218,0.542059868,0,0
1.04414E-5,0.500712793,0.016310088,0.531506849,0,0
1.17807E-5,0.600874304,0.018382856,0.522374429,0,0
1.27266E-5,0.700137392,0.019844049,0.514155251,0,0
1.31958E-5,0.750772586,0.020568084,0.510197869,0,0
1.34786E-5,0.800180936,0.021004332,0.50644343,0.004761905,0
1.43984E-5,0.900573396,0.022421389,0.499137494,0.004761905,0
1.51801E-5,1.001149475,0.023624243,0.492237443,0.004761905,0
1.58833E-5,1.100832141,0.024704943,0.485743278,0.004761905,0
1.6561E-5,1.201467544,0.025745353,0.479452055,0.004761905,0
1.71479E-5,1.301122676,0.026645448,0.473465246,0.004761905,0
1.76761E-5,1.400306271,0.027454816,0.46768138,0.004761905,0
1.83432E-5,1.501233858,0.028476175,0.461998985,0.004761905,0
1.9886E-5,1.751705162,0.030833893,0.44870624,0.004761905,0
2.13348E-5,2.001108616,0.033042841,0.436428209,0.00952381,0
2.27349E-5,2.250417434,0.035172707,0.424961948,0.00952381,0
2.39652E-5,2.500589552,0.037040356,0.414104515,0.00952381,0
2.53557E-5,2.7522163,0.039146864,0.403754439,0.00952381,0
2.66894E-5,3.001798341,0.041163077,0.394013191,0.014285714,0
2.76214E-5,3.251670653,0.042569373,0.384677829,0.014285714,0
2.86763E-5,3.502357786,0.044158785,0.37564688,0.014285714,0
2.98262E-5,3.750963585,0.045888234,0.367021816,0.014285714,0
3.07872E-5,4.000049028,0.047331296,0.358701167,0.014285714,0
3.17684E-5,4.250552152,0.048802303,0.35058346,0.014285714,0
3.27686E-5,4.502276652,0.050299466,0.342668696,0.014285714,0
3.37574E-5,4.751536438,0.051777362,0.335058346,0.019047619,0
3.4957E-5,5.001988275,0.053567134,0.327650939,0.019047619,0
3.62323E-5,5.251224349,0.055466055,0.320547945,0.019047619,0
3.72944E-5,5.501108044,0.057044825,0.313647894,0.023809524,0
3.85912E-5,5.751019393,0.058968664,0.306950786,0.023809524,0
3.98083E-5,6.001946007,0.060770826,0.300456621,0.033333333,0
4.09112E-5,6.252213852,0.062400813,0.294165398,0.033333333,0
4.20463E-5,6.501122272,0.064075483,0.288077118,0.033333333,0
4.32121E-5,6.752876475,0.065792264,0.282090309,0.042857143,0
4.43777E-5,7.002849541,0.067505649,0.276306443,0.047619048,0
4.55486E-5,7.254325619,0.069223706,0.270624049,0.052380952,0
4.65595E-5,7.502691445,0.070704459,0.265144597,0.052380952,0
4.75456E-5,7.752037952,0.072146582,0.259766616,0.052380952,0
4.86042E-5,8.002421406,0.073692168,0.254490107,0.052380952,0
4.99752E-5,8.253882589,0.075690106,0.249315068,0.052380952,0
5.12518E-5,8.502148154,0.077546698,0.244342973,0.052380952,0
5.23731E-5,8.751248408,0.079174233,0.239472349,0.052380952,0.043478261
5.37641E-5,9.000960695,0.081189443,0.234703196,0.052380952,0.043478261
5.50386E-5,9.250875922,0.083031806,0.230035515,0.052380952,0.043478261
5.62004E-5,9.501345702,0.084708181,0.225469305,0.052380952,0.043478261
5.72839E-5,9.750834798,0.08626868,0.221004566,0.052380952,0.043478261
5.84274E-5,10.005229225,0.087912763,0.216539827,0.052380952,0.043478261
5.97226E-5,10.253724458,0.089771435,0.212278031,0.052380952,0.043478261
6.09636E-5,10.50155189,0.091548716,0.208117707,0.052380952,0.043478261
6.22607E-5,10.753939938,0.093402641,0.203957382,0.052380952,0.043478261
6.36929E-5,11.006309066,0.095445344,0.199898529,0.052380952,0.043478261
6.4999E-5,11.2510918,0.097304139,0.196042618,0.052380952,0.043478261
6.63514E-5,11.500426388,0.099224761,0.192186707,0.052380952,0.043478261
6.79171E-5,11.755483758,0.101443208,0.188330797,0.052380952,0.043478261
6.92075E-5,12.002421469,0.103267571,0.184677829,0.057142857,0.043478261
7.08434E-5,12.254180193,0.105574963,0.18102486,0.057142857,0.043478261
7.23199E-5,12.504560576,0.107652399,0.177473364,0.061904762,0.043478261
7.43202E-5,12.754590941,0.110459163,0.174023338,0.066666667,0.043478261
7.59568E-5,13.002548221,0.112749099,0.170674784,0.066666667,0.086956522
7.77571E-5,13.256671613,0.115261181,0.16732623,0.066666667,0.086956522
7.95077E-5,13.500800391,0.117697126,0.164180619,0.071428571,0.086956522
8.10269E-5,13.750085999,0.119805655,0.161035008,0.071428571,0.086956522
8.28544E-5,14.004033423,0.122335338,0.157889396,0.071428571,0.086956522
8.48931E-5,14.256230633,0.125148913,0.154845256,0.071428571,0.086956522
8.73151E-5,14.506747019,0.128479648,0.151902588,0.071428571,0.086956522
8.96446E-5,14.754398622,0.131671285,0.14906139,0.071428571,0.086956522
9.17436E-5,15.008414197,0.134537025,0.146220193,0.071428571,0.086956522
9.3566E-5,15.250055356,0.137017433,0.143581938,0.076190476,0.086956522
9.61222E-5,15.50565033,0.140484711,0.140842212,0.080952381,0.086956522
9.87222E-5,15.759319552,0.143997202,0.138203957,0.085714286,0.086956522
1.00839E-4,16.00857724,0.146845557,0.135667174,0.085714286,0.086956522
1.03258E-4,16.254233593,0.150089903,0.133231862,0.085714286,0.086956522
1.05712E-4,16.505394556,0.153368964,0.13079655,0.095238095,0.086956522
1.08514E-4,16.752536733,0.157096211,0.128462709,0.1,0.086956522
1.11285E-4,17.006177777,0.160766642,0.126128869,0.1,0.086956522
1.15917E-4,17.25665865,0.166867346,0.123896499,0.1,0.086956522
1.18551E-4,17.502537216,0.170316449,0.121765601,0.1,0.086956522
1.21715E-4,17.755235401,0.174440144,0.119634703,0.104761905,0.086956522
1.24301E-4,18.001506099,0.177796364,0.117605277,0.10952381,0.086956522
1.28665E-4,18.254603318,0.183428175,0.11557585,0.114285714,0.130434783
1.31729E-4,18.502049539,0.187358914,0.113647894,0.119047619,0.130434783
1.34552E-4,18.754970432,0.190963185,0.111719939,0.119047619,0.130434783
1.38903E-4,19.001384921,0.196489037,0.109893455,0.123809524,0.130434783
1.41316E-4,19.253490707,0.199536852,0.108066971,0.128571429,0.130434783
1.45642E-4,19.511655383,0.204971691,0.106240487,0.128571429,0.130434783
1.49212E-4,19.762949422,0.209428956,0.104515474,0.128571429,0.130434783
1.52365E-4,20.003912853,0.213345072,0.102891933,0.133333333,0.130434783
1.54746E-4,20.265138645,0.216289486,0.10116692,0.133333333,0.130434783
