x,y,species_4 cloglog values
1.0,1.0,7.723154E-6
2.0,2.0,3.3125602E-7
3.0,3.0,2.0594966E-4
4.0,4.0,6.8950534E-9
5.0,5.0,3.7719815E-7
6.0,6.0,9.355661E-5
7.0,7.0,3.3976356E-4
8.0,8.0,5.262278E-5
9.0,9.0,5.0332237E-5
10.0,10.0,2.6791344E-5
11.0,11.0,3.9397113E-4
12.0,12.0,3.1852966E-7
13.0,13.0,6.406091E-6
14.0,14.0,6.1373424E-7
15.0,15.0,4.3620566E-5
16.0,16.0,2.006914E-6
17.0,17.0,0.004475505
18.0,18.0,5.1886218E-5
19.0,19.0,2.6117335E-4
20.0,20.0,1.501526E-5
21.0,21.0,3.890306E-6
22.0,22.0,0.0035143478
23.0,23.0,1.6814374E-5
24.0,24.0,2.4395224E-5
25.0,25.0,1.9888665E-7
26.0,26.0,1.5762751E-5
27.0,27.0,8.172217E-6
28.0,28.0,7.700035E-5
29.0,29.0,2.1079734E-4
30.0,30.0,5.032657E-5
31.0,31.0,0.0056289495
32.0,32.0,1.0954658E-7
33.0,33.0,1.5010187E-8
34.0,34.0,3.477889E-5
35.0,35.0,5.1663496E-9
36.0,36.0,8.900978E-8
37.0,37.0,6.988162E-4
38.0,38.0,1.7419082E-6
39.0,39.0,2.2122082E-11
40.0,40.0,1.216266E-6
41.0,41.0,3.2410044E-5
42.0,42.0,3.5287987E-5
43.0,43.0,4.264463E-7
44.0,44.0,2.4848175E-4
45.0,45.0,4.6245486E-7
46.0,46.0,3.85834E-5
47.0,47.0,7.113323E-4
48.0,48.0,1.9983386E-8
49.0,49.0,2.4391786E-5
50.0,50.0,1.8619081E-4
51.0,51.0,5.875898E-4
52.0,52.0,0.0034065496
53.0,53.0,2.1257456E-6
54.0,54.0,8.6488435E-4
55.0,55.0,6.2907015E-6
56.0,56.0,3.7657966E-7
57.0,57.0,1.0765645E-8
58.0,58.0,1.5059483E-7
59.0,59.0,4.1765206E-6
60.0,60.0,2.0861253E-5
61.0,61.0,7.374401E-11
62.0,62.0,3.3900434E-7
63.0,63.0,0.001608057
64.0,64.0,1.4977826E-6
65.0,65.0,0.019110233
66.0,66.0,9.586129E-8
67.0,67.0,3.4409045E-4
68.0,68.0,2.907606E-4
69.0,69.0,0.0053893677
70.0,70.0,1.4927435E-5
71.0,71.0,8.0050945E-8
72.0,72.0,4.215724E-5
73.0,73.0,1.3054451E-5
74.0,74.0,2.6957164E-4
75.0,75.0,5.9655015E-8
76.0,76.0,2.2223368E-5
77.0,77.0,1.5150044E-4
78.0,78.0,3.183715E-5
79.0,79.0,4.438541E-6
80.0,80.0,4.2409076E-5
81.0,81.0,4.273592E-6
82.0,82.0,4.4358485E-6
83.0,83.0,1.9865683E-5
84.0,84.0,0.12089675
85.0,85.0,4.6055843E-6
86.0,86.0,9.531285E-6
87.0,87.0,6.6083705E-10
88.0,88.0,2.9156736E-5
89.0,89.0,0.007347719
90.0,90.0,6.6363004E-6
91.0,91.0,6.543911E-5
92.0,92.0,0.005987957
93.0,93.0,1.41375085E-5
94.0,94.0,9.657283E-4
95.0,95.0,9.38152E-4
96.0,96.0,3.1643517E-6
97.0,97.0,7.287123E-6
98.0,98.0,5.9768354E-8
