variable,x,y
wc2.0_bio_2.5m_6,-45.17760028839108,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-45.027993887329075,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-44.87838748626706,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-44.72878108520505,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-44.579174684143034,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-44.429568283081025,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-44.279961882019016,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-44.130355480957,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-43.98074907989499,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-43.831142678832975,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-43.68153627777097,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-43.53192987670896,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-43.38232347564694,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-43.23271707458493,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-43.08311067352292,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-42.93350427246091,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-42.78389787139889,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-42.63429147033688,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-42.484685069274875,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-42.33507866821286,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-42.18547226715085,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-42.035865866088834,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-41.886259465026825,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-41.736653063964816,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-41.5870466629028,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-41.43744026184079,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-41.287833860778775,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-41.13822745971677,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-40.98862105865476,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-40.83901465759274,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-40.68940825653073,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-40.53980185546872,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-40.39019545440671,1.6335688357571598E-10
wc2.0_bio_2.5m_6,-40.24058905334469,1.6335688357571598E-10
