variable,x,y
wc2.0_bio_2.5m_1,-29.48120021820066,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-29.354003417968727,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-29.22680661773679,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-29.09960981750486,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-28.972413017272924,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-28.845216217040992,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-28.718019416809057,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-28.590822616577125,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-28.463625816345193,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-28.336429016113257,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-28.209232215881325,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-28.08203541564939,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-27.954838615417458,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-27.827641815185522,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-27.70044501495359,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-27.57324821472166,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-27.446051414489723,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-27.31885461425779,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-27.191657814025856,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-27.064461013793924,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-26.93726421356199,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-26.810067413330056,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-26.682870613098125,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-26.55567381286619,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-26.428477012634257,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-26.30128021240232,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-26.17408341217039,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-26.046886611938454,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-25.919689811706522,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-25.79249301147459,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-25.665296211242655,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-25.538099411010723,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-25.410902610778788,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-25.283705810546856,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-25.15650901031492,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-25.02931221008299,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-24.902115409851056,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-24.77491860961912,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-24.647721809387185,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-24.520525009155254,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-24.39332820892332,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-24.266131408691386,1.7830181775480014E-13
wc2.0_bio_2.5m_1,-24.138934608459454,1.8451906669270102E-13
wc2.0_bio_2.5m_1,-24.011737808227522,2.0450308113595383E-13
wc2.0_bio_2.5m_1,-23.884541007995587,2.2670754162845697E-13
wc2.0_bio_2.5m_1,-23.75734420776365,2.5135449277513544E-13
wc2.0_bio_2.5m_1,-23.63014740753172,2.786659791809143E-13
wc2.0_bio_2.5m_1,-23.502950607299788,3.0886404545071855E-13
wc2.0_bio_2.5m_1,-23.375753807067852,3.425038030968608E-13
wc2.0_bio_2.5m_1,-23.24855700683592,3.79585252119341E-13
wc2.0_bio_2.5m_1,-23.12136020660399,4.2088554863539684E-13
wc2.0_bio_2.5m_1,-22.994163406372053,4.665157149474908E-13
wc2.0_bio_2.5m_1,-22.866966606140117,5.171418848703979E-13
wc2.0_bio_2.5m_1,-22.739769805908185,5.733191699164308E-13
wc2.0_bio_2.5m_1,-22.612573005676254,6.354916592954396E-13
wc2.0_bio_2.5m_1,-22.485376205444318,7.045475314271243E-13
wc2.0_bio_2.5m_1,-22.358179405212386,7.810418978237976E-13
