variable,x,y
wc2.0_bio_2.5m_1,-29.51125049591059,4.199043323751539E-4
wc2.0_bio_2.5m_1,-29.383792495727487,4.199043323751539E-4
wc2.0_bio_2.5m_1,-29.25633449554438,4.199043323751539E-4
wc2.0_bio_2.5m_1,-29.128876495361276,4.199043323751539E-4
wc2.0_bio_2.5m_1,-29.00141849517817,4.199043323751539E-4
wc2.0_bio_2.5m_1,-28.873960494995064,4.199043323751539E-4
wc2.0_bio_2.5m_1,-28.74650249481196,4.199043323751539E-4
wc2.0_bio_2.5m_1,-28.619044494628852,4.199043323751539E-4
wc2.0_bio_2.5m_1,-28.491586494445748,4.199043323751539E-4
wc2.0_bio_2.5m_1,-28.364128494262644,4.199043323751539E-4
wc2.0_bio_2.5m_1,-28.236670494079537,4.199043323751539E-4
wc2.0_bio_2.5m_1,-28.109212493896433,4.199043323751539E-4
wc2.0_bio_2.5m_1,-27.98175449371333,4.199043323751539E-4
wc2.0_bio_2.5m_1,-27.85429649353022,4.199043323751539E-4
wc2.0_bio_2.5m_1,-27.726838493347117,4.199043323751539E-4
wc2.0_bio_2.5m_1,-27.599380493164013,4.199043323751539E-4
wc2.0_bio_2.5m_1,-27.471922492980905,4.199043323751539E-4
wc2.0_bio_2.5m_1,-27.3444644927978,4.199043323751539E-4
wc2.0_bio_2.5m_1,-27.217006492614694,4.199043323751539E-4
wc2.0_bio_2.5m_1,-27.08954849243159,4.199043323751539E-4
wc2.0_bio_2.5m_1,-26.962090492248485,4.199043323751539E-4
wc2.0_bio_2.5m_1,-26.834632492065378,4.199043323751539E-4
wc2.0_bio_2.5m_1,-26.707174491882274,4.199043323751539E-4
wc2.0_bio_2.5m_1,-26.57971649169917,4.199043323751539E-4
wc2.0_bio_2.5m_1,-26.452258491516062,4.199043323751539E-4
wc2.0_bio_2.5m_1,-26.324800491332958,4.199043323751539E-4
wc2.0_bio_2.5m_1,-26.19734249114985,4.199043323751539E-4
wc2.0_bio_2.5m_1,-26.069884490966746,4.199043323751539E-4
wc2.0_bio_2.5m_1,-25.942426490783642,4.199043323751539E-4
wc2.0_bio_2.5m_1,-25.814968490600535,4.199043323751539E-4
wc2.0_bio_2.5m_1,-25.68751049041743,4.199043323751539E-4
wc2.0_bio_2.5m_1,-25.560052490234327,4.199043323751539E-4
wc2.0_bio_2.5m_1,-25.43259449005122,4.199043323751539E-4
wc2.0_bio_2.5m_1,-25.305136489868115,4.199043323751539E-4
wc2.0_bio_2.5m_1,-25.177678489685007,4.199043323751539E-4
wc2.0_bio_2.5m_1,-25.050220489501903,4.199043323751539E-4
wc2.0_bio_2.5m_1,-24.9227624893188,4.199043323751539E-4
wc2.0_bio_2.5m_1,-24.795304489135695,4.199043323751539E-4
wc2.0_bio_2.5m_1,-24.667846488952588,4.199043323751539E-4
wc2.0_bio_2.5m_1,-24.540388488769484,4.199043323751539E-4
wc2.0_bio_2.5m_1,-24.412930488586376,4.199043323751539E-4
wc2.0_bio_2.5m_1,-24.285472488403272,4.199043323751539E-4
wc2.0_bio_2.5m_1,-24.158014488220168,4.261825524736196E-4
wc2.0_bio_2.5m_1,-24.03055648803706,4.455737362150103E-4
wc2.0_bio_2.5m_1,-23.903098487853956,4.658276156987995E-4
wc2.0_bio_2.5m_1,-23.77564048767085,4.8698228783905506E-4
wc2.0_bio_2.5m_1,-23.648182487487745,5.090765771456063E-4
wc2.0_bio_2.5m_1,-23.52072448730464,5.321508506312966E-4
wc2.0_bio_2.5m_1,-23.393266487121533,5.562482983805239E-4
wc2.0_bio_2.5m_1,-23.26580848693843,5.814128089696169E-4
wc2.0_bio_2.5m_1,-23.13835048675532,6.07690482866019E-4
wc2.0_bio_2.5m_1,-23.010892486572217,6.351290503516793E-4
wc2.0_bio_2.5m_1,-22.883434486389113,6.637793267145753E-4
wc2.0_bio_2.5m_1,-22.75597648620601,6.936931167729199E-4
wc2.0_bio_2.5m_1,-22.6285184860229,7.249243790283799E-4
wc2.0_bio_2.5m_1,-22.501060485839798,7.575306808575988E-4
wc2.0_bio_2.5m_1,-22.37360248565669,7.915705209597945E-4
wc2.0_bio_2.5m_1,-22.246144485473586,8.271049009636045E-4
wc2.0_bio_2.5m_1,-22.118686485290482,8.641989552415907E-4
wc2.0_bio_2.5m_1,-21.991228485107374,9.02918865904212E-4
wc2.0_bio_2.5m_1,-21.86377048492427,9.433341911062598E-4
wc2.0_bio_2.5m_1,-21.736312484741166,9.855165844783187E-4
wc2.0_bio_2.5m_1,-21.60885448455806,0.0010295427637174726
wc2.0_bio_2.5m_1,-21.481396484374955,0.0010754906106740236
wc2.0_bio_2.5m_1,-21.35393848419185,0.0011234411504119635
wc2.0_bio_2.5m_1,-21.226480484008743,0.0011734811123460531
wc2.0_bio_2.5m_1,-21.099022483825635,0.0012256982736289501
wc2.0_bio_2.5m_1,-20.97156448364253,0.001280184369534254
wc2.0_bio_2.5m_1,-20.844106483459427,0.001337036956101656
wc2.0_bio_2.5m_1,-20.716648483276323,0.0013963553356006742
wc2.0_bio_2.5m_1,-20.589190483093216,0.0014582438161596656
wc2.0_bio_2.5m_1,-20.461732482910108,0.0015228099655359983
wc2.0_bio_2.5m_1,-20.334274482727004,0.001590168452821672
wc2.0_bio_2.5m_1,-20.2068164825439,0.001660435926169157
wc2.0_bio_2.5m_1,-20.079358482360796,0.0017337335739284754
wc2.0_bio_2.5m_1,-19.95190048217769,0.0018101910827681422
wc2.0_bio_2.5m_1,-19.824442481994584,0.0018899397691711783
wc2.0_bio_2.5m_1,-19.69698448181148,0.0019731163047254086
wc2.0_bio_2.5m_1,-19.569526481628372,0.002059866674244404
wc2.0_bio_2.5m_1,-19.44206848144527,0.00215033907443285
wc2.0_bio_2.5m_1,-19.314610481262164,0.00224468857049942
wc2.0_bio_2.5m_1,-19.187152481079057,0.002343075815588236
wc2.0_bio_2.5m_1,-19.059694480895953,0.0024456714745610952
wc2.0_bio_2.5m_1,-18.932236480712845,0.002552649239078164
wc2.0_bio_2.5m_1,-18.80477848052974,0.002664189552888274
wc2.0_bio_2.5m_1,-18.677320480346637,0.0027804849669337273
wc2.0_bio_2.5m_1,-18.54986248016353,0.0029017305932939053
wc2.0_bio_2.5m_1,-18.422404479980425,0.0030281294602900743
wc2.0_bio_2.5m_1,-18.29494647979732,0.0031598981004208326
wc2.0_bio_2.5m_1,-18.167488479614214,0.0032972563058137894
wc2.0_bio_2.5m_1,-18.04003047943111,0.0034404343459755182
wc2.0_bio_2.5m_1,-17.912572479248006,0.0035896694753319025
wc2.0_bio_2.5m_1,-17.7851144790649,0.003745214780792594
wc2.0_bio_2.5m_1,-17.657656478881794,0.003907327074557543
wc2.0_bio_2.5m_1,-17.530198478698686,0.004076273180544376
wc2.0_bio_2.5m_1,-17.402740478515582,0.004252336919307709
wc2.0_bio_2.5m_1,-17.27528247833248,0.004435807466506958
wc2.0_bio_2.5m_1,-17.147824478149374,0.004626982845366001
wc2.0_bio_2.5m_1,-17.020366477966267,0.004826183896511793
wc2.0_bio_2.5m_1,-16.89290847778316,0.005033733323216438
wc2.0_bio_2.5m_1,-16.765450477600055,0.005249970126897097
wc2.0_bio_2.5m_1,-16.63799247741695,0.005475243553519249
wc2.0_bio_2.5m_1,-16.510534477233847,0.005709925200790167
wc2.0_bio_2.5m_1,-16.38307647705074,0.005954393185675144
wc2.0_bio_2.5m_1,-16.25561847686763,0.0062090372666716576
wc2.0_bio_2.5m_1,-16.128160476684528,0.006474275607615709
wc2.0_bio_2.5m_1,-16.000702476501424,0.0067505300976336
wc2.0_bio_2.5m_1,-15.87324447631832,0.007038240786641836
wc2.0_bio_2.5m_1,-15.745786476135214,0.007337869144976139
