x,y,species avg
1.0,1.0,0.27527413
2.0,2.0,0.2652753
3.0,3.0,0.05628744
4.0,4.0,0.110570766
5.0,5.0,0.23678616
6.0,6.0,0.09457566
7.0,7.0,0.11044984
8.0,8.0,0.049306825
9.0,9.0,0.12363214
10.0,10.0,0.15294954
11.0,11.0,0.6685064
12.0,12.0,0.2229386
13.0,13.0,0.035125073
14.0,14.0,0.2942687
15.0,15.0,0.56584626
16.0,16.0,0.68551046
17.0,17.0,0.04096543
18.0,18.0,0.6716292
19.0,19.0,0.31056517
20.0,20.0,0.004009209
21.0,21.0,0.14450294
22.0,22.0,0.66019744
23.0,23.0,0.047957312
24.0,24.0,0.21806355
25.0,25.0,0.03083057
26.0,26.0,0.20864703
27.0,27.0,0.4359774
28.0,28.0,0.09265089
29.0,29.0,0.64442605
30.0,30.0,0.040083945
31.0,31.0,0.007076586
32.0,32.0,0.012882396
33.0,33.0,1.8416486E-4
34.0,34.0,0.13277519
35.0,35.0,0.82882065
36.0,36.0,0.25947914
37.0,37.0,0.10230762
38.0,38.0,0.005250633
39.0,39.0,0.10821385
40.0,40.0,0.0912188
41.0,41.0,0.07016502
42.0,42.0,0.16178913
43.0,43.0,0.722145
44.0,44.0,0.14027792
45.0,45.0,0.10902429
46.0,46.0,0.21332127
47.0,47.0,0.0409155
48.0,48.0,0.12827204
49.0,49.0,0.24113263
50.0,50.0,0.82445073
51.0,51.0,0.17441037
52.0,52.0,0.7003612
53.0,53.0,0.28462395
54.0,54.0,0.1975235
55.0,55.0,0.07902388
56.0,56.0,0.6403994
57.0,57.0,0.10233184
58.0,58.0,0.18240692
59.0,59.0,0.17927796
60.0,60.0,0.008960359
61.0,61.0,0.9080415
62.0,62.0,0.4263902
63.0,63.0,0.20466141
64.0,64.0,0.11977541
65.0,65.0,0.03674797
66.0,66.0,0.10030361
67.0,67.0,0.76030135
68.0,68.0,0.3472466
69.0,69.0,0.48383462
70.0,70.0,0.11328232
71.0,71.0,0.06934887
72.0,72.0,0.6057584
73.0,73.0,0.61282855
74.0,74.0,0.59340996
75.0,75.0,0.0854359
76.0,76.0,0.3665584
77.0,77.0,0.44869
78.0,78.0,1.3911261E-4
79.0,79.0,0.07052046
80.0,80.0,0.18435775
81.0,81.0,0.19799733
82.0,82.0,0.7283083
83.0,83.0,0.012526787
84.0,84.0,0.08176076
85.0,85.0,2.4254088E-5
86.0,86.0,0.40316454
87.0,87.0,0.27260795
88.0,88.0,0.1410285
89.0,89.0,0.12847279
90.0,90.0,0.012102962
91.0,91.0,0.71984947
92.0,92.0,0.10054162
93.0,93.0,0.030525967
94.0,94.0,0.48905975
95.0,95.0,0.1570744
96.0,96.0,0.529847
97.0,97.0,0.22577243
98.0,98.0,0.62055045
99.0,99.0,0.1064636
100.0,100.0,0.1576092
101.0,101.0,0.13791947
102.0,102.0,0.4491746
103.0,103.0,0.8353139
104.0,104.0,0.73147476
105.0,105.0,0.0012937277
106.0,106.0,0.19381793
107.0,107.0,0.07509796
108.0,108.0,0.0044205547
109.0,109.0,0.06183034
110.0,110.0,0.07969889
111.0,111.0,0.17878087
112.0,112.0,0.08497042
113.0,113.0,0.118528284
114.0,114.0,0.10759906
115.0,115.0,0.8317427
116.0,116.0,0.018879352
117.0,117.0,0.3973886
118.0,118.0,0.29217887
119.0,119.0,0.30220544
120.0,120.0,0.22842471
121.0,121.0,0.59066886
122.0,122.0,0.036081795
123.0,123.0,0.0077366554
124.0,124.0,0.14476967
125.0,125.0,0.060828455
126.0,126.0,0.14120197
127.0,127.0,0.039970525
128.0,128.0,0.19017884
129.0,129.0,0.31556344
130.0,130.0,0.2381835
131.0,131.0,0.1107796
132.0,132.0,0.088724785
133.0,133.0,0.805503
134.0,134.0,0.11014819
135.0,135.0,0.03539463
136.0,136.0,0.17831351
137.0,137.0,0.5637143
138.0,138.0,0.31451342
139.0,139.0,0.28549594
140.0,140.0,0.1390306
141.0,141.0,0.028040873
142.0,142.0,0.07188366
143.0,143.0,0.046376567
144.0,144.0,0.07756956
145.0,145.0,0.7692943
146.0,146.0,0.09284165
147.0,147.0,0.7257439
148.0,148.0,0.5480366
149.0,149.0,6.460624E-4
150.0,150.0,0.078683786
151.0,151.0,0.2952336
152.0,152.0,0.22567837
153.0,153.0,0.20348886
154.0,154.0,0.13609146
155.0,155.0,0.15730101
156.0,156.0,0.33361545
157.0,157.0,0.053841688
158.0,158.0,0.10629555
159.0,159.0,0.068401285
160.0,160.0,0.1659982
161.0,161.0,0.029994154
162.0,162.0,0.035404988
163.0,163.0,0.22227243
164.0,164.0,0.07520041
165.0,165.0,0.001442354
166.0,166.0,0.5624578
167.0,167.0,0.2520292
168.0,168.0,0.09820889
169.0,169.0,0.33965862
170.0,170.0,0.19994427
171.0,171.0,1.6231141E-4
172.0,172.0,6.3814846E-4
173.0,173.0,0.14787206
174.0,174.0,0.17898904
175.0,175.0,0.17509845
176.0,176.0,0.17799939
177.0,177.0,0.96195716
178.0,178.0,0.008352168
179.0,179.0,0.26644996
180.0,180.0,0.22215779
181.0,181.0,0.44844803
182.0,182.0,0.14841059
183.0,183.0,0.0024668612
184.0,184.0,0.33691892
185.0,185.0,0.02221578
186.0,186.0,0.0026949183
187.0,187.0,0.6840039
188.0,188.0,0.13128321
189.0,189.0,0.29868105
190.0,190.0,0.080074176
191.0,191.0,0.072399914
192.0,192.0,0.46469375
193.0,193.0,0.057771996
194.0,194.0,0.094721794
195.0,195.0,0.09776688
196.0,196.0,0.09717807
197.0,197.0,0.33717322
198.0,198.0,0.10759325
199.0,199.0,0.37485054
200.0,200.0,0.16982076
201.0,201.0,0.18863907
202.0,202.0,0.08162228
203.0,203.0,0.13134678
204.0,204.0,0.26479852
205.0,205.0,4.434391E-5
206.0,206.0,0.068463914
207.0,207.0,0.2376253
208.0,208.0,0.48787993
209.0,209.0,0.4386192
210.0,210.0,0.004081718
211.0,211.0,0.53613
212.0,212.0,0.81877166
213.0,213.0,0.20163149
214.0,214.0,0.5451968
215.0,215.0,0.0627029
216.0,216.0,0.7801832
217.0,217.0,0.10859158
218.0,218.0,0.7580686
219.0,219.0,0.124497995
220.0,220.0,0.093677744
221.0,221.0,0.1133338
222.0,222.0,0.6801779
223.0,223.0,0.015689027
224.0,224.0,1.9671927E-4
225.0,225.0,0.5600164
226.0,226.0,0.31089664
227.0,227.0,0.15088163
228.0,228.0,0.27285445
229.0,229.0,0.8091935
230.0,230.0,0.13755986
231.0,231.0,0.5740775
232.0,232.0,0.2674131
233.0,233.0,0.112214044
234.0,234.0,0.010472802
235.0,235.0,0.88083386
236.0,236.0,0.04477907
237.0,237.0,0.098106384
238.0,238.0,0.16740853
239.0,239.0,0.0056287935
240.0,240.0,0.015823334
241.0,241.0,0.095222354
242.0,242.0,0.1339935
243.0,243.0,0.060771875
244.0,244.0,0.008100371
245.0,245.0,0.15211837
246.0,246.0,0.07287518
247.0,247.0,8.499582E-4
248.0,248.0,0.6447054
249.0,249.0,0.19370225
250.0,250.0,0.7979458
251.0,251.0,0.74558616
252.0,252.0,0.6440526
253.0,253.0,0.06221903
254.0,254.0,0.11522968
255.0,255.0,0.78583497
256.0,256.0,0.49060473
257.0,257.0,0.18950917
258.0,258.0,0.30298445
259.0,259.0,0.95636135
260.0,260.0,0.24406551
261.0,261.0,0.33859065
262.0,262.0,0.67711204
263.0,263.0,0.4207638
264.0,264.0,0.79680353
265.0,265.0,0.13903719
266.0,266.0,0.48650002
267.0,267.0,0.09175388
268.0,268.0,0.8182916
269.0,269.0,0.0667753
270.0,270.0,5.5995956E-4
271.0,271.0,0.5429985
272.0,272.0,0.04386132
273.0,273.0,0.18405034
274.0,274.0,0.3770837
275.0,275.0,0.102777585
276.0,276.0,0.45124498
277.0,277.0,0.06379192
278.0,278.0,0.14113313
279.0,279.0,0.23341073
280.0,280.0,0.4549414
281.0,281.0,0.7803558
282.0,282.0,0.08396903
283.0,283.0,0.19141294
284.0,284.0,3.457963E-4
285.0,285.0,0.6312735
286.0,286.0,0.6448662
287.0,287.0,0.7913081
288.0,288.0,0.20396651
289.0,289.0,0.80092657
290.0,290.0,0.09252545
291.0,291.0,0.15759815
292.0,292.0,0.020889752
293.0,293.0,0.31884798
294.0,294.0,0.8966221
295.0,295.0,0.053195335
296.0,296.0,0.05274008
297.0,297.0,0.1453762
298.0,298.0,0.8637646
299.0,299.0,0.22531143
300.0,300.0,0.14008336
301.0,301.0,0.92715794
302.0,302.0,0.2601906
303.0,303.0,0.15081394
304.0,304.0,0.13511768
305.0,305.0,0.054901447
306.0,306.0,0.0041289064
307.0,307.0,0.12721126
308.0,308.0,0.62983686
309.0,309.0,0.3803759
310.0,310.0,0.07349111
311.0,311.0,0.13305202
312.0,312.0,0.60555714
313.0,313.0,0.7823785
314.0,314.0,0.0011386473
315.0,315.0,0.39841425
316.0,316.0,0.11224247
317.0,317.0,0.11993894
318.0,318.0,0.6607423
319.0,319.0,0.17546709
320.0,320.0,0.19551432
321.0,321.0,0.08272855
322.0,322.0,0.3834896
323.0,323.0,0.20311381
324.0,324.0,0.23209405
325.0,325.0,0.20062613
326.0,326.0,6.304533E-4
327.0,327.0,0.03480304
328.0,328.0,0.16979204
329.0,329.0,0.32666492
330.0,330.0,0.0417157
331.0,331.0,0.009947227
332.0,332.0,0.35623357
333.0,333.0,0.12700972
334.0,334.0,0.001619376
335.0,335.0,0.28766036
336.0,336.0,0.088748395
337.0,337.0,0.11175869
338.0,338.0,0.034507375
339.0,339.0,0.03765176
340.0,340.0,0.14171827
341.0,341.0,0.4437704
342.0,342.0,0.39680448
343.0,343.0,0.28324893
