x,y,species_7 cloglog values
1.0,1.0,1.4950385E-5
2.0,2.0,9.401973E-6
3.0,3.0,2.821378E-4
4.0,4.0,0.27584213
5.0,5.0,0.011760506
6.0,6.0,0.058403082
7.0,7.0,0.09264241
8.0,8.0,0.09552768
9.0,9.0,0.79408133
10.0,10.0,0.16672677
11.0,11.0,0.043355837
12.0,12.0,0.030857947
13.0,13.0,0.34010547
14.0,14.0,0.14790556
15.0,15.0,0.20613769
16.0,16.0,0.10481662
17.0,17.0,0.0897812
18.0,18.0,0.42658973
19.0,19.0,0.005350524
20.0,20.0,0.52888495
21.0,21.0,0.0994806
22.0,22.0,0.041712396
23.0,23.0,0.11763947
24.0,24.0,0.10087466
25.0,25.0,0.23900108
26.0,26.0,0.72773093
27.0,27.0,0.7583118
28.0,28.0,0.124631174
29.0,29.0,0.21732411
30.0,30.0,0.62161624
31.0,31.0,0.051024534
32.0,32.0,0.017486192
33.0,33.0,0.02650224
34.0,34.0,0.73430073
35.0,35.0,0.10817617
36.0,36.0,0.071386494
37.0,37.0,0.010287262
38.0,38.0,0.016999306
39.0,39.0,0.004274147
40.0,40.0,0.0011896335
41.0,41.0,0.07843577
42.0,42.0,0.83346325
43.0,43.0,4.1633502E-5
44.0,44.0,0.10351303
45.0,45.0,0.06296431
46.0,46.0,0.14091443
47.0,47.0,0.0029231792
48.0,48.0,2.076911E-5
49.0,49.0,0.33705786
50.0,50.0,0.08394609
51.0,51.0,0.5823121
52.0,52.0,0.5218271
53.0,53.0,0.8005072
54.0,54.0,0.07376527
55.0,55.0,0.28658107
56.0,56.0,0.07786106
57.0,57.0,0.089603335
58.0,58.0,7.789868E-4
59.0,59.0,0.16522959
60.0,60.0,0.7789382
61.0,61.0,0.70377094
62.0,62.0,0.11625553
63.0,63.0,0.12636258
64.0,64.0,0.08345561
65.0,65.0,0.22190689
66.0,66.0,3.972104E-5
67.0,67.0,0.012111059
68.0,68.0,0.2690328
69.0,69.0,0.10283233
70.0,70.0,0.10094547
71.0,71.0,0.0044364743
72.0,72.0,0.22751227
73.0,73.0,0.12824947
74.0,74.0,0.065370016
75.0,75.0,1.6051775E-4
76.0,76.0,0.061094753
77.0,77.0,0.12129852
78.0,78.0,0.1100444
79.0,79.0,4.8194974E-4
80.0,80.0,0.04543599
81.0,81.0,0.041097175
82.0,82.0,0.058630288
83.0,83.0,0.08496975
84.0,84.0,0.0037702702
85.0,85.0,0.02643452
86.0,86.0,0.08373746
87.0,87.0,0.069810756
88.0,88.0,0.08533497
89.0,89.0,0.03864039
90.0,90.0,0.04969168
91.0,91.0,0.76894075
92.0,92.0,0.10118622
93.0,93.0,0.22419645
94.0,94.0,0.058861043
95.0,95.0,0.08820625
96.0,96.0,4.016324E-5
97.0,97.0,0.10927379
98.0,98.0,0.0460765
99.0,99.0,0.018850861
100.0,100.0,0.6091152
101.0,101.0,7.866814E-4
102.0,102.0,0.011149648
103.0,103.0,0.14962927
104.0,104.0,0.1054721
105.0,105.0,0.04292702
