variable,x,y
wc2.0_bio_2.5m_5,-12.579600095748903,4.200482362648472E-5
wc2.0_bio_2.5m_5,-12.455289695739747,4.200482362648472E-5
wc2.0_bio_2.5m_5,-12.330979295730593,4.200482362648472E-5
wc2.0_bio_2.5m_5,-12.206668895721437,4.200482362648472E-5
wc2.0_bio_2.5m_5,-12.082358495712281,4.200482362648472E-5
wc2.0_bio_2.5m_5,-11.958048095703127,4.200482362648472E-5
wc2.0_bio_2.5m_5,-11.833737695693971,4.200482362648472E-5
wc2.0_bio_2.5m_5,-11.709427295684815,4.200482362648472E-5
wc2.0_bio_2.5m_5,-11.585116895675661,4.200482362648472E-5
wc2.0_bio_2.5m_5,-11.460806495666505,4.200482362648472E-5
wc2.0_bio_2.5m_5,-11.336496095657349,4.200482362648472E-5
wc2.0_bio_2.5m_5,-11.212185695648195,4.200482362648472E-5
wc2.0_bio_2.5m_5,-11.087875295639039,4.200482362648472E-5
wc2.0_bio_2.5m_5,-10.963564895629883,4.200482362648472E-5
wc2.0_bio_2.5m_5,-10.839254495620729,4.200482362648472E-5
wc2.0_bio_2.5m_5,-10.714944095611573,4.200482362648472E-5
wc2.0_bio_2.5m_5,-10.590633695602417,4.200482362648472E-5
wc2.0_bio_2.5m_5,-10.466323295593263,4.200482362648472E-5
wc2.0_bio_2.5m_5,-10.342012895584107,4.200482362648472E-5
wc2.0_bio_2.5m_5,-10.217702495574951,4.200482362648472E-5
wc2.0_bio_2.5m_5,-10.093392095565797,4.200482362648472E-5
wc2.0_bio_2.5m_5,-9.96908169555664,4.200482362648472E-5
wc2.0_bio_2.5m_5,-9.844771295547485,4.200482362648472E-5
wc2.0_bio_2.5m_5,-9.72046089553833,4.200482362648472E-5
wc2.0_bio_2.5m_5,-9.596150495529175,4.200482362648472E-5
wc2.0_bio_2.5m_5,-9.471840095520019,4.200482362648472E-5
wc2.0_bio_2.5m_5,-9.347529695510865,4.200482362648472E-5
wc2.0_bio_2.5m_5,-9.223219295501709,4.200482362648472E-5
wc2.0_bio_2.5m_5,-9.098908895492553,4.200482362648472E-5
wc2.0_bio_2.5m_5,-8.974598495483399,4.200482362648472E-5
wc2.0_bio_2.5m_5,-8.850288095474243,4.200482362648472E-5
wc2.0_bio_2.5m_5,-8.725977695465087,4.200482362648472E-5
wc2.0_bio_2.5m_5,-8.601667295455933,4.200482362648472E-5
wc2.0_bio_2.5m_5,-8.477356895446777,4.200482362648472E-5
wc2.0_bio_2.5m_5,-8.35304649543762,4.200482362648472E-5
wc2.0_bio_2.5m_5,-8.228736095428467,4.200482362648472E-5
wc2.0_bio_2.5m_5,-8.10442569541931,4.200482362648472E-5
wc2.0_bio_2.5m_5,-7.9801152954101555,4.200482362648472E-5
wc2.0_bio_2.5m_5,-7.855804895400999,4.200482362648472E-5
wc2.0_bio_2.5m_5,-7.731494495391844,4.200482362648472E-5
wc2.0_bio_2.5m_5,-7.607184095382689,4.200482362648472E-5
wc2.0_bio_2.5m_5,-7.4828736953735335,4.200482362648472E-5
wc2.0_bio_2.5m_5,-7.358563295364378,4.2036779632326216E-5
wc2.0_bio_2.5m_5,-7.2342528953552225,4.213924694340676E-5
wc2.0_bio_2.5m_5,-7.1099424953460675,4.22516641265247E-5
wc2.0_bio_2.5m_5,-6.985632095336912,4.23741148551926E-5
wc2.0_bio_2.5m_5,-6.8613216953277565,4.2506679164944217E-5
wc2.0_bio_2.5m_5,-6.737011295318601,4.264945528120734E-5
wc2.0_bio_2.5m_5,-6.612700895309446,4.280253779143095E-5
wc2.0_bio_2.5m_5,-6.48839049530029,4.296603947295807E-5
wc2.0_bio_2.5m_5,-6.3640800952911345,4.3140073103131726E-5
wc2.0_bio_2.5m_5,-6.2397696952819794,4.3324758735252544E-5
wc2.0_bio_2.5m_5,-6.115459295272824,4.352023097453639E-5
wc2.0_bio_2.5m_5,-5.991148895263669,4.372662442619912E-5
wc2.0_bio_2.5m_5,-5.866838495254513,4.394408824737184E-5
wc2.0_bio_2.5m_5,-5.742528095245358,4.417277887114324E-5
wc2.0_bio_2.5m_5,-5.618217695236203,4.441286000655964E-5
wc2.0_bio_2.5m_5,-5.493907295227048,4.466450263862498E-5
wc2.0_bio_2.5m_5,-5.369596895217892,4.4927888666279614E-5
wc2.0_bio_2.5m_5,-5.245286495208736,4.520320726442151E-5
wc2.0_bio_2.5m_5,-5.120976095199581,4.549065852188505E-5
wc2.0_bio_2.5m_5,-4.996665695190426,4.5790457079419866E-5
wc2.0_bio_2.5m_5,-4.87235529518127,4.610281393979676E-5
wc2.0_bio_2.5m_5,-4.748044895172115,4.64279655716382E-5
wc2.0_bio_2.5m_5,-4.62373449516296,4.676615208154544E-5
wc2.0_bio_2.5m_5,-4.499424095153804,4.711762085207738E-5
wc2.0_bio_2.5m_5,-4.37511369514465,4.748263381770812E-5
wc2.0_bio_2.5m_5,-4.250803295135494,4.7861467464827E-5
wc2.0_bio_2.5m_5,-4.126492895126338,4.825440191780217E-5
wc2.0_bio_2.5m_5,-4.002182495117184,4.8661739128874615E-5
wc2.0_bio_2.5m_5,-3.877872095108028,4.908378832624294E-5
wc2.0_bio_2.5m_5,-3.753561695098874,4.952086601406336E-5
wc2.0_bio_2.5m_5,-3.629251295089718,4.997331780032255E-5
wc2.0_bio_2.5m_5,-3.504940895080562,5.0441482017049566E-5
wc2.0_bio_2.5m_5,-3.380630495071408,5.092572973808274E-5
wc2.0_bio_2.5m_5,-3.25632009506225,5.142643203726038E-5
wc2.0_bio_2.5m_5,-3.1320096950530942,5.1943989092251286E-5
wc2.0_bio_2.5m_5,-3.00769929504394,5.247880471870303E-5
wc2.0_bio_2.5m_5,-2.883388895034784,5.303130819811486E-5
wc2.0_bio_2.5m_5,-2.75907849502563,5.3601936087943614E-5
wc2.0_bio_2.5m_5,-2.634768095016474,5.4191146773518994E-5
wc2.0_bio_2.5m_5,-2.510457695007318,5.479941683006473E-5
wc2.0_bio_2.5m_5,-2.386147294998164,5.5427248298656195E-5
wc2.0_bio_2.5m_5,-2.261836894989008,5.607514685834758E-5
wc2.0_bio_2.5m_5,-2.137526494979852,5.674365093000233E-5
wc2.0_bio_2.5m_5,-2.013216094970698,5.743330984842032E-5
wc2.0_bio_2.5m_5,-1.888905694961542,5.8144705690210685E-5
wc2.0_bio_2.5m_5,-1.7645952949523878,5.8878435083897784E-5
wc2.0_bio_2.5m_5,-1.6402848949432318,5.9635116485878825E-5
wc2.0_bio_2.5m_5,-1.5159744949340759,6.041539745638147E-5
wc2.0_bio_2.5m_5,-1.3916640949249217,6.121994374552742E-5
wc2.0_bio_2.5m_5,-1.2673536949157658,6.204945384524763E-5
wc2.0_bio_2.5m_5,-1.1430432949066098,6.290465535130352E-5
wc2.0_bio_2.5m_5,-1.0187328948974557,6.378628313541412E-5
wc2.0_bio_2.5m_5,-0.8944224948882997,6.469512300100178E-5
wc2.0_bio_2.5m_5,-0.7701120948791456,6.563198985531926E-5
wc2.0_bio_2.5m_5,-0.6458016948699896,6.65977131575346E-5
wc2.0_bio_2.5m_5,-0.5214912948608319,6.75931732985191E-5
wc2.0_bio_2.5m_5,-0.39718089485167773,6.861926522105932E-5
wc2.0_bio_2.5m_5,-0.2728704948425218,6.96769347996451E-5
wc2.0_bio_2.5m_5,-0.14856009483336585,7.076715701259673E-5
wc2.0_bio_2.5m_5,-0.024249694824211687,7.189094321802258E-5
wc2.0_bio_2.5m_5,0.10006070518494425,7.304935570573434E-5
wc2.0_bio_2.5m_5,0.22437110519409842,7.424348586937413E-5
wc2.0_bio_2.5m_5,0.34868150520325436,7.547446148237213E-5
wc2.0_bio_2.5m_5,0.4729919052124103,7.674346852581948E-5
wc2.0_bio_2.5m_5,0.5973023052215645,7.805173663655296E-5
wc2.0_bio_2.5m_5,0.7216127052307204,7.940053910715505E-5
wc2.0_bio_2.5m_5,0.8459231052398763,8.079120743786916E-5
wc2.0_bio_2.5m_5,0.9702335052490305,8.222510950872675E-5
wc2.0_bio_2.5m_5,1.0945439052581865,8.370368595933542E-5
wc2.0_bio_2.5m_5,1.2188543052673406,8.522841380909085E-5
wc2.0_bio_2.5m_5,1.3431647052764966,8.680085011292249E-5
wc2.0_bio_2.5m_5,1.4674751052856525,8.842260285746306E-5
wc2.0_bio_2.5m_5,1.5917855052948067,9.009535278892145E-5
wc2.0_bio_2.5m_5,1.7160959053039626,9.182081703329459E-5
wc2.0_bio_2.5m_5,1.8404063053131186,9.360082913190126E-5
wc2.0_bio_2.5m_5,1.9647167053222727,9.543725900584832E-5
wc2.0_bio_2.5m_5,2.0890271053314304,9.733206388773397E-5
