Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.37526E-6,0.000237526,0.01130311,1,0,0
2.37548E-6,0.000475074,0.01130419,0.999895583,0,0
2.43197E-6,0.000718271,0.011571428,0.999791166,0,0
2.51385E-6,0.001218382,0.011958667,0.999582333,0,0
2.65966E-6,0.002517375,0.012647891,0.999060249,0,0
3.21315E-6,0.005205953,0.015259818,0.998120497,0,0
3.95668E-6,0.010274574,0.018757679,0.996658661,0,0
5.00136E-6,0.025015568,0.023651295,0.993317323,0,0
5.38984E-6,0.05003778,0.025464815,0.988305315,0,0
5.7955E-6,0.100515884,0.02735491,0.9789078,0,0
6.288E-6,0.200528157,0.029644758,0.961679023,0,0
6.65495E-6,0.300312031,0.031347326,0.945598831,0,0
6.98853E-6,0.400482258,0.032892518,0.930249556,0,0
7.36056E-6,0.500220754,0.034612849,0.915735617,0,0
7.80489E-6,0.600364923,0.036663547,0.901952595,0,0
8.26553E-6,0.700007882,0.038784902,0.889004908,0,0
8.61899E-6,0.750510224,0.040409537,0.882739898,0,0
8.92843E-6,0.800557363,0.041829527,0.876788138,0,0
9.55208E-6,0.900426139,0.044685109,0.86551112,0,0
1.00987E-5,1.000759155,0.047181104,0.854860604,0,0
1.05158E-5,1.100870136,0.049080806,0.844732171,0,0
1.0934E-5,1.200846199,0.05098242,0.835021405,0,0
1.12655E-5,1.300824572,0.052486783,0.825623891,0,0
1.15329E-5,1.400036659,0.05369851,0.816539626,0,0
1.18528E-5,1.500654322,0.055146349,0.807559779,0,0
1.26046E-5,1.75031242,0.058539614,0.786258745,0,0
1.33453E-5,2.000781947,0.061871118,0.766106296,0,0
1.40303E-5,2.250281904,0.064941259,0.747102433,0,0
1.48005E-5,2.500986401,0.068381505,0.728933904,0,0
1.55772E-5,2.75026511,0.071838169,0.711809544,0,0
1.63361E-5,3.000632471,0.075203031,0.695416101,0,0
1.72206E-5,3.251063078,0.079109702,0.679857993,0,0
1.82284E-5,3.501449943,0.083540434,0.66513522,0,0
1.94182E-5,3.751356509,0.088744194,0.651247781,0,0
2.11059E-5,4.000193356,0.096074677,0.638404511,0,0
2.34649E-5,4.251029712,0.106222147,0.626605409,0,0
2.53095E-5,4.501297004,0.114077453,0.615850475,0,0
2.76744E-5,4.750831875,0.124047968,0.606035293,0,0
3.04316E-5,5.002648795,0.13553035,0.596951029,0,0
3.34368E-5,5.251041727,0.14787441,0.588806516,0,0
3.58561E-5,5.501318289,0.157683705,0.581288504,0,0
3.77545E-5,5.751943364,0.165301645,0.574188159,0,0
3.97169E-5,6.003523204,0.173104142,0.567401065,0,0
4.16805E-5,6.252001206,0.180838725,0.561031638,0,0
4.33849E-5,6.503292099,0.187493152,0.554871045,0,0
4.47468E-5,6.750056728,0.192771522,0.549023703,0,0
4.64122E-5,7.001198223,0.199180044,0.543280777,0,0
4.81153E-5,7.251936216,0.205680502,0.537746685,0,0
4.93542E-5,7.500480762,0.210376474,0.532421426,0,0
5.0596E-5,7.750378872,0.215054962,0.527200585,0,0
5.15774E-5,8.000724112,0.218733058,0.52208416,0,0
5.28462E-5,8.251432784,0.223462704,0.517072152,0,0
5.40668E-5,8.5028718,0.227985806,0.512164561,0,0
5.51589E-5,8.753832388,0.232010256,0.507361387,0,0
5.62559E-5,9.004397721,0.236031778,0.502662629,0,0
5.76592E-5,9.255318099,0.241145333,0.498068289,0,0
5.90808E-5,9.500250495,0.246290625,0.493682782,0,0
6.0186E-5,9.75070373,0.250266453,0.489297275,0,0
6.16387E-5,10.000643218,0.255460994,0.485016185,0,0
6.27551E-5,10.255307145,0.259428162,0.480735094,0,0
