variable,x,y
wc2.0_bio_2.5m_1,-29.402600288391092,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-29.275789886474588,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-29.148979484558083,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-29.022169082641582,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-28.895358680725078,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-28.768548278808574,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-28.64173787689207,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-28.514927474975565,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-28.38811707305906,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-28.26130667114256,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-28.134496269226055,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-28.00768586730955,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-27.880875465393046,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-27.754065063476542,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-27.627254661560038,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-27.500444259643537,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-27.373633857727032,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-27.246823455810528,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-27.120013053894024,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-26.99320265197752,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-26.86639225006102,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-26.739581848144514,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-26.61277144622801,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-26.485961044311505,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-26.359150642395,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-26.232340240478496,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-26.105529838561992,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-25.97871943664549,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-25.851909034728987,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-25.725098632812482,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-25.598288230895978,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-25.471477828979474,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-25.344667427062973,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-25.21785702514647,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-25.091046623229964,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-24.96423622131346,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-24.837425819396955,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-24.710615417480454,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-24.58380501556395,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-24.456994613647446,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-24.33018421173094,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-24.203373809814437,1.2453038600312993E-11
wc2.0_bio_2.5m_1,-24.076563407897936,1.2828405004938759E-11
wc2.0_bio_2.5m_1,-23.94975300598143,1.4023893157855127E-11
wc2.0_bio_2.5m_1,-23.822942604064927,1.53307366801414E-11
wc2.0_bio_2.5m_1,-23.696132202148423,1.6759260645926588E-11
wc2.0_bio_2.5m_1,-23.56932180023192,1.8321011374666796E-11
wc2.0_bio_2.5m_1,-23.442511398315414,2.002831234193536E-11
wc2.0_bio_2.5m_1,-23.31570099639891,2.1894708268632712E-11
wc2.0_bio_2.5m_1,-23.18889059448241,2.3934965120986362E-11
wc2.0_bio_2.5m_1,-23.062080192565904,2.616529215515584E-11
wc2.0_bio_2.5m_1,-22.9352697906494,2.8603563961837608E-11
wc2.0_bio_2.5m_1,-22.808459388732896,3.1268987399357684E-11
wc2.0_bio_2.5m_1,-22.68164898681639,3.418287874978887E-11
wc2.0_bio_2.5m_1,-22.55483858489989,3.7368219629740906E-11
wc2.0_bio_2.5m_1,-22.428028182983386,4.085032312417525E-11
wc2.0_bio_2.5m_1,-22.30121778106688,4.4657055831009984E-11
wc2.0_bio_2.5m_1,-22.174407379150377,4.8818393771909996E-11
wc2.0_bio_2.5m_1,-22.047596977233873,5.3367532615311575E-11
wc2.0_bio_2.5m_1,-21.92078657531737,5.834077665411996E-11
wc2.0_bio_2.5m_1,-21.793976173400864,6.377720573880197E-11
wc2.0_bio_2.5m_1,-21.667165771484363,6.972034061192289E-11
wc2.0_bio_2.5m_1,-21.54035536956786,7.621725472972685E-11
wc2.0_bio_2.5m_1,-21.413544967651355,8.331968448516136E-11
wc2.0_bio_2.5m_1,-21.286734565734854,9.108391818557493E-11
wc2.0_bio_2.5m_1,-21.159924163818346,9.957168423113671E-11
wc2.0_bio_2.5m_1,-21.033113761901845,1.08850262137139E-10
wc2.0_bio_2.5m_1,-20.906303359985337,1.1899359275702182E-10
wc2.0_bio_2.5m_1,-20.779492958068836,1.3008205623776803E-10
wc2.0_bio_2.5m_1,-20.65268255615233,1.4220380428753288E-10
wc2.0_bio_2.5m_1,-20.525872154235827,1.5545531528715628E-10
wc2.0_bio_2.5m_1,-20.399061752319327,1.6994150531246532E-10
wc2.0_bio_2.5m_1,-20.272251350402822,1.857776155134161E-10
wc2.0_bio_2.5m_1,-20.145440948486318,2.0308943415869862E-10
wc2.0_bio_2.5m_1,-20.018630546569813,2.220144068587615E-10
wc2.0_bio_2.5m_1,-19.89182014465331,2.4270296883344145E-10
wc2.0_bio_2.5m_1,-19.765009742736808,2.653196551349879E-10
wc2.0_bio_2.5m_1,-19.6381993408203,2.9004365575957536E-10
wc2.0_bio_2.5m_1,-19.5113889389038,3.170714801825625E-10
wc2.0_bio_2.5m_1,-19.384578536987295,3.4661795655921424E-10
wc2.0_bio_2.5m_1,-19.25776813507079,3.789177860369364E-10
wc2.0_bio_2.5m_1,-19.130957733154286,4.142274301344173E-10
wc2.0_bio_2.5m_1,-19.00414733123778,4.5282799732149215E-10
wc2.0_bio_2.5m_1,-18.87733692932128,4.950250209745377E-10
wc2.0_bio_2.5m_1,-18.750526527404777,5.411541215138982E-10
wc2.0_bio_2.5m_1,-18.623716125488272,5.915818945823048E-10
wc2.0_bio_2.5m_1,-18.49690572357177,6.467086866024374E-10
wc2.0_bio_2.5m_1,-18.370095321655263,7.069725915798131E-10
wc2.0_bio_2.5m_1,-18.243284919738763,7.728532258610699E-10
wc2.0_bio_2.5m_1,-18.116474517822255,8.448719501785718E-10
wc2.0_bio_2.5m_1,-17.989664115905754,9.236017506353278E-10
wc2.0_bio_2.5m_1,-17.86285371398925,1.0096681268834118E-9
wc2.0_bio_2.5m_1,-17.736043312072745,1.103754532216783E-9
wc2.0_bio_2.5m_1,-17.60923291015624,1.2066084797979215E-9
wc2.0_bio_2.5m_1,-17.482422508239736,1.319048648085186E-9
wc2.0_bio_2.5m_1,-17.355612106323235,1.4419648808328134E-9
wc2.0_bio_2.5m_1,-17.22880170440673,1.5763350624808936E-9
wc2.0_bio_2.5m_1,-17.101991302490227,1.7232266724676037E-9
wc2.0_bio_2.5m_1,-16.975180900573726,1.8838064441695224E-9
wc2.0_bio_2.5m_1,-16.848370498657218,2.059352688377203E-9
wc2.0_bio_2.5m_1,-16.721560096740717,2.2512545161390562E-9
wc2.0_bio_2.5m_1,-16.594749694824213,2.461038928203152E-9
wc2.0_bio_2.5m_1,-16.467939292907708,2.6903719252402425E-9
wc2.0_bio_2.5m_1,-16.341128890991204,2.9410756052783427E-9
wc2.0_bio_2.5m_1,-16.2143184890747,3.21514126433442E-9
wc2.0_bio_2.5m_1,-16.0875080871582,3.5147504906518634E-9
wc2.0_bio_2.5m_1,-15.960697685241692,3.842271834031408E-9
