variable,x,y
wc2.0_bio_2.5m_6,-46.010000801086484,8.247523624049791E-7
wc2.0_bio_2.5m_6,-45.858560800170956,8.247523624049791E-7
wc2.0_bio_2.5m_6,-45.70712079925543,8.247523624049791E-7
wc2.0_bio_2.5m_6,-45.5556807983399,8.247523624049791E-7
wc2.0_bio_2.5m_6,-45.40424079742437,8.247523624049791E-7
wc2.0_bio_2.5m_6,-45.25280079650884,8.247523624049791E-7
wc2.0_bio_2.5m_6,-45.10136079559332,8.247523624049791E-7
wc2.0_bio_2.5m_6,-44.949920794677794,8.247523624049791E-7
wc2.0_bio_2.5m_6,-44.798480793762266,8.247523624049791E-7
wc2.0_bio_2.5m_6,-44.64704079284674,8.247523624049791E-7
wc2.0_bio_2.5m_6,-44.49560079193121,8.247523624049791E-7
wc2.0_bio_2.5m_6,-44.34416079101568,8.247523624049791E-7
wc2.0_bio_2.5m_6,-44.192720790100154,8.247523624049791E-7
wc2.0_bio_2.5m_6,-44.041280789184626,8.247523624049791E-7
wc2.0_bio_2.5m_6,-43.8898407882691,8.247523624049791E-7
wc2.0_bio_2.5m_6,-43.73840078735357,8.247523624049791E-7
wc2.0_bio_2.5m_6,-43.58696078643804,8.247523624049791E-7
wc2.0_bio_2.5m_6,-43.43552078552251,8.247523624049791E-7
wc2.0_bio_2.5m_6,-43.28408078460699,8.247523624049791E-7
wc2.0_bio_2.5m_6,-43.132640783691464,8.247523624049791E-7
wc2.0_bio_2.5m_6,-42.981200782775936,8.247523624049791E-7
wc2.0_bio_2.5m_6,-42.82976078186041,8.247523624049791E-7
wc2.0_bio_2.5m_6,-42.67832078094488,8.247523624049791E-7
wc2.0_bio_2.5m_6,-42.52688078002935,8.247523624049791E-7
wc2.0_bio_2.5m_6,-42.37544077911382,8.247523624049791E-7
wc2.0_bio_2.5m_6,-42.224000778198295,8.247523624049791E-7
wc2.0_bio_2.5m_6,-42.07256077728277,8.247523624049791E-7
wc2.0_bio_2.5m_6,-41.92112077636724,8.247523624049791E-7
wc2.0_bio_2.5m_6,-41.76968077545171,8.247523624049791E-7
wc2.0_bio_2.5m_6,-41.61824077453619,8.247523624049791E-7
wc2.0_bio_2.5m_6,-41.46680077362066,8.247523624049791E-7
wc2.0_bio_2.5m_6,-41.315360772705134,8.247523624049791E-7
wc2.0_bio_2.5m_6,-41.163920771789606,8.247523624049791E-7
wc2.0_bio_2.5m_6,-41.01248077087408,8.247523624049791E-7
wc2.0_bio_2.5m_6,-40.86104076995855,8.247523624049791E-7
wc2.0_bio_2.5m_6,-40.70960076904302,8.247523624049791E-7
wc2.0_bio_2.5m_6,-40.55816076812749,8.247523624049791E-7
wc2.0_bio_2.5m_6,-40.406720767211965,8.247523624049791E-7
wc2.0_bio_2.5m_6,-40.25528076629644,8.247523624049791E-7
wc2.0_bio_2.5m_6,-40.10384076538091,8.247523624049791E-7
wc2.0_bio_2.5m_6,-39.95240076446538,8.247523624049791E-7
wc2.0_bio_2.5m_6,-39.80096076354985,8.247523624049791E-7
wc2.0_bio_2.5m_6,-39.649520762634324,8.584529496147297E-7
wc2.0_bio_2.5m_6,-39.498080761718796,9.67748405855673E-7
wc2.0_bio_2.5m_6,-39.346640760803275,1.090458795260929E-6
wc2.0_bio_2.5m_6,-39.19520075988775,1.228165388056368E-6
wc2.0_bio_2.5m_6,-39.04376075897222,1.3826278291162453E-6
wc2.0_bio_2.5m_6,-38.89232075805669,1.555802896291425E-6
wc2.0_bio_2.5m_6,-38.74088075714116,1.7498707620688947E-6
wc2.0_bio_2.5m_6,-38.589440756225635,1.9672379494295456E-6
wc2.0_bio_2.5m_6,-38.43800075531011,2.2105921289039543E-6
wc2.0_bio_2.5m_6,-38.28656075439458,2.4829114408930764E-6
wc2.0_bio_2.5m_6,-38.13512075347905,2.7874982606590493E-6
wc2.0_bio_2.5m_6,-37.98368075256353,3.1280151233659126E-6
wc2.0_bio_2.5m_6,-37.832240751648,3.508519512251951E-6
wc2.0_bio_2.5m_6,-37.68080075073247,3.933505468012299E-6
wc2.0_bio_2.5m_6,-37.529360749816945,4.407947926665656E-6
wc2.0_bio_2.5m_6,-37.37792074890142,4.9373506953998E-6
wc2.0_bio_2.5m_6,-37.22648074798589,5.527799658011645E-6
wc2.0_bio_2.5m_6,-37.07504074707036,6.186039627209539E-6
wc2.0_bio_2.5m_6,-36.92360074615483,6.919467068655649E-6
wc2.0_bio_2.5m_6,-36.772160745239304,7.7363019954646E-6
wc2.0_bio_2.5m_6,-36.620720744323776,8.64559751789784E-6
wc2.0_bio_2.5m_6,-36.46928074340825,9.657337614044081E-6
wc2.0_bio_2.5m_6,-36.31784074249272,1.0782528079289477E-5
wc2.0_bio_2.5m_6,-36.16640074157719,1.203329702548217E-5
wc2.0_bio_2.5m_6,-36.014960740661664,1.3422994925349485E-5
wc2.0_bio_2.5m_6,-35.863520739746136,1.4966321032261476E-5
wc2.0_bio_2.5m_6,-35.712080738830615,1.6679439795552753E-5
wc2.0_bio_2.5m_6,-35.56064073791509,1.8580125470180064E-5
wc2.0_bio_2.5m_6,-35.40920073699956,2.0687910364358686E-5
wc2.0_bio_2.5m_6,-35.25776073608403,2.3024307665764354E-5
wc2.0_bio_2.5m_6,-35.1063207351685,2.5612744138925336E-5
wc2.0_bio_2.5m_6,-34.954880734252974,2.8479111279011704E-5
wc2.0_bio_2.5m_6,-34.803440733337446,3.165173257002607E-5
wc2.0_bio_2.5m_6,-34.65200073242192,3.516165816108696E-5
wc2.0_bio_2.5m_6,-34.50056073150639,3.9042886783136055E-5
wc2.0_bio_2.5m_6,-34.34912073059087,4.3332649511285126E-5
wc2.0_bio_2.5m_6,-34.19768072967534,4.807168079423718E-5
wc2.0_bio_2.5m_6,-34.04624072875981,5.330452768248506E-5
wc2.0_bio_2.5m_6,-33.894800727844284,5.9079880884382874E-5
wc2.0_bio_2.5m_6,-33.743360726928756,6.545092765009031E-5
wc2.0_bio_2.5m_6,-33.59192072601323,7.247593748616055E-5
wc2.0_bio_2.5m_6,-33.4404807250977,8.021792018553242E-5
wc2.0_bio_2.5m_6,-33.28904072418217,8.874617196852341E-5
wc2.0_bio_2.5m_6,-33.137600723266644,9.813603537622839E-5
wc2.0_bio_2.5m_6,-32.986160722351116,1.0846959776245058E-4
wc2.0_bio_2.5m_6,-32.83472072143559,1.1983622971456498E-4
wc2.0_bio_2.5m_6,-32.68328072052006,1.3233321078587323E-4
wc2.0_bio_2.5m_6,-32.53184071960453,1.4606631884817034E-4
wc2.0_bio_2.5m_6,-32.380400718689,1.6115058679133654E-4
wc2.0_bio_2.5m_6,-32.22896071777348,1.7771095735952258E-4
wc2.0_bio_2.5m_6,-32.077520716857954,1.9588311261031777E-4
wc2.0_bio_2.5m_6,-31.926080715942426,2.1581457986030728E-4
wc2.0_bio_2.5m_6,-31.774640715026898,2.3766457161400467E-4
wc2.0_bio_2.5m_6,-31.62320071411137,2.6160647394135594E-4
wc2.0_bio_2.5m_6,-31.47176071319584,2.878282102756202E-4
wc2.0_bio_2.5m_6,-31.320320712280314,3.165322996210307E-4
wc2.0_bio_2.5m_6,-31.168880711364785,3.479388542473316E-4
