variable,x,y
wc2.0_bio_2.5m_6,-46.35480003356934,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-46.202284832763674,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-46.049769631958014,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-45.89725443115235,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-45.74473923034668,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-45.59222402954102,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-45.439708828735355,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-45.28719362792969,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-45.13467842712403,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-44.98216322631836,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-44.8296480255127,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-44.67713282470704,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-44.52461762390137,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-44.372102423095704,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-44.219587222290045,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-44.06707202148438,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-43.91455682067871,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-43.76204161987305,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-43.609526419067386,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-43.45701121826172,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-43.30449601745606,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-43.15198081665039,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-42.99946561584473,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-42.84695041503907,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-42.6944352142334,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-42.541920013427735,3.6637359812630166E-15
wc2.0_bio_2.5m_6,-42.389404812622075,3.6637359812630166E-15
