variable,x,y
wc2.0_bio_2.5m_5,-12.319599962234506,5.009268716094084E-5
wc2.0_bio_2.5m_5,-12.195001557922371,5.009268716094084E-5
wc2.0_bio_2.5m_5,-12.070403153610238,5.009268716094084E-5
wc2.0_bio_2.5m_5,-11.945804749298103,5.009268716094084E-5
wc2.0_bio_2.5m_5,-11.82120634498597,5.009268716094084E-5
wc2.0_bio_2.5m_5,-11.696607940673836,5.009268716094084E-5
wc2.0_bio_2.5m_5,-11.572009536361701,5.009268716094084E-5
wc2.0_bio_2.5m_5,-11.447411132049568,5.009268716094084E-5
wc2.0_bio_2.5m_5,-11.322812727737434,5.009268716094084E-5
wc2.0_bio_2.5m_5,-11.1982143234253,5.009268716094084E-5
wc2.0_bio_2.5m_5,-11.073615919113166,5.009268716094084E-5
wc2.0_bio_2.5m_5,-10.949017514801033,5.009268716094084E-5
wc2.0_bio_2.5m_5,-10.824419110488899,5.009268716094084E-5
wc2.0_bio_2.5m_5,-10.699820706176764,5.009268716094084E-5
wc2.0_bio_2.5m_5,-10.575222301864631,5.009268716094084E-5
wc2.0_bio_2.5m_5,-10.450623897552497,5.009268716094084E-5
wc2.0_bio_2.5m_5,-10.326025493240364,5.009268716094084E-5
wc2.0_bio_2.5m_5,-10.201427088928229,5.009268716094084E-5
wc2.0_bio_2.5m_5,-10.076828684616096,5.009268716094084E-5
wc2.0_bio_2.5m_5,-9.952230280303962,5.009268716094084E-5
wc2.0_bio_2.5m_5,-9.827631875991827,5.009268716094084E-5
wc2.0_bio_2.5m_5,-9.703033471679694,5.009268716094084E-5
wc2.0_bio_2.5m_5,-9.57843506736756,5.009268716094084E-5
wc2.0_bio_2.5m_5,-9.453836663055426,5.009268716094084E-5
wc2.0_bio_2.5m_5,-9.329238258743292,5.009268716094084E-5
wc2.0_bio_2.5m_5,-9.204639854431157,5.009268716094084E-5
wc2.0_bio_2.5m_5,-9.080041450119024,5.009268716094084E-5
wc2.0_bio_2.5m_5,-8.95544304580689,5.009268716094084E-5
wc2.0_bio_2.5m_5,-8.830844641494757,5.009268716094084E-5
wc2.0_bio_2.5m_5,-8.706246237182622,5.009268716094084E-5
wc2.0_bio_2.5m_5,-8.581647832870487,5.009268716094084E-5
wc2.0_bio_2.5m_5,-8.457049428558355,5.009268716094084E-5
wc2.0_bio_2.5m_5,-8.33245102424622,5.009268716094084E-5
wc2.0_bio_2.5m_5,-8.207852619934087,5.009268716094084E-5
wc2.0_bio_2.5m_5,-8.083254215621952,5.009268716094084E-5
wc2.0_bio_2.5m_5,-7.958655811309819,5.009268716094084E-5
wc2.0_bio_2.5m_5,-7.834057406997685,5.009268716094084E-5
wc2.0_bio_2.5m_5,-7.70945900268555,5.009268716094084E-5
wc2.0_bio_2.5m_5,-7.584860598373417,5.009268716094084E-5
wc2.0_bio_2.5m_5,-7.460262194061283,5.009268716094084E-5
wc2.0_bio_2.5m_5,-7.33566378974915,5.009268716094084E-5
wc2.0_bio_2.5m_5,-7.211065385437015,5.009268716094084E-5
wc2.0_bio_2.5m_5,-7.0864669811248815,5.0847815145971254E-5
wc2.0_bio_2.5m_5,-6.961868576812748,5.318217154126614E-5
wc2.0_bio_2.5m_5,-6.837270172500614,5.5623702792217955E-5
wc2.0_bio_2.5m_5,-6.712671768188479,5.8177316532237455E-5
wc2.0_bio_2.5m_5,-6.5880733638763465,6.084816050133668E-5
wc2.0_bio_2.5m_5,-6.463474959564212,6.364161527017131E-5
wc2.0_bio_2.5m_5,-6.338876555252077,6.656329787801951E-5
wc2.0_bio_2.5m_5,-6.214278150939944,6.96191200404428E-5
wc2.0_bio_2.5m_5,-6.08967974662781,7.281522266566753E-5
wc2.0_bio_2.5m_5,-5.965081342315677,7.615804497618228E-5
wc2.0_bio_2.5m_5,-5.840482938003542,7.965432450873777E-5
wc2.0_bio_2.5m_5,-5.715884533691408,8.331109711434692E-5
wc2.0_bio_2.5m_5,-5.591286129379275,8.713574788998812E-5
wc2.0_bio_2.5m_5,-5.466687725067141,9.113597479881719E-5
wc2.0_bio_2.5m_5,-5.342089320755006,9.531983232591301E-5
wc2.0_bio_2.5m_5,-5.217490916442873,9.969573875423521E-5
wc2.0_bio_2.5m_5,-5.092892512130739,1.0427254164824262E-4
wc2.0_bio_2.5m_5,-4.968294107818605,1.0905943781835958E-4
wc2.0_bio_2.5m_5,-4.843695703506471,1.1406608246034011E-4
wc2.0_bio_2.5m_5,-4.719097299194337,1.1930255277547985E-4
wc2.0_bio_2.5m_5,-4.594498894882204,1.2477938435040414E-4
wc2.0_bio_2.5m_5,-4.46990049057007,1.3050762936472893E-4
wc2.0_bio_2.5m_5,-4.345302086257935,1.3649884203914553E-4
wc2.0_bio_2.5m_5,-4.2207036819458015,1.4276507135946304E-4
wc2.0_bio_2.5m_5,-4.096105277633667,1.4931893383618444E-4
wc2.0_bio_2.5m_5,-3.971506873321534,1.5617362805642188E-4
wc2.0_bio_2.5m_5,-3.8469084690093993,1.6334296378772706E-4
wc2.0_bio_2.5m_5,-3.7223100646972664,1.708414201857522E-4
wc2.0_bio_2.5m_5,-3.597711660385132,1.786840584827587E-4
wc2.0_bio_2.5m_5,-3.473113256072997,1.868866675067693E-4
wc2.0_bio_2.5m_5,-3.3485148517608643,1.9546582188922912E-4
wc2.0_bio_2.5m_5,-3.2239164474487314,2.0443873654585332E-4
wc2.0_bio_2.5m_5,-3.099318043136595,2.138235286111012E-4
wc2.0_bio_2.5m_5,-2.974719638824462,2.2363908647093922E-4
wc2.0_bio_2.5m_5,-2.8501212345123292,2.33905142522417E-4
wc2.0_bio_2.5m_5,-2.7255228302001946,2.44642433244735E-4
wc2.0_bio_2.5m_5,-2.60092442588806,2.5587252457626164E-4
wc2.0_bio_2.5m_5,-2.476326021575927,2.676180738490075E-4
wc2.0_bio_2.5m_5,-2.351727617263794,2.799027133733034E-4
wc2.0_bio_2.5m_5,-2.2271292129516578,2.9275118140503764E-4
wc2.0_bio_2.5m_5,-2.102530808639525,3.061893512494862E-4
wc2.0_bio_2.5m_5,-1.977932404327392,3.202442603651434E-4
wc2.0_bio_2.5m_5,-1.8533340000152574,3.349442267790437E-4
wc2.0_bio_2.5m_5,-1.7287355957031227,3.50318819982931E-4
wc2.0_bio_2.5m_5,-1.6041371913909899,3.6639903555624187E-4
wc2.0_bio_2.5m_5,-1.4795387870788552,3.8321720785461366E-4
wc2.0_bio_2.5m_5,-1.3549403827667224,4.008071846328676E-4
wc2.0_bio_2.5m_5,-1.2303419784545877,4.1920438525266945E-4
wc2.0_bio_2.5m_5,-1.105743574142453,4.384458879940212E-4
wc2.0_bio_2.5m_5,-0.9811451698303202,4.585703427437693E-4
wc2.0_bio_2.5m_5,-0.8565467655181873,4.7961826203390956E-4
wc2.0_bio_2.5m_5,-0.7319483612060509,5.016320501454175E-4
wc2.0_bio_2.5m_5,-0.607349956893918,5.246559157967567E-4
wc2.0_bio_2.5m_5,-0.48275155258178515,5.487363087013364E-4
wc2.0_bio_2.5m_5,-0.3581531482696487,5.739215994253755E-4
wc2.0_bio_2.5m_5,-0.23355474395751585,6.002624286338687E-4
wc2.0_bio_2.5m_5,-0.10895633964538298,6.278118235059083E-4
wc2.0_bio_2.5m_5,0.015642064666751665,6.566252559423447E-4
wc2.0_bio_2.5m_5,0.1402404689788863,6.867605843581259E-4
