variable,x,y
wc2.0_bio_2.5m_5,-12.335999631881721,1.542112477181945E-5
wc2.0_bio_2.5m_5,-12.210719633483894,1.542112477181945E-5
wc2.0_bio_2.5m_5,-12.085439635086066,1.542112477181945E-5
wc2.0_bio_2.5m_5,-11.960159636688239,1.542112477181945E-5
wc2.0_bio_2.5m_5,-11.834879638290412,1.542112477181945E-5
wc2.0_bio_2.5m_5,-11.709599639892586,1.542112477181945E-5
wc2.0_bio_2.5m_5,-11.584319641494758,1.542112477181945E-5
wc2.0_bio_2.5m_5,-11.459039643096931,1.542112477181945E-5
wc2.0_bio_2.5m_5,-11.333759644699104,1.542112477181945E-5
wc2.0_bio_2.5m_5,-11.208479646301276,1.542112477181945E-5
wc2.0_bio_2.5m_5,-11.083199647903449,1.542112477181945E-5
wc2.0_bio_2.5m_5,-10.957919649505621,1.542112477181945E-5
wc2.0_bio_2.5m_5,-10.832639651107794,1.542112477181945E-5
wc2.0_bio_2.5m_5,-10.707359652709966,1.542112477181945E-5
wc2.0_bio_2.5m_5,-10.58207965431214,1.542112477181945E-5
wc2.0_bio_2.5m_5,-10.456799655914313,1.542112477181945E-5
wc2.0_bio_2.5m_5,-10.331519657516486,1.542112477181945E-5
wc2.0_bio_2.5m_5,-10.206239659118658,1.542112477181945E-5
wc2.0_bio_2.5m_5,-10.080959660720831,1.542112477181945E-5
wc2.0_bio_2.5m_5,-9.955679662323003,1.542112477181945E-5
wc2.0_bio_2.5m_5,-9.830399663925176,1.542112477181945E-5
wc2.0_bio_2.5m_5,-9.705119665527349,1.542112477181945E-5
wc2.0_bio_2.5m_5,-9.579839667129523,1.542112477181945E-5
wc2.0_bio_2.5m_5,-9.454559668731696,1.542112477181945E-5
wc2.0_bio_2.5m_5,-9.329279670333868,1.542112477181945E-5
wc2.0_bio_2.5m_5,-9.20399967193604,1.542112477181945E-5
wc2.0_bio_2.5m_5,-9.078719673538213,1.542112477181945E-5
wc2.0_bio_2.5m_5,-8.953439675140386,1.542112477181945E-5
wc2.0_bio_2.5m_5,-8.828159676742558,1.542112477181945E-5
wc2.0_bio_2.5m_5,-8.70287967834473,1.542112477181945E-5
wc2.0_bio_2.5m_5,-8.577599679946903,1.542112477181945E-5
wc2.0_bio_2.5m_5,-8.452319681549076,1.542112477181945E-5
wc2.0_bio_2.5m_5,-8.327039683151249,1.542112477181945E-5
wc2.0_bio_2.5m_5,-8.201759684753423,1.542112477181945E-5
wc2.0_bio_2.5m_5,-8.076479686355595,1.542112477181945E-5
wc2.0_bio_2.5m_5,-7.951199687957767,1.542112477181945E-5
wc2.0_bio_2.5m_5,-7.8259196895599406,1.542112477181945E-5
wc2.0_bio_2.5m_5,-7.700639691162113,1.542112477181945E-5
wc2.0_bio_2.5m_5,-7.575359692764286,1.542112477181945E-5
wc2.0_bio_2.5m_5,-7.450079694366459,1.542112477181945E-5
wc2.0_bio_2.5m_5,-7.324799695968632,1.542112477181945E-5
wc2.0_bio_2.5m_5,-7.199519697570804,1.542112477181945E-5
wc2.0_bio_2.5m_5,-7.074239699172977,1.5744904885650612E-5
wc2.0_bio_2.5m_5,-6.94895970077515,1.675646853982471E-5
wc2.0_bio_2.5m_5,-6.823679702377323,1.7831202058005147E-5
wc2.0_bio_2.5m_5,-6.698399703979495,1.8972936231875792E-5
wc2.0_bio_2.5m_5,-6.573119705581669,2.018571103690192E-5
wc2.0_bio_2.5m_5,-6.447839707183841,2.1473815650097094E-5
wc2.0_bio_2.5m_5,-6.322559708786013,2.2841786631033756E-5
wc2.0_bio_2.5m_5,-6.1972797103881865,2.4294424292747863E-5
wc2.0_bio_2.5m_5,-6.071999711990359,2.5836810891632922E-5
wc2.0_bio_2.5m_5,-5.946719713592532,2.7474308808450587E-5
wc2.0_bio_2.5m_5,-5.821439715194704,2.921260784205515E-5
wc2.0_bio_2.5m_5,-5.696159716796878,3.105771611444652E-5
wc2.0_bio_2.5m_5,-5.57087971839905,3.3015996450558305E-5
wc2.0_bio_2.5m_5,-5.445599720001223,3.509417729219422E-5
wc2.0_bio_2.5m_5,-5.320319721603396,3.729934906004928E-5
wc2.0_bio_2.5m_5,-5.195039723205569,3.9639042370254174E-5
wc2.0_bio_2.5m_5,-5.069759724807741,4.212119529256597E-5
wc2.0_bio_2.5m_5,-4.944479726409915,4.475420792005025E-5
wc2.0_bio_2.5m_5,-4.819199728012087,4.754696783493273E-5
wc2.0_bio_2.5m_5,-4.69391972961426,5.0508831918705255E-5
wc2.0_bio_2.5m_5,-4.5686397312164315,5.364972457755357E-5
wc2.0_bio_2.5m_5,-4.443359732818605,5.698011227650568E-5
wc2.0_bio_2.5m_5,-4.3180797344207775,6.0511061747092754E-5
wc2.0_bio_2.5m_5,-4.19279973602295,6.425426545320079E-5
wc2.0_bio_2.5m_5,-4.067519737625124,6.82220488670282E-5
wc2.0_bio_2.5m_5,-3.942239739227297,7.242744322866201E-5
wc2.0_bio_2.5m_5,-3.8169597408294695,7.688421464990824E-5
wc2.0_bio_2.5m_5,-3.6916797424316403,8.160690049408004E-5
wc2.0_bio_2.5m_5,-3.566399744033813,8.661083120387048E-5
wc2.0_bio_2.5m_5,-3.441119745635987,9.191220306092873E-5
wc2.0_bio_2.5m_5,-3.3158397472381598,9.75280927377753E-5
wc2.0_bio_2.5m_5,-3.1905597488403323,1.0347653733333573E-4
wc2.0_bio_2.5m_5,-3.065279750442505,1.0977659258060157E-4
wc2.0_bio_2.5m_5,-2.9399997520446775,1.164482964668423E-4
wc2.0_bio_2.5m_5,-2.81471975364685,1.2351287296041846E-4
wc2.0_bio_2.5m_5,-2.6894397552490226,1.3099261559545994E-4
wc2.0_bio_2.5m_5,-2.564159756851197,1.3891112757846713E-4
wc2.0_bio_2.5m_5,-2.4388797584533695,1.472932635806501E-4
wc2.0_bio_2.5m_5,-2.313599760055542,1.5616520249750465E-4
wc2.0_bio_2.5m_5,-2.1883197616577146,1.6555460751987994E-4
wc2.0_bio_2.5m_5,-2.063039763259887,1.7549058247823268E-4
wc2.0_bio_2.5m_5,-1.9377597648620597,1.860038610175252E-4
wc2.0_bio_2.5m_5,-1.8124797664642323,1.9712679204531014E-4
wc2.0_bio_2.5m_5,-1.6871997680664066,2.088934852508828E-4
wc2.0_bio_2.5m_5,-1.5619197696685791,2.2133988386485726E-4
wc2.0_bio_2.5m_5,-1.4366397712707517,2.3450386652257293E-4
wc2.0_bio_2.5m_5,-1.3113597728729243,2.484253200236708E-4
wc2.0_bio_2.5m_5,-1.1860797744750968,2.6314627029933035E-4
wc2.0_bio_2.5m_5,-1.0607997760772694,2.7871099882759154E-4
wc2.0_bio_2.5m_5,-0.9355197776794437,2.951661008410156E-4
wc2.0_bio_2.5m_5,-0.8102397792816163,3.1256070360541344E-4
wc2.0_bio_2.5m_5,-0.6849597808837888,3.3094643731601536E-4
wc2.0_bio_2.5m_5,-0.5596797824859614,3.503777552396059E-4
wc2.0_bio_2.5m_5,-0.43439978408813396,3.709119337145239E-4
wc2.0_bio_2.5m_5,-0.30911978569030474,3.926092176698148E-4
wc2.0_bio_2.5m_5,-0.1838397872924773,4.1553311166353524E-4
wc2.0_bio_2.5m_5,-0.05855978889465163,4.39750321675092E-4
wc2.0_bio_2.5m_5,0.06672020950317581,4.6533113345503807E-4
wc2.0_bio_2.5m_5,0.19200020790100325,4.923494416289032E-4
wc2.0_bio_2.5m_5,0.3172802062988307,5.208828952163458E-4
wc2.0_bio_2.5m_5,0.44256020469665813,5.510133923962712E-4
wc2.0_bio_2.5m_5,0.5678402030944856,5.828267894685268E-4
wc2.0_bio_2.5m_5,0.693120201492313,6.164135411381721E-4
wc2.0_bio_2.5m_5,0.8184001998901387,6.518687005154788E-4
wc2.0_bio_2.5m_5,0.9436801982879661,6.892921519465744E-4
wc2.0_bio_2.5m_5,1.0689601966857936,7.287889602594078E-4
wc2.0_bio_2.5m_5,1.194240195083621,7.704695453867316E-4
wc2.0_bio_2.5m_5,1.3195201934814484,8.144498569890857E-4
wc2.0_bio_2.5m_5,1.4448001918792759,8.608517237007618E-4
wc2.0_bio_2.5m_5,1.5700801902771033,9.098033769987524E-4
wc2.0_bio_2.5m_5,1.695360188674929,9.614392183721066E-4
wc2.0_bio_2.5m_5,1.8206401870727564,0.0010159005178138614
wc2.0_bio_2.5m_5,1.9459201854705839,0.001073335763067007
wc2.0_bio_2.5m_5,2.0712001838684113,0.0011339006014168262
wc2.0_bio_2.5m_5,2.1964801822662388,0.0011977589456364512
wc2.0_bio_2.5m_5,2.321760180664066,0.0012650821590796113
wc2.0_bio_2.5m_5,2.447040179061892,0.00133605080191046
wc2.0_bio_2.5m_5,2.5723201774597193,0.001410854049026966
wc2.0_bio_2.5m_5,2.6976001758575467,0.0014896901557222009
wc2.0_bio_2.5m_5,2.822880174255374,0.0015727679710835218
wc2.0_bio_2.5m_5,2.9481601726532016,0.0016603056574240327
wc2.0_bio_2.5m_5,3.073440171051029,0.0017525325529277325
wc2.0_bio_2.5m_5,3.1987201694488583,0.0018496894044801593
wc2.0_bio_2.5m_5,3.324000167846684,0.0019520280184224248
wc2.0_bio_2.5m_5,3.4492801662445114,0.0020598131231963634
wc2.0_bio_2.5m_5,3.574560164642339,0.0021733215544372797
wc2.0_bio_2.5m_5,3.6998401630401663,0.0022928444668650627
wc2.0_bio_2.5m_5,3.825120161437992,0.002418686170130968
wc2.0_bio_2.5m_5,3.950400159835821,0.002551165409386158
wc2.0_bio_2.5m_5,4.075680158233647,0.002690617460757494
wc2.0_bio_2.5m_5,4.2009601566314725,0.002837392268702388
wc2.0_bio_2.5m_5,4.326240155029302,0.0029918565414845943
wc2.0_bio_2.5m_5,4.451520153427127,0.003154395380988717
wc2.0_bio_2.5m_5,4.576800151824953,0.003325411584228277
wc2.0_bio_2.5m_5,4.702080150222782,0.0035053251776844263
wc2.0_bio_2.5m_5,4.827360148620608,0.0036945785395801067
wc2.0_bio_2.5m_5,4.952640147018441,0.003893633373081684
wc2.0_bio_2.5m_5,5.077920145416266,0.00410297280177474
wc2.0_bio_2.5m_5,5.203200143814096,0.004323103465139866
wc2.0_bio_2.5m_5,5.328480142211921,0.004554552957415581
wc2.0_bio_2.5m_5,5.453760140609747,0.004797875415533781
wc2.0_bio_2.5m_5,5.579040139007576,0.005053650122135878
wc2.0_bio_2.5m_5,5.704320137405402,0.005322481971234083
wc2.0_bio_2.5m_5,5.829600135803231,0.005605005193501711
wc2.0_bio_2.5m_5,5.954880134201057,0.005901878699660301
wc2.0_bio_2.5m_5,6.080160132598886,0.006213794928044081
wc2.0_bio_2.5m_5,6.2054401309967115,0.006541477050632238
wc2.0_bio_2.5m_5,6.330720129394537,0.006885678973048925
wc2.0_bio_2.5m_5,6.456000127792366,0.007247190922498703
wc2.0_bio_2.5m_5,6.581280126190192,0.0076268333941698074
wc2.0_bio_2.5m_5,6.706560124588021,0.00802546739578247
wc2.0_bio_2.5m_5,6.831840122985847,0.008443989790976048
wc2.0_bio_2.5m_5,6.957120121383676,0.008883337490260601
wc2.0_bio_2.5m_5,7.082400119781502,0.009344490244984627
wc2.0_bio_2.5m_5,7.2076801181793275,0.00982846412807703
wc2.0_bio_2.5m_5,7.332960116577157,0.010336323641240597
wc2.0_bio_2.5m_5,7.458240114974982,0.010869178920984268
wc2.0_bio_2.5m_5,7.583520113372812,0.011428184807300568
wc2.0_bio_2.5m_5,7.708800111770637,0.012014549225568771
wc2.0_bio_2.5m_5,7.8340801101684665,0.012629523873329163
wc2.0_bio_2.5m_5,7.959360108566292,0.0132744200527668
wc2.0_bio_2.5m_5,8.084640106964118,0.01395060122013092
wc2.0_bio_2.5m_5,8.209920105361947,0.014659480191767216
wc2.0_bio_2.5m_5,8.335200103759773,0.015402543358504772
wc2.0_bio_2.5m_5,8.460480102157602,0.01618131808936596
wc2.0_bio_2.5m_5,8.585760100555428,0.016997413709759712
wc2.0_bio_2.5m_5,8.711040098953257,0.01785249076783657
wc2.0_bio_2.5m_5,8.836320097351082,0.018748268485069275
wc2.0_bio_2.5m_5,8.961600095748908,0.019686561077833176
wc2.0_bio_2.5m_5,9.086880094146737,0.02066922001540661
wc2.0_bio_2.5m_5,9.212160092544563,0.021698202937841415
wc2.0_bio_2.5m_5,9.337440090942392,0.022775515913963318
wc2.0_bio_2.5m_5,9.462720089340218,0.023903243243694305
wc2.0_bio_2.5m_5,9.588000087738047,0.025083573535084724
wc2.0_bio_2.5m_5,9.713280086135873,0.026318736374378204
wc2.0_bio_2.5m_5,9.838560084533698,0.02761108987033367
wc2.0_bio_2.5m_5,9.963840082931528,0.028963040560483932
wc2.0_bio_2.5m_5,10.089120081329353,0.030377088114619255
wc2.0_bio_2.5m_5,10.214400079727183,0.03185584396123886
wc2.0_bio_2.5m_5,10.339680078125008,0.0334019772708416
wc2.0_bio_2.5m_5,10.464960076522834,0.03501829132437706
wc2.0_bio_2.5m_5,10.590240074920663,0.036707647144794464
wc2.0_bio_2.5m_5,10.715520073318489,0.03847299888730049
wc2.0_bio_2.5m_5,10.840800071716318,0.04031744971871376
wc2.0_bio_2.5m_5,10.966080070114144,0.04224413260817528
wc2.0_bio_2.5m_5,11.091360068511973,0.04425634816288948
wc2.0_bio_2.5m_5,11.216640066909799,0.04635745659470558
wc2.0_bio_2.5m_5,11.341920065307624,0.04855090752243996
wc2.0_bio_2.5m_5,11.467200063705453,0.05084031820297241
wc2.0_bio_2.5m_5,11.592480062103279,0.05322933569550514
wc2.0_bio_2.5m_5,11.717760060501112,0.05572177469730377
wc2.0_bio_2.5m_5,11.843040058898938,0.0583215206861496
wc2.0_bio_2.5m_5,11.968320057296767,0.06103253364562988
wc2.0_bio_2.5m_5,12.093600055694592,0.06385896354913712
