variable,x,y
wc2.0_bio_2.5m_1,-29.15788288116451,9.516354992911147E-8
wc2.0_bio_2.5m_1,-29.030917681884727,9.516354992911147E-8
wc2.0_bio_2.5m_1,-28.90395248260494,9.516354992911147E-8
wc2.0_bio_2.5m_1,-28.776987283325155,9.516354992911147E-8
wc2.0_bio_2.5m_1,-28.65002208404537,9.516354992911147E-8
wc2.0_bio_2.5m_1,-28.523056884765587,9.516354992911147E-8
wc2.0_bio_2.5m_1,-28.3960916854858,9.516354992911147E-8
wc2.0_bio_2.5m_1,-28.269126486206016,9.516354992911147E-8
wc2.0_bio_2.5m_1,-28.142161286926232,9.516354992911147E-8
wc2.0_bio_2.5m_1,-28.015196087646444,9.516354992911147E-8
wc2.0_bio_2.5m_1,-27.88823088836666,9.516354992911147E-8
wc2.0_bio_2.5m_1,-27.761265689086876,9.516354992911147E-8
wc2.0_bio_2.5m_1,-27.63430048980709,9.516354992911147E-8
wc2.0_bio_2.5m_1,-27.507335290527305,9.516354992911147E-8
wc2.0_bio_2.5m_1,-27.38037009124752,9.516354992911147E-8
wc2.0_bio_2.5m_1,-27.253404891967737,9.516354992911147E-8
wc2.0_bio_2.5m_1,-27.12643969268795,9.516354992911147E-8
wc2.0_bio_2.5m_1,-26.999474493408165,9.516354992911147E-8
wc2.0_bio_2.5m_1,-26.87250929412838,9.516354992911147E-8
wc2.0_bio_2.5m_1,-26.745544094848594,9.516354992911147E-8
wc2.0_bio_2.5m_1,-26.61857889556881,9.516354992911147E-8
wc2.0_bio_2.5m_1,-26.491613696289026,9.516354992911147E-8
wc2.0_bio_2.5m_1,-26.36464849700924,9.516354992911147E-8
wc2.0_bio_2.5m_1,-26.237683297729454,9.516354992911147E-8
wc2.0_bio_2.5m_1,-26.11071809844967,9.516354992911147E-8
wc2.0_bio_2.5m_1,-25.983752899169886,9.516354992911147E-8
wc2.0_bio_2.5m_1,-25.8567876998901,9.516354992911147E-8
wc2.0_bio_2.5m_1,-25.729822500610315,9.516354992911147E-8
wc2.0_bio_2.5m_1,-25.60285730133053,9.516354992911147E-8
wc2.0_bio_2.5m_1,-25.475892102050743,9.516354992911147E-8
wc2.0_bio_2.5m_1,-25.34892690277096,9.516354992911147E-8
wc2.0_bio_2.5m_1,-25.221961703491175,9.516354992911147E-8
wc2.0_bio_2.5m_1,-25.09499650421139,9.516354992911147E-8
wc2.0_bio_2.5m_1,-24.968031304931607,9.516354992911147E-8
wc2.0_bio_2.5m_1,-24.84106610565182,9.516354992911147E-8
wc2.0_bio_2.5m_1,-24.714100906372035,9.516354992911147E-8
wc2.0_bio_2.5m_1,-24.58713570709225,9.516354992911147E-8
wc2.0_bio_2.5m_1,-24.460170507812464,9.516354992911147E-8
wc2.0_bio_2.5m_1,-24.33320530853268,9.516354992911147E-8
wc2.0_bio_2.5m_1,-24.206240109252896,9.516354992911147E-8
wc2.0_bio_2.5m_1,-24.07927490997311,9.516354992911147E-8
wc2.0_bio_2.5m_1,-23.952309710693324,9.516354992911147E-8
wc2.0_bio_2.5m_1,-23.82534451141354,9.783479271163742E-8
wc2.0_bio_2.5m_1,-23.698379312133753,1.0630547819800995E-7
wc2.0_bio_2.5m_1,-23.57141411285397,1.1550749690059092E-7
wc2.0_bio_2.5m_1,-23.444448913574185,1.2550394501431583E-7
wc2.0_bio_2.5m_1,-23.317483714294397,1.3636291384955257E-7
wc2.0_bio_2.5m_1,-23.190518515014613,1.4815874749274371E-7
wc2.0_bio_2.5m_1,-23.06355331573483,1.6097226307465462E-7
wc2.0_bio_2.5m_1,-22.936588116455045,1.748906015563989E-7
wc2.0_bio_2.5m_1,-22.809622917175258,1.90008947242859E-7
wc2.0_bio_2.5m_1,-22.682657717895474,2.0643072673465213E-7
wc2.0_bio_2.5m_1,-22.55569251861569,2.242674668195832E-7
wc2.0_bio_2.5m_1,-22.428727319335906,2.436410113659804E-7
wc2.0_bio_2.5m_1,-22.301762120056118,2.646837060638063E-7
wc2.0_bio_2.5m_1,-22.174796920776334,2.875382847378205E-7
wc2.0_bio_2.5m_1,-22.04783172149655,3.1236066888595815E-7
wc2.0_bio_2.5m_1,-21.920866522216762,3.393201950530056E-7
wc2.0_bio_2.5m_1,-21.79390132293698,3.685994727220532E-7
wc2.0_bio_2.5m_1,-21.666936123657194,4.003979938715929E-7
wc2.0_bio_2.5m_1,-21.539970924377407,4.349324456143222E-7
wc2.0_bio_2.5m_1,-21.413005725097623,4.724363975583401E-7
wc2.0_bio_2.5m_1,-21.28604052581784,5.131650482326222E-7
wc2.0_bio_2.5m_1,-21.159075326538055,5.573955377258244E-7
wc2.0_bio_2.5m_1,-21.03211012725827,6.054266918908979E-7
wc2.0_bio_2.5m_1,-20.905144927978483,6.575848487955227E-7
wc2.0_bio_2.5m_1,-20.7781797286987,7.142245408431336E-7
wc2.0_bio_2.5m_1,-20.651214529418912,7.757278694953129E-7
wc2.0_bio_2.5m_1,-20.524249330139128,8.425121791333368E-7
wc2.0_bio_2.5m_1,-20.397284130859344,9.150307391792012E-7
wc2.0_bio_2.5m_1,-20.27031893157956,9.937721188180149E-7
wc2.0_bio_2.5m_1,-20.143353732299772,1.0792700777528808E-6
wc2.0_bio_2.5m_1,-20.016388533019988,1.172104020952247E-6
wc2.0_bio_2.5m_1,-19.889423333740204,1.2728986575893941E-6
wc2.0_bio_2.5m_1,-19.762458134460417,1.3823362223774893E-6
wc2.0_bio_2.5m_1,-19.635492935180633,1.501157385064289E-6
wc2.0_bio_2.5m_1,-19.50852773590085,1.6301607956847874E-6
wc2.0_bio_2.5m_1,-19.38156253662106,1.7702183185974718E-6
wc2.0_bio_2.5m_1,-19.25459733734128,1.92227662410005E-6
wc2.0_bio_2.5m_1,-19.127632138061493,2.0873565063084243E-6
wc2.0_bio_2.5m_1,-19.000666938781706,2.2665722099191044E-6
wc2.0_bio_2.5m_1,-18.873701739501925,2.461133362885448E-6
wc2.0_bio_2.5m_1,-18.746736540222138,2.6723444079834735E-6
wc2.0_bio_2.5m_1,-18.61977134094235,2.901628704421455E-6
