Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.09318E-11,0.000000004,0.000000255,1,0,0
7.69406E-11,0.000000016,0.00000048,0.999845021,0,0
1.03733E-10,0.000000034,0.000000647,0.999690043,0,0
1.88318E-10,0.000000103,0.000001175,0.999380085,0,0
2.22063E-10,0.00000025,0.000001386,0.99883766,0,0
4.63379E-10,0.000001008,0.000002892,0.997210384,0,0
6.88842E-10,0.000002503,0.000004299,0.995118171,0,0
1.47081E-9,0.000010041,0.000009179,0.989538938,0,0
3.00161E-9,0.000025024,0.000018731,0.984037195,0,0
5.06077E-9,0.000050113,0.000031581,0.979155366,0,0
8.48759E-9,0.000100558,0.000052966,0.973111197,0,0
1.88487E-8,0.000251395,0.000117618,0.963967454,0,0
3.2115E-8,0.000502827,0.000200394,0.956141031,0,0
6.43458E-8,0.001000631,0.000401471,0.948004649,0,0
1.47834E-7,0.002506163,0.000922134,0.937156141,0,0
2.41555E-7,0.005023767,0.001506294,0.926772569,0,0
3.89496E-7,0.010004476,0.002427705,0.914064316,0,0
7.98941E-7,0.025054799,0.004973399,0.893839597,0,0
1.22023E-6,0.050078593,0.007585924,0.874467261,0,0
1.77952E-6,0.100135776,0.011043666,0.84850833,0,0
2.52502E-6,0.20011558,0.015633921,0.812708253,0.00029985,0
3.08983E-6,0.300139788,0.019097407,0.785122046,0.0005997,0
3.6475E-6,0.400236821,0.022505204,0.76210771,0.0005997,0
4.15672E-6,0.500177217,0.025606543,0.742270438,0.0005997,0
4.63976E-6,0.600118134,0.028539348,0.724680356,0.00149925,0
5.12633E-6,0.700445596,0.031484656,0.708795041,0.00149925,0
5.35569E-6,0.750154594,0.03286992,0.701433553,0.00149925,0
5.6456E-6,0.800167337,0.034618091,0.694382022,0.00149925,0
6.1493E-6,0.900499479,0.037647817,0.681208834,0.002098951,0
6.61787E-6,1.000479855,0.040457763,0.669043007,0.002398801,0
7.14407E-6,1.100494304,0.043603484,0.657807052,0.002698651,0
7.57097E-6,1.200411506,0.046148021,0.647268501,0.003598201,0
8.06233E-6,1.300455988,0.049068381,0.637349864,0.003898051,0
