x,y,species_5 cloglog values
1.0,1.0,0.021041645
2.0,2.0,0.02671045
3.0,3.0,0.032401398
4.0,4.0,0.7122563
5.0,5.0,0.039004646
6.0,6.0,0.6164344
7.0,7.0,0.057384104
8.0,8.0,0.73535806
9.0,9.0,0.114596546
10.0,10.0,0.086978324
11.0,11.0,0.7413682
12.0,12.0,0.08026501
13.0,13.0,0.22652294
14.0,14.0,0.3827206
15.0,15.0,0.09258306
16.0,16.0,0.34275147
17.0,17.0,0.1606643
18.0,18.0,0.10290102
19.0,19.0,0.0067332257
20.0,20.0,0.058218703
21.0,21.0,0.2429836
22.0,22.0,0.80036813
23.0,23.0,1.0256475E-4
24.0,24.0,0.06422723
25.0,25.0,0.0705015
26.0,26.0,0.13093491
27.0,27.0,0.029963693
28.0,28.0,0.13603199
29.0,29.0,0.04210307
30.0,30.0,0.6618774
31.0,31.0,0.42110825
32.0,32.0,0.014108982
33.0,33.0,0.002219578
34.0,34.0,0.0041359123
35.0,35.0,0.025531577
36.0,36.0,0.04393005
37.0,37.0,0.09845474
38.0,38.0,0.05744753
39.0,39.0,4.918345E-4
40.0,40.0,2.6655945E-4
41.0,41.0,0.020614022
42.0,42.0,0.041471735
43.0,43.0,0.10839106
44.0,44.0,0.2473838
45.0,45.0,0.82342654
46.0,46.0,0.10690666
47.0,47.0,0.04021303
48.0,48.0,0.023389196
49.0,49.0,0.0058820155
50.0,50.0,0.13664222
51.0,51.0,0.0036801735
52.0,52.0,0.019938953
53.0,53.0,0.014935943
54.0,54.0,0.25088304
55.0,55.0,0.5000474
56.0,56.0,0.030363405
57.0,57.0,0.086977795
58.0,58.0,0.27984232
59.0,59.0,0.7329599
60.0,60.0,1.0156029E-4
61.0,61.0,0.018406495
62.0,62.0,0.03834126
63.0,63.0,0.033261772
64.0,64.0,0.09253607
65.0,65.0,0.009966575
66.0,66.0,0.08132653
67.0,67.0,0.007784781
68.0,68.0,0.39049894
69.0,69.0,0.60868067
70.0,70.0,0.02697801
71.0,71.0,0.68855953
72.0,72.0,0.6954039
73.0,73.0,9.46678E-4
74.0,74.0,0.0071054613
75.0,75.0,0.025226321
76.0,76.0,0.016710619
77.0,77.0,0.7684997
78.0,78.0,0.035208613
79.0,79.0,0.09320919
80.0,80.0,0.014847988
81.0,81.0,0.08841421
82.0,82.0,0.5488397
83.0,83.0,0.0028526164
84.0,84.0,0.80687803
85.0,85.0,0.019140951
86.0,86.0,0.003786899
87.0,87.0,0.056344163
88.0,88.0,0.13051009
89.0,89.0,0.0026551588
90.0,90.0,1.888639E-4
91.0,91.0,0.7318018
92.0,92.0,0.001782735
93.0,93.0,0.012797534
94.0,94.0,0.07270701
95.0,95.0,0.0091172485
96.0,96.0,0.014040213
97.0,97.0,0.0020426926
98.0,98.0,0.035288006
99.0,99.0,0.20556353
100.0,100.0,0.60027677
101.0,101.0,0.016968725
102.0,102.0,0.22621599
103.0,103.0,0.032999426
104.0,104.0,0.01589192
105.0,105.0,0.05776643
106.0,106.0,0.0064615593
107.0,107.0,0.02763062
108.0,108.0,6.282537E-5
109.0,109.0,0.018162409
110.0,110.0,0.070397556
111.0,111.0,0.011518717
112.0,112.0,0.094207525
113.0,113.0,0.018270008
114.0,114.0,0.01348298
115.0,115.0,0.0750789
116.0,116.0,0.07782291
117.0,117.0,0.17378625
118.0,118.0,0.011742659
119.0,119.0,0.05969539
120.0,120.0,0.33407798
121.0,121.0,4.793743E-4
122.0,122.0,0.12896204
123.0,123.0,0.012115448
124.0,124.0,0.35589576
125.0,125.0,0.62394905
126.0,126.0,0.024740594
127.0,127.0,0.7303072
128.0,128.0,0.33963102
129.0,129.0,9.0266176E-4
130.0,130.0,0.07095487
131.0,131.0,0.10043758
132.0,132.0,5.492171E-4
133.0,133.0,0.028874934
134.0,134.0,0.04584796
135.0,135.0,0.16529827
136.0,136.0,0.117987014
137.0,137.0,0.047684595
138.0,138.0,0.10925876
139.0,139.0,0.06652539
140.0,140.0,3.12301E-4
141.0,141.0,0.012239029
142.0,142.0,0.062550314
143.0,143.0,0.59449035
144.0,144.0,0.025878994
145.0,145.0,2.7454616E-5
146.0,146.0,0.6180292
147.0,147.0,0.6958861
148.0,148.0,0.08664895
149.0,149.0,7.8062207E-4
150.0,150.0,0.51745623
151.0,151.0,0.067706615
152.0,152.0,0.105709374
153.0,153.0,0.15354638
154.0,154.0,0.69419837
155.0,155.0,0.35941055
156.0,156.0,1.2011115E-5
157.0,157.0,0.023516295
158.0,158.0,0.20862539
159.0,159.0,0.65344286
160.0,160.0,0.05960451
161.0,161.0,0.045040637
162.0,162.0,0.089403264
163.0,163.0,0.60977435
164.0,164.0,0.06529862
165.0,165.0,0.006075974
166.0,166.0,0.021129305
167.0,167.0,0.57888156
168.0,168.0,0.035026338
169.0,169.0,0.11911306
170.0,170.0,0.15808985
171.0,171.0,0.05642574
172.0,172.0,0.070825785
173.0,173.0,0.11597937
174.0,174.0,0.58546346
175.0,175.0,0.0050107995
176.0,176.0,0.020028649
177.0,177.0,0.091000736
178.0,178.0,0.016976796
179.0,179.0,0.0031034877
180.0,180.0,0.0065590604
181.0,181.0,0.10623194
182.0,182.0,0.18751037
183.0,183.0,0.022313405
184.0,184.0,0.37360555
185.0,185.0,0.5452292
186.0,186.0,0.019100271
187.0,187.0,1.6594568E-4
188.0,188.0,4.3917884E-5
189.0,189.0,0.07241141
190.0,190.0,0.01573985
191.0,191.0,0.16627777
192.0,192.0,0.11627683
193.0,193.0,0.20570965
194.0,194.0,0.23539734
195.0,195.0,0.049922213
196.0,196.0,0.76583976
197.0,197.0,0.083470196
198.0,198.0,0.0760479
199.0,199.0,0.05667576
200.0,200.0,0.002359572
201.0,201.0,0.80363035
202.0,202.0,0.010805167
203.0,203.0,0.13324046
204.0,204.0,0.11793813
205.0,205.0,0.2368743
206.0,206.0,0.02092576
207.0,207.0,0.119757354
208.0,208.0,0.75454676
209.0,209.0,0.003765435
210.0,210.0,0.51128215
211.0,211.0,1.19811186E-4
212.0,212.0,0.13819428
213.0,213.0,0.11242974
214.0,214.0,0.012500997
215.0,215.0,0.14286873
216.0,216.0,0.04284623
217.0,217.0,0.05779791
218.0,218.0,0.07582152
219.0,219.0,0.06376743
220.0,220.0,8.108446E-5
221.0,221.0,0.0014897658
222.0,222.0,0.028970493
223.0,223.0,0.052977845
224.0,224.0,0.22719844
225.0,225.0,0.024737176
226.0,226.0,0.43399897
227.0,227.0,1.256261E-4
228.0,228.0,0.022210285
229.0,229.0,0.32804927
230.0,230.0,0.13482647
231.0,231.0,0.26698166
232.0,232.0,0.18377708
233.0,233.0,0.010823288
234.0,234.0,0.26855212
235.0,235.0,0.016993914
236.0,236.0,0.009412671
237.0,237.0,0.11987706
238.0,238.0,0.5527649
239.0,239.0,0.79176044
240.0,240.0,0.08859775
241.0,241.0,0.6060844
242.0,242.0,0.17443556
243.0,243.0,0.566681
244.0,244.0,0.052979007
245.0,245.0,0.060389157
246.0,246.0,0.026487485
247.0,247.0,1.016867E-4
248.0,248.0,1.2084053E-4
249.0,249.0,0.42581558
250.0,250.0,0.13005918
251.0,251.0,0.60789055
252.0,252.0,0.11907983
253.0,253.0,0.6223267
254.0,254.0,0.012490986
255.0,255.0,0.020334214
256.0,256.0,0.71743584
257.0,257.0,0.04949083
258.0,258.0,0.48172554
259.0,259.0,0.01510358
260.0,260.0,0.12580977
261.0,261.0,0.006723419
262.0,262.0,0.012470896
263.0,263.0,0.024949249
264.0,264.0,0.2647241
265.0,265.0,0.05310131
266.0,266.0,0.029081063
267.0,267.0,0.023603134
268.0,268.0,0.018069642
269.0,269.0,0.11931317
270.0,270.0,0.72720706
271.0,271.0,0.013171252
272.0,272.0,0.071901865
273.0,273.0,0.12436576
274.0,274.0,0.14502831
275.0,275.0,0.18125623
276.0,276.0,0.46232802
277.0,277.0,0.0017746242
278.0,278.0,0.39771178
279.0,279.0,0.24037313
280.0,280.0,0.06169781
281.0,281.0,0.037881438
282.0,282.0,0.14944051
283.0,283.0,0.028232863
284.0,284.0,0.008282837
285.0,285.0,0.031925675
286.0,286.0,0.61076665
287.0,287.0,0.49532342
288.0,288.0,0.034035817
289.0,289.0,0.43314362
290.0,290.0,0.023672475
291.0,291.0,0.023884974
292.0,292.0,0.013465172
293.0,293.0,0.72979844
294.0,294.0,0.29762244
295.0,295.0,0.07083877
296.0,296.0,0.014963515
297.0,297.0,0.05743573
298.0,298.0,0.557798
299.0,299.0,0.77881336
300.0,300.0,0.0020983259
301.0,301.0,0.019411769
302.0,302.0,0.06894147
303.0,303.0,0.02306849
304.0,304.0,0.019625604
305.0,305.0,0.050394744
306.0,306.0,0.15178378
307.0,307.0,0.21645562
308.0,308.0,0.024770377
309.0,309.0,0.8694861
