X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,8.432748737361959E-5,12.587752022266564,0.4517668846939882
3.0,3.0,train,1.0016396453429524E-4,15.520827834507058,0.5102847390146555
4.0,4.0,train,1.0242321803466437E-4,16.15746284352189,0.5181075237181132
5.0,5.0,train,1.0720661681645024E-4,17.26945805244783,0.5342603722832111
6.0,6.0,train,1.0495134481432792E-4,16.715551491362884,0.5267132357019336
7.0,7.0,train,1.3253684691849334E-4,26.21285205036974,0.6111932773813454
8.0,8.0,train,8.410603024070409E-5,12.556013611602449,0.45090083548013693
9.0,9.0,train,1.1882005401581206E-4,20.684952477519737,0.5712600678780296
11.0,11.0,train,1.283768740174539E-4,24.508430891703476,0.5994922612259797
12.0,12.0,train,1.0503773448377057E-4,16.734686102961494,0.5270045738123452
13.0,13.0,train,1.0579978378096153E-4,16.951466442009504,0.5295667318513531
14.0,14.0,train,1.356616726186325E-4,27.550875278826105,0.6197572829138775
15.0,15.0,train,1.113937222054615E-4,18.338075508567794,0.5479545974110925
16.0,16.0,train,9.26819616320981E-5,13.931651796023441,0.4834598441871285
17.0,17.0,train,1.6073661464433773E-4,41.94409422216773,0.6819893096809982
18.0,18.0,train,1.7279392922238583E-4,49.212064169818134,0.708177720459193
19.0,19.0,train,8.969085559194329E-5,13.394901956359725,0.47232924817627586
20.0,20.0,train,1.2001658967308899E-4,21.09451493612211,0.5749010101665093
21.0,21.0,train,1.5226942724686166E-4,36.93626427972946,0.6622061039895761
22.0,22.0,train,1.0749659369415675E-4,17.348264861921454,0.5352219904470852
23.0,23.0,train,1.4510275269149085E-4,32.85230535943429,0.6445028253725346
24.0,24.0,train,7.942352629073484E-5,11.897924149329928,0.4322653273440221
25.0,25.0,train,1.6527605787971592E-4,44.825680851118044,0.6921140102098895
26.0,26.0,train,1.672743566940625E-4,45.97770542547265,0.6964681864466616
27.0,27.0,train,1.739362222196271E-4,49.99420859715516,0.7105440433887973
28.0,28.0,train,1.1274857697620462E-4,18.770523335005425,0.5522989428475668
29.0,29.0,train,1.7571528770164715E-4,50.962244842397745,0.7141913193646976
30.0,30.0,train,9.703281080132222E-5,14.778292680851747,0.4992325552700234
31.0,31.0,train,8.222807013538928E-5,12.30574214747655,0.4435015153322862
33.0,33.0,train,1.41761477752713E-4,30.900839221887406,0.6359349153277328
34.0,34.0,train,1.0358469389492602E-4,16.423415392603758,0.5220804338041167
35.0,35.0,train,8.560512670392009E-5,12.772443834553078,0.45673672471637916
36.0,36.0,train,9.560825116017203E-5,14.48765894118017,0.4941219978444297
37.0,37.0,train,1.4482294497818678E-4,32.677851744298884,0.6437931270018915
39.0,39.0,train,1.283305356069668E-4,24.486487238267625,0.5993599585597977
40.0,40.0,train,1.2890518310130253E-4,24.774780836616905,0.6009975727599377
41.0,41.0,train,1.4531501000790176E-4,32.980947373078784,0.6450402470419918
42.0,42.0,train,1.1516819112170041E-4,19.589724503820616,0.5599538425209778
43.0,43.0,train,1.3155450259298324E-4,25.751880380861678,0.608461384662175
44.0,44.0,train,1.0317886120185127E-4,16.343952137645363,0.5206959912262707
45.0,45.0,train,1.005218025045472E-4,15.62324947160059,0.51153218332274
46.0,46.0,train,6.581968376456564E-5,10.139476241558889,0.37445875359667546
47.0,47.0,train,7.952721167730967E-5,11.91293941881723,0.4326847456005658
48.0,48.0,train,5.471719356620772E-5,8.833581826298971,0.3229455800817068
49.0,49.0,train,3.612271889384074E-5,6.576397068056573,0.22699455521840206
51.0,51.0,train,1.0375575449033396E-4,16.456909568746273,0.5226627848891743
52.0,52.0,train,9.09588361856443E-5,13.632419499924756,0.47707668755163823
53.0,53.0,train,1.341981917092768E-4,26.850876280666252,0.6157701578463338
54.0,54.0,train,1.1555264543927299E-4,19.729105081015334,0.561158026664877
55.0,55.0,train,1.4598041117941792E-4,33.34633522366671,0.6467197394332549
56.0,56.0,train,1.4303315713474842E-4,31.480586311506965,0.6392199105523968
57.0,57.0,train,1.0840605282608257E-4,17.58362451687444,0.538225069328798
58.0,58.0,train,1.0224415065054897E-4,16.099836330514258,0.5174920795725749
59.0,59.0,train,9.404715964884612E-5,14.183559151647565,0.4884617245962687
60.0,60.0,train,9.694816538259086E-5,14.75965559447594,0.4989303407051586
62.0,62.0,train,1.4099244607396018E-4,30.505720083039105,0.6339338609155478
63.0,63.0,train,1.3230392816312986E-4,26.125141128932633,0.6105472608904634
64.0,64.0,train,1.0663085934075425E-4,17.143679015292676,0.5323451506572432
65.0,65.0,train,2.1247280976049575E-4,77.69688296566319,0.7800657115984484
66.0,66.0,train,1.93920685316838E-4,63.36161325857364,0.7489727761589753
67.0,67.0,train,1.5728882059422186E-4,39.8708997068134,0.6740775134037718
68.0,68.0,train,2.0590604614119186E-4,72.71731011550466,0.7695268799448579
69.0,69.0,train,1.6716579438811653E-4,45.916253053373936,0.6962332252510373
70.0,70.0,train,1.435179935262223E-4,31.81142937139194,0.6404645180569517
71.0,71.0,train,1.9540289207087527E-4,64.49356197514535,0.7516108222782494
72.0,72.0,train,2.0104163383558545E-4,69.18212224589304,0.7613958397569082
73.0,73.0,train,1.968785455387187E-4,65.74833575300335,0.7542096647177013
74.0,74.0,train,1.779675502765161E-4,52.50994457916207,0.7187428555792335
75.0,75.0,train,1.0791636923408381E-4,17.462346961357678,0.536610529143093
77.0,77.0,train,2.699119852458505E-5,5.2097400264147655,0.17500927550848167
78.0,78.0,train,9.15465330451593E-5,13.754623934163652,0.47926257057149113
79.0,79.0,train,9.61925080011045E-5,14.605610301334382,0.4962242773880061
80.0,80.0,train,7.589090172826062E-5,11.400152385178004,0.4177887197210587
82.0,82.0,train,7.795031221099838E-5,11.685624441263363,0.4262724103513712
83.0,83.0,train,9.588953748269757E-5,14.543973874469781,0.4951352183097232
84.0,84.0,train,8.932137344193107E-5,13.333371354089188,0.4709377799187904
85.0,85.0,train,1.139483050229729E-4,19.177446833610176,0.5561110071046171
86.0,86.0,train,9.296028663510604E-5,13.975046229413085,0.4844835388444724
87.0,87.0,train,8.901726034955294E-5,13.282726791877556,0.4697897387256674
88.0,88.0,train,8.363367899763046E-5,12.489909020024452,0.44904904452205074
89.0,89.0,train,7.466427759675633E-5,11.236720196378169,0.41267617837688275
90.0,90.0,train,8.18648854846596E-5,12.258156403555788,0.4420590727336189
91.0,91.0,train,8.290519773163054E-5,12.394461331785616,0.4461808794125245
92.0,92.0,train,9.338351737751173E-5,14.051202111256416,0.4860363179741114
93.0,93.0,train,1.0133133680775375E-4,15.844984069703933,0.5143425545567293
94.0,94.0,train,1.039173747118521E-4,16.48855529144945,0.5232123456292317
95.0,95.0,train,8.509756229191182E-5,12.698116288601657,0.45476778618596225
96.0,96.0,train,1.1853691628108976E-4,20.57557956895548,0.5703939543616747
97.0,97.0,train,9.472651117544514E-5,14.317178626656162,0.4909326889617064
98.0,98.0,train,8.233509851823992E-5,12.319765310728405,0.4439258828528575
99.0,99.0,train,1.0490246788862424E-4,16.704725648463985,0.5265483250449763
100.0,100.0,train,8.633692272627344E-5,12.886142535017196,0.4595629910242578
101.0,101.0,train,1.0765982409092363E-4,17.39262587056481,0.5357624196681522
102.0,102.0,train,1.3059438613927183E-4,25.438318848075195,0.6057727598348557
103.0,103.0,train,1.687452566940181E-4,46.899463228491626,0.6996337978862199
104.0,104.0,train,1.9827167119516957E-4,66.84277853253153,0.7566382060787208
105.0,105.0,train,1.7726476189649173E-4,52.0411956957682,0.7173304443697912
106.0,106.0,train,1.472820936114999E-4,34.1631600971602,0.649982281586928
107.0,107.0,train,1.2784660214652094E-4,24.259112029603298,0.5979756463364326
108.0,108.0,train,1.2687803734664634E-4,23.784905538298734,0.595190642315221
109.0,109.0,train,1.1751179249479332E-4,20.287211593331257,0.5672434570009314
110.0,110.0,train,1.0922200776717925E-4,17.772559483448077,0.5409028751469911
111.0,111.0,train,1.3133446051464008E-4,25.680387560053084,0.6078468225506488
112.0,112.0,train,1.712048920195526E-4,48.18564599647696,0.7048537352348536
113.0,113.0,train,1.271616793822248E-4,23.91440536197667,0.5960082162460523
114.0,114.0,train,1.7137753087990968E-4,48.294906839101834,0.7052166908404396
116.0,116.0,train,1.421306823486035E-4,31.062356621543866,0.636891711985655
117.0,117.0,train,1.5847042741139715E-4,40.58828391843105,0.6768109222861342
