x,y,species_1 cloglog values
1.0,1.0,0.17976993
2.0,2.0,0.0467734
3.0,3.0,0.077285305
4.0,4.0,1.4708258E-4
5.0,5.0,0.0035344178
6.0,6.0,0.72809464
7.0,7.0,0.0038928415
8.0,8.0,0.054379363
9.0,9.0,0.08339751
10.0,10.0,0.096264616
11.0,11.0,0.7915939
12.0,12.0,0.008890581
13.0,13.0,0.0572971
14.0,14.0,0.0045000827
15.0,15.0,0.12466756
16.0,16.0,0.04358934
17.0,17.0,0.0020289181
18.0,18.0,0.75260377
19.0,19.0,0.024590788
20.0,20.0,0.080094345
21.0,21.0,0.7824019
22.0,22.0,0.027853033
23.0,23.0,0.18364143
24.0,24.0,7.985732E-4
25.0,25.0,0.17574729
26.0,26.0,0.041156884
27.0,27.0,0.051937982
28.0,28.0,0.027893338
29.0,29.0,0.050832458
30.0,30.0,3.9889936E-5
31.0,31.0,0.082932875
32.0,32.0,0.39863598
33.0,33.0,0.060765736
34.0,34.0,0.2487916
35.0,35.0,0.0071934387
36.0,36.0,0.07152925
37.0,37.0,0.060829822
38.0,38.0,0.76545274
39.0,39.0,0.73402333
40.0,40.0,0.5981354
41.0,41.0,3.7850675E-4
42.0,42.0,0.7010916
43.0,43.0,0.24505387
44.0,44.0,0.32804397
45.0,45.0,0.004375103
46.0,46.0,0.7622683
47.0,47.0,0.124795444
48.0,48.0,0.19521226
49.0,49.0,0.7201341
50.0,50.0,0.054686468
51.0,51.0,3.0999265E-5
52.0,52.0,0.09905832
53.0,53.0,0.06152945
54.0,54.0,0.012276219
55.0,55.0,0.3550238
56.0,56.0,0.69985145
57.0,57.0,0.2773723
58.0,58.0,0.063804716
59.0,59.0,0.40564585
60.0,60.0,0.12860465
61.0,61.0,0.0011941893
62.0,62.0,0.23047464
63.0,63.0,0.13834824
64.0,64.0,0.19559112
65.0,65.0,0.17645411
66.0,66.0,0.4520845
67.0,67.0,0.80359346
68.0,68.0,0.040714193
69.0,69.0,0.006575648
70.0,70.0,0.6966925
71.0,71.0,0.17543851
72.0,72.0,0.048326816
73.0,73.0,0.07581954
74.0,74.0,0.7678837
75.0,75.0,0.20988406
76.0,76.0,2.9746856E-4
77.0,77.0,6.6037937E-6
78.0,78.0,0.1260145
79.0,79.0,0.8008533
80.0,80.0,0.12918416
81.0,81.0,0.78121555
82.0,82.0,0.009180762
83.0,83.0,0.030533833
84.0,84.0,0.13680136
85.0,85.0,0.0018510314
86.0,86.0,0.07064309
87.0,87.0,0.0517836
88.0,88.0,0.05072092
