x,y,species median
1.0,1.0,0.041365515
2.0,2.0,2.5679322E-4
3.0,3.0,1.0306143E-4
4.0,4.0,0.0095914025
5.0,5.0,0.22882801
6.0,6.0,0.6653837
7.0,7.0,0.7645532
8.0,8.0,0.07001401
9.0,9.0,0.13325724
10.0,10.0,0.38000518
11.0,11.0,0.33231866
12.0,12.0,0.01570084
13.0,13.0,0.11620117
14.0,14.0,0.09400808
15.0,15.0,0.14643507
16.0,16.0,0.81166893
17.0,17.0,0.79524434
18.0,18.0,0.07356647
19.0,19.0,0.22211708
20.0,20.0,0.037027627
21.0,21.0,0.0012230715
22.0,22.0,0.06096799
23.0,23.0,0.13526708
24.0,24.0,0.03945821
25.0,25.0,0.040824622
26.0,26.0,0.12607205
27.0,27.0,0.0015199995
28.0,28.0,0.68358177
29.0,29.0,0.12562159
30.0,30.0,5.948703E-5
31.0,31.0,0.011318086
32.0,32.0,0.1112928
33.0,33.0,0.72100586
34.0,34.0,0.5836466
35.0,35.0,0.13729326
36.0,36.0,0.052084878
37.0,37.0,0.10594767
38.0,38.0,0.0037537317
39.0,39.0,0.14058264
40.0,40.0,0.008980099
41.0,41.0,0.05786933
42.0,42.0,2.0646497E-4
43.0,43.0,2.5820505E-4
44.0,44.0,0.003761225
45.0,45.0,0.13924125
46.0,46.0,0.025360905
47.0,47.0,0.13560708
48.0,48.0,3.866288E-4
49.0,49.0,0.15463069
50.0,50.0,0.13947
51.0,51.0,0.00548015
52.0,52.0,0.0031799213
53.0,53.0,0.03789006
54.0,54.0,0.05250641
55.0,55.0,0.034919534
56.0,56.0,0.013404239
57.0,57.0,1.31633E-4
58.0,58.0,0.12175286
59.0,59.0,0.09116334
60.0,60.0,0.29398605
61.0,61.0,0.045684267
62.0,62.0,0.12600501
63.0,63.0,0.530031
64.0,64.0,0.06961212
65.0,65.0,0.7678919
66.0,66.0,0.025394462
67.0,67.0,0.0017510921
68.0,68.0,2.564009E-5
69.0,69.0,0.23334378
70.0,70.0,0.092681296
71.0,71.0,0.0743026
72.0,72.0,0.026937814
73.0,73.0,0.06806866
74.0,74.0,0.0029790364
75.0,75.0,2.8637694E-5
76.0,76.0,1.1591429E-4
77.0,77.0,0.59409225
78.0,78.0,0.031479035
79.0,79.0,0.061766952
80.0,80.0,7.727091E-6
81.0,81.0,0.0016933689
82.0,82.0,0.7241228
83.0,83.0,0.044551186
84.0,84.0,0.7934007
85.0,85.0,0.25477374
86.0,86.0,0.05590394
87.0,87.0,0.014525448
88.0,88.0,0.0011815997
89.0,89.0,0.60514885
90.0,90.0,0.08023227
91.0,91.0,0.08658508
92.0,92.0,0.02512044
93.0,93.0,0.083335884
94.0,94.0,0.014655639
95.0,95.0,0.092134036
96.0,96.0,0.23289281
97.0,97.0,0.76113135
98.0,98.0,0.4767349
99.0,99.0,0.038108364
100.0,100.0,0.02535932
101.0,101.0,0.00629814
102.0,102.0,0.08262368
103.0,103.0,0.013464185
104.0,104.0,0.17631556
105.0,105.0,0.13975105
106.0,106.0,0.026304256
107.0,107.0,0.20006844
108.0,108.0,0.030319102
109.0,109.0,0.047815003
110.0,110.0,0.4827287
111.0,111.0,0.7813127
112.0,112.0,0.011865527
113.0,113.0,0.47826904
114.0,114.0,0.6660954
115.0,115.0,0.048773628
116.0,116.0,0.057938337
117.0,117.0,0.04333502
118.0,118.0,0.14898483
119.0,119.0,8.59435E-5
120.0,120.0,4.2361902E-5
121.0,121.0,0.017770143
122.0,122.0,0.12872528
