variable,x,y
wc2.0_bio_2.5m_6,-45.67680168151855,9.533972615827224E-7
wc2.0_bio_2.5m_6,-45.5261584777832,9.533972615827224E-7
wc2.0_bio_2.5m_6,-45.37551527404784,9.533972615827224E-7
wc2.0_bio_2.5m_6,-45.22487207031249,9.533972615827224E-7
wc2.0_bio_2.5m_6,-45.074228866577144,9.533972615827224E-7
wc2.0_bio_2.5m_6,-44.92358566284179,9.533972615827224E-7
wc2.0_bio_2.5m_6,-44.77294245910644,9.533972615827224E-7
wc2.0_bio_2.5m_6,-44.62229925537109,9.533972615827224E-7
wc2.0_bio_2.5m_6,-44.47165605163573,9.533972615827224E-7
wc2.0_bio_2.5m_6,-44.321012847900384,9.533972615827224E-7
wc2.0_bio_2.5m_6,-44.170369644165035,9.533972615827224E-7
wc2.0_bio_2.5m_6,-44.01972644042968,9.533972615827224E-7
wc2.0_bio_2.5m_6,-43.86908323669433,9.533972615827224E-7
wc2.0_bio_2.5m_6,-43.71844003295897,9.533972615827224E-7
wc2.0_bio_2.5m_6,-43.567796829223624,9.533972615827224E-7
wc2.0_bio_2.5m_6,-43.417153625488275,9.533972615827224E-7
wc2.0_bio_2.5m_6,-43.26651042175292,9.533972615827224E-7
wc2.0_bio_2.5m_6,-43.11586721801757,9.533972615827224E-7
wc2.0_bio_2.5m_6,-42.96522401428222,9.533972615827224E-7
wc2.0_bio_2.5m_6,-42.814580810546865,9.533972615827224E-7
wc2.0_bio_2.5m_6,-42.663937606811515,9.533972615827224E-7
wc2.0_bio_2.5m_6,-42.513294403076166,9.533972615827224E-7
wc2.0_bio_2.5m_6,-42.36265119934081,9.533972615827224E-7
wc2.0_bio_2.5m_6,-42.21200799560546,9.533972615827224E-7
wc2.0_bio_2.5m_6,-42.06136479187011,9.533972615827224E-7
wc2.0_bio_2.5m_6,-41.910721588134756,9.533972615827224E-7
wc2.0_bio_2.5m_6,-41.76007838439941,9.533972615827224E-7
wc2.0_bio_2.5m_6,-41.60943518066406,9.533972615827224E-7
wc2.0_bio_2.5m_6,-41.4587919769287,9.533972615827224E-7
wc2.0_bio_2.5m_6,-41.30814877319335,9.533972615827224E-7
wc2.0_bio_2.5m_6,-41.157505569457996,9.533972615827224E-7
wc2.0_bio_2.5m_6,-41.00686236572265,9.533972615827224E-7
wc2.0_bio_2.5m_6,-40.8562191619873,9.533972615827224E-7
wc2.0_bio_2.5m_6,-40.70557595825194,9.533972615827224E-7
wc2.0_bio_2.5m_6,-40.55493275451659,9.533972615827224E-7
wc2.0_bio_2.5m_6,-40.40428955078124,9.533972615827224E-7
wc2.0_bio_2.5m_6,-40.25364634704589,9.533972615827224E-7
wc2.0_bio_2.5m_6,-40.10300314331054,9.533972615827224E-7
wc2.0_bio_2.5m_6,-39.95235993957519,9.533972615827224E-7
wc2.0_bio_2.5m_6,-39.80171673583983,9.533972615827224E-7
wc2.0_bio_2.5m_6,-39.65107353210448,9.533972615827224E-7
wc2.0_bio_2.5m_6,-39.500430328369134,9.533972615827224E-7
