variable,x,y
wc2.0_bio_2.5m_6,-46.68999919891352,8.25151147409997E-9
wc2.0_bio_2.5m_6,-46.53663919982905,8.25151147409997E-9
wc2.0_bio_2.5m_6,-46.383279200744575,8.25151147409997E-9
wc2.0_bio_2.5m_6,-46.2299192016601,8.25151147409997E-9
wc2.0_bio_2.5m_6,-46.07655920257563,8.25151147409997E-9
wc2.0_bio_2.5m_6,-45.92319920349116,8.25151147409997E-9
wc2.0_bio_2.5m_6,-45.769839204406686,8.25151147409997E-9
wc2.0_bio_2.5m_6,-45.616479205322214,8.25151147409997E-9
wc2.0_bio_2.5m_6,-45.46311920623774,8.25151147409997E-9
wc2.0_bio_2.5m_6,-45.30975920715326,8.25151147409997E-9
wc2.0_bio_2.5m_6,-45.15639920806879,8.25151147409997E-9
wc2.0_bio_2.5m_6,-45.00303920898432,8.25151147409997E-9
wc2.0_bio_2.5m_6,-44.84967920989985,8.25151147409997E-9
wc2.0_bio_2.5m_6,-44.696319210815375,8.25151147409997E-9
wc2.0_bio_2.5m_6,-44.5429592117309,8.25151147409997E-9
wc2.0_bio_2.5m_6,-44.38959921264643,8.25151147409997E-9
wc2.0_bio_2.5m_6,-44.23623921356196,8.25151147409997E-9
wc2.0_bio_2.5m_6,-44.08287921447749,8.25151147409997E-9
wc2.0_bio_2.5m_6,-43.929519215393015,8.25151147409997E-9
wc2.0_bio_2.5m_6,-43.77615921630854,8.25151147409997E-9
wc2.0_bio_2.5m_6,-43.62279921722407,8.25151147409997E-9
wc2.0_bio_2.5m_6,-43.4694392181396,8.25151147409997E-9
wc2.0_bio_2.5m_6,-43.316079219055126,8.25151147409997E-9
wc2.0_bio_2.5m_6,-43.162719219970654,8.25151147409997E-9
wc2.0_bio_2.5m_6,-43.00935922088618,8.25151147409997E-9
wc2.0_bio_2.5m_6,-42.85599922180171,8.25151147409997E-9
wc2.0_bio_2.5m_6,-42.70263922271724,8.25151147409997E-9
wc2.0_bio_2.5m_6,-42.549279223632766,8.25151147409997E-9
wc2.0_bio_2.5m_6,-42.395919224548294,8.25151147409997E-9
wc2.0_bio_2.5m_6,-42.242559225463815,8.25151147409997E-9
