x,y,species_5 cloglog values
1.0,1.0,0.062713794
2.0,2.0,0.7478056
3.0,3.0,0.7606722
4.0,4.0,0.2104059
5.0,5.0,0.71131533
6.0,6.0,0.0120811965
7.0,7.0,0.003923178
8.0,8.0,0.05362494
9.0,9.0,0.1898412
10.0,10.0,0.125963
11.0,11.0,0.013570727
12.0,12.0,0.020830523
13.0,13.0,0.5755296
14.0,14.0,0.10535356
15.0,15.0,0.0016339349
16.0,16.0,0.043813024
17.0,17.0,0.072371885
18.0,18.0,0.035327893
19.0,19.0,0.16226703
20.0,20.0,0.511018
21.0,21.0,0.14391322
22.0,22.0,0.20367727
23.0,23.0,0.01700925
24.0,24.0,0.024940373
25.0,25.0,0.5418224
26.0,26.0,0.0189243
27.0,27.0,0.7900228
28.0,28.0,0.002906703
29.0,29.0,0.7489943
30.0,30.0,0.74336964
31.0,31.0,0.09575586
32.0,32.0,0.33327317
33.0,33.0,0.121684805
34.0,34.0,0.26626393
35.0,35.0,0.10005341
36.0,36.0,9.181527E-5
37.0,37.0,7.880939E-4
38.0,38.0,0.036631625
39.0,39.0,1.19225615E-5
40.0,40.0,5.596647E-4
41.0,41.0,0.09392998
42.0,42.0,0.32059476
43.0,43.0,0.31941655
44.0,44.0,0.2345175
45.0,45.0,0.0091848755
46.0,46.0,0.2538961
47.0,47.0,0.7673841
48.0,48.0,0.7940718
49.0,49.0,0.035141133
50.0,50.0,0.05172499
51.0,51.0,0.037398767
52.0,52.0,0.056508888
53.0,53.0,0.15446395
54.0,54.0,0.03638724
55.0,55.0,0.05721346
56.0,56.0,0.10178841
57.0,57.0,1.1648971E-5
58.0,58.0,0.0837786
59.0,59.0,0.14378792
60.0,60.0,0.07357948
61.0,61.0,0.04979509
62.0,62.0,0.13245891
63.0,63.0,0.08341815
64.0,64.0,0.7160511
65.0,65.0,0.18294345
66.0,66.0,0.09898482
67.0,67.0,0.0485011
68.0,68.0,0.085523896
69.0,69.0,1.7594884E-4
70.0,70.0,0.0769493
71.0,71.0,0.63767415
72.0,72.0,0.008799721
