x,y,species_8 cloglog values
1.0,1.0,0.15952995
2.0,2.0,0.17171547
3.0,3.0,0.009487854
4.0,4.0,0.0040652244
5.0,5.0,0.049968015
6.0,6.0,0.07462449
7.0,7.0,0.17264023
8.0,8.0,0.119183585
9.0,9.0,0.027520131
10.0,10.0,0.0072928234
11.0,11.0,0.044664774
12.0,12.0,3.563885E-5
13.0,13.0,0.04652068
14.0,14.0,0.16112012
15.0,15.0,0.13618869
16.0,16.0,0.40751916
17.0,17.0,0.16522337
18.0,18.0,6.5403315E-4
19.0,19.0,0.26280466
20.0,20.0,0.6328001
21.0,21.0,0.0011688842
22.0,22.0,0.024174409
23.0,23.0,0.07426262
24.0,24.0,0.12623838
25.0,25.0,0.08550228
26.0,26.0,0.7613918
27.0,27.0,0.1825861
28.0,28.0,0.06022975
29.0,29.0,0.023941964
30.0,30.0,0.39004332
31.0,31.0,0.17299359
32.0,32.0,0.034449074
33.0,33.0,0.17062263
34.0,34.0,0.10181208
35.0,35.0,0.003471531
36.0,36.0,0.121550016
37.0,37.0,0.04585863
38.0,38.0,0.0037502106
39.0,39.0,0.40528613
40.0,40.0,0.0014538264
41.0,41.0,0.5891553
42.0,42.0,0.0024729483
43.0,43.0,0.13924617
44.0,44.0,0.016326439
45.0,45.0,0.09570986
46.0,46.0,0.115628295
47.0,47.0,0.20310873
48.0,48.0,0.04085131
49.0,49.0,0.013821446
50.0,50.0,0.19784708
51.0,51.0,0.06931229
52.0,52.0,0.27595213
53.0,53.0,0.44547936
54.0,54.0,0.74419385
55.0,55.0,1.2629225E-4
56.0,56.0,0.10797679
57.0,57.0,0.14619832
58.0,58.0,0.08268518
59.0,59.0,0.7530743
60.0,60.0,0.8581105
61.0,61.0,0.11177897
62.0,62.0,0.009466172
63.0,63.0,0.007744139
64.0,64.0,0.19098131
65.0,65.0,0.539494
66.0,66.0,0.0915786
67.0,67.0,0.10155215
68.0,68.0,0.63479376
69.0,69.0,0.1055653
70.0,70.0,0.053220887
71.0,71.0,0.011944742
72.0,72.0,0.1834637
73.0,73.0,0.06526698
74.0,74.0,0.7529758
75.0,75.0,0.05532055
76.0,76.0,0.7113855
77.0,77.0,0.14045362
78.0,78.0,0.057325304
79.0,79.0,0.77235126
80.0,80.0,0.69986
81.0,81.0,0.77562565
82.0,82.0,0.05316221
83.0,83.0,0.012480482
84.0,84.0,0.76806813
85.0,85.0,0.12163097
86.0,86.0,0.3991723
87.0,87.0,0.068867885
88.0,88.0,0.16528228
89.0,89.0,0.042733654
90.0,90.0,0.10109087
91.0,91.0,0.13763568
92.0,92.0,0.009851589
93.0,93.0,0.04173839
94.0,94.0,0.90971607
95.0,95.0,0.096658655
