variable,x,y
wc2.0_bio_2.5m_6,-45.76400260925287,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-45.61222660522455,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-45.46045060119623,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-45.30867459716791,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-45.15689859313959,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-45.00512258911127,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-44.85334658508295,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-44.70157058105463,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-44.54979457702631,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-44.39801857299799,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-44.24624256896967,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-44.09446656494135,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-43.94269056091303,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-43.79091455688471,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-43.63913855285639,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-43.48736254882807,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-43.335586544799746,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-43.18381054077143,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-43.03203453674311,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-42.88025853271479,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-42.72848252868647,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-42.57670652465815,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-42.42493052062983,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-42.27315451660151,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-42.12137851257319,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-41.96960250854487,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-41.817826504516546,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-41.666050500488225,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-41.514274496459905,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-41.36249849243159,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-41.21072248840327,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-41.05894648437495,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-40.90717048034663,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-40.75539447631831,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-40.60361847228999,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-40.45184246826167,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-40.300066464233346,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-40.148290460205025,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-39.996514456176705,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-39.844738452148384,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-39.69296244812007,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-39.54118644409175,5.1643397455336526E-5
wc2.0_bio_2.5m_6,-39.38941044006343,5.334192974260077E-5
wc2.0_bio_2.5m_6,-39.23763443603511,5.877955845789984E-5
wc2.0_bio_2.5m_6,-39.08585843200679,6.476991984527558E-5
wc2.0_bio_2.5m_6,-38.93408242797847,7.136919884942472E-5
wc2.0_bio_2.5m_6,-38.782306423950146,7.863914652261883E-5
wc2.0_bio_2.5m_6,-38.630530419921826,8.6647727584932E-5
wc2.0_bio_2.5m_6,-38.478754415893505,9.546980436425656E-5
wc2.0_bio_2.5m_6,-38.326978411865184,1.0518803173908964E-4
wc2.0_bio_2.5m_6,-38.17520240783686,1.1589266796363518E-4
wc2.0_bio_2.5m_6,-38.02342640380854,1.276838593184948E-4
wc2.0_bio_2.5m_6,-37.87165039978022,1.4067157462704927E-4
wc2.0_bio_2.5m_6,-37.7198743957519,1.5497692220378667E-4
wc2.0_bio_2.5m_6,-37.56809839172359,1.7073319759219885E-4
wc2.0_bio_2.5m_6,-37.41632238769527,1.8808765162248164E-4
wc2.0_bio_2.5m_6,-37.264546383666946,2.0720095199067146E-4
wc2.0_bio_2.5m_6,-37.112770379638626,2.2825135965831578E-4
wc2.0_bio_2.5m_6,-36.960994375610305,2.514346851967275E-4
wc2.0_bio_2.5m_6,-36.809218371581984,2.7696636971086264E-4
