Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.26364E-10,0.000000023,0.000001569,1,0,0
3.36391E-10,0.000000056,0.000002332,0.999923641,0,0
5.00157E-10,0.000000106,0.000003467,0.999847282,0,0
9.52397E-10,0.00000033,0.000006601,0.999618204,0,0
1.37521E-9,0.000001075,0.000009532,0.999160049,0,0
1.66256E-9,0.000002588,0.000011523,0.998396457,0,0
2.80757E-9,0.000010073,0.000019459,0.995876604,0,0
3.86313E-9,0.000025268,0.000026775,0.99244044,0,0
6.13898E-9,0.000050288,0.000042548,0.988546121,0,0
9.66831E-9,0.00010014,0.000067009,0.983735492,0,0
1.63441E-8,0.000250725,0.000113274,0.974572389,0,0
3.15828E-8,0.000500329,0.000218875,0.966478314,0,0
6.03583E-8,0.00100463,0.000418254,0.957773366,0,0
1.33411E-7,0.002504026,0.000924241,0.945174099,0,0
2.47234E-7,0.005022249,0.001712104,0.93463653,0,0
4.70099E-7,0.010034674,0.003252944,0.923564447,0,0
9.73642E-7,0.025004202,0.006725574,0.907681735,0,0
1.52581E-6,0.050097024,0.010519597,0.892104459,0,0
2.4248E-6,0.100131493,0.016665788,0.872785583,0,0
3.43026E-6,0.200102411,0.023494664,0.84659438,0,0
4.28155E-6,0.300352047,0.029239335,0.82666463,0,0
4.95708E-6,0.400048627,0.033773912,0.810171045,0,0
5.54836E-6,0.500201551,0.037725511,0.795586439,0,0
6.13723E-6,0.600491694,0.041645005,0.782529016,0.000578704,0
6.67761E-6,0.700238685,0.045227672,0.770616982,0.000868056,0
6.96568E-6,0.750036394,0.04713203,0.765042761,0.000868056,0
7.195E-6,0.800394977,0.048645352,0.759621258,0.000868056,0
7.66129E-6,0.9005208,0.051715032,0.749312767,0.001446759,0
8.09007E-6,1.00052518,0.054529046,0.73961515,0.001446759,0
8.47996E-6,1.100795106,0.057080553,0.730375687,0.001446759,0
8.89069E-6,1.200602224,0.059760976,0.72159438,0.002025463,0.002604167
9.26411E-6,1.300460942,0.062191325,0.713194869,0.002025463,0.002604167
9.64765E-6,1.400872146,0.064680964,0.705100794,0.002314815,0.002604167
