x,y,species avg
1.0,1.0,9.777391E-4
2.0,2.0,0.11431371
3.0,3.0,0.19120212
4.0,4.0,0.07236799
5.0,5.0,5.56571E-9
6.0,6.0,0.09971905
7.0,7.0,6.414247E-5
8.0,8.0,0.12897821
9.0,9.0,0.3003594
10.0,10.0,0.16750059
11.0,11.0,0.6548144
12.0,12.0,0.024481043
13.0,13.0,0.05459747
14.0,14.0,0.022862272
15.0,15.0,0.11153811
16.0,16.0,0.12677605
17.0,17.0,0.15050542
18.0,18.0,2.2033346E-4
19.0,19.0,0.10977913
20.0,20.0,0.0019528192
21.0,21.0,0.45706463
22.0,22.0,0.21539153
23.0,23.0,0.002612469
24.0,24.0,9.715656E-7
25.0,25.0,0.02985558
26.0,26.0,0.002884569
27.0,27.0,1.373238E-9
28.0,28.0,0.051134136
29.0,29.0,1.7934147E-4
30.0,30.0,0.10250533
31.0,31.0,1.6074385E-4
32.0,32.0,0.03215831
33.0,33.0,3.9878746E-6
34.0,34.0,0.28633383
35.0,35.0,0.101487815
36.0,36.0,8.22255E-4
37.0,37.0,0.027142022
38.0,38.0,5.4427495E-5
39.0,39.0,0.116993256
40.0,40.0,0.119632855
41.0,41.0,0.08642319
42.0,42.0,0.11591481
43.0,43.0,4.083612E-7
44.0,44.0,4.3240926E-9
45.0,45.0,5.9873855E-5
46.0,46.0,0.114791855
47.0,47.0,0.060148474
48.0,48.0,0.058865935
49.0,49.0,2.1550202E-5
50.0,50.0,0.005483182
51.0,51.0,4.375011E-6
52.0,52.0,0.11596832
53.0,53.0,0.9525298
54.0,54.0,0.3274209
55.0,55.0,8.0070095E-8
56.0,56.0,0.059601124
57.0,57.0,0.33023596
58.0,58.0,0.46983168
59.0,59.0,3.3206653E-8
60.0,60.0,0.037328042
61.0,61.0,0.99340564
62.0,62.0,1.21219826E-4
63.0,63.0,0.038843673
64.0,64.0,1.10902416E-4
65.0,65.0,0.063641034
66.0,66.0,0.0183577
67.0,67.0,0.059951056
68.0,68.0,2.2488403E-4
69.0,69.0,0.08682122
70.0,70.0,0.0045007104
71.0,71.0,2.0226164E-4
72.0,72.0,0.023264917
73.0,73.0,0.081379876
74.0,74.0,0.015014459
75.0,75.0,0.090264745
76.0,76.0,0.002122476
77.0,77.0,2.5381894E-7
78.0,78.0,0.14551143
79.0,79.0,0.0019617525
80.0,80.0,0.069484144
81.0,81.0,0.021492952
82.0,82.0,0.22892205
83.0,83.0,0.021165945
84.0,84.0,0.5576976
85.0,85.0,0.06919306
86.0,86.0,0.10153154
87.0,87.0,0.0018053963
88.0,88.0,0.093688786
89.0,89.0,0.10495068
90.0,90.0,4.23244E-10
91.0,91.0,0.6881555
92.0,92.0,0.095916346
93.0,93.0,0.16380091
94.0,94.0,0.06664015
95.0,95.0,0.110752106
96.0,96.0,0.38548598
97.0,97.0,0.21007285
98.0,98.0,0.17842849
99.0,99.0,7.95724E-8
100.0,100.0,0.25373414
101.0,101.0,0.023622358
102.0,102.0,0.06623027
103.0,103.0,0.055296972
104.0,104.0,1.5131402E-4
105.0,105.0,9.401291E-8
106.0,106.0,0.06653459
107.0,107.0,0.09467022
108.0,108.0,0.12097474
109.0,109.0,0.0012787168
110.0,110.0,9.364118E-9
111.0,111.0,4.6063768E-5
112.0,112.0,0.16858532
113.0,113.0,0.6228768
114.0,114.0,0.14933825
115.0,115.0,0.13365656
116.0,116.0,0.655663
117.0,117.0,0.049079433
118.0,118.0,0.124791205
119.0,119.0,0.06814941
120.0,120.0,0.27658567
121.0,121.0,3.6953705E-5
122.0,122.0,1.6608614E-7
123.0,123.0,6.8986125E-8
124.0,124.0,0.32239068
125.0,125.0,0.44082853
126.0,126.0,0.09387427
127.0,127.0,0.0846595
128.0,128.0,0.60256183
129.0,129.0,0.17721602
130.0,130.0,0.26259807
131.0,131.0,0.096434325
132.0,132.0,8.335086E-7
133.0,133.0,0.15970668
134.0,134.0,0.13516545
135.0,135.0,0.08786398
136.0,136.0,0.13502257
137.0,137.0,0.006292143
138.0,138.0,0.069006674
139.0,139.0,0.09382776
140.0,140.0,0.006375423
141.0,141.0,0.10750431
142.0,142.0,0.45256266
143.0,143.0,0.26911646
144.0,144.0,5.8304093E-5
145.0,145.0,0.09849692
146.0,146.0,0.035648324
147.0,147.0,0.7657559
148.0,148.0,0.20895323
149.0,149.0,1.0676117E-8
150.0,150.0,0.0055296193
151.0,151.0,0.72500503
152.0,152.0,0.28406417
153.0,153.0,0.14499012
154.0,154.0,0.49458492
155.0,155.0,0.10054189
156.0,156.0,0.37329382
157.0,157.0,0.11113404
158.0,158.0,0.021279141
159.0,159.0,0.004789462
160.0,160.0,0.11070337
161.0,161.0,0.36788177
162.0,162.0,0.07794694
163.0,163.0,0.019433262
164.0,164.0,0.076606065
165.0,165.0,3.6589772E-5
166.0,166.0,0.29133558
167.0,167.0,8.522242E-8
168.0,168.0,0.119846
169.0,169.0,0.16894123
170.0,170.0,0.12684785
171.0,171.0,8.5460805E-8
172.0,172.0,0.26046747
173.0,173.0,0.008795774
174.0,174.0,3.7756814E-5
175.0,175.0,0.09262565
176.0,176.0,0.86567855
177.0,177.0,0.039888892
178.0,178.0,5.186227E-6
179.0,179.0,2.4849747E-5
180.0,180.0,0.01953515
181.0,181.0,8.047043E-8
182.0,182.0,7.2765274E-6
183.0,183.0,0.037889864
184.0,184.0,0.012674667
185.0,185.0,1.0009669E-4
186.0,186.0,0.8008886
187.0,187.0,6.8069784E-7
188.0,188.0,0.01310435
189.0,189.0,0.4946481
190.0,190.0,0.23900206
191.0,191.0,0.006758174
192.0,192.0,0.11617661
193.0,193.0,1.4822712E-4
194.0,194.0,3.3601653E-5
195.0,195.0,2.1041214E-4
196.0,196.0,0.47523233
197.0,197.0,0.52063096
198.0,198.0,0.004836234
199.0,199.0,8.560689E-6
200.0,200.0,0.33312777
201.0,201.0,0.31660128
202.0,202.0,0.46205345
203.0,203.0,0.033127256
204.0,204.0,0.030502874
205.0,205.0,9.918599E-6
206.0,206.0,0.08073514
207.0,207.0,4.9177046E-10
208.0,208.0,0.15651321
209.0,209.0,0.17400669
210.0,210.0,0.4727767
211.0,211.0,0.0013943402
212.0,212.0,0.0033524807
213.0,213.0,0.10847017
214.0,214.0,0.0016190971
215.0,215.0,5.1380313E-9
216.0,216.0,0.16329634
217.0,217.0,7.2817277E-9
218.0,218.0,0.09116133
219.0,219.0,0.4739287
220.0,220.0,0.15623713
221.0,221.0,0.0011168409
222.0,222.0,0.18515283
223.0,223.0,0.043428138
224.0,224.0,0.02529739
225.0,225.0,0.07333239
226.0,226.0,0.056398727
227.0,227.0,3.2700284E-4
228.0,228.0,0.004455265
229.0,229.0,0.12263609
230.0,230.0,9.275131E-6
231.0,231.0,0.03367059
232.0,232.0,5.0876895E-4
233.0,233.0,4.5639585E-4
234.0,234.0,0.0060963714
235.0,235.0,0.09509847
236.0,236.0,0.082497805
237.0,237.0,0.28557995
238.0,238.0,0.12252294
239.0,239.0,1.6715392E-4
240.0,240.0,0.005984789
241.0,241.0,0.019076165
242.0,242.0,0.014744992
243.0,243.0,6.5280838E-6
244.0,244.0,0.060486507
245.0,245.0,0.18664818
246.0,246.0,0.96236116
247.0,247.0,0.0385124
248.0,248.0,0.0046567586
249.0,249.0,0.50143224
250.0,250.0,5.379529E-7
251.0,251.0,0.0015035578
252.0,252.0,3.7553323E-7
253.0,253.0,0.046465214
254.0,254.0,0.031785544
255.0,255.0,0.32857874
256.0,256.0,0.38721907
257.0,257.0,0.10058913
258.0,258.0,5.4533288E-5
259.0,259.0,0.17464846
260.0,260.0,0.6715527
261.0,261.0,0.3047522
262.0,262.0,1.0832902E-9
263.0,263.0,0.14982605
264.0,264.0,0.11720654
265.0,265.0,2.477173E-8
266.0,266.0,0.035998404
267.0,267.0,0.0016407797
268.0,268.0,2.8621974E-7
269.0,269.0,7.630644E-4
270.0,270.0,0.19211589
271.0,271.0,1.8546924E-9
272.0,272.0,0.12913327
273.0,273.0,0.11588159
274.0,274.0,0.065102294
275.0,275.0,0.08264424
276.0,276.0,0.09811684
277.0,277.0,0.0041746027
278.0,278.0,0.051270377
279.0,279.0,3.0032056E-4
280.0,280.0,0.051878467
281.0,281.0,0.033553705
282.0,282.0,0.20285223
283.0,283.0,0.07717491
284.0,284.0,1.4567386E-6
285.0,285.0,5.4534135E-4
286.0,286.0,0.24986003
287.0,287.0,0.046414636
288.0,288.0,0.07011198
289.0,289.0,3.3894657E-6
290.0,290.0,2.3142352E-10
291.0,291.0,6.837337E-5
292.0,292.0,0.20304556
293.0,293.0,0.16911766
294.0,294.0,0.3572917
295.0,295.0,3.6866847E-6
296.0,296.0,0.013374063
297.0,297.0,0.045434285
298.0,298.0,1.3756611E-6
299.0,299.0,0.3215677
300.0,300.0,0.15840597
301.0,301.0,0.6661567
302.0,302.0,0.05783445
303.0,303.0,0.1327617
304.0,304.0,0.0546789
305.0,305.0,0.11399355
306.0,306.0,6.1695177E-6
307.0,307.0,0.13683374
308.0,308.0,0.12948285
309.0,309.0,0.45956916
310.0,310.0,3.4547676E-7
311.0,311.0,1.5771555E-5
312.0,312.0,0.5673567
313.0,313.0,8.396092E-7
314.0,314.0,7.645028E-6
315.0,315.0,2.9417715E-4
316.0,316.0,0.06402625
317.0,317.0,0.51870173
318.0,318.0,4.245381E-5
319.0,319.0,0.1946108
320.0,320.0,0.0026659889
321.0,321.0,0.05031227
322.0,322.0,0.004313416
323.0,323.0,0.47005075
324.0,324.0,0.65497726
325.0,325.0,0.0033581115
326.0,326.0,0.112097554
327.0,327.0,0.11221289
328.0,328.0,0.048030183
329.0,329.0,0.0037646976
330.0,330.0,0.1357939
331.0,331.0,0.006523597
332.0,332.0,0.26464504
333.0,333.0,0.0458729
334.0,334.0,0.13125154
335.0,335.0,0.012663445
336.0,336.0,1.8705968E-7
337.0,337.0,0.9943797
338.0,338.0,0.043884635
339.0,339.0,0.0011458206
340.0,340.0,0.013360725
341.0,341.0,0.762847
342.0,342.0,0.075321086
343.0,343.0,0.0023552158
344.0,344.0,0.14504732
345.0,345.0,3.53096E-4
346.0,346.0,0.03119159
347.0,347.0,0.574396
348.0,348.0,0.12967025
349.0,349.0,0.34963447
350.0,350.0,0.07121003
351.0,351.0,0.317039
352.0,352.0,7.6165556E-8
353.0,353.0,3.587061E-5
354.0,354.0,7.4445925E-9
355.0,355.0,0.09262881
356.0,356.0,0.553881
357.0,357.0,0.031014964
358.0,358.0,0.2640714
359.0,359.0,3.6167967E-6
360.0,360.0,1.609577E-5
361.0,361.0,0.5962995
362.0,362.0,0.033950225
363.0,363.0,5.5125893E-5
364.0,364.0,0.0022634503
365.0,365.0,1.4338876E-5
366.0,366.0,0.037246723
367.0,367.0,0.13309295
368.0,368.0,8.438596E-9
369.0,369.0,0.06336677
370.0,370.0,1.1430592E-10
371.0,371.0,0.14598784
372.0,372.0,0.0656661
373.0,373.0,4.4265646E-5
374.0,374.0,0.047608856
375.0,375.0,1.7661114E-7
376.0,376.0,0.18897125
377.0,377.0,0.24769904
378.0,378.0,0.29607677
379.0,379.0,0.010203287
380.0,380.0,1.8662236E-10
381.0,381.0,3.1502752E-9
382.0,382.0,3.3290357E-6
383.0,383.0,1.72954E-6
384.0,384.0,7.1289654E-9
385.0,385.0,3.0674484E-5
386.0,386.0,0.22212806
387.0,387.0,0.032269683
388.0,388.0,1.3723303E-5
389.0,389.0,0.022691218
390.0,390.0,1.9916145E-7
