x,y,species stddev
1.0,1.0,0.037394255
2.0,2.0,0.028601496
3.0,3.0,0.101392
4.0,4.0,1.0302818E-4
5.0,5.0,1.8505134E-4
6.0,6.0,0.018667111
7.0,7.0,0.032273546
8.0,8.0,0.032562934
9.0,9.0,0.004621403
10.0,10.0,0.00427383
11.0,11.0,1.0596444E-6
12.0,12.0,0.020960903
13.0,13.0,0.051621415
14.0,14.0,0.008731679
15.0,15.0,0.06807656
16.0,16.0,0.06117092
17.0,17.0,9.247334E-5
18.0,18.0,0.076519996
19.0,19.0,0.001095003
20.0,20.0,0.01706332
21.0,21.0,0.010173849
22.0,22.0,0.0120485
23.0,23.0,0.001476067
24.0,24.0,0.115547866
25.0,25.0,0.02305573
26.0,26.0,0.05117524
27.0,27.0,0.05567423
28.0,28.0,5.8810612E-5
29.0,29.0,1.0450198E-5
30.0,30.0,2.5389946E-4
31.0,31.0,0.0010522902
32.0,32.0,0.0018159681
33.0,33.0,1.3305704E-4
34.0,34.0,0.0028312232
35.0,35.0,1.8671974E-4
36.0,36.0,0.02439431
37.0,37.0,0.043969985
38.0,38.0,0.09147629
39.0,39.0,0.0059395847
40.0,40.0,0.04790157
41.0,41.0,0.005256058
42.0,42.0,0.052980248
43.0,43.0,0.027670048
44.0,44.0,7.062144E-5
45.0,45.0,2.4221472E-7
46.0,46.0,0.005442493
47.0,47.0,0.021872133
48.0,48.0,0.0044516684
49.0,49.0,0.13746096
50.0,50.0,0.0066714687
51.0,51.0,0.025540274
52.0,52.0,0.021540241
53.0,53.0,2.5821943E-4
54.0,54.0,0.0017543655
55.0,55.0,0.0012822854
56.0,56.0,0.05105207
57.0,57.0,0.06528997
58.0,58.0,0.12067927
59.0,59.0,3.3931027E-4
60.0,60.0,0.06704487
61.0,61.0,0.0596391
62.0,62.0,0.050170228
63.0,63.0,1.4675341E-5
64.0,64.0,0.107810475
65.0,65.0,0.05576556
66.0,66.0,0.062284034
67.0,67.0,0.029511005
68.0,68.0,0.08956843
69.0,69.0,0.035803586
70.0,70.0,0.0548835
71.0,71.0,2.315235E-7
72.0,72.0,0.0019049037
73.0,73.0,3.830829E-5
74.0,74.0,0.04090787
75.0,75.0,0.123024024
76.0,76.0,0.044774283
77.0,77.0,0.11874131
78.0,78.0,3.6793226E-5
79.0,79.0,0.0064567043
80.0,80.0,0.112202905
81.0,81.0,0.09689735
82.0,82.0,0.055665113
83.0,83.0,0.007850653
84.0,84.0,2.8444256E-7
85.0,85.0,0.08493567
86.0,86.0,0.003632099
87.0,87.0,0.007919426
88.0,88.0,0.0024793397
89.0,89.0,0.040241543
90.0,90.0,0.03590332
91.0,91.0,0.008894543
92.0,92.0,0.060126442
93.0,93.0,0.06994318
94.0,94.0,0.01262197
95.0,95.0,0.055364724
96.0,96.0,0.00771471
97.0,97.0,0.032842822
98.0,98.0,0.03989247
99.0,99.0,0.03850351
100.0,100.0,0.08018649
101.0,101.0,0.031602178
102.0,102.0,0.10948882
103.0,103.0,0.047478165
104.0,104.0,0.0151938265
105.0,105.0,0.016773097
106.0,106.0,0.022362754
107.0,107.0,4.0173578E-5
108.0,108.0,0.0025066943
109.0,109.0,0.07409732
110.0,110.0,8.446845E-4
111.0,111.0,0.0124434745
112.0,112.0,0.0036282854
113.0,113.0,0.07039215
114.0,114.0,0.0662367
115.0,115.0,2.823543E-4
116.0,116.0,1.5448619E-5
117.0,117.0,0.097016566
118.0,118.0,3.0255994E-6
119.0,119.0,0.22769241
120.0,120.0,0.037822437
121.0,121.0,2.6645573E-6
122.0,122.0,9.3996257E-4
123.0,123.0,0.06302842
124.0,124.0,0.023628727
125.0,125.0,0.04289035
126.0,126.0,0.055099584
127.0,127.0,0.065644525
128.0,128.0,1.14212E-6
129.0,129.0,0.0019314138
130.0,130.0,0.038257603
131.0,131.0,0.04012275
132.0,132.0,7.1706427E-6
133.0,133.0,0.13836099
134.0,134.0,0.014146058
135.0,135.0,2.6333882E-6
136.0,136.0,0.009002567
137.0,137.0,0.033804055
138.0,138.0,0.009601122
139.0,139.0,1.9040852E-5
140.0,140.0,0.040290352
141.0,141.0,0.075484425
142.0,142.0,6.7867564E-5
143.0,143.0,1.935204E-6
144.0,144.0,0.06985557
145.0,145.0,9.047477E-5
146.0,146.0,0.005202627
147.0,147.0,0.0016791004
148.0,148.0,9.09433E-4
149.0,149.0,0.031130139
150.0,150.0,0.0974574
151.0,151.0,0.09593474
152.0,152.0,8.8444655E-4
153.0,153.0,5.2472196E-6
154.0,154.0,6.389924E-5
155.0,155.0,0.014883669
156.0,156.0,6.8149766E-6
157.0,157.0,9.591326E-4
158.0,158.0,0.006051681
159.0,159.0,5.0958326E-5
160.0,160.0,1.5150229E-4
161.0,161.0,0.085042864
162.0,162.0,0.042226847
163.0,163.0,1.7807263E-6
164.0,164.0,0.07605357
165.0,165.0,0.044738453
166.0,166.0,1.2848661E-6
167.0,167.0,0.07263055
168.0,168.0,1.992975E-4
169.0,169.0,0.074522436
170.0,170.0,0.08373075
171.0,171.0,0.044625737
172.0,172.0,0.034932684
173.0,173.0,0.09997632
174.0,174.0,0.09744094
175.0,175.0,0.04353072
176.0,176.0,0.045236994
177.0,177.0,0.043798823
178.0,178.0,0.05002108
179.0,179.0,0.0059156567
180.0,180.0,7.037427E-4
181.0,181.0,0.0043445076
182.0,182.0,0.007207488
183.0,183.0,0.007434656
184.0,184.0,0.06839159
185.0,185.0,0.0046620155
186.0,186.0,3.628364E-6
187.0,187.0,0.04805481
188.0,188.0,0.01837759
189.0,189.0,8.58149E-6
190.0,190.0,0.0616158
191.0,191.0,5.1217212E-5
192.0,192.0,0.0210605
193.0,193.0,0.07127299
194.0,194.0,2.3700073E-5
195.0,195.0,0.06302388
196.0,196.0,0.12862115
197.0,197.0,0.060280606
198.0,198.0,0.079513
199.0,199.0,0.023034597
200.0,200.0,0.0044674166
201.0,201.0,0.027020723
202.0,202.0,8.167413E-7
203.0,203.0,0.002783328
204.0,204.0,2.2307754E-4
205.0,205.0,2.6593274E-5
206.0,206.0,0.060837712
207.0,207.0,0.03567015
208.0,208.0,0.0018173188
209.0,209.0,0.0021166734
210.0,210.0,0.057319254
211.0,211.0,0.0021303918
212.0,212.0,3.5652498E-5
213.0,213.0,0.0014377508
214.0,214.0,2.8006596E-6
215.0,215.0,0.004145724
216.0,216.0,0.075275585
217.0,217.0,6.5472974E-5
218.0,218.0,0.046446025
219.0,219.0,0.04845103
220.0,220.0,7.185681E-5
221.0,221.0,1.1618214E-5
222.0,222.0,0.016707206
223.0,223.0,0.08218623
224.0,224.0,0.008449675
225.0,225.0,3.6741275E-4
226.0,226.0,5.302138E-7
227.0,227.0,4.5225772E-4
228.0,228.0,0.036131658
229.0,229.0,6.0662398E-5
230.0,230.0,0.05519024
231.0,231.0,0.11745067
232.0,232.0,0.0020492915
233.0,233.0,8.490588E-5
234.0,234.0,0.047904093
235.0,235.0,0.08471785
236.0,236.0,0.0034018091
237.0,237.0,0.06555554
238.0,238.0,0.0010480729
239.0,239.0,0.04866316
240.0,240.0,8.4235764E-4
241.0,241.0,5.781057E-7
242.0,242.0,7.2388015E-5
243.0,243.0,2.7090215E-4
244.0,244.0,0.054167006
245.0,245.0,0.0048102946
246.0,246.0,2.6178165E-7
247.0,247.0,0.07172733
248.0,248.0,0.022761019
249.0,249.0,0.046947654
250.0,250.0,0.042382594
251.0,251.0,0.05866664
252.0,252.0,0.008922105
253.0,253.0,0.027780835
254.0,254.0,0.07571511
255.0,255.0,0.075767845
256.0,256.0,0.016147565
257.0,257.0,0.08085024
258.0,258.0,0.04853104
259.0,259.0,0.016955767
260.0,260.0,0.04355307
261.0,261.0,0.07754507
262.0,262.0,4.5442424E-4
263.0,263.0,0.06905672
264.0,264.0,5.129951E-5
265.0,265.0,9.811084E-7
266.0,266.0,0.051264826
267.0,267.0,1.9017916E-7
268.0,268.0,2.9854225E-6
269.0,269.0,0.06424159
270.0,270.0,9.985338E-4
271.0,271.0,0.01500235
272.0,272.0,0.1082724
273.0,273.0,0.12556006
274.0,274.0,0.02520782
275.0,275.0,0.001393879
276.0,276.0,0.04599106
277.0,277.0,0.0399858
278.0,278.0,4.3236805E-4
279.0,279.0,0.014265101
280.0,280.0,0.042438112
281.0,281.0,0.07210033
282.0,282.0,0.013760743
283.0,283.0,0.010200238
284.0,284.0,0.020220673
285.0,285.0,1.242005E-4
286.0,286.0,0.051932417
287.0,287.0,0.0043457667
288.0,288.0,2.3833762E-5
289.0,289.0,0.022838365
290.0,290.0,0.058891147
291.0,291.0,9.30499E-6
292.0,292.0,0.03306595
293.0,293.0,0.03637187
294.0,294.0,0.07213693
295.0,295.0,0.036324743
296.0,296.0,6.68109E-4
297.0,297.0,0.008711093
298.0,298.0,7.7262985E-6
299.0,299.0,7.775829E-6
300.0,300.0,3.7491344E-7
301.0,301.0,0.007134784
302.0,302.0,0.0118257115
303.0,303.0,1.1842643E-4
304.0,304.0,0.018628832
305.0,305.0,7.654521E-6
306.0,306.0,3.7304771E-6
307.0,307.0,9.953023E-4
308.0,308.0,0.05066634
309.0,309.0,0.025608273
310.0,310.0,9.158078E-5
311.0,311.0,0.0013850998
312.0,312.0,0.0015269802
313.0,313.0,7.339774E-5
314.0,314.0,0.004485134
315.0,315.0,0.0013816074
316.0,316.0,0.13693286
317.0,317.0,0.0026609413
318.0,318.0,0.07244315
319.0,319.0,0.009332035
320.0,320.0,9.03581E-6
321.0,321.0,0.11198172
322.0,322.0,0.0093682585
323.0,323.0,0.103480145
324.0,324.0,0.01390674
325.0,325.0,0.0041517867
326.0,326.0,0.03215469
327.0,327.0,3.035903E-5
328.0,328.0,0.0040292344
329.0,329.0,0.00349639
330.0,330.0,6.647518E-5
331.0,331.0,0.05764437
332.0,332.0,0.036956422
333.0,333.0,0.06931639
334.0,334.0,6.04532E-4
335.0,335.0,0.035850655
336.0,336.0,7.1449045E-5
337.0,337.0,0.03417327
338.0,338.0,0.13097881
339.0,339.0,0.058227554
340.0,340.0,0.057894763
341.0,341.0,2.156455E-6
342.0,342.0,0.01669455
343.0,343.0,0.012375238
344.0,344.0,0.053080194
345.0,345.0,0.057044327
346.0,346.0,0.021972591
347.0,347.0,0.044862006
348.0,348.0,0.09539566
349.0,349.0,0.016542235
350.0,350.0,0.013135337
351.0,351.0,3.498723E-6
352.0,352.0,0.007503664
353.0,353.0,0.015543878
354.0,354.0,0.056851916
355.0,355.0,2.5309535E-4
356.0,356.0,0.030992676
357.0,357.0,1.527735E-5
358.0,358.0,0.045174982
359.0,359.0,9.7679396E-5
360.0,360.0,0.032826465
361.0,361.0,0.03170327
362.0,362.0,0.03967856
363.0,363.0,0.00911711
364.0,364.0,4.094388E-4
365.0,365.0,7.3194155E-6
366.0,366.0,0.019256724
367.0,367.0,5.80034E-4
368.0,368.0,0.052347954
369.0,369.0,0.10274166
370.0,370.0,0.031870496
371.0,371.0,1.2817199E-4
372.0,372.0,2.3035315E-4
373.0,373.0,0.13002361
374.0,374.0,0.13105395
375.0,375.0,7.2259472E-6
376.0,376.0,4.8746324E-6
377.0,377.0,0.03498019
378.0,378.0,0.0058781477
379.0,379.0,0.027273325
380.0,380.0,0.030660637
