x,y,species max
1.0,1.0,5.2479864E-4
2.0,2.0,1.4820519E-4
3.0,3.0,0.15961403
4.0,4.0,4.4480913E-8
5.0,5.0,0.71855575
6.0,6.0,3.0845953E-5
7.0,7.0,0.061303232
8.0,8.0,5.222089E-4
9.0,9.0,6.238181E-4
10.0,10.0,0.21957158
11.0,11.0,0.22514436
12.0,12.0,1.2017524E-7
13.0,13.0,0.47000024
14.0,14.0,4.9372006E-6
15.0,15.0,0.0046502724
16.0,16.0,0.002503704
17.0,17.0,0.29611024
18.0,18.0,0.2672668
19.0,19.0,0.40749052
20.0,20.0,0.10787156
21.0,21.0,0.0012717707
22.0,22.0,2.1875504E-4
23.0,23.0,0.33898538
24.0,24.0,0.93444157
25.0,25.0,0.10640681
26.0,26.0,4.2739973E-8
27.0,27.0,1.86788E-6
28.0,28.0,0.25741357
29.0,29.0,0.012017337
30.0,30.0,2.7543258E-5
31.0,31.0,2.229454E-7
32.0,32.0,0.013963837
33.0,33.0,0.9101891
34.0,34.0,0.12601748
35.0,35.0,0.020611558
36.0,36.0,0.43227834
37.0,37.0,0.17777433
38.0,38.0,2.553405E-6
39.0,39.0,5.198019E-7
40.0,40.0,0.06047923
41.0,41.0,1.6616189E-4
42.0,42.0,0.3583149
43.0,43.0,1.240853E-8
44.0,44.0,0.2280645
45.0,45.0,0.13490602
46.0,46.0,0.51599795
47.0,47.0,0.28209475
48.0,48.0,0.37030923
49.0,49.0,0.03197239
50.0,50.0,2.7456167E-7
51.0,51.0,0.48120078
52.0,52.0,0.6351571
53.0,53.0,0.048115548
54.0,54.0,0.0026693551
55.0,55.0,0.11130506
56.0,56.0,0.560247
57.0,57.0,0.001918434
58.0,58.0,0.25562504
59.0,59.0,0.0027255176
60.0,60.0,2.0883832E-4
61.0,61.0,0.023063697
62.0,62.0,4.827542E-5
63.0,63.0,5.8672267E-10
64.0,64.0,0.06786997
65.0,65.0,0.07347596
66.0,66.0,0.11644624
67.0,67.0,2.8494327E-5
68.0,68.0,0.1350958
69.0,69.0,0.008724737
70.0,70.0,0.18117534
71.0,71.0,3.673267E-4
72.0,72.0,0.022968328
73.0,73.0,0.19812568
74.0,74.0,0.25580755
75.0,75.0,0.0056319204
76.0,76.0,0.1866666
