x,y,species median
1.0,1.0,3.548273E-4
2.0,2.0,8.482537E-5
3.0,3.0,0.14190757
4.0,4.0,1.920784E-8
5.0,5.0,0.6720248
6.0,6.0,1.7370514E-5
7.0,7.0,0.045390386
8.0,8.0,3.5510416E-4
9.0,9.0,3.7415797E-4
10.0,10.0,0.19209988
11.0,11.0,0.19914445
12.0,12.0,6.0629176E-8
13.0,13.0,0.4593049
14.0,14.0,2.8817624E-6
15.0,15.0,0.0029135041
16.0,16.0,0.0018141737
17.0,17.0,0.2789845
18.0,18.0,0.2379745
19.0,19.0,0.3941886
20.0,20.0,0.09106579
21.0,21.0,7.863214E-4
22.0,22.0,1.2435198E-4
23.0,23.0,0.32838684
24.0,24.0,0.9162171
25.0,25.0,0.095228486
26.0,26.0,1.989123E-8
27.0,27.0,9.587252E-7
28.0,28.0,0.24181084
29.0,29.0,0.010460799
30.0,30.0,1.561021E-5
31.0,31.0,1.13897634E-7
32.0,32.0,0.01163287
33.0,33.0,0.9016657
34.0,34.0,0.103147194
35.0,35.0,0.015334262
36.0,36.0,0.39775807
37.0,37.0,0.15444902
38.0,38.0,1.220138E-6
39.0,39.0,2.5135668E-7
40.0,40.0,0.04878051
41.0,41.0,1.0955181E-4
42.0,42.0,0.3118782
43.0,43.0,5.073238E-9
44.0,44.0,0.21586041
45.0,45.0,0.122362904
46.0,46.0,0.46023816
47.0,47.0,0.26426843
48.0,48.0,0.35272533
49.0,49.0,0.028741159
50.0,50.0,1.3680673E-7
51.0,51.0,0.4226483
52.0,52.0,0.6162494
53.0,53.0,0.035403635
54.0,54.0,0.0019004825
55.0,55.0,0.09307949
56.0,56.0,0.5059945
57.0,57.0,0.0013744992
58.0,58.0,0.2376692
59.0,59.0,0.0017654758
60.0,60.0,1.0935288E-4
61.0,61.0,0.020495124
62.0,62.0,2.990143E-5
63.0,63.0,2.4278968E-10
64.0,64.0,0.06335654
65.0,65.0,0.063716896
66.0,66.0,0.110384494
67.0,67.0,1.4683543E-5
68.0,68.0,0.114146456
69.0,69.0,0.00739394
70.0,70.0,0.16962585
71.0,71.0,2.3197047E-4
72.0,72.0,0.017766614
73.0,73.0,0.16508473
74.0,74.0,0.22735767
75.0,75.0,0.004001946
76.0,76.0,0.1723498
77.0,77.0,0.0061575384
78.0,78.0,0.28145483
79.0,79.0,0.668017
80.0,80.0,0.06803879
81.0,81.0,0.00236163
82.0,82.0,0.1394724
83.0,83.0,3.273274E-10
84.0,84.0,0.26223963
85.0,85.0,0.5930304
86.0,86.0,0.12978207
87.0,87.0,1.8748536E-10
88.0,88.0,1.5942018E-7
89.0,89.0,0.4240125
90.0,90.0,0.17798303
91.0,91.0,1.0916633E-6
92.0,92.0,0.28226328
93.0,93.0,0.0018688983
