Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.51616E-11,0.000000005,0.000000138,1,0,0
5.83396E-11,0.00000001,0.000000178,0.999896427,0,0
9.34061E-11,0.000000034,0.000000285,0.999585707,0,0
1.28279E-10,0.000000104,0.000000391,0.998964267,0,0
1.5791E-10,0.000000264,0.000000481,0.997824961,0,0
2.56306E-10,0.000001002,0.000000781,0.994096323,0,0
4.15848E-10,0.000002514,0.000001267,0.989331952,0,0
9.83091E-10,0.000010095,0.000002995,0.978249612,0,0
1.50622E-9,0.000025055,0.000004589,0.965717245,0,0
2.22221E-9,0.000050051,0.000006771,0.951631279,0,0
4.10005E-9,0.000100154,0.000012492,0.934645262,0,0
1.03381E-8,0.000250636,0.000031498,0.910926981,0,0
1.89752E-8,0.000500367,0.000057813,0.893112377,0,0
3.04445E-8,0.001000116,0.000092756,0.872190575,0,0
5.98249E-8,0.002500366,0.000182262,0.836768514,0,0
1.13082E-7,0.005011269,0.000344485,0.805178664,0,0
2.63637E-7,0.010007368,0.000802942,0.77472812,0,0
6.87466E-7,0.025058625,0.002092423,0.739616779,0,0
1.14687E-6,0.050104192,0.003488248,0.711341274,0,0
2.01648E-6,0.100103154,0.006125111,0.677783532,0,0
3.77179E-6,0.200001742,0.011426331,0.640290005,0,0
6.12208E-6,0.300260675,0.018480243,0.61864319,0,0
8.14525E-6,0.400705105,0.024512014,0.604039358,0,0
1.02342E-5,0.501023337,0.03070098,0.592749871,0,0
1.1726E-5,0.600159737,0.035096917,0.583428276,0,0
1.3343E-5,0.700250056,0.039838884,0.575142413,0,0
1.40144E-5,0.75080311,0.041801081,0.571310202,0,0
1.47894E-5,0.801354793,0.044060954,0.567685137,0,0
1.60592E-5,0.900144124,0.047752293,0.561056447,0,0
1.74081E-5,1.000851647,0.051658021,0.554842051,0,0
1.84609E-5,1.10164462,0.054695164,0.549041947,0,0
1.97385E-5,1.201438619,0.058367814,0.543656137,0,0
2.08157E-5,1.300671504,0.061453323,0.538581046,0,0
2.20094E-5,1.401914559,0.064860571,0.533713102,0,0
2.32068E-5,1.501576662,0.068265996,0.529155878,0,0
2.53516E-5,1.752527184,0.074334987,0.51848783,0,0
2.73014E-5,2.002255056,0.079817832,0.508648369,0,0
