variable,x,y
wc2.0_bio_2.5m_1,-29.60950889587404,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-29.481576666259784,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-29.353644436645524,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-29.225712207031265,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-29.09777997741701,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-28.969847747802753,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-28.841915518188493,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-28.713983288574237,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-28.586051058959978,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-28.45811882934572,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-28.330186599731462,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-28.202254370117206,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-28.074322140502947,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-27.94638991088869,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-27.81845768127443,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-27.690525451660175,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-27.562593222045916,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-27.43466099243166,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-27.3067287628174,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-27.178796533203144,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-27.050864303588884,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-26.92293207397463,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-26.79499984436037,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-26.667067614746113,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-26.539135385131853,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-26.411203155517597,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-26.283270925903338,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-26.155338696289082,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-26.027406466674822,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-25.899474237060566,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-25.771542007446307,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-25.64360977783205,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-25.51567754821779,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-25.387745318603535,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-25.259813088989276,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-25.131880859375016,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-25.00394862976076,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-24.876016400146504,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-24.748084170532245,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-24.620151940917985,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-24.49221971130373,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-24.364287481689473,1.8574182547581586E-7
wc2.0_bio_2.5m_1,-24.236355252075214,1.8980261984324898E-7
wc2.0_bio_2.5m_1,-24.108423022460958,2.025212779699359E-7
wc2.0_bio_2.5m_1,-23.980490792846698,2.1608587985610939E-7
wc2.0_bio_2.5m_1,-23.852558563232442,2.3055245890191145E-7
wc2.0_bio_2.5m_1,-23.724626333618183,2.459801180521026E-7
wc2.0_bio_2.5m_1,-23.596694104003927,2.624323940381146E-7
wc2.0_bio_2.5m_1,-23.468761874389667,2.799771436912124E-7
wc2.0_bio_2.5m_1,-23.34082964477541,2.9868576234548527E-7
wc2.0_bio_2.5m_1,-23.21289741516115,3.186351875683613E-7
wc2.0_bio_2.5m_1,-23.084965185546896,3.3990738756983774E-7
wc2.0_bio_2.5m_1,-22.957032955932636,3.625887359248736E-7
wc2.0_bio_2.5m_1,-22.82910072631838,3.8677217162330635E-7
wc2.0_bio_2.5m_1,-22.70116849670412,4.1255688643104804E-7
wc2.0_bio_2.5m_1,-22.573236267089865,4.400472164434177E-7
wc2.0_bio_2.5m_1,-22.445304037475605,4.6935554109950317E-7
wc2.0_bio_2.5m_1,-22.31737180786135,5.00601686326263E-7
wc2.0_bio_2.5m_1,-22.18943957824709,5.339117592484399E-7
wc2.0_bio_2.5m_1,-22.061507348632833,5.694215587936924E-7
wc2.0_bio_2.5m_1,-21.933575119018574,6.0727580830644E-7
wc2.0_bio_2.5m_1,-21.805642889404318,6.476269049926486E-7
wc2.0_bio_2.5m_1,-21.67771065979006,6.906389558025694E-7
wc2.0_bio_2.5m_1,-21.549778430175802,7.364866405623616E-7
wc2.0_bio_2.5m_1,-21.421846200561546,7.853541319491342E-7
wc2.0_bio_2.5m_1,-21.293913970947287,8.374394724341983E-7
wc2.0_bio_2.5m_1,-21.165981741333027,8.929538353186217E-7
wc2.0_bio_2.5m_1,-21.03804951171877,9.521193646833126E-7
wc2.0_bio_2.5m_1,-20.910117282104515,1.0151752576348372E-6
wc2.0_bio_2.5m_1,-20.782185052490256,1.0823764569067862E-6
wc2.0_bio_2.5m_1,-20.654252822875996,1.153991092905926E-6
wc2.0_bio_2.5m_1,-20.52632059326174,1.2303080438869074E-6
wc2.0_bio_2.5m_1,-20.398388363647484,1.3116346053720918E-6
wc2.0_bio_2.5m_1,-20.270456134033225,1.3982947848489857E-6
wc2.0_bio_2.5m_1,-20.142523904418965,1.4906369187883683E-6
wc2.0_bio_2.5m_1,-20.01459167480471,1.5890319673417252E-6
wc2.0_bio_2.5m_1,-19.886659445190453,1.6938706721703056E-6
wc2.0_bio_2.5m_1,-19.758727215576194,1.8055732198263286E-6
wc2.0_bio_2.5m_1,-19.630794985961934,1.924587195389904E-6
wc2.0_bio_2.5m_1,-19.502862756347678,2.051383944490226E-6
wc2.0_bio_2.5m_1,-19.374930526733422,2.186470055676182E-6
wc2.0_bio_2.5m_1,-19.246998297119163,2.330385541426949E-6
wc2.0_bio_2.5m_1,-19.119066067504903,2.4836983811837854E-6
wc2.0_bio_2.5m_1,-18.991133837890644,2.6470197553862818E-6
wc2.0_bio_2.5m_1,-18.86320160827639,2.8210006348672323E-6
wc2.0_bio_2.5m_1,-18.73526937866213,3.006325414389721E-6
wc2.0_bio_2.5m_1,-18.607337149047872,3.2037310120358597E-6
wc2.0_bio_2.5m_1,-18.479404919433613,3.4140018669859273E-6
wc2.0_bio_2.5m_1,-18.35147268981936,3.6379631183081074E-6
wc2.0_bio_2.5m_1,-18.2235404602051,3.876502887578681E-6
wc2.0_bio_2.5m_1,-18.09560823059084,4.13056568504544E-6
wc2.0_bio_2.5m_1,-17.96767600097658,4.4011462705384474E-6
wc2.0_bio_2.5m_1,-17.83974377136233,4.689314209826989E-6
wc2.0_bio_2.5m_1,-17.71181154174807,4.996207735530334E-6
wc2.0_bio_2.5m_1,-17.58387931213381,5.323025106918067E-6
wc2.0_bio_2.5m_1,-17.45594708251955,5.671053713740548E-6
wc2.0_bio_2.5m_1,-17.328014852905294,6.041665074008051E-6
wc2.0_bio_2.5m_1,-17.20008262329104,6.436301646317588E-6
wc2.0_bio_2.5m_1,-17.07215039367678,6.8565141191356815E-6
wc2.0_bio_2.5m_1,-16.944218164062523,7.303953225346049E-6
wc2.0_bio_2.5m_1,-16.816285934448263,7.780355190334376E-6
wc2.0_bio_2.5m_1,-16.688353704834007,8.287587661470752E-6
wc2.0_bio_2.5m_1,-16.560421475219748,8.827637429931201E-6
wc2.0_bio_2.5m_1,-16.432489245605492,9.402593605045695E-6
wc2.0_bio_2.5m_1,-16.304557015991232,1.0014702638727613E-5
wc2.0_bio_2.5m_1,-16.176624786376976,1.066635741153732E-5
wc2.0_bio_2.5m_1,-16.048692556762717,1.1360070857335813E-5
wc2.0_bio_2.5m_1,-15.92076032714846,1.2098551451344974E-5
wc2.0_bio_2.5m_1,-15.792828097534203,1.2884653187938966E-5
wc2.0_bio_2.5m_1,-15.664895867919945,1.372143469779985E-5
wc2.0_bio_2.5m_1,-15.536963638305687,1.4612131053581834E-5
wc2.0_bio_2.5m_1,-15.40903140869143,1.556018105475232E-5
wc2.0_bio_2.5m_1,-15.281099179077172,1.6569261788390577E-5
wc2.0_bio_2.5m_1,-15.153166949462912,1.7643262253841385E-5
wc2.0_bio_2.5m_1,-15.025234719848656,1.8786317014019005E-5
wc2.0_bio_2.5m_1,-14.897302490234399,2.000284985115286E-5
wc2.0_bio_2.5m_1,-14.769370260620141,2.129753374902066E-5
wc2.0_bio_2.5m_1,-14.641438031005883,2.267533818667289E-5
wc2.0_bio_2.5m_1,-14.513505801391625,2.414157825114671E-5
wc2.0_bio_2.5m_1,-14.385573571777368,2.570187280070968E-5
wc2.0_bio_2.5m_1,-14.25764134216311,2.7362193577573635E-5
wc2.0_bio_2.5m_1,-14.129709112548852,2.9128927053534426E-5
wc2.0_bio_2.5m_1,-14.001776882934594,3.100882167927921E-5
wc2.0_bio_2.5m_1,-13.873844653320337,3.3009055186994374E-5
wc2.0_bio_2.5m_1,-13.745912423706079,3.513729461701587E-5
wc2.0_bio_2.5m_1,-13.617980194091821,3.74016490241047E-5
wc2.0_bio_2.5m_1,-13.490047964477565,3.981073678005487E-5
wc2.0_bio_2.5m_1,-13.362115734863306,4.237376924720593E-5
wc2.0_bio_2.5m_1,-13.23418350524905,4.510048165684566E-5
wc2.0_bio_2.5m_1,-13.10625127563479,4.800121678272262E-5
wc2.0_bio_2.5m_1,-12.97831904602053,5.108704135636799E-5
wc2.0_bio_2.5m_1,-12.850386816406274,5.436964056571014E-5
wc2.0_bio_2.5m_1,-12.722454586792015,5.786143083241768E-5
wc2.0_bio_2.5m_1,-12.594522357177759,6.157568714115769E-5
wc2.0_bio_2.5m_1,-12.466590127563503,6.552644481416792E-5
wc2.0_bio_2.5m_1,-12.338657897949243,6.972858682274818E-5
wc2.0_bio_2.5m_1,-12.210725668334987,7.419806206598878E-5
wc2.0_bio_2.5m_1,-12.082793438720731,7.89516925578937E-5
wc2.0_bio_2.5m_1,-11.954861209106468,8.400734805036336E-5
wc2.0_bio_2.5m_1,-11.826928979492212,8.938414976000786E-5
wc2.0_bio_2.5m_1,-11.698996749877953,9.510227391729131E-5
wc2.0_bio_2.5m_1,-11.571064520263697,1.0118317004526034E-4
wc2.0_bio_2.5m_1,-11.44313229064944,1.07649750134442E-4
wc2.0_bio_2.5m_1,-11.315200061035181,1.1452621401986107E-4
wc2.0_bio_2.5m_1,-11.187267831420925,1.2183827493572608E-4
wc2.0_bio_2.5m_1,-11.059335601806666,1.2961341417394578E-4
wc2.0_bio_2.5m_1,-10.931403372192406,1.3788063370157033E-4
