x,y,species_2 cloglog values
1.0,1.0,4.4268245E-6
2.0,2.0,7.534641E-4
3.0,3.0,4.9769686E-5
4.0,4.0,0.015222861
5.0,5.0,0.08655049
6.0,6.0,0.01894749
7.0,7.0,2.5731832E-5
8.0,8.0,0.03085667
9.0,9.0,2.1722066E-5
10.0,10.0,2.2721644E-5
11.0,11.0,0.08705891
12.0,12.0,0.012961928
13.0,13.0,3.2129344E-6
14.0,14.0,0.18960002
15.0,15.0,0.2082993
16.0,16.0,8.3126787E-7
17.0,17.0,1.4576661E-5
18.0,18.0,0.31348982
19.0,19.0,0.0051590074
20.0,20.0,2.8527043E-7
21.0,21.0,0.0037618394
22.0,22.0,0.069901645
23.0,23.0,5.443293E-4
24.0,24.0,0.011178272
25.0,25.0,1.4700541E-7
26.0,26.0,7.4451336E-6
27.0,27.0,4.379872E-7
28.0,28.0,0.3096975
29.0,29.0,0.3548835
30.0,30.0,0.10483053
31.0,31.0,5.2066384E-6
32.0,32.0,5.088021E-4
33.0,33.0,4.486942E-6
34.0,34.0,4.0165265E-4
35.0,35.0,0.03031886
36.0,36.0,0.24224237
37.0,37.0,0.8939789
38.0,38.0,0.05914562
39.0,39.0,6.849214E-5
40.0,40.0,0.09294576
41.0,41.0,0.017788969
42.0,42.0,1.3120407E-6
43.0,43.0,1.019335E-5
44.0,44.0,0.009664474
45.0,45.0,0.024547663
46.0,46.0,1.6401007E-4
47.0,47.0,0.06351576
48.0,48.0,1.0132852E-6
49.0,49.0,0.15237397
50.0,50.0,0.037965585
51.0,51.0,2.0364952E-7
52.0,52.0,0.0014096772
53.0,53.0,0.016354915
54.0,54.0,1.0079594E-6
55.0,55.0,0.0019443271
56.0,56.0,0.25172523
57.0,57.0,0.06594296
58.0,58.0,0.035161257
59.0,59.0,0.2613302
60.0,60.0,0.0031429688
61.0,61.0,0.08150799
62.0,62.0,7.6182274E-5
63.0,63.0,8.876031E-6
64.0,64.0,2.5874632E-4
65.0,65.0,0.04363919
66.0,66.0,0.15092815
67.0,67.0,0.11646839
68.0,68.0,4.9003353E-5
69.0,69.0,6.4822966E-6
70.0,70.0,8.1112766E-8
71.0,71.0,0.10194575
72.0,72.0,0.076601535
73.0,73.0,0.20506634
74.0,74.0,0.048714984
75.0,75.0,0.24019249
76.0,76.0,1.6450338E-6
77.0,77.0,0.035916496
78.0,78.0,0.12291196
79.0,79.0,0.88282967
