variable,x,y
wc2.0_bio_2.5m_5,-12.621999883651732,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-12.489759886169432,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-12.357519888687133,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-12.225279891204833,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-12.093039893722533,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-11.960799896240234,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-11.828559898757934,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-11.696319901275634,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-11.564079903793335,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-11.431839906311035,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-11.299599908828736,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-11.167359911346434,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-11.035119913864136,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-10.902879916381835,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-10.770639918899537,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-10.638399921417236,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-10.506159923934936,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-10.373919926452636,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-10.241679928970337,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-10.109439931488037,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-9.977199934005737,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-9.844959936523438,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-9.712719939041138,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-9.580479941558838,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-9.448239944076539,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-9.31599994659424,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-9.18375994911194,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-9.05151995162964,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-8.91927995414734,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-8.78703995666504,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-8.654799959182741,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-8.522559961700441,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-8.39031996421814,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-8.258079966735842,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-8.12583996925354,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-7.993599971771243,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-7.861359974288942,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-7.7291199768066425,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-7.596879979324343,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-7.464639981842043,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-7.332399984359744,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-7.200159986877443,1.4025690688868053E-6
wc2.0_bio_2.5m_5,-7.067919989395144,1.4268795212046825E-6
wc2.0_bio_2.5m_5,-6.935679991912845,1.5023689456938882E-6
wc2.0_bio_2.5m_5,-6.803439994430544,1.5818518477317411E-6
wc2.0_bio_2.5m_5,-6.6711999969482445,1.6655401395837544E-6
wc2.0_bio_2.5m_5,-6.538959999465945,1.7536556242703227E-6
wc2.0_bio_2.5m_5,-6.406720001983646,1.8464329514245037E-6
wc2.0_bio_2.5m_5,-6.274480004501346,1.944118821484153E-6
wc2.0_bio_2.5m_5,-6.142240007019046,2.046972667812952E-6
wc2.0_bio_2.5m_5,-6.010000009536746,2.1552677935687825E-6
wc2.0_bio_2.5m_5,-5.877760012054447,2.2692927359457826E-6
wc2.0_bio_2.5m_5,-5.745520014572147,2.3893496745586162E-6
wc2.0_bio_2.5m_5,-5.6132800170898465,2.5157587515423074E-6
wc2.0_bio_2.5m_5,-5.481040019607548,2.6488551156944595E-6
wc2.0_bio_2.5m_5,-5.348800022125248,2.7889927878277376E-6
wc2.0_bio_2.5m_5,-5.216560024642948,2.9365451155172195E-6
wc2.0_bio_2.5m_5,-5.084320027160648,3.0919031814846676E-6
wc2.0_bio_2.5m_5,-4.952080029678348,3.2554803510720376E-6
wc2.0_bio_2.5m_5,-4.8198400321960495,3.4277122722414788E-6
wc2.0_bio_2.5m_5,-4.687600034713749,3.6090552839596057E-6
wc2.0_bio_2.5m_5,-4.5553600372314484,3.7999932374077616E-6
wc2.0_bio_2.5m_5,-4.423120039749151,4.001031811640132E-6
wc2.0_bio_2.5m_5,-4.290880042266851,4.212706244288711E-6
wc2.0_bio_2.5m_5,-4.1586400447845495,4.435580194694921E-6
wc2.0_bio_2.5m_5,-4.02640004730225,4.670244379667565E-6
wc2.0_bio_2.5m_5,-3.8941600498199502,4.917324076814111E-6
wc2.0_bio_2.5m_5,-3.7619200523376524,5.177475486561889E-6
wc2.0_bio_2.5m_5,-3.629680054855351,5.451389824884245E-6
wc2.0_bio_2.5m_5,-3.4974400573730513,5.7397955970373005E-6
wc2.0_bio_2.5m_5,-3.3652000598907534,6.043459961802E-6
wc2.0_bio_2.5m_5,-3.232960062408452,6.363189186231466E-6
wc2.0_bio_2.5m_5,-3.1007200649261524,6.699833193124505E-6
wc2.0_bio_2.5m_5,-2.9684800674438527,7.054287834762363E-6
wc2.0_bio_2.5m_5,-2.836240069961553,7.427495347656077E-6
wc2.0_bio_2.5m_5,-2.7040000724792534,7.820446626283228E-6
wc2.0_bio_2.5m_5,-2.571760074996954,8.234186680056155E-6
wc2.0_bio_2.5m_5,-2.439520077514654,8.66981554281665E-6
wc2.0_bio_2.5m_5,-2.3072800800323545,9.128491910814773E-6
wc2.0_bio_2.5m_5,-2.175040082550055,9.6114345069509E-6
wc2.0_bio_2.5m_5,-2.0428000850677552,1.011992571875453E-5
wc2.0_bio_2.5m_5,-1.9105600875854556,1.0655319783836603E-5
wc2.0_bio_2.5m_5,-1.7783200901031542,1.121903824241599E-5
wc2.0_bio_2.5m_5,-1.6460800926208563,1.1812579941761214E-5
wc2.0_bio_2.5m_5,-1.5138400951385567,1.243752285517985E-5
wc2.0_bio_2.5m_5,-1.3816000976562552,1.3095527719997335E-5
