x,y,species_1 cloglog values
1.0,1.0,0.0020336744
2.0,2.0,0.016086794
3.0,3.0,0.0036100284
4.0,4.0,2.3076815E-5
5.0,5.0,0.0010014072
6.0,6.0,6.323633E-5
7.0,7.0,1.9012718E-5
8.0,8.0,1.2376721E-6
9.0,9.0,0.546474
10.0,10.0,9.757005E-4
11.0,11.0,6.162274E-8
12.0,12.0,1.2467946E-4
13.0,13.0,1.2399656E-4
14.0,14.0,0.0022172518
15.0,15.0,2.1604714E-5
16.0,16.0,1.4543805E-4
17.0,17.0,6.2139707E-6
18.0,18.0,1.8945036E-7
19.0,19.0,1.2127035E-5
20.0,20.0,6.1613704E-5
21.0,21.0,2.7595222E-6
22.0,22.0,3.2330615E-8
23.0,23.0,1.8508898E-4
24.0,24.0,1.4152148E-5
25.0,25.0,3.559713E-5
26.0,26.0,8.289111E-6
27.0,27.0,5.2908586E-6
28.0,28.0,6.258569E-7
29.0,29.0,3.67029E-7
30.0,30.0,4.2306633E-6
31.0,31.0,1.860205E-4
32.0,32.0,3.5875923E-6
33.0,33.0,2.7482543E-5
34.0,34.0,5.806674E-5
35.0,35.0,0.001396895
36.0,36.0,7.4082887E-4
37.0,37.0,0.0026873895
38.0,38.0,1.157954E-4
39.0,39.0,0.71096766
40.0,40.0,2.581854E-5
41.0,41.0,1.13248E-6
42.0,42.0,8.3082356E-5
43.0,43.0,3.0986484E-5
44.0,44.0,2.1808353E-4
45.0,45.0,6.336232E-7
46.0,46.0,7.083132E-4
47.0,47.0,6.7734416E-4
48.0,48.0,8.731832E-5
49.0,49.0,1.1006694E-4
50.0,50.0,4.87879E-5
51.0,51.0,1.6609805E-8
52.0,52.0,3.2015922E-4
53.0,53.0,1.2680191E-7
54.0,54.0,0.0016029594
55.0,55.0,9.4293114E-7
56.0,56.0,0.030267162
57.0,57.0,9.8407E-7
58.0,58.0,0.0012732345
59.0,59.0,5.1911804E-4
60.0,60.0,9.323362E-7
61.0,61.0,0.0052152127
62.0,62.0,1.5876964E-5
63.0,63.0,8.176099E-5
64.0,64.0,9.569304E-4
65.0,65.0,3.1349168E-4
66.0,66.0,4.3435E-6
67.0,67.0,5.304084E-6
68.0,68.0,5.7963362E-8
69.0,69.0,8.884559E-5
70.0,70.0,3.111231E-5
71.0,71.0,8.808669E-5
72.0,72.0,1.7486388E-4
73.0,73.0,0.005951639
74.0,74.0,0.0037236526
75.0,75.0,2.8007242E-5
76.0,76.0,0.49156392
77.0,77.0,1.8560405E-6
78.0,78.0,0.7500811
79.0,79.0,8.687322E-5
80.0,80.0,0.10434411
81.0,81.0,3.6456786E-6
82.0,82.0,8.878684E-4
83.0,83.0,1.0595884E-5
84.0,84.0,1.4392377E-8
85.0,85.0,2.7693326E-5
86.0,86.0,0.016926415
87.0,87.0,0.4671221
88.0,88.0,1.5286687E-5
89.0,89.0,6.335088E-5
90.0,90.0,5.8492617E-5
91.0,91.0,9.008555E-5
92.0,92.0,4.1616207E-8
93.0,93.0,3.8162987E-8
94.0,94.0,2.4252129E-4
95.0,95.0,2.809818E-5
96.0,96.0,0.08747372
97.0,97.0,2.5879193E-4
98.0,98.0,2.2888037E-4
99.0,99.0,8.513273E-6
100.0,100.0,1.1886389E-4
101.0,101.0,3.231722E-5
102.0,102.0,1.2706183E-5
103.0,103.0,0.06723367
104.0,104.0,4.115688E-8
105.0,105.0,3.8264407E-4
106.0,106.0,1.904303E-5
107.0,107.0,1.3098644E-6
108.0,108.0,3.1652543E-4
109.0,109.0,4.556647E-6
110.0,110.0,4.4432588E-4
111.0,111.0,0.0012215299
112.0,112.0,6.2319884E-7
113.0,113.0,2.2537931E-6
114.0,114.0,1.3993413E-4
115.0,115.0,2.0987018E-4
116.0,116.0,2.6467976E-6
117.0,117.0,1.1444895E-4
118.0,118.0,1.4418614E-4
119.0,119.0,0.0018593502
120.0,120.0,1.8399242E-6
121.0,121.0,0.6360823
122.0,122.0,8.5114664E-8
123.0,123.0,2.2290149E-5
124.0,124.0,0.6118612
125.0,125.0,5.5201563E-5
126.0,126.0,2.585228E-4
127.0,127.0,0.020068282
128.0,128.0,0.0012407572
129.0,129.0,2.7418237E-6
130.0,130.0,8.046736E-6
131.0,131.0,3.158848E-8
132.0,132.0,2.9532977E-5
133.0,133.0,1.7341445E-4
134.0,134.0,2.929172E-5
135.0,135.0,4.4579332E-7
136.0,136.0,3.7641544E-4
137.0,137.0,1.8900322E-5
138.0,138.0,1.713664E-4
139.0,139.0,3.2099346E-5
140.0,140.0,4.6214866E-4
141.0,141.0,2.700876E-8
142.0,142.0,9.867685E-6
143.0,143.0,0.025935682
144.0,144.0,1.4581403E-4
145.0,145.0,0.13849428
146.0,146.0,8.641205E-6
147.0,147.0,1.0453917E-4
148.0,148.0,1.2213632E-5
149.0,149.0,7.766017E-7
150.0,150.0,5.0333915E-6
151.0,151.0,4.8712017E-9
152.0,152.0,8.149394E-6
153.0,153.0,2.6212674E-5
154.0,154.0,2.9441104E-5
155.0,155.0,5.4504728E-8
156.0,156.0,1.4740932E-5
157.0,157.0,4.250822E-6
158.0,158.0,2.688175E-6
159.0,159.0,0.017636137
160.0,160.0,4.9828445E-6
161.0,161.0,7.263382E-5
162.0,162.0,1.4777129E-6
163.0,163.0,8.292287E-7
164.0,164.0,2.1623098E-5
165.0,165.0,5.268652E-5
166.0,166.0,1.2084741E-6
167.0,167.0,4.902093E-6
168.0,168.0,7.0094143E-6
169.0,169.0,1.9087696E-4
170.0,170.0,2.1760628E-4
171.0,171.0,2.2876688E-6
172.0,172.0,6.744599E-5
173.0,173.0,8.422414E-7
174.0,174.0,0.7249791
175.0,175.0,0.01660704
176.0,176.0,2.8674622E-6
177.0,177.0,1.5186596E-4
178.0,178.0,3.0446408E-8
179.0,179.0,8.491222E-4
180.0,180.0,1.8207027E-8
181.0,181.0,8.462225E-4
182.0,182.0,0.6718499
183.0,183.0,6.2897285E-5
184.0,184.0,0.0024845432
185.0,185.0,0.0038638923
186.0,186.0,4.512921E-5
187.0,187.0,0.002300189
188.0,188.0,1.6324612E-6
189.0,189.0,5.2526925E-4
190.0,190.0,1.3764069E-4
191.0,191.0,5.86736E-4
192.0,192.0,0.005171522
193.0,193.0,0.6505789
194.0,194.0,1.4672565E-7
195.0,195.0,2.2543177E-6
196.0,196.0,4.832522E-5
197.0,197.0,5.528614E-4
198.0,198.0,1.6590739E-6
199.0,199.0,1.8785311E-6
200.0,200.0,3.264888E-8
201.0,201.0,3.688572E-6
202.0,202.0,1.5874073E-4
203.0,203.0,5.364874E-6
204.0,204.0,8.076469E-5
205.0,205.0,0.6698616
206.0,206.0,1.2233022E-6
207.0,207.0,5.4674138E-6
208.0,208.0,0.48039857
209.0,209.0,0.0020110565
210.0,210.0,4.6413616E-4
211.0,211.0,5.263854E-4
212.0,212.0,1.4749811E-7
213.0,213.0,0.0019364966
214.0,214.0,0.0010209584
215.0,215.0,7.988974E-7
216.0,216.0,0.0030708723
217.0,217.0,1.04183935E-4
218.0,218.0,0.094640896
219.0,219.0,1.1455131E-7
220.0,220.0,8.662752E-5
221.0,221.0,0.0042492873
222.0,222.0,1.7967372E-7
223.0,223.0,3.33816E-4
224.0,224.0,9.168966E-5
225.0,225.0,2.0397069E-4
226.0,226.0,2.828252E-4
227.0,227.0,8.0694655E-5
228.0,228.0,1.3440296E-5
229.0,229.0,1.9774592E-5
230.0,230.0,3.2003788E-6
231.0,231.0,0.72926515
232.0,232.0,3.1321122E-6
233.0,233.0,3.227685E-6
234.0,234.0,2.7001295E-6
235.0,235.0,6.116774E-4
236.0,236.0,1.0690175E-4
237.0,237.0,2.4771085E-5
238.0,238.0,0.2821522
