Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.91275E-12,0.000000001,0.000000006,0.99960282,0,0
3.59528E-12,0.000000003,0.000000007,0.99920564,0,0
4.47369E-12,0.00000001,0.000000009,0.997319035,0,0
5.83242E-12,0.000000025,0.000000012,0.99443948,0,0
1.7332E-11,0.000000101,0.000000036,0.987588124,0,0
2.87355E-11,0.000000252,0.000000059,0.981233244,0,0
6.01574E-11,0.000001005,0.000000123,0.964253798,0,0
1.34598E-10,0.0000025,0.000000276,0.948366597,0,0
6.07065E-10,0.000010059,0.000001246,0.924535796,0,0
1.33617E-9,0.000025023,0.000002742,0.909442955,0,0
2.03186E-9,0.000050126,0.000004169,0.894747294,0,0
3.29395E-9,0.000100307,0.000006759,0.875583358,0,0
8.63051E-9,0.000250581,0.000017709,0.847284282,0,0
1.762E-8,0.000501623,0.000036155,0.828120346,0,0
3.14232E-8,0.001001288,0.000064478,0.807367689,0,0
8.72949E-8,0.00250538,0.000179111,0.779267203,0,0
1.658E-7,0.00501401,0.00034016,0.759110317,0,0
3.30886E-7,0.010004826,0.000678742,0.739052726,0,0
7.88159E-7,0.025060827,0.00161598,0.711250124,0,0
1.36139E-6,0.050038064,0.002789655,0.687617913,0,0
2.2534E-6,0.100001083,0.004613252,0.660113196,0,0
3.93845E-6,0.200147468,0.008049064,0.627047959,0,0
5.53595E-6,0.300552802,0.011295398,0.605898123,0,0
6.96601E-6,0.40003345,0.014192457,0.590209512,0,0
8.30299E-6,0.500684226,0.016893272,0.577102572,0,0
9.37058E-6,0.600649899,0.019044577,0.565882236,0,0
1.05206E-5,0.700727734,0.021356813,0.555952736,0,0
1.11056E-5,0.750682416,0.022530739,0.551385165,0,0
1.16216E-5,0.800567912,0.023565272,0.547016185,0,0
1.2667E-5,0.900045593,0.025657507,0.538873995,0.002257336,0
1.36205E-5,1.001260545,0.02756196,0.531228279,0.002257336,0
1.44313E-5,1.100906695,0.029178534,0.524178334,0.002257336,0
1.53916E-5,1.200981691,0.031089652,0.517525568,0.002257336,0
1.61235E-5,1.300635006,0.032543732,0.511269983,0.004514673,0
