variable,x,y
wc2.0_bio_2.5m_17,-144.6,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-141.12959999999998,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-137.6592,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-134.1888,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-130.7184,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-127.24799999999999,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-123.77759999999999,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-120.3072,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-116.8368,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-113.3664,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-109.89599999999999,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-106.4256,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-102.95519999999999,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-99.4848,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-96.0144,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-92.54400000000001,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-89.0736,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-85.6032,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-82.1328,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-78.6624,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-75.192,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-71.7216,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-68.25120000000001,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-64.7808,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-61.3104,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-57.84,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-54.369600000000005,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-50.89920000000001,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-47.42880000000001,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-43.9584,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-40.488000000000014,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-37.0176,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-33.547200000000004,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-30.076800000000006,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-26.606400000000008,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-23.13600000000001,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-19.665599999999998,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-16.1952,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-12.724800000000016,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-9.254400000000004,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-5.783999999999992,1.6846004291437566E-4
wc2.0_bio_2.5m_17,-2.313600000000008,1.6846004291437566E-4
wc2.0_bio_2.5m_17,1.156800000000004,1.7795756866689771E-4
wc2.0_bio_2.5m_17,4.627199999999988,2.097850083373487E-4
wc2.0_bio_2.5m_17,8.097599999999971,2.4730400764383376E-4
wc2.0_bio_2.5m_17,11.567999999999984,2.9153210925869644E-4
wc2.0_bio_2.5m_17,15.038399999999996,3.4366868203505874E-4
wc2.0_bio_2.5m_17,18.508800000000008,4.051272990182042E-4
wc2.0_bio_2.5m_17,21.97919999999999,4.7757395077496767E-4
wc2.0_bio_2.5m_17,25.449599999999975,5.629721563309431E-4
wc2.0_bio_2.5m_17,28.919999999999987,6.636360194534063E-4
wc2.0_bio_2.5m_17,32.3904,7.822922198101878E-4
wc2.0_bio_2.5m_17,35.86079999999998,9.221541695296764E-4
wc2.0_bio_2.5m_17,39.331199999999995,0.0010870074620470405
wc2.0_bio_2.5m_17,42.80159999999998,0.0012813128996640444
wc2.0_bio_2.5m_17,46.27199999999996,0.0015103244222700596
wc2.0_bio_2.5m_17,49.742399999999975,0.001780231366865337
wc2.0_bio_2.5m_17,53.21279999999999,0.0020983219146728516
wc2.0_bio_2.5m_17,56.6832,0.002473178319633007
wc2.0_bio_2.5m_17,60.15359999999998,0.0029149032197892666
wc2.0_bio_2.5m_17,63.62399999999997,0.003435387508943677
wc2.0_bio_2.5m_17,67.09439999999998,0.004048619419336319
wc2.0_bio_2.5m_17,70.56479999999999,0.00477105425670743
wc2.0_bio_2.5m_17,74.03519999999997,0.005622037686407566
wc2.0_bio_2.5m_17,77.50559999999999,0.006624297238886356
wc2.0_bio_2.5m_17,80.97599999999997,0.007804530672729015
wc2.0_bio_2.5m_17,84.44639999999998,0.00919407233595848
wc2.0_bio_2.5m_17,87.9168,0.010829653590917587
wc2.0_bio_2.5m_17,91.38719999999998,0.012754320167005062
wc2.0_bio_2.5m_17,94.85759999999999,0.015018437057733536
wc2.0_bio_2.5m_17,98.32799999999997,0.01768086850643158
wc2.0_bio_2.5m_17,101.79839999999996,0.02081027254462242
wc2.0_bio_2.5m_17,105.2688,0.02448662370443344
wc2.0_bio_2.5m_17,108.73919999999998,0.02880283072590828
wc2.0_bio_2.5m_17,112.2096,0.033866554498672485
wc2.0_bio_2.5m_17,115.67999999999998,0.039802104234695435
wc2.0_bio_2.5m_17,119.15039999999996,0.04675251245498657
wc2.0_bio_2.5m_17,122.6208,0.05488153174519539
wc2.0_bio_2.5m_17,126.09119999999999,0.0643756091594696
wc2.0_bio_2.5m_17,129.56159999999997,0.07544542104005814
wc2.0_bio_2.5m_17,133.032,0.08832717686891556
wc2.0_bio_2.5m_17,136.5024,0.10328273475170135
wc2.0_bio_2.5m_17,139.97279999999998,0.12059856951236725
wc2.0_bio_2.5m_17,143.44319999999996,0.14058279991149902
wc2.0_bio_2.5m_17,146.9136,0.1635589897632599
wc2.0_bio_2.5m_17,150.38399999999993,0.18546709418296814
wc2.0_bio_2.5m_17,153.85439999999997,0.20894144475460052
wc2.0_bio_2.5m_17,157.3248,0.23493517935276031
wc2.0_bio_2.5m_17,160.79519999999994,0.2635905146598816
wc2.0_bio_2.5m_17,164.26559999999998,0.29501935839653015
wc2.0_bio_2.5m_17,167.73599999999996,0.3292900025844574
wc2.0_bio_2.5m_17,171.20639999999995,0.3664117157459259
wc2.0_bio_2.5m_17,174.6768,0.4063169062137604
wc2.0_bio_2.5m_17,178.14719999999997,0.44884365797042847
wc2.0_bio_2.5m_17,181.6176,0.49371689558029175
wc2.0_bio_2.5m_17,185.08799999999994,0.5294044017791748
wc2.0_bio_2.5m_17,188.55839999999998,0.5555856227874756
wc2.0_bio_2.5m_17,192.02880000000002,0.5731907486915588
wc2.0_bio_2.5m_17,195.49919999999995,0.5884348154067993
wc2.0_bio_2.5m_17,198.96959999999999,0.6013912558555603
wc2.0_bio_2.5m_17,202.43999999999997,0.6143844723701477
wc2.0_bio_2.5m_17,205.91039999999995,0.6273993849754333
wc2.0_bio_2.5m_17,209.3808,0.6404200792312622
wc2.0_bio_2.5m_17,212.85119999999998,0.6534302234649658
wc2.0_bio_2.5m_17,216.32159999999996,0.666412889957428
wc2.0_bio_2.5m_17,219.79199999999994,0.6793506145477295
wc2.0_bio_2.5m_17,223.26239999999999,0.6922255158424377
wc2.0_bio_2.5m_17,226.73279999999997,0.7050193548202515
wc2.0_bio_2.5m_17,230.20319999999995,0.717713475227356
wc2.0_bio_2.5m_17,233.6736,0.7302891612052917
wc2.0_bio_2.5m_17,237.14399999999992,0.7427273392677307
wc2.0_bio_2.5m_17,240.61439999999996,0.7550090551376343
wc2.0_bio_2.5m_17,244.08479999999994,0.7667917609214783
wc2.0_bio_2.5m_17,247.55519999999999,0.7762557864189148
wc2.0_bio_2.5m_17,251.02559999999997,0.7810443043708801
wc2.0_bio_2.5m_17,254.49599999999995,0.7857972383499146
wc2.0_bio_2.5m_17,257.9664,0.790076732635498
wc2.0_bio_2.5m_17,261.43679999999995,0.79093337059021
wc2.0_bio_2.5m_17,264.9072,0.79093337059021
wc2.0_bio_2.5m_17,268.37760000000003,0.79093337059021
wc2.0_bio_2.5m_17,271.84799999999996,0.7852540612220764
wc2.0_bio_2.5m_17,275.3184,0.7770466804504395
wc2.0_bio_2.5m_17,278.7887999999999,0.7641295790672302
wc2.0_bio_2.5m_17,282.25919999999996,0.7472968101501465
wc2.0_bio_2.5m_17,285.7296,0.7278314232826233
wc2.0_bio_2.5m_17,289.19999999999993,0.7080379128456116
wc2.0_bio_2.5m_17,292.6704,0.6879887580871582
wc2.0_bio_2.5m_17,296.1407999999999,0.6677553653717041
wc2.0_bio_2.5m_17,299.61119999999994,0.6474071145057678
wc2.0_bio_2.5m_17,303.0816,0.6270105242729187
wc2.0_bio_2.5m_17,306.5519999999999,0.6066293120384216
wc2.0_bio_2.5m_17,310.02239999999995,0.5863233804702759
wc2.0_bio_2.5m_17,313.4928,0.5661488771438599
wc2.0_bio_2.5m_17,316.9631999999999,0.546157717704773
wc2.0_bio_2.5m_17,320.43359999999996,0.5263978242874146
wc2.0_bio_2.5m_17,323.904,0.5069125294685364
wc2.0_bio_2.5m_17,327.3743999999999,0.48774099349975586
wc2.0_bio_2.5m_17,330.84479999999996,0.46891796588897705
wc2.0_bio_2.5m_17,334.3152,0.4504741132259369
wc2.0_bio_2.5m_17,337.78559999999993,0.4324358105659485
wc2.0_bio_2.5m_17,341.256,0.41482600569725037
wc2.0_bio_2.5m_17,344.7264,0.39766353368759155
wc2.0_bio_2.5m_17,348.19679999999994,0.3809638023376465
wc2.0_bio_2.5m_17,351.6672,0.36473897099494934
wc2.0_bio_2.5m_17,355.1376,0.34899812936782837
wc2.0_bio_2.5m_17,358.60799999999995,0.333747535943985
wc2.0_bio_2.5m_17,362.0784,0.3189909756183624
wc2.0_bio_2.5m_17,365.5487999999999,0.304729700088501
wc2.0_bio_2.5m_17,369.01919999999996,0.29096296429634094
wc2.0_bio_2.5m_17,372.4895999999999,0.27768802642822266
wc2.0_bio_2.5m_17,375.9599999999999,0.2649005353450775
wc2.0_bio_2.5m_17,379.43039999999996,0.25259456038475037
wc2.0_bio_2.5m_17,382.9007999999999,0.2407628744840622
wc2.0_bio_2.5m_17,386.37119999999993,0.22939707338809967
wc2.0_bio_2.5m_17,389.84159999999997,0.21848775446414948
wc2.0_bio_2.5m_17,393.312,0.20802491903305054
wc2.0_bio_2.5m_17,396.78239999999994,0.19799759984016418
wc2.0_bio_2.5m_17,400.25279999999987,0.18839436769485474
wc2.0_bio_2.5m_17,403.7231999999999,0.17920337617397308
wc2.0_bio_2.5m_17,407.19359999999995,0.17041240632534027
wc2.0_bio_2.5m_17,410.664,0.16200903058052063
wc2.0_bio_2.5m_17,414.1343999999999,0.15398062765598297
wc2.0_bio_2.5m_17,417.60479999999995,0.14631454646587372
wc2.0_bio_2.5m_17,421.0751999999999,0.1389980912208557
wc2.0_bio_2.5m_17,424.5455999999999,0.13201862573623657
wc2.0_bio_2.5m_17,428.01599999999985,0.12536358833312988
wc2.0_bio_2.5m_17,431.4863999999999,0.11902061104774475
wc2.0_bio_2.5m_17,434.95679999999993,0.11297747492790222
wc2.0_bio_2.5m_17,438.42719999999997,0.10722218453884125
wc2.0_bio_2.5m_17,441.8975999999999,0.1017429530620575
wc2.0_bio_2.5m_17,445.3679999999998,0.09652841091156006
wc2.0_bio_2.5m_17,448.83839999999987,0.09156730771064758
wc2.0_bio_2.5m_17,452.3087999999999,0.08684875816106796
wc2.0_bio_2.5m_17,455.77919999999995,0.08236220479011536
wc2.0_bio_2.5m_17,459.2496,0.0780973881483078
wc2.0_bio_2.5m_17,462.7199999999999,0.07404440641403198
wc2.0_bio_2.5m_17,466.19039999999984,0.07019366323947906
wc2.0_bio_2.5m_17,469.6607999999999,0.06653591245412827
wc2.0_bio_2.5m_17,473.1311999999999,0.06306224316358566
wc2.0_bio_2.5m_17,476.60159999999996,0.059764064848423004
wc2.0_bio_2.5m_17,480.0719999999999,0.056633125990629196
wc2.0_bio_2.5m_17,483.54239999999993,0.053661491721868515
wc2.0_bio_2.5m_17,487.01279999999986,0.0508415512740612
