variable,x,y
wc2.0_bio_2.5m_5,-12.089600324630746,4.518246714724228E-5
wc2.0_bio_2.5m_5,-11.963705924987801,4.518246714724228E-5
wc2.0_bio_2.5m_5,-11.837811525344858,4.518246714724228E-5
wc2.0_bio_2.5m_5,-11.711917125701913,4.518246714724228E-5
wc2.0_bio_2.5m_5,-11.586022726058967,4.518246714724228E-5
wc2.0_bio_2.5m_5,-11.460128326416024,4.518246714724228E-5
wc2.0_bio_2.5m_5,-11.334233926773079,4.518246714724228E-5
wc2.0_bio_2.5m_5,-11.208339527130136,4.518246714724228E-5
wc2.0_bio_2.5m_5,-11.08244512748719,4.518246714724228E-5
wc2.0_bio_2.5m_5,-10.956550727844245,4.518246714724228E-5
wc2.0_bio_2.5m_5,-10.830656328201302,4.518246714724228E-5
wc2.0_bio_2.5m_5,-10.704761928558357,4.518246714724228E-5
wc2.0_bio_2.5m_5,-10.578867528915413,4.518246714724228E-5
wc2.0_bio_2.5m_5,-10.452973129272468,4.518246714724228E-5
wc2.0_bio_2.5m_5,-10.327078729629523,4.518246714724228E-5
wc2.0_bio_2.5m_5,-10.20118432998658,4.518246714724228E-5
wc2.0_bio_2.5m_5,-10.075289930343635,4.518246714724228E-5
wc2.0_bio_2.5m_5,-9.94939553070069,4.518246714724228E-5
wc2.0_bio_2.5m_5,-9.823501131057746,4.518246714724228E-5
wc2.0_bio_2.5m_5,-9.697606731414801,4.518246714724228E-5
wc2.0_bio_2.5m_5,-9.571712331771856,4.518246714724228E-5
wc2.0_bio_2.5m_5,-9.445817932128913,4.518246714724228E-5
wc2.0_bio_2.5m_5,-9.319923532485967,4.518246714724228E-5
wc2.0_bio_2.5m_5,-9.194029132843024,4.518246714724228E-5
wc2.0_bio_2.5m_5,-9.068134733200079,4.518246714724228E-5
wc2.0_bio_2.5m_5,-8.942240333557134,4.518246714724228E-5
wc2.0_bio_2.5m_5,-8.81634593391419,4.518246714724228E-5
wc2.0_bio_2.5m_5,-8.690451534271245,4.518246714724228E-5
wc2.0_bio_2.5m_5,-8.564557134628302,4.518246714724228E-5
wc2.0_bio_2.5m_5,-8.438662734985357,4.518246714724228E-5
wc2.0_bio_2.5m_5,-8.312768335342412,4.518246714724228E-5
wc2.0_bio_2.5m_5,-8.186873935699467,4.518246714724228E-5
wc2.0_bio_2.5m_5,-8.060979536056523,4.518246714724228E-5
wc2.0_bio_2.5m_5,-7.935085136413578,4.518246714724228E-5
wc2.0_bio_2.5m_5,-7.809190736770634,4.518246714724228E-5
wc2.0_bio_2.5m_5,-7.68329633712769,4.518246714724228E-5
wc2.0_bio_2.5m_5,-7.557401937484745,4.518246714724228E-5
wc2.0_bio_2.5m_5,-7.431507537841801,4.518246714724228E-5
wc2.0_bio_2.5m_5,-7.305613138198857,4.518246714724228E-5
wc2.0_bio_2.5m_5,-7.179718738555913,4.518246714724228E-5
wc2.0_bio_2.5m_5,-7.053824338912968,4.518246714724228E-5
wc2.0_bio_2.5m_5,-6.927929939270023,4.518246714724228E-5
wc2.0_bio_2.5m_5,-6.802035539627078,4.570309829432517E-5
wc2.0_bio_2.5m_5,-6.676141139984134,4.7301447921199724E-5
wc2.0_bio_2.5m_5,-6.55024674034119,4.895600795862265E-5
wc2.0_bio_2.5m_5,-6.4243523406982455,5.0668761105043814E-5
wc2.0_bio_2.5m_5,-6.298457941055301,5.244175918051042E-5
wc2.0_bio_2.5m_5,-6.172563541412356,5.4277144954539835E-5
wc2.0_bio_2.5m_5,-6.046669141769412,5.617711940431036E-5
wc2.0_bio_2.5m_5,-5.920774742126468,5.814395990455523E-5
wc2.0_bio_2.5m_5,-5.794880342483523,6.0180045693414286E-5
wc2.0_bio_2.5m_5,-5.668985942840579,6.228782149264589E-5
wc2.0_bio_2.5m_5,-5.543091543197634,6.446982297347859E-5
wc2.0_bio_2.5m_5,-5.41719714355469,6.67286803945899E-5
wc2.0_bio_2.5m_5,-5.291302743911745,6.906712224008515E-5
wc2.0_bio_2.5m_5,-5.1654083442688,7.148795702960342E-5
wc2.0_bio_2.5m_5,-5.039513944625856,7.399409514619038E-5
wc2.0_bio_2.5m_5,-4.913619544982912,7.658858521608636E-5
wc2.0_bio_2.5m_5,-4.787725145339968,7.927453407319263E-5
wc2.0_bio_2.5m_5,-4.661830745697023,8.205519407056272E-5
wc2.0_bio_2.5m_5,-4.535936346054079,8.493391942465678E-5
wc2.0_bio_2.5m_5,-4.410041946411133,8.7914195319172E-5
wc2.0_bio_2.5m_5,-4.284147546768189,9.099960880121216E-5
wc2.0_bio_2.5m_5,-4.158253147125245,9.419389971299097E-5
wc2.0_bio_2.5m_5,-4.0323587474823,9.750093158800155E-5
wc2.0_bio_2.5m_5,-3.906464347839357,1.0092469165101647E-4
wc2.0_bio_2.5m_5,-3.78056994819641,1.0446932719787583E-4
wc2.0_bio_2.5m_5,-3.6546755485534668,1.0813913831952959E-4
wc2.0_bio_2.5m_5,-3.5287811489105216,1.1193856335012242E-4
wc2.0_bio_2.5m_5,-3.4028867492675783,1.1587219341890886E-4
wc2.0_bio_2.5m_5,-3.276992349624633,1.1994481610599905E-4
wc2.0_bio_2.5m_5,-3.15109794998169,1.2416133540682495E-4
wc2.0_bio_2.5m_5,-3.0252035503387447,1.28526909975335E-4
wc2.0_bio_2.5m_5,-2.8993091506958013,1.3304679305292666E-4
wc2.0_bio_2.5m_5,-2.773414751052856,1.3772647071164101E-4
wc2.0_bio_2.5m_5,-2.647520351409911,1.425716618541628E-4
wc2.0_bio_2.5m_5,-2.5216259517669677,1.4758820179849863E-4
wc2.0_bio_2.5m_5,-2.3957315521240226,1.527822169009596E-4
wc2.0_bio_2.5m_5,-2.269837152481079,1.5816000814083964E-4
wc2.0_bio_2.5m_5,-2.1439427528381323,1.6372809477616102E-4
wc2.0_bio_2.5m_5,-2.018048353195189,1.694932725513354E-4
wc2.0_bio_2.5m_5,-1.8921539535522438,1.7546254093758762E-4
wc2.0_bio_2.5m_5,-1.7662595539093005,1.8164316134061664E-4
wc2.0_bio_2.5m_5,-1.6403651542663553,1.8804265710059553E-4
wc2.0_bio_2.5m_5,-1.5144707546234102,1.9466881349217147E-4
wc2.0_bio_2.5m_5,-1.3885763549804668,2.0152970682829618E-4
wc2.0_bio_2.5m_5,-1.2626819553375217,2.08633704460226E-4
wc2.0_bio_2.5m_5,-1.1367875556945783,2.1598945022560656E-4
wc2.0_bio_2.5m_5,-1.0108931560516332,2.2360592265613377E-4
wc2.0_bio_2.5m_5,-0.8849987564086899,2.314923913218081E-4
wc2.0_bio_2.5m_5,-0.7591043567657447,2.3965850414242595E-4
wc2.0_bio_2.5m_5,-0.6332099571228014,2.481142000760883E-4
wc2.0_bio_2.5m_5,-0.5073155574798562,2.5686982553452253E-4
wc2.0_bio_2.5m_5,-0.38142115783690933,2.65936047071591E-4
wc2.0_bio_2.5m_5,-0.255526758193966,2.753239532466978E-4
wc2.0_bio_2.5m_5,-0.12963235855102084,2.8504504007287323E-4
wc2.0_bio_2.5m_5,-0.0037379589080774878,2.9511115280911326E-4
wc2.0_bio_2.5m_5,0.12215644073486764,3.0553460237570107E-4
wc2.0_bio_2.5m_5,0.248050840377811,3.1632816535420716E-4
wc2.0_bio_2.5m_5,0.37394524002075613,3.2750502577982843E-4
wc2.0_bio_2.5m_5,0.4998396396636995,3.3907886245287955E-4
wc2.0_bio_2.5m_5,0.6257340393066446,3.5106384893879294E-4
wc2.0_bio_2.5m_5,0.751628438949588,3.6347468267194927E-4
wc2.0_bio_2.5m_5,0.8775228385925331,3.7632655585184693E-4
wc2.0_bio_2.5m_5,1.0034172382354782,3.8963521365076303E-4
wc2.0_bio_2.5m_5,1.1293116378784216,4.034169833175838E-4
wc2.0_bio_2.5m_5,1.2552060375213667,4.1768874507397413E-4
wc2.0_bio_2.5m_5,1.3811004371643119,4.32468019425869E-4
wc2.0_bio_2.5m_5,1.506994836807257,4.4777296716347337E-4
wc2.0_bio_2.5m_5,1.6328892364502003,4.636223311536014E-4
wc2.0_bio_2.5m_5,1.7587836360931455,4.8003558185882866E-4
wc2.0_bio_2.5m_5,1.8846780357360888,4.970328882336617E-4
wc2.0_bio_2.5m_5,2.010572435379034,5.146351759321988E-4
wc2.0_bio_2.5m_5,2.136466835021979,5.328639526851475E-4
wc2.0_bio_2.5m_5,2.2623612346649224,5.517418030649424E-4
wc2.0_bio_2.5m_5,2.3882556343078676,5.71291777305305E-4
wc2.0_bio_2.5m_5,2.514150033950811,5.915380315855145E-4
wc2.0_bio_2.5m_5,2.640044433593756,6.12505420576781E-4
wc2.0_bio_2.5m_5,2.7659388332366994,6.3421978848055E-4
wc2.0_bio_2.5m_5,2.8918332328796446,6.567078526131809E-4
wc2.0_bio_2.5m_5,3.017727632522588,6.799973198212683E-4
wc2.0_bio_2.5m_5,3.143622032165535,7.041168282739818E-4
wc2.0_bio_2.5m_5,3.26951643180848,7.29096180293709E-4
wc2.0_bio_2.5m_5,3.3954108314514233,7.549661095254123E-4
wc2.0_bio_2.5m_5,3.5213052310943684,7.817585719749331E-4
wc2.0_bio_2.5m_5,3.647199630737312,8.095065131783485E-4
wc2.0_bio_2.5m_5,3.773094030380257,8.382442174479365E-4
wc2.0_bio_2.5m_5,3.8989884300232003,8.680071914568543E-4
wc2.0_bio_2.5m_5,4.024882829666145,8.988321060314775E-4
wc2.0_bio_2.5m_5,4.1507772293090905,9.307570871897042E-4
wc2.0_bio_2.5m_5,4.276671628952032,9.638213668949902E-4
wc2.0_bio_2.5m_5,4.402566028594981,9.980660397559404E-4
wc2.0_bio_2.5m_5,4.528460428237926,0.001033533364534378
wc2.0_bio_2.5m_5,4.6543548278808675,0.0010702671715989709
wc2.0_bio_2.5m_5,4.780249227523813,0.0011083126300945878
wc2.0_bio_2.5m_5,4.906143627166758,0.0011477171210572124
wc2.0_bio_2.5m_5,5.032038026809703,0.0011885291896760464
wc2.0_bio_2.5m_5,5.1579324264526445,0.001230799243785441
wc2.0_bio_2.5m_5,5.28382682609559,0.0012745799031108618
wc2.0_bio_2.5m_5,5.409721225738535,0.0013199251843616366
wc2.0_bio_2.5m_5,5.53561562538148,0.0013668909668922424
wc2.0_bio_2.5m_5,5.661510025024425,0.001415535807609558
wc2.0_bio_2.5m_5,5.787404424667367,0.0014659197768196464
wc2.0_bio_2.5m_5,5.913298824310312,0.0015181051567196846
wc2.0_bio_2.5m_5,6.039193223953257,0.0015721569070592523
wc2.0_bio_2.5m_5,6.165087623596202,0.001628141850233078
wc2.0_bio_2.5m_5,6.290982023239144,0.0016861294861882925
wc2.0_bio_2.5m_5,6.416876422882089,0.0017461911775171757
wc2.0_bio_2.5m_5,6.542770822525034,0.0018084021285176277
wc2.0_bio_2.5m_5,6.668665222167979,0.0018728391733020544
wc2.0_bio_2.5m_5,6.794559621810924,0.0019395819399505854
wc2.0_bio_2.5m_5,6.920454021453866,0.0020087137818336487
wc2.0_bio_2.5m_5,7.046348421096811,0.0020803201477974653
wc2.0_bio_2.5m_5,7.172242820739756,0.0021544897463172674
wc2.0_bio_2.5m_5,7.298137220382701,0.0022313150111585855
wc2.0_bio_2.5m_5,7.424031620025643,0.002310891170054674
wc2.0_bio_2.5m_5,7.549926019668588,0.002393316477537155
wc2.0_bio_2.5m_5,7.6758204193115365,0.0024786940775811672
wc2.0_bio_2.5m_5,7.801714818954482,0.002567129908129573
wc2.0_bio_2.5m_5,7.927609218597427,0.0026587331667542458
wc2.0_bio_2.5m_5,8.053503618240368,0.00275361817330122
wc2.0_bio_2.5m_5,8.179398017883313,0.0028519018087536097
wc2.0_bio_2.5m_5,8.305292417526259,0.0029537074733525515
wc2.0_bio_2.5m_5,8.431186817169204,0.003059161128476262
wc2.0_bio_2.5m_5,8.557081216812145,0.003168393624946475
wc2.0_bio_2.5m_5,8.68297561645509,0.0032815407030284405
wc2.0_bio_2.5m_5,8.808870016098036,0.0033987427596002817
wc2.0_bio_2.5m_5,8.93476441574098,0.0035201457794755697
