Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.1689E-12,0.000000001,0.000000004,0.998239437,0,0
6.03012E-12,0.000000003,0.000000023,0.997711268,0,0
1.66067E-11,0.000000011,0.000000063,0.997007042,0,0
2.29124E-11,0.000000026,0.000000087,0.996390845,0,0
6.09872E-11,0.000000106,0.000000233,0.994806338,0,0
1.0848E-10,0.000000255,0.000000414,0.993133803,0,0
2.19852E-10,0.000001005,0.000000838,0.989172535,0,0
3.61357E-10,0.000002527,0.000001378,0.984419014,0,0
8.89566E-10,0.000010039,0.000003392,0.973503521,0,0
1.87696E-9,0.0000251,0.000007156,0.963732394,0,0
3.29247E-9,0.000050302,0.000012553,0.954929577,0,0
6.15553E-9,0.000100076,0.00002347,0.945510563,0,0
1.59862E-8,0.000251567,0.00006095,0.932834507,0,0
2.81683E-8,0.000502637,0.000107395,0.922711268,0,0
5.83333E-8,0.00100282,0.000222389,0.912235915,0,0
1.10342E-7,0.002500756,0.000420624,0.896478873,0,0
1.61173E-7,0.00501354,0.000614332,0.880105634,0,0
2.50832E-7,0.010023284,0.000955915,0.858626761,0,0
4.50645E-7,0.025028617,0.001716745,0.820510563,0,0
7.16616E-7,0.050044622,0.002728585,0.782130282,0,0
1.25049E-6,0.10007905,0.00475651,0.736091549,0,0
2.07879E-6,0.200133503,0.007894689,0.68221831,0,0
2.84557E-6,0.300033881,0.010790964,0.646302817,0,0
3.6275E-6,0.400138011,0.013735712,0.618926056,0,0
4.34463E-6,0.500149691,0.016428765,0.596830986,0,0
5.0642E-6,0.600271075,0.01912356,0.578080986,0.000588928,0
5.81288E-6,0.700185707,0.021919556,0.561795775,0.000588928,0
6.16632E-6,0.75002477,0.023236735,0.554489437,0.001177856,0
6.56981E-6,0.800082342,0.024738248,0.547535211,0.001177856,0
7.27922E-6,0.900548125,0.027372628,0.534771127,0.001766784,0
7.88228E-6,1.000785141,0.029606467,0.523151408,0.001766784,0
8.4353E-6,1.100451452,0.031650409,0.512411972,0.001766784,0
8.94545E-6,1.200215038,0.033532121,0.502288732,0.001766784,0
9.40766E-6,1.300511294,0.035233869,0.492693662,0.001766784,0
9.98867E-6,1.400448538,0.037368715,0.483626761,0.002355713,0
1.04566E-5,1.5007621,0.039084627,0.475,0.002944641,0
1.17794E-5,1.750336677,0.04391901,0.455193662,0.004122497,0
1.30137E-5,2.000488694,0.048407669,0.437411972,0.004122497,0
1.43697E-5,2.250407242,0.053315025,0.421302817,0.004122497,0
1.59328E-5,2.50058458,0.058940135,0.406690141,0.004122497,0
1.7704E-5,2.750444391,0.065274001,0.393573944,0.00647821,0
1.95509E-5,3.000662605,0.071833079,0.381778169,0.007067138,0
2.14463E-5,3.251100473,0.078516472,0.371038732,0.007067138,0
2.38471E-5,3.501221786,0.086912981,0.361267606,0.008833922,0
2.61989E-5,3.75176659,0.095064019,0.352464789,0.00942285,0
2.82582E-5,4.000116692,0.102141552,0.344454225,0.010600707,0
3.06585E-5,4.251239678,0.110321267,0.336971831,0.011189635,0
3.25848E-5,4.501752263,0.116831668,0.330017606,0.014134276,0.005291005
3.46317E-5,4.750050383,0.123697519,0.323503521,0.01590106,0.005291005
3.7363E-5,5.002815579,0.132775868,0.317341549,0.016489988,0.005291005
4.02792E-5,5.251193091,0.142364933,0.311707746,0.018256773,0.010582011
4.27777E-5,5.500513973,0.150496223,0.306426056,0.020023557,0.010582011
4.54797E-5,5.752061952,0.159203108,0.301408451,0.021201413,0.010582011
4.80487E-5,6.000341019,0.167398578,0.296742958,0.022968198,0.010582011
5.07082E-5,6.252077885,0.175798609,0.292253521,0.02532391,0.015873016
5.31139E-5,6.500578726,0.183324002,0.288028169,0.027090695,0.015873016
5.64092E-5,6.75270619,0.193520589,0.283978873,0.029446408,0.015873016
5.94182E-5,7.002489383,0.202720342,0.280193662,0.032391048,0.015873016
6.27961E-5,7.252286417,0.212922827,0.276584507,0.035924617,0.015873016
6.61715E-5,7.50355063,0.222987445,0.273151408,0.038869258,0.015873016
7.00332E-5,7.750341926,0.23434435,0.269982394,0.041224971,0.031746032
7.31527E-5,8.000688444,0.243397226,0.266901408,0.042991755,0.031746032
7.68945E-5,8.256108141,0.254114794,0.263908451,0.044169611,0.042328042
8.09283E-5,8.500419894,0.265498837,0.261179577,0.04770318,0.042328042
8.66318E-5,8.751869545,0.281298985,0.258538732,0.050058893,0.042328042
9.11118E-5,9.001134406,0.293471087,0.256073944,0.053592462,0.042328042
9.50491E-5,9.252350336,0.303998419,0.253697183,0.058303887,0.042328042
9.99581E-5,9.506558846,0.316904394,0.251408451,0.060070671,0.042328042
1.0494E-4,9.752096842,0.32975727,0.249295775,0.062426384,0.042328042
1.09615E-4,10.010873706,0.34159826,0.247183099,0.064782097,0.042328042
1.1437E-4,10.258124561,0.353427742,0.245246479,0.065371025,0.042328042
1.19146E-4,10.503354687,0.365095396,0.243397887,0.068904594,0.047619048
1.23867E-4,10.758802842,0.37642043,0.241549296,0.070671378,0.047619048
1.2857E-4,11.012074543,0.387502762,0.239788732,0.073616019,0.052910053
1.33849E-4,11.261195507,0.399709083,0.238116197,0.07656066,0.052910053
1.39091E-4,11.506511464,0.411586274,0.23653169,0.080094229,0.058201058
1.4583E-4,11.762742098,0.426513424,0.234947183,0.080683157,0.063492063
1.50619E-4,12.01420181,0.436890192,0.233450704,0.084805654,0.063492063
1.54618E-4,12.258396402,0.445410178,0.232042254,0.087750294,0.068783069
1.58267E-4,12.508585223,0.453074362,0.230633803,0.090106007,0.074074074
1.61311E-4,12.764264647,0.459383942,0.229225352,0.09540636,0.074074074
1.65207E-4,13.009160788,0.467354774,0.22790493,0.098939929,0.074074074
1.70972E-4,13.262177355,0.478935961,0.226584507,0.100117786,0.074074074
1.74876E-4,13.503807536,0.486635419,0.225352113,0.10188457,0.074074074
1.78778E-4,13.751462386,0.494216265,0.224119718,0.105418139,0.084656085
1.8236E-4,14.00470075,0.501075801,0.222887324,0.106595995,0.095238095
1.88709E-4,14.264210507,0.513009741,0.22165493,0.110129564,0.095238095
1.94045E-4,14.514043016,0.522816991,0.220510563,0.113074205,0.100529101
1.97707E-4,14.76860097,0.529433701,0.219366197,0.116607774,0.100529101
2.00363E-4,15.00780285,0.534173977,0.218309859,0.118374558,0.105820106
2.0248E-4,15.269847277,0.537919529,0.217165493,0.121319199,0.105820106
2.06128E-4,15.515863805,0.54430208,0.216109155,0.125441696,0.111111111
2.08779E-4,15.764941635,0.548884324,0.215052817,0.128386337,0.111111111
2.11402E-4,16.017165561,0.553374214,0.213996479,0.130153121,0.111111111
2.12729E-4,16.250677249,0.555628433,0.213028169,0.131330978,0.111111111
2.16497E-4,16.508918355,0.561966073,0.211971831,0.134864547,0.116402116
2.19488E-4,16.771077671,0.566933892,0.210915493,0.137220259,0.121693122
2.23071E-4,17.014956175,0.572809808,0.209947183,0.138987044,0.121693122
2.24988E-4,17.261495523,0.575920478,0.208978873,0.139575972,0.126984127
2.27084E-4,17.510089677,0.579295941,0.208010563,0.142520612,0.126984127
2.30221E-4,17.762255426,0.584297861,0.207042254,0.144876325,0.126984127
2.34208E-4,18.017905515,0.590570372,0.206073944,0.148409894,0.132275132
2.36349E-4,18.253085995,0.593897793,0.205193662,0.150176678,0.137566138
2.38527E-4,18.514712372,0.597257489,0.204225352,0.151943463,0.137566138
2.39867E-4,18.753887201,0.599309519,0.20334507,0.154299176,0.137566138
2.41692E-4,19.019054454,0.602087569,0.202376761,0.157243816,0.148148148
2.44477E-4,19.262278665,0.606290832,0.201496479,0.158421673,0.153439153
2.46202E-4,19.507506481,0.60887119,0.200616197,0.161955241,0.153439153
2.48118E-4,19.754530293,0.611718068,0.199735915,0.16548881,0.158730159
2.50178E-4,20.003742684,0.614756677,0.198855634,0.166666667,0.158730159
2.51422E-4,20.254729803,0.616578699,0.197975352,0.17196702,0.158730159
2.52581E-4,20.506758615,0.61826977,0.19709507,0.176089517,0.164021164
2.54174E-4,20.760072064,0.620581981,0.196214789,0.179623086,0.164021164
2.55378E-4,21.014888739,0.622318895,0.195334507,0.18138987,0.169312169
2.56277E-4,21.270792481,0.623610839,0.194454225,0.183156655,0.169312169
2.57288E-4,21.501925197,0.625059648,0.193661972,0.186101296,0.169312169
2.58902E-4,21.760198286,0.62735921,0.19278169,0.187279152,0.174603175
2.60618E-4,22.019950078,0.629790131,0.191901408,0.189045936,0.174603175
2.61905E-4,22.255334307,0.631601675,0.191109155,0.192579505,0.17989418
2.63193E-4,22.517929219,0.633406378,0.190228873,0.196113074,0.17989418
2.64243E-4,22.755345323,0.634872002,0.18943662,0.200824499,0.185185185
2.65776E-4,23.020376076,0.636999474,0.188556338,0.204946996,0.195767196
2.67702E-4,23.260328955,0.639655818,0.187764085,0.208480565,0.195767196
2.69428E-4,23.502234644,0.642019289,0.186971831,0.21024735,0.195767196
2.70756E-4,23.772479387,0.643827653,0.186091549,0.213780919,0.206349206
2.72089E-4,24.016933876,0.645632399,0.185299296,0.217314488,0.206349206
2.72719E-4,24.262123167,0.646483528,0.184507042,0.220259128,0.206349206
2.73374E-4,24.507800789,0.64736495,0.183714789,0.223203769,0.211640212
2.74253E-4,24.754236726,0.648544083,0.182922535,0.22614841,0.211640212
2.75002E-4,25.001400441,0.649546488,0.182130282,0.229681979,0.211640212
2.75408E-4,25.276565903,0.650088682,0.18125,0.233215548,0.211640212
2.75944E-4,25.524754394,0.650803226,0.180457746,0.234982332,0.211640212
2.77086E-4,25.773617571,0.652320389,0.179665493,0.236160188,0.211640212
2.7834E-4,26.023717205,0.653979064,0.178873239,0.238515901,0.211640212
2.79229E-4,26.27474288,0.655149611,0.178080986,0.240871614,0.211640212
2.80023E-4,26.5263867,0.656191442,0.177288732,0.24204947,0.211640212
2.81146E-4,26.750798459,0.657661257,0.176584507,0.244994111,0.222222222
2.82004E-4,27.004247729,0.658779486,0.175792254,0.249116608,0.222222222
2.83123E-4,27.258571708,0.66023248,0.175,0.252061249,0.227513228
2.84103E-4,27.513795398,0.661498584,0.174207746,0.255005889,0.232804233
2.84802E-4,27.769776701,0.662400401,0.173415493,0.257361602,0.232804233
2.85265E-4,28.026290017,0.662995132,0.172623239,0.260895171,0.232804233
