variable,x,y
wc2.0_bio_2.5m_6,-45.04999847412114,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-44.90019047851567,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-44.750382482910204,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-44.60057448730473,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-44.45076649169926,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-44.30095849609379,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-44.15115050048833,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-44.00134250488286,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-43.851534509277386,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-43.70172651367192,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-43.55191851806645,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-43.40211052246098,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-43.25230252685551,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-43.102494531250045,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-42.952686535644574,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-42.8028785400391,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-42.65307054443364,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-42.50326254882817,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-42.3534545532227,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-42.203646557617226,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-42.05383856201176,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-41.90403056640629,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-41.75422257080082,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-41.60441457519536,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-41.454606579589885,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-41.304798583984415,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-41.15499058837894,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-41.00518259277348,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-40.85537459716801,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-40.70556660156254,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-40.55575860595707,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-40.4059506103516,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-40.25614261474613,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-40.10633461914066,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-39.9565266235352,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-39.806718627929726,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-39.656910632324255,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-39.507102636718784,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-39.35729464111332,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-39.20748664550785,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-39.05767864990238,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-38.907870654296914,2.0433598547242582E-4
wc2.0_bio_2.5m_6,-38.75806265869144,2.056021330645308E-4
wc2.0_bio_2.5m_6,-38.60825466308597,2.094480732921511E-4
wc2.0_bio_2.5m_6,-38.4584466674805,2.133658272214234E-4
wc2.0_bio_2.5m_6,-38.30863867187504,2.1735686459578574E-4
wc2.0_bio_2.5m_6,-38.15883067626957,2.214225532952696E-4
wc2.0_bio_2.5m_6,-38.009022680664096,2.255643776152283E-4
wc2.0_bio_2.5m_6,-37.85921468505863,2.297835744684562E-4
wc2.0_bio_2.5m_6,-37.70940668945316,2.3408167180605233E-4
wc2.0_bio_2.5m_6,-37.55959869384769,2.3846027033869177E-4
wc2.0_bio_2.5m_6,-37.40979069824222,2.4292065063491464E-4
wc2.0_bio_2.5m_6,-37.259982702636755,2.4746442795731127E-4
wc2.0_bio_2.5m_6,-37.110174707031284,2.5209321756847203E-4
wc2.0_bio_2.5m_6,-36.96036671142581,2.5680867838673294E-4
wc2.0_bio_2.5m_6,-36.81055871582035,2.616122364997864E-4
wc2.0_bio_2.5m_6,-36.66075072021488,2.665056090336293E-4
wc2.0_bio_2.5m_6,-36.51094272460941,2.714904840104282E-4
wc2.0_bio_2.5m_6,-36.361134729003936,2.765687240753323E-4
wc2.0_bio_2.5m_6,-36.21132673339847,2.8174181352369487E-4
wc2.0_bio_2.5m_6,-36.061518737793,2.870116732083261E-4
wc2.0_bio_2.5m_6,-35.91171074218754,2.923800493590534E-4
wc2.0_bio_2.5m_6,-35.76190274658207,2.9784897924400866E-4
wc2.0_bio_2.5m_6,-35.612094750976595,3.034200635738671E-4
wc2.0_bio_2.5m_6,-35.462286755371125,3.0909531051293015E-4
wc2.0_bio_2.5m_6,-35.31247875976565,3.148768446408212E-4
wc2.0_bio_2.5m_6,-35.16267076416019,3.2076635397970676E-4
wc2.0_bio_2.5m_6,-35.01286276855472,3.2676602131687105E-4
wc2.0_bio_2.5m_6,-34.86305477294925,3.328778548166156E-4
wc2.0_bio_2.5m_6,-34.713246777343784,3.391041827853769E-4
wc2.0_bio_2.5m_6,-34.56343878173831,3.454467514529824E-4
wc2.0_bio_2.5m_6,-34.41363078613284,3.519079473335296E-4
wc2.0_bio_2.5m_6,-34.26382279052737,3.584899823181331E-4
wc2.0_bio_2.5m_6,-34.11401479492191,3.651952720247209E-4
wc2.0_bio_2.5m_6,-33.964206799316436,3.7202576640993357E-4
wc2.0_bio_2.5m_6,-33.814398803710965,3.7898399750702083E-4
wc2.0_bio_2.5m_6,-33.6645908081055,3.860725264530629E-4
wc2.0_bio_2.5m_6,-33.51478281250003,3.9329344872385263E-4
wc2.0_bio_2.5m_6,-33.36497481689456,4.0064938366413116E-4
wc2.0_bio_2.5m_6,-33.21516682128909,4.081428633071482E-4
wc2.0_bio_2.5m_6,-33.065358825683624,4.1577668162062764E-4
wc2.0_bio_2.5m_6,-32.91555083007815,4.2355305049568415E-4
wc2.0_bio_2.5m_6,-32.76574283447268,4.314748221077025E-4
wc2.0_bio_2.5m_6,-32.61593483886722,4.3954470311291516E-4
wc2.0_bio_2.5m_6,-32.46612684326175,4.4776572030968964E-4
wc2.0_bio_2.5m_6,-32.31631884765628,4.5614023110829294E-4
wc2.0_bio_2.5m_6,-32.166510852050806,4.646713496185839E-4
wc2.0_bio_2.5m_6,-32.01670285644534,4.7336198622360826E-4
wc2.0_bio_2.5m_6,-31.86689486083987,4.8221522592939436E-4
wc2.0_bio_2.5m_6,-31.7170868652344,4.912340082228184E-4
wc2.0_bio_2.5m_6,-31.567278869628936,5.004213307984173E-4
