X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0014725685083837121,23.626345691666714,0.49967877212179734
2.0,2.0,train,9.184262473250556E-4,16.813329277489796,0.35073115158749146
3.0,3.0,train,5.603521004448113E-4,11.849707435523529,0.2316553127809846
4.0,4.0,train,0.0025486198431909236,36.351649220452295,0.6983656309567761
5.0,5.0,train,0.0021099223057364945,30.493468825726477,0.6292522480054297
6.0,6.0,train,0.001220373342720161,20.172184065234863,0.43667868077913385
7.0,7.0,train,9.363561715413893E-4,16.990688487958653,0.35618271041429383
8.0,8.0,train,3.738408511167945E-4,9.18763341821306,0.16121945347562594
9.0,9.0,train,5.129549221432833E-4,10.977818471803811,0.21433702188855386
10.0,10.0,train,0.0033824539372615692,48.81072202518537,0.796210347348773
11.0,11.0,train,0.0027965996667504924,39.03279998142114,0.7315678745475859
12.0,12.0,train,0.003954451078840848,61.68327167449587,0.8442744445813275
13.0,13.0,train,0.0029970859509059547,43.095665003315624,0.7557199320171716
14.0,14.0,train,0.004000741735640553,64.47133076402052,0.8476278191454487
15.0,15.0,train,5.326737307840305E-4,11.399031978905171,0.22158892906523153
16.0,16.0,train,0.001531970798226392,24.2683743397732,0.513461892991955
17.0,17.0,train,0.0015588722157188174,24.540119533239515,0.5195782829734058
18.0,18.0,train,0.0014402400080188202,23.33300972975959,0.49201420997130396
19.0,19.0,train,0.0017282799431788056,26.639426750572877,0.5563673268148477
21.0,21.0,train,0.0037193067899871338,55.1866852616287,0.8260658942926808
22.0,22.0,train,0.004540209028632376,75.79635073611671,0.8817701333963761
23.0,23.0,train,0.004949763213470957,85.73420660476901,0.9024827128363845
24.0,24.0,train,0.003059651331148467,44.913904312992656,0.7628025872988486
25.0,25.0,train,0.001669166388952076,26.14560942958953,0.5438616128405258
26.0,26.0,train,0.0018945572281956887,28.372563568940013,0.5897356644153868
27.0,27.0,train,0.0027236189547189494,38.198036530501106,0.7221951922462917
29.0,29.0,train,0.005158661216168694,90.30418187022248,0.9116071412391945
30.0,30.0,train,0.005607598346610182,95.66881926081363,0.9284304662929226
31.0,31.0,train,0.004110285391707405,65.29062207826563,0.8552785325714581
32.0,32.0,train,0.00319799838024393,46.17385876913146,0.7777434645987381
33.0,33.0,train,0.003813985148084628,58.63161981613697,0.8336403311550253
34.0,34.0,train,0.002799880532281235,39.31281521676823,0.7319817172397869
36.0,36.0,train,0.0034840087822444804,51.55923274893241,0.8057142252451296
37.0,37.0,train,0.0037314278173954437,55.93218474196316,0.8270545255972458
38.0,38.0,train,0.004237318963478033,67.80429098386897,0.8636710260352072
39.0,39.0,train,0.0034607080557704935,50.86403783549336,0.8035736060288996
40.0,40.0,train,0.0034034004561419758,49.15101950857127,0.7982079269318123
42.0,42.0,train,0.004730601262924937,80.9154136896579,0.8918958647712657
43.0,43.0,train,0.0027815643522479563,38.75322713949438,0.729663156716955
44.0,44.0,train,0.004561876281181341,76.25252408601047,0.8829687151775927
45.0,45.0,train,0.004732112612415565,81.38837748208087,0.8919726716728626
46.0,46.0,train,0.004463171313186857,72.18153603457799,0.8774083044232937
47.0,47.0,train,0.00461231147573406,77.17272628782747,0.8857118230139518
48.0,48.0,train,0.003538878791834724,52.2636888360658,0.8106633937686816
49.0,49.0,train,0.004300894158842458,69.08960102413594,0.8676865964282442
52.0,52.0,train,0.001889633328274525,28.293284890848835,0.5887845708155559
53.0,53.0,train,0.00464519273402371,78.5599194155242,0.8874654759988677
54.0,54.0,train,0.005990870530004766,97.99419312580365,0.9402345323115923
55.0,55.0,train,0.005242697451590012,92.38345973846164,0.91503227701492
56.0,56.0,train,0.005065664024022514,88.24760206151916,0.9076556078025697
57.0,57.0,train,0.0045847504008024505,76.71108412064058,0.8842208755643384
58.0,58.0,train,0.004083418406864893,64.87965616378857,0.8534384143033077
