variable,x,y
wc2.0_bio_2.5m_6,-45.8263980865478,1.798740889569217E-8
wc2.0_bio_2.5m_6,-45.675140490722605,1.798740889569217E-8
wc2.0_bio_2.5m_6,-45.523882894897405,1.798740889569217E-8
wc2.0_bio_2.5m_6,-45.37262529907221,1.798740889569217E-8
wc2.0_bio_2.5m_6,-45.22136770324702,1.798740889569217E-8
wc2.0_bio_2.5m_6,-45.07011010742182,1.798740889569217E-8
wc2.0_bio_2.5m_6,-44.918852511596626,1.798740889569217E-8
wc2.0_bio_2.5m_6,-44.76759491577143,1.798740889569217E-8
wc2.0_bio_2.5m_6,-44.61633731994623,1.798740889569217E-8
wc2.0_bio_2.5m_6,-44.46507972412104,1.798740889569217E-8
wc2.0_bio_2.5m_6,-44.31382212829585,1.798740889569217E-8
wc2.0_bio_2.5m_6,-44.162564532470654,1.798740889569217E-8
wc2.0_bio_2.5m_6,-44.011306936645454,1.798740889569217E-8
wc2.0_bio_2.5m_6,-43.86004934082026,1.798740889569217E-8
wc2.0_bio_2.5m_6,-43.70879174499507,1.798740889569217E-8
wc2.0_bio_2.5m_6,-43.55753414916987,1.798740889569217E-8
wc2.0_bio_2.5m_6,-43.406276553344675,1.798740889569217E-8
wc2.0_bio_2.5m_6,-43.25501895751948,1.798740889569217E-8
wc2.0_bio_2.5m_6,-43.10376136169428,1.798740889569217E-8
wc2.0_bio_2.5m_6,-42.95250376586909,1.798740889569217E-8
wc2.0_bio_2.5m_6,-42.801246170043896,1.798740889569217E-8
wc2.0_bio_2.5m_6,-42.649988574218696,1.798740889569217E-8
wc2.0_bio_2.5m_6,-42.4987309783935,1.798740889569217E-8
wc2.0_bio_2.5m_6,-42.34747338256831,1.798740889569217E-8
wc2.0_bio_2.5m_6,-42.19621578674311,1.798740889569217E-8
wc2.0_bio_2.5m_6,-42.04495819091792,1.798740889569217E-8
wc2.0_bio_2.5m_6,-41.893700595092724,1.798740889569217E-8
wc2.0_bio_2.5m_6,-41.742442999267524,1.798740889569217E-8
wc2.0_bio_2.5m_6,-41.59118540344233,1.798740889569217E-8
wc2.0_bio_2.5m_6,-41.43992780761714,1.798740889569217E-8
wc2.0_bio_2.5m_6,-41.28867021179194,1.798740889569217E-8
wc2.0_bio_2.5m_6,-41.137412615966745,1.798740889569217E-8
wc2.0_bio_2.5m_6,-40.98615502014155,1.798740889569217E-8
wc2.0_bio_2.5m_6,-40.83489742431635,1.798740889569217E-8
wc2.0_bio_2.5m_6,-40.68363982849116,1.798740889569217E-8
wc2.0_bio_2.5m_6,-40.53238223266597,1.798740889569217E-8
wc2.0_bio_2.5m_6,-40.38112463684077,1.798740889569217E-8
wc2.0_bio_2.5m_6,-40.229867041015574,1.798740889569217E-8
wc2.0_bio_2.5m_6,-40.07860944519038,1.798740889569217E-8
wc2.0_bio_2.5m_6,-39.92735184936518,1.798740889569217E-8
