x,y,species_8 cloglog values
1.0,1.0,2.2138191E-4
2.0,2.0,1.3790316E-7
3.0,3.0,2.578937E-12
4.0,4.0,4.7314767E-4
5.0,5.0,0.019777883
6.0,6.0,0.029924473
7.0,7.0,2.5997032E-8
8.0,8.0,3.0186011E-5
9.0,9.0,2.2138393E-5
10.0,10.0,4.1513049E-10
11.0,11.0,1.446026E-9
12.0,12.0,0.17746973
13.0,13.0,2.4752722E-5
14.0,14.0,2.5718512E-8
15.0,15.0,5.595044E-4
16.0,16.0,4.014932E-5
17.0,17.0,5.3811622E-11
18.0,18.0,3.7487035E-7
19.0,19.0,4.39333E-4
20.0,20.0,2.9491517E-5
21.0,21.0,7.613625E-5
22.0,22.0,2.0855325E-6
23.0,23.0,8.655045E-4
24.0,24.0,2.5498364E-4
25.0,25.0,2.5972215E-6
26.0,26.0,3.7934498E-7
27.0,27.0,0.002123933
28.0,28.0,5.099409E-9
29.0,29.0,7.244557E-10
30.0,30.0,6.719481E-5
31.0,31.0,3.4660225E-5
32.0,32.0,7.588693E-8
33.0,33.0,3.7591246E-6
34.0,34.0,7.438494E-15
35.0,35.0,1.7123073E-5
36.0,36.0,3.3465453E-12
37.0,37.0,0.0023027817
38.0,38.0,1.143774E-11
39.0,39.0,4.9316107E-13
40.0,40.0,3.8601088E-4
41.0,41.0,0.14385504
42.0,42.0,1.9491636E-5
43.0,43.0,4.463098E-4
44.0,44.0,0.0028771223
45.0,45.0,2.881399E-5
46.0,46.0,3.6511905E-12
47.0,47.0,5.8809697E-4
48.0,48.0,0.0010832736
49.0,49.0,3.0420037E-7
50.0,50.0,4.8659556E-4
51.0,51.0,0.0031768975
52.0,52.0,0.011928926
53.0,53.0,1.7558941E-8
54.0,54.0,1.229328E-8
55.0,55.0,3.972048E-4
56.0,56.0,0.4306914
57.0,57.0,6.8023365E-13
58.0,58.0,5.669947E-4
59.0,59.0,3.1496986E-4
60.0,60.0,0.0010485816
61.0,61.0,7.4744836E-4
62.0,62.0,4.5717643E-9
63.0,63.0,0.062199067
64.0,64.0,0.007740851
65.0,65.0,4.0073943E-4
66.0,66.0,5.913353E-4
67.0,67.0,4.3794364E-4
68.0,68.0,6.534944E-8
69.0,69.0,3.1799966E-4
70.0,70.0,3.9634962E-14
71.0,71.0,1.2549642E-6
72.0,72.0,8.4537835E-9
73.0,73.0,2.5363667E-10
74.0,74.0,0.0019227222
75.0,75.0,2.3844102E-4
76.0,76.0,0.0011672229
77.0,77.0,7.5465745E-10
78.0,78.0,3.984228E-5
79.0,79.0,0.009741336
80.0,80.0,1.7573577E-9
81.0,81.0,3.0913494E-11
82.0,82.0,1.5522936E-8
83.0,83.0,6.8004397E-6
84.0,84.0,0.15662475
85.0,85.0,7.274416E-8
86.0,86.0,1.4519297E-10
87.0,87.0,2.249978E-12
88.0,88.0,3.9450433E-7
89.0,89.0,2.4476703E-8
90.0,90.0,2.2767836E-4
91.0,91.0,4.7661672E-7
92.0,92.0,1.4730287E-4
93.0,93.0,4.69932E-5
94.0,94.0,4.733131E-4
95.0,95.0,1.5068915E-5
96.0,96.0,0.0010433631
97.0,97.0,1.158179E-5
98.0,98.0,2.839532E-4
99.0,99.0,4.2182884E-9
100.0,100.0,0.0038869362
101.0,101.0,1.3690604E-11
102.0,102.0,0.10786355
103.0,103.0,0.14865586
104.0,104.0,0.0012704
105.0,105.0,2.0894397E-12
106.0,106.0,3.2240877E-13
107.0,107.0,0.0020391755
108.0,108.0,0.08456679
109.0,109.0,6.1968774E-7
110.0,110.0,1.4926923E-6
111.0,111.0,0.05918932
112.0,112.0,2.0623193E-4
113.0,113.0,0.0024066838
114.0,114.0,8.304841E-6
115.0,115.0,4.2372944E-6
116.0,116.0,1.2592969E-5
117.0,117.0,5.9591674E-8
