variable,x,y
wc2.0_bio_2.5m_6,-45.676849937439,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-45.5261095367432,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-45.375369136047404,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-45.2246287353516,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-45.0738883346558,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-44.923147933959996,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-44.7724075332642,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-44.6216671325684,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-44.470926731872595,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-44.32018633117679,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-44.169445930481,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-44.018705529785194,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-43.86796512908939,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-43.71722472839359,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-43.56648432769779,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-43.41574392700199,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-43.26500352630619,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-43.114263125610385,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-42.96352272491459,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-42.81278232421879,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-42.662041923522985,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-42.51130152282718,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-42.36056112213139,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-42.209820721435584,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-42.05908032073978,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-41.90833992004398,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-41.75759951934818,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-41.60685911865238,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-41.45611871795658,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-41.305378317260775,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-41.15463791656498,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-41.00389751586918,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-40.853157115173374,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-40.70241671447758,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-40.551676313781776,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-40.40093591308597,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-40.25019551239017,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-40.09945511169437,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-39.94871471099857,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-39.79797431030277,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-39.64723390960697,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-39.49649350891117,1.6208150555030443E-5
wc2.0_bio_2.5m_6,-39.34575310821537,1.682450601947494E-5
wc2.0_bio_2.5m_6,-39.19501270751957,1.881780190160498E-5
wc2.0_bio_2.5m_6,-39.044272306823764,2.1047191694378853E-5
wc2.0_bio_2.5m_6,-38.89353190612796,2.3540766051155515E-5
wc2.0_bio_2.5m_6,-38.742791505432166,2.6329764295951463E-5
wc2.0_bio_2.5m_6,-38.59205110473636,2.944910193036776E-5
wc2.0_bio_2.5m_6,-38.44131070404056,3.2938078220468014E-5
wc2.0_bio_2.5m_6,-38.290570303344765,3.684040711959824E-5
wc2.0_bio_2.5m_6,-38.13982990264896,4.120493395021185E-5
wc2.0_bio_2.5m_6,-37.98908950195316,4.608665039995685E-5
wc2.0_bio_2.5m_6,-37.83834910125736,5.154670725460164E-5
wc2.0_bio_2.5m_6,-37.68760870056156,5.765362220699899E-5
wc2.0_bio_2.5m_6,-37.53686829986576,6.44838364678435E-5
wc2.0_bio_2.5m_6,-37.386127899169956,7.212339551188052E-5
wc2.0_bio_2.5m_6,-37.235387498474154,8.06680036475882E-5
wc2.0_bio_2.5m_6,-37.08464709777836,9.02246028999798E-5
wc2.0_bio_2.5m_6,-36.933906697082556,1.0091358853969723E-4
wc2.0_bio_2.5m_6,-36.78316629638675,1.1286883091088384E-4
wc2.0_bio_2.5m_6,-36.63242589569096,1.2623997463379055E-4
wc2.0_bio_2.5m_6,-36.481685494995155,1.4119542902335525E-4
wc2.0_bio_2.5m_6,-36.33094509429935,1.5792249178048223E-4
wc2.0_bio_2.5m_6,-36.18020469360355,1.7663047765381634E-4
wc2.0_bio_2.5m_6,-36.02946429290775,1.9755502580665052E-4
wc2.0_bio_2.5m_6,-35.87872389221195,2.2095812892075628E-4
wc2.0_bio_2.5m_6,-35.72798349151615,2.4713261518627405E-4
wc2.0_bio_2.5m_6,-35.577243090820346,2.7640804182738066E-4
wc2.0_bio_2.5m_6,-35.42650269012455,3.09150927932933E-4
wc2.0_bio_2.5m_6,-35.27576228942875,3.457718121353537E-4
wc2.0_bio_2.5m_6,-35.125021888732945,3.8672873051837087E-4
wc2.0_bio_2.5m_6,-34.97428148803714,4.3253719923086464E-4
wc2.0_bio_2.5m_6,-34.82354108734134,4.8377044731751084E-4
wc2.0_bio_2.5m_6,-34.672800686645544,5.410689627751708E-4
wc2.0_bio_2.5m_6,-34.52206028594974,6.051536765880883E-4
wc2.0_bio_2.5m_6,-34.37131988525394,6.768261082470417E-4
wc2.0_bio_2.5m_6,-34.22057948455814,7.569817826151848E-4
wc2.0_bio_2.5m_6,-34.06983908386234,8.466286235488951E-4
wc2.0_bio_2.5m_6,-33.91909868316654,9.468869538977742E-4
wc2.0_bio_2.5m_6,-33.768358282470736,0.001059008645825088
wc2.0_bio_2.5m_6,-33.61761788177493,0.0011844022665172815
wc2.0_bio_2.5m_6,-33.46687748107914,0.0013246334856376052
wc2.0_bio_2.5m_6,-33.316137080383335,0.0014814556343480945
wc2.0_bio_2.5m_6,-33.16539667968753,0.0016568235587328672
wc2.0_bio_2.5m_6,-33.01465627899174,0.0018529366934671998
wc2.0_bio_2.5m_6,-32.863915878295934,0.002072239061817527
wc2.0_bio_2.5m_6,-32.71317547760013,0.0023174602538347244
wc2.0_bio_2.5m_6,-32.56243507690433,0.002591669326648116
wc2.0_bio_2.5m_6,-32.411694676208526,0.0028982767835259438
wc2.0_bio_2.5m_6,-32.26095427551273,0.0032410891726613045
wc2.0_bio_2.5m_6,-32.11021387481693,0.0036243863869458437
wc2.0_bio_2.5m_6,-31.959473474121125,0.0040529207326471806
wc2.0_bio_2.5m_6,-31.808733073425326,0.0045320019125938416
wc2.0_bio_2.5m_6,-31.657992672729527,0.005067569203674793
wc2.0_bio_2.5m_6,-31.507252272033725,0.0056662545539438725
wc2.0_bio_2.5m_6,-31.356511871337922,0.006335434503853321
wc2.0_bio_2.5m_6,-31.205771470642123,0.007083361968398094
wc2.0_bio_2.5m_6,-31.055031069946324,0.007919244468212128
wc2.0_bio_2.5m_6,-30.90429066925052,0.008853314444422722
wc2.0_bio_2.5m_6,-30.75355026855472,0.00989701971411705
wc2.0_bio_2.5m_6,-30.60280986785892,0.011063062585890293
wc2.0_bio_2.5m_6,-30.45206946716312,0.012365625239908695
wc2.0_bio_2.5m_6,-30.301329066467318,0.013820497319102287
wc2.0_bio_2.5m_6,-30.150588665771515,0.015445176512002945
wc2.0_bio_2.5m_6,-29.999848265075716,0.01725919358432293
wc2.0_bio_2.5m_6,-29.849107864379917,0.019284144043922424
wc2.0_bio_2.5m_6,-29.698367463684114,0.02154405601322651
wc2.0_bio_2.5m_6,-29.547627062988315,0.02406557835638523
wc2.0_bio_2.5m_6,-29.396886662292513,0.026878105476498604
wc2.0_bio_2.5m_6,-29.246146261596714,0.030014248564839363
wc2.0_bio_2.5m_6,-29.09540586090091,0.03351001814007759
wc2.0_bio_2.5m_6,-28.94466546020511,0.03740498051047325
wc2.0_bio_2.5m_6,-28.793925059509313,0.04174286499619484
wc2.0_bio_2.5m_6,-28.64318465881351,0.04657146707177162
wc2.0_bio_2.5m_6,-28.49244425811771,0.05194331705570221
wc2.0_bio_2.5m_6,-28.34170385742191,0.0579158291220665
wc2.0_bio_2.5m_6,-28.190963456726106,0.06455129384994507
wc2.0_bio_2.5m_6,-28.040223056030307,0.07191763818264008
wc2.0_bio_2.5m_6,-27.889482655334504,0.08008791506290436
wc2.0_bio_2.5m_6,-27.7387422546387,0.08914098143577576
wc2.0_bio_2.5m_6,-27.588001853942906,0.09916123747825623
wc2.0_bio_2.5m_6,-27.437261453247103,0.1102379783987999
wc2.0_bio_2.5m_6,-27.286521052551304,0.12246575206518173
wc2.0_bio_2.5m_6,-27.1357806518555,0.13594341278076172
